value_last_recv,timestamp_chg
24515,30078019627
24516,30078271602
24517,30078523577
24518,30078776218
24519,30079028193
24520,30079280168
24521,30079532143
24522,30079784118
24523,30080036092
24524,30080288067
24525,30080540042
24526,30080792017
24527,30081044658
24528,30081296633
24529,30081548608
24530,30081800583
24531,30082052557
24532,30082304532
24533,30082556507
24534,30082808482
24535,30083060457
24536,30083312431
24537,30083565073
24538,30083817048
24539,30084069022
24540,30084320997
24541,30084572972
24542,30084825613
24543,30085077588
24544,30085330230
24545,30085582204
24546,30085834179
24547,30086086821
24548,30086339462
24549,30086591437
24550,30086843412
24551,30087095386
24552,30087347361
24553,30087599336
24554,30087851311
24555,30088106619
24556,30088359927
24557,30088611235
24558,30088863210
24559,30089115184
24560,30089367159
24561,30089619134
24562,30089871109
24563,30090123084
24564,30090375725
24565,30090627700
24566,30090879675
24567,30091131649
24568,30091383624
24569,30091635599
24570,30091887574
24571,30092139549
24572,30092391523
24573,30092643498
24574,30092896140
24575,30093148114
24576,30093400089
24577,30093652064
24578,30093904039
24579,30094156014
24580,30094407988
24581,30094659963
24582,30094911938
24583,30095163913
24584,30095415888
24585,30095667862
24586,30095919837
24587,30096172479
24588,30096424453
24589,30096676428
24590,30096928403
24591,30097180378
24592,30097432353
24593,30097684327
24594,30097936302
24595,30098188277
24596,30098440252
24597,30098692227
24598,30098944868
24599,30099196843
24600,30099448818
24601,30099700792
24602,30099952767
24603,30100204742
24604,30100456717
24605,30100708692
24606,30100960666
24607,30101212641
24608,30101465283
24609,30101717257
24610,30101969232
24611,30102221207
24612,30102473182
24613,30102725157
24614,30102977131
24615,30103229106
24616,30103481081
24617,30103733056
24618,30103985697
24619,30104237672
24620,30104489647
24621,30104741622
24622,30104993596
24623,30105245571
24624,30105497546
24625,30105749521
24626,30106001496
24627,30106253470
24628,30106505445
24629,30106757420
24630,30107010061
24631,30107262036
24632,30107514011
24633,30107765986
24634,30108017961
24635,30108269935
24636,30108521910
24637,30108773885
24638,30109025860
24639,30109278501
24640,30109530476
24641,30109782451
24642,30110034426
24643,30110286400
24644,30110538375
24645,30110790350
24646,30111042325
24647,30111294300
24648,30111546274
24649,30111798249
24650,30112050891
24651,30112302865
24652,30112554840
24653,30112806815
24654,30113058790
24655,30113310765
24656,30113562739
24657,30113814714
24658,30114066689
24659,30114318664
24660,30114570639
24661,30114823280
24662,30115075255
24663,30115327230
24664,30115579204
24665,30115831179
24666,30116083154
24667,30116335129
24668,30116587104
24669,30116839078
24670,30117091053
24671,30117343028
24672,30117595669
24673,30117847644
24674,30118099619
24675,30118351594
24676,30118603569
24677,30118855543
24678,30119107518
