value_last_recv,timestamp_chg
JGMVWaSqU3XSdMwksE8Mwj2bAZtX32r6xgC4Ra5TXtzPv3DE5H6dWgU3BhTbpWf7J4USKo4ZzANfpTA,32438506222
79dm4vD2bNhTKxAdJ6NoBWmCDqhUYWdZ7Rj4ZAgp5hmvrLnd4pUTcPS7rXTHyLW4NgZjMeG9FwQWe5y,32438792860
PdDn9LXRMwGyAfKHhq9d65PFkq3YsaTxE4yeoXw8h2SJszBvpG9HrtFvpf4rGjNSFGTDvKdFH6pNTb8,32439083497
BRUaGdpr2SA8nFf9vUF87ZLfbDwQmGeLH2MbAh4ak5fWdq7Xv6TBzkm5p4cadPTgvZoWB3xvhajotsQ,32439373468
WzE2ntMU8LewqvrAUbjGfrE94mdJqB3TfQzW67V2CJoFARsdXhuQTXwnyjCRJc5X4PaJ7fnuop6VxmM,32439664106
QT2mSxMbEaCj8UA9VE65yr9zJ3oas6nthgJU9McHTbR8JkMCBEam2vH5hBWeYzdak2pW6saqYgjKtCN,32439952744
rZ5HsStq9jrC3PYMXzh2FHvYx54toLXGzQuwMBCpSrn4UP9K4yTvWcywF52kvYB6nCVzbdqLAjoucRh,32440244048
xB7PvECVBNWeb2aYmJ4BHSNTgqpDZzv8DhHCnarMhjWAX4jHS53saKgewnqEY95KaXb3svKarcg6N5n,32440534686
6CfXM3JdAgzoPFkLjDEageKcCDGHz8ahm38AaBuFLsxQTvdfxsBMdtyFW2qvwf9SmKDqb8spwtUoQP6,32440823990
E9v8Rj92TJU8kd7gBoJanevpLz9SH2o6kUxTEnCoZhGQEmqAjusRHhNFvakrtbdYXQqocMyeY8ENh6v,32441113961
RtMrbJwtmCHAoQavYq52kyn4PBeCNwtL47Ff5heV47aKNM6Uc3Xwp5hNHRqXQYyuWcKQdGZeF5qcDwT,32441402599
XjFy9YDsfjUuSowaDuPTEa4AbURLJMNS3YFDpe7B5utHp8fn9e5Dp69saeMHgAvYM8rvsWCeHQUpSdh,32441693236
R7Yqhw569VvKxnyXu8kdwL5jREJas2RAzf3kuaA9rjpXZEbz8GnLEByeSrvRdJ7GSdJNKcxd69e3oD8,32441985207
VhP9RMQXBTCn7Vz4vDJUnRw8Ceqh7rnAVJ5GAeHzdNeofgrJNVB68MTKuoaTpCRxZs3Q6AcHCRTx9Hz,32442276511
k6q8Q5ucboUEAuxewREJAmRN4Aaw6rPxnsXS9KmLJZeQ2JtEvk7FQjTYtV5Upf7MebRXfmp39jGAsC2,32442565816
BrMhpadeVFGbdvomaqM5meX9qgLNvBpAgnxh4oJDbjqvkDLcsqBGErLqt6TGEwdNyAw3v9DzJ6rNEd9,32442854454
NS65KDWhETAudzycBGeZRwXxyGU7MPdKyqLvUNkAsTWwjYGFW2Y6dgfWvbtVwe9pAvzUKLfQDBAqZ9P,32443143758
T2yGsnQcqZNMXqQDCAmoajVRXs832NQSgMJCYnv5doMqQgSxekHoaQubgtkxMP7FHD4ARWyseErbakD,32443431063
tjnYwH3D6Zp5A2tFKEN4Udr3XTEz7UWkLHy9GBtpnCBGp5ezWUVZE6drZywM8FTxs4FDCdNqbpvNsYj,32443719700
8DR7KSoXb6mkNMg2UDxqbvM2NjfqwPbuqGfXLVmWbZX4oquDvE2PMzYtku7jMc24FaAcJqDFUwcT5z6,32444009005
5CRv6MjUWVRvwzCYdJEWNYL7XtsYNxJU4zs5RVxZbjuUd4onJpmqnFyhQzC6Hfcmb7Mpj3sbY9WmnPy,32444297643
4QMhgKG7ACYnNRqQfWPNwZyEUMeKWFrumJ5eRrbJHG8c7uDQNkzRpbvscz5CwK4VnADL8x5EqbWHhJP,32444586947
uaJAhx39CazuHs2JQbemyQY8ubEtrG8wuLTHDMcBf5pjKbMrm583kCZP7qHnXuDY76TbYWZsdCF3N5R,32444877585
2dYoA8tNkYMmHFTqukLaSN2JCbK9TYBAzkqSc5sm6WjvH2gtmzCqGWvFk8Z4MFcDTHYbxW5nEBK4aWb,32445166889
aeYNv436t5P2qj3LZ9HhWAtP92mSW4nuHBWK2d6ej7zuL6EQkAHBeauJP5Rk6XBjb2xPHonzZwYNqpM,32445455527
zaxKVUzomcDZCw6XnTgA5xowNer3SUodPJZ8xbrNXLpYWynw9qvGszeCJWHxuTZ6xnfYUmtJQZX34mh,32445746164
RoUj9quZAyFKT3Wo97ubshGYwgD2o8vEsuRSW5Bek8Aw7g6Kv43x5ubQS4NWJKHXNmkVBs7GkF6aQm4,32446034802
yMY7wHEpmMX5cH72PeQfk52obPMBWuo8agYc4JBy5qtvW5Zdp9qxW5mfSV42oQas6CjgYUWPqpNzFSf,32446323440
YtNvWEJsV5c6BzCftoTUHzoy6jPxZVSukFmzeRXDAUneLCta3o6sPMJGF3ehtFbaZMNgB6zwnhk6tLY,32446612744
5gkEsZTUmSeRynZ56EURM48JeUrMAXmtxAe5G6xQrBGjXEarLK2yon6MR8mYHpEyYZB7cm2zhHPQdxM,32446902049
AzQZ26DfW2QVANRnvaFo5YCScbdFTXuSERjP8w3C5qPcYjMgrwtMEaNHYchZCdk8B6qXwnMmAswyD2R,32447191353
SwAfCgktnTwquYR3f45TPmJcupM7YARS6uG4sqR8HQrukcFY2Mx5aD97GzsWYfFVGSmKBNM7oBC4kd2,32447488657
busTUbZyPQcWHYU3wahboK8VyJWCLkPAeC29hNMtHURp9joP4vQTDjU9nQcMENPKG8Vb4PMWrfzqyjr,32447778628
8bg7JXm5fNgEu2stPU4Rpca9q8gs7A3NCZRSynJKDBvQEAXuDLvECsYnPz9YB4rMexDmaCTtX7NZm8K,32448068599
RuPXe7MvkmKDHPNBxgPeCKyM6xFueZGQmEAHYSXFQKpysroUDF8rEZQG5BbrzaRLd5bCNFnfJHQ2dAN,32448356570
B9DLeAnNc6pWfqvD4sacCNbp948tBorXFZpWSDYwQqm4SrBVDGkPZx8vkeFpcbS89aRGqkoCnMWkgXR,32448645208
XfBc8jewz9Zk4Cd6PpkYbodh48kpZeBTCKgrbnQJygkaftNPuFftnEg4Dk5GacYRz26NvBUPnFzD7XP,32448933179
McKGbV3mQrYMxTkjWt4v9xHmrUqpVAnHJ5KeRq2ZPcXSzLDgNMbhXNTUznRhCmqKRaEFDCVuUzaRHbJ,32449223150
kc3RSAwjPELFbT4CPD594KSELyct67ezPgUjpvGMzwLdWgfznJymhs9MFKUyTHqPNh9UXc6rJGWkyc5,32449512454
s2zZJyG4B5Jhoj4nCFw5H2sXt9GPzbHw3WaGKHuRQGjXM4KYoAa56SGtE4qSGfvASL5Y7CoASUKyskz,32449801092
6aXyjecGg7UChZYzqJNUK9GYn3hCsqkthVXcCzqhAaRPrjLE7xJkRXsK2jgeNnaMA2DcNFX9uJgy6a8,32450089730
foSVxZq5c6B9hoE7KgoaWPDpL8jN52kcN7gtZ3AuVTGdwkUWjJQKYNpnbFqgDaHEsrgdaHuZk4hEdvn,32450381034
UbV9BR6hDcs6CbEeJgPueSpPnM2wg7MoQt5mFuXGskEQe9BGLrHpxyqVuosqR5vsXMVjfZvzYB5NsoK,32450669672
3jawMog5LYUb9J5g3QGVrnfPj2kftA9zYjs9SJQjmSCGxPcfA5E3vWQCLNVDBLKZwkjhLgF2vEUdGum,32450959643
rSmqGKETLAkaQFeqvG8mH9fwbpjRhwc2gsountdKTqrPev7BkTAgGnS2fMAt2ZcmP8BcGqzEN8RxUg8,32451250281
sAFm4ZgztK2Mcjo4fDYRZ9NET3BFpD5GYhdSgLchspg9UfaLDqnATyYGondxSWLnKk826sqUPuwbyCd,32451543585
6hxvDjzVC7rn4kQZKowPHcyJNwxhM49yENZXsY8PbDHRXFpwGvrZb9mzwCDsgqL2uQy9qZ3yf2DXx8Y,32451832222
L2XsBEhoaquKQY8FPn78A3dt4hoGkw9rUuVcZ8bS7pq6YHLXMuadySWocZaCoq7c5nmyoepDNwdZbtY,32452118860
ArZyCwFdGotnXqUuEYvN8KLTFaoH6qV932HV4o6y7eQXc4RbLsyM8VBgPe7VaKXoexm92ac7Qb4wyLK,32452407498
JmX7fZoeDMjc6DmNuMH7gpQZSrPpdmc9J54hKHyfgwm9qtdNmvsQbM7HgPrYzhkFdvHsokDSaYZ2ok8,32452694803
YgWBPbX69x8gRbDdhAmctGagTwx6FKJRexFJr7NnQzMVKrSzxa69m5w4qDJHL32WHLgpb25fUG2kMHE,32452983441
o4M8ab7h9c6dVEXLDvZNwJvp65t92W7XugRwXYrzn52ksWUfNsvQtMdZTegNhG8FkgGYqWsKPSL6hkN,32453274745
vkt9gcfL3JrnhfaKmPb6e9HB3E6Vu3jfM6ZKgtHCzpckNKR9rYfzFvm8oXkyGQhLZmjB9DeU3poZ5Vu,32453562716
PKe7DvNjqyhdgPyF8CWtzNpwxZNUm6XSode5MfK9eczDBdF7yjdUSQ8wVWMmGPkUrbGKNxuUtv5MNe9,32453850687
m3b2vzRhXAdtbqf3cJMWFxXbjc5BEhqabxsov5zw8XyHeKpDQVv8cy5FjxbXHeAaBVdraLQAYDuVQ7y,32454139992
y9GBTx2ZbTLtJRE8sKZUw8yCrSaEF84wqFcDkMWCdZEtA27g3pxeoUDdvKHAPFvQcX9epFxf7RThuSr,32454428629
KmXjy5eGJzyBpvsbF38oewrQCUkVwquvHToB97y5zQZWG938pjKX3opyUwj4uTcFD4VHqbDwPXVJDan,32454716601
7YPBVWYK2QwVypR2YjHrcLCjehKS5H3WfPsVqfSzTqFXcwfEL3Q5C8Tv327GbJCH4mY2W6LC2Wuz7Bn,32455003905
D35HPctBzwUe6KmWyDkPqu2B8T9yoYQXRKk2bEo53ymVjZC83m9SpMRzQJtLjbf7GoABdX86TxPqX47,32455293876
