counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,29573895992,29573897607,1.615,13
1,Good,29574148092,29574149670,1.578,14
2,Good,29574400153,29574401728,1.575,15
3,Good,29574652328,29574653727,1.399,16
4,Good,29574904288,29574905755,1.467,17
5,Good,29575156333,29575157757,1.424,18
6,Good,29575408398,29575409816,1.418,19
7,Good,29575660457,29575661794,1.337,20
8,Good,29575912381,29575913814,1.433,21
9,Good,29576164378,29576165824,1.446,22
10,Good,29576416402,29576417851,1.449,23
11,Good,29576668435,29576669846,1.411,24
12,Good,29576920422,29576921872,1.450,25
13,Good,29577172450,29577173879,1.429,26
14,Good,29577424433,29577425903,1.470,27
15,Good,29577676461,29577677905,1.444,28
16,Good,29577928505,29577929989,1.484,29
17,Good,29578180545,29578182005,1.460,30
18,Good,29578432575,29578434043,1.468,31
19,Good,29578684603,29578686046,1.443,32
20,Good,29578936590,29578938051,1.461,33
21,Good,29579188649,29579190053,1.404,34
22,Good,29579440604,29579442081,1.477,35
23,Good,29579692682,29579694075,1.393,36
24,Good,29579944618,29579946079,1.461,37
25,Good,29580196782,29580198096,1.314,38
26,Good,29580448643,29580450109,1.466,39
27,Good,29580700650,29580702115,1.465,40
28,Good,29580952669,29580954136,1.467,41
29,Good,29581204681,29581206143,1.462,42
30,Good,29581456684,29581458170,1.486,43
31,Good,29581708705,29581710181,1.476,44
32,Good,29581960719,29581962220,1.501,45
33,Good,29582212755,29582214211,1.456,46
34,Good,29582464754,29582466218,1.464,47
35,Good,29582716762,29582718247,1.485,48
36,Good,29582968809,29582970246,1.437,49
37,Good,29583220782,29583222300,1.518,50
38,Good,29583472835,29583474295,1.460,51
39,Good,29583724830,29583726317,1.487,52
40,Good,29583976856,29583978322,1.466,53
41,Good,29584228864,29584230340,1.476,54
42,Good,29584480881,29584482348,1.467,55
43,Good,29584732884,29584734363,1.479,56
44,Good,29584984902,29584986393,1.491,57
45,Good,29585236941,29585238399,1.458,58
46,Good,29585488952,29585490415,1.463,59
47,Good,29585740957,29585742441,1.484,60
48,Good,29585992996,29585994463,1.467,61
49,Good,29586245004,29586246465,1.461,62
50,Good,29586497004,29586498474,1.470,63
51,Good,29586749009,29586750500,1.491,64
52,Good,29587001030,29587002509,1.479,65
53,Good,29587253047,29587254526,1.479,66
54,Good,29587505056,29587506543,1.487,67
