counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,30077981684,30077983193,1.509,24515
1,Good,30078233870,30078235261,1.391,24516
2,Good,30078485988,30078487312,1.324,24517
3,Good,30078738180,30078739338,1.158,24518
4,Good,30078990243,30078991349,1.106,24519
5,Good,30079242226,30079243369,1.143,24520
6,Good,30079494257,30079495378,1.121,24521
7,Good,30079746214,30079747402,1.188,24522
8,Good,30079998285,30079999423,1.138,24523
9,Good,30080250230,30080251454,1.224,24524
10,Good,30080502348,30080503437,1.089,24525
11,Good,30080754310,30080755471,1.161,24526
12,Good,30081006354,30081007473,1.119,24527
13,Good,30081258334,30081259497,1.163,24528
14,Good,30081510355,30081511524,1.169,24529
15,Good,30081762395,30081763535,1.140,24530
16,Good,30082014406,30082015547,1.141,24531
17,Good,30082266407,30082267558,1.151,24532
18,Good,30082518432,30082519560,1.128,24533
19,Good,30082770425,30082771642,1.217,24534
20,Good,30083022451,30083023612,1.161,24535
21,Good,30083274468,30083275608,1.140,24536
22,Good,30083526518,30083527637,1.119,24537
23,Good,30083778507,30083779645,1.138,24538
24,Good,30084030461,30084031657,1.196,24539
25,Good,30084282501,30084283686,1.185,24540
26,Good,30084534512,30084535713,1.201,24541
27,Good,30084787009,30084787743,0.734,24542
28,Good,30085039038,30085040742,1.704,24543
29,Good,30085291593,30085292744,1.151,24544
30,Good,30085544041,30085544797,0.756,24545
31,Good,30085795651,30085796780,1.129,24546
32,Good,30086048243,30086049791,1.548,24547
33,Good,30086300681,30086301809,1.128,24548
34,Good,30086552718,30086553827,1.109,24549
35,Good,30086805127,30086805831,0.704,24550
36,Good,30087056644,30087057882,1.238,24551
37,Good,30087309162,30087309865,0.703,24552
38,Good,30087560765,30087561890,1.125,24553
39,Good,30087812989,30087813915,0.926,24554
40,Good,30088067804,30088068930,1.126,24555
41,Good,30088321134,30088321974,0.840,24556
42,Good,30088572843,30088573988,1.145,24557
43,Good,30088824524,30088825993,1.469,24558
44,Good,30089076521,30089078008,1.487,24559
45,Good,30089328591,30089330027,1.436,24560
46,Good,30089580558,30089582024,1.466,24561
47,Good,30089832542,30089834034,1.492,24562
48,Good,30090084585,30090086057,1.472,24563
49,Good,30090336599,30090338096,1.497,24564
50,Good,30090588617,30090590073,1.456,24565
51,Good,30090840596,30090842092,1.496,24566
52,Good,30091092624,30091094112,1.488,24567
53,Good,30091344668,30091346129,1.461,24568
54,Good,30091596709,30091598145,1.436,24569
55,Good,30091848711,30091850149,1.438,24570
56,Good,30092100669,30092102180,1.511,24571
57,Good,30092352701,30092354180,1.479,24572
58,Good,30092604698,30092606192,1.494,24573
59,Good,30092856762,30092858218,1.456,24574
60,Good,30093108748,30093110224,1.476,24575
61,Good,30093360731,30093362238,1.507,24576
62,Good,30093612752,30093614257,1.505,24577
63,Good,30093864765,30093866274,1.509,24578
64,Good,30094116777,30094118285,1.508,24579
65,Good,30094368802,30094370294,1.492,24580
66,Good,30094620820,30094622325,1.505,24581
67,Good,30094872850,30094874331,1.481,24582
68,Good,30095124847,30095126346,1.499,24583
69,Good,30095376898,30095378402,1.504,24584
70,Good,30095628934,30095630387,1.453,24585
71,Good,30095880899,30095882389,1.490,24586
72,Good,30096132900,30096134442,1.542,24587
73,Good,30096384965,30096386422,1.457,24588
74,Good,30096636936,30096638438,1.502,24589
75,Good,30096888950,30096890454,1.504,24590
76,Good,30097140966,30097142465,1.499,24591
77,Good,30097393026,30097394480,1.454,24592
78,Good,30097644997,30097646492,1.495,24593
79,Good,30097897003,30097898527,1.524,24594
80,Good,30098149038,30098150554,1.516,24595
81,Good,30098401065,30098402555,1.490,24596
82,Good,30098653063,30098654570,1.507,24597
83,Good,30098905082,30098906591,1.509,24598
84,Good,30099157105,30099158633,1.528,24599
85,Good,30099409143,30099410620,1.477,24600
86,Good,30099661131,30099662640,1.509,24601
87,Good,30099913153,30099914648,1.495,24602
88,Good,30100165158,30100166666,1.508,24603
89,Good,30100417223,30100418682,1.459,24604
90,Good,30100669200,30100670690,1.490,24605
91,Good,30100921201,30100922712,1.511,24606
92,Good,30101173222,30101174731,1.509,24607
93,Good,30101425245,30101426748,1.503,24608
94,Good,30101677266,30101678758,1.492,24609
95,Good,30101929274,30101930813,1.539,24610
96,Good,30102181347,30102182809,1.462,24611
97,Good,30102433353,30102434839,1.486,24612
98,Good,30102685360,30102686833,1.473,24613
99,Good,30102937352,30102938852,1.500,24614
100,Good,30103189365,30103190929,1.564,24615
101,Good,30103441445,30103442890,1.445,24616
102,Good,30103693397,30103694892,1.495,24617
103,Good,30103945403,30103946929,1.526,24618
104,Good,30104197439,30104198930,1.491,24619
105,Good,30104449442,30104450967,1.525,24620
106,Good,30104701483,30104702961,1.478,24621
107,Good,30104953476,30104954977,1.501,24622
108,Good,30105205492,30105206991,1.499,24623
109,Good,30105457505,30105459006,1.501,24624
110,Good,30105709521,30105711014,1.493,24625
111,Good,30105961529,30105963053,1.524,24626
112,Good,30106213568,30106215050,1.482,24627
113,Good,30106465567,30106467067,1.500,24628
114,Good,30106717582,30106719075,1.493,24629
115,Good,30106969589,30106971084,1.495,24630
116,Good,30107221606,30107223156,1.550,24631
117,Good,30107473676,30107475130,1.454,24632
118,Good,30107725645,30107727138,1.493,24633
119,Good,30107977654,30107979160,1.506,24634
120,Good,30108229674,30108231187,1.513,24635
121,Good,30108481702,30108483206,1.504,24636
122,Good,30108733717,30108735207,1.490,24637
123,Good,30108985721,30108987229,1.508,24638
124,Good,30109237742,30109239250,1.508,24639
125,Good,30109489773,30109491264,1.491,24640
126,Good,30109741778,30109743285,1.507,24641
127,Good,30109993806,30109995292,1.486,24642
128,Good,30110245810,30110247309,1.499,24643
129,Good,30110497824,30110499323,1.499,24644
130,Good,30110749839,30110751339,1.500,24645
131,Good,30111001856,30111003347,1.491,24646
132,Good,30111253859,30111255373,1.514,24647
133,Good,30111505889,30111507374,1.485,24648
134,Good,30111757888,30111759401,1.513,24649
135,Good,30112009948,30112011402,1.454,24650
136,Good,30112261916,30112263443,1.527,24651
137,Good,30112513989,30112515432,1.443,24652
138,Good,30112765973,30112767451,1.478,24653
139,Good,30113017993,30113019473,1.480,24654
140,Good,30113270011,30113271477,1.466,24655
141,Good,30113522031,30113523511,1.480,24656
142,Good,30113774076,30113775516,1.440,24657
143,Good,30114026058,30114027540,1.482,24658
144,Good,30114278087,30114279547,1.460,24659
145,Good,30114530100,30114531557,1.457,24660
146,Good,30114782096,30114783589,1.493,24661
147,Good,30115034133,30115035612,1.479,24662
148,Good,30115286152,30115287610,1.458,24663
149,Good,30115538154,30115539625,1.471,24664
150,Good,30115790164,30115791639,1.475,24665
151,Good,30116042173,30116043664,1.491,24666
152,Good,30116294199,30116295690,1.491,24667
153,Good,30116546206,30116547701,1.495,24668
154,Good,30116798218,30116799698,1.480,24669
155,Good,30117050210,30117051722,1.512,24670
156,Good,30117302240,30117303739,1.499,24671
157,Good,30117554249,30117555762,1.513,24672
158,Good,30117806275,30117807771,1.496,24673
159,Good,30118058286,30118059804,1.518,24674
160,Good,30118310317,30118311807,1.490,24675
161,Good,30118562320,30118563817,1.497,24676
162,Good,30118814328,30118815842,1.514,24677
163,Good,30119066351,30119067850,1.499,24678
164,Good,30119318364,30119319881,1.517,24679
165,Good,30119570394,30119571878,1.484,24680
166,Good,30119822394,30119823902,1.508,24681
167,Good,30120074412,30120075909,1.497,24682
168,Good,30120326415,30120327933,1.518,24683
169,Good,30120578445,30120579930,1.485,24684
170,Good,30120830442,30120831953,1.511,24685
171,Good,30121082462,30121083968,1.506,24686
172,Good,30121334480,30121335988,1.508,24687
173,Good,30121586512,30121588033,1.521,24688
174,Good,30121838553,30121840019,1.466,24689
175,Good,30122090552,30122092053,1.501,24690
176,Good,30122342634,30122344059,1.425,24691
177,Good,30122594582,30122596062,1.480,24692
178,Good,30122846642,30122848105,1.463,24693
179,Good,30123098639,30123100135,1.496,24694
180,Good,30123350716,30123352119,1.403,24695
181,Good,30123602636,30123604130,1.494,24696
182,Good,30123854651,30123856156,1.505,24697
183,Good,30124107016,30124108182,1.166,24698
184,Good,30124358716,30124360177,1.461,24699
185,Good,30124610694,30124612191,1.497,24700
186,Good,30124862763,30124864243,1.480,24701
187,Good,30125114782,30125116223,1.441,24702
188,Good,30125366798,30125368245,1.447,24703
189,Good,30125618767,30125620262,1.495,24704
190,Good,30125870829,30125872266,1.437,24705
191,Good,30126122782,30126124292,1.510,24706
192,Good,30126374810,30126376303,1.493,24707
193,Good,30126626829,30126628336,1.507,24708
194,Good,30126878853,30126880339,1.486,24709
195,Good,30127130862,30127132353,1.491,24710
196,Good,30127382922,30127384369,1.447,24711
197,Good,30127634887,30127636379,1.492,24712
198,Good,30127886901,30127888415,1.514,24713
199,Good,30128138930,30128140416,1.486,24714
200,Good,30128390932,30128392420,1.488,24715
201,Good,30128642941,30128644442,1.501,24716
202,Good,30128894970,30128896463,1.493,24717
203,Good,30129147037,30129148495,1.458,24718
204,Good,30129399007,30129400497,1.490,24719
205,Good,30129651012,30129652504,1.492,24720
206,Good,30129903017,30129904526,1.509,24721
207,Good,30130155075,30130156552,1.477,24722
208,Good,30130407099,30130408551,1.452,24723
209,Good,30130659067,30130660575,1.508,24724
210,Good,30130911089,30130912594,1.505,24725
211,Good,30131163115,30131164603,1.488,24726
212,Good,30131415137,30131416645,1.508,24727
213,Good,30131667169,30131668643,1.474,24728
214,Good,30131919163,30131920653,1.490,24729
215,Good,30132171174,30132172667,1.493,24730
216,Good,30132423232,30132424672,1.440,24731
217,Good,30132675215,30132676685,1.470,24732
218,Good,30132927202,30132928753,1.551,24733
219,Good,30133179274,30133180728,1.454,24734
220,Good,30133431261,30133432774,1.513,24735
221,Good,30133683307,30133684795,1.488,24736
222,Good,30133935330,30133936840,1.510,24737
223,Good,30134187370,30134188823,1.453,24738
224,Good,30134439345,30134440825,1.480,24739
225,Good,30134691407,30134692842,1.435,24740
226,Good,30134943358,30134944875,1.517,24741
227,Good,30135195396,30135196872,1.476,24742
228,Good,30135447438,30135448913,1.475,24743
229,Good,30135699445,30135700927,1.482,24744
230,Good,30135951450,30135952938,1.488,24745
231,Good,30136203459,30136204933,1.474,24746
232,Good,30136455488,30136456946,1.458,24747
233,Good,30136707465,30136708979,1.514,24748
234,Good,30136959554,30136960991,1.437,24749
235,Good,30137211516,30137212999,1.483,24750
236,Good,30137463519,30137464994,1.475,24751
237,Good,30137715554,30137717039,1.485,24752
238,Good,30137967569,30137969039,1.470,24753
239,Good,30138219560,30138221044,1.484,24754
240,Good,30138471612,30138473068,1.456,24755
241,Good,30138723584,30138725076,1.492,24756
242,Good,30138975597,30138977115,1.518,24757
243,Good,30139227644,30139229121,1.477,24758
244,Good,30139479648,30139481127,1.479,24759
245,Good,30139731651,30139733148,1.497,24760
246,Good,30139983745,30139985159,1.414,24761
247,Good,30140235688,30140237177,1.489,24762
248,Good,30140487695,30140489193,1.498,24763
249,Good,30140739713,30140741223,1.510,24764
250,Good,30140991749,30140993248,1.499,24765
251,Good,30141243785,30141245253,1.468,24766
252,Good,30141495815,30141497253,1.438,24767
253,Good,30141747828,30141749270,1.442,24768
254,Good,30141999800,30142001295,1.495,24769
255,Good,30142251882,30142253312,1.430,24770
256,Good,30142503837,30142505315,1.478,24771
257,Good,30142755828,30142757321,1.493,24772
258,Good,30143007912,30143009347,1.435,24773
259,Good,30143259917,30143261367,1.450,24774
260,Good,30143511894,30143513381,1.487,24775
261,Good,30143763894,30143765385,1.491,24776
262,Good,30144015898,30144017413,1.515,24777
263,Good,30144267921,30144270419,2.498,24778
264,Good,30144520959,30144522456,1.497,24779
265,Good,30144772970,30144774450,1.480,24780
266,Good,30145024963,30145026482,1.519,24781
267,Good,30145276993,30145278487,1.494,24782
268,Good,30145528998,30145530510,1.512,24783
269,Good,30145781028,30145782523,1.495,24784
270,Good,30146033035,30146034534,1.499,24785
271,Good,30146285060,30146286563,1.503,24786
272,Good,30146537082,30146538580,1.498,24787
273,Good,30146789094,30146790583,1.489,24788
274,Good,30147041097,30147042606,1.509,24789
275,Good,30147293122,30147294619,1.497,24790
276,Good,30147545131,30147546639,1.508,24791
277,Good,30147797151,30147798649,1.498,24792
278,Good,30148049163,30148050672,1.509,24793
279,Good,30148301182,30148302667,1.485,24794
280,Good,30148553182,30148554716,1.534,24795
281,Good,30148805233,30148806702,1.469,24796
282,Good,30149057215,30149058738,1.523,24797
283,Good,30149309310,30149310741,1.431,24798
284,Good,30149561306,30149562767,1.461,24799
285,Good,30149813283,30149814775,1.492,24800
286,Good,30150065287,30150066785,1.498,24801
287,Good,30150317301,30150318804,1.503,24802
288,Good,30150569315,30150570819,1.504,24803
289,Good,30150821367,30150822819,1.452,24804
290,Good,30151073334,30151074847,1.513,24805
291,Good,30151325363,30151326909,1.546,24806
292,Good,30151577421,30151578896,1.475,24807
293,Good,30151829409,30151830887,1.478,24808
294,Good,30152081403,30152082918,1.515,24809
295,Good,30152333439,30152334927,1.488,24810
296,Good,30152585441,30152586947,1.506,24811
297,Good,30152837458,30152838960,1.502,24812
298,Good,30153089473,30153090982,1.509,24813
299,Good,30153341494,30153342986,1.492,24814
300,Good,30153593498,30153595013,1.515,24815
301,Good,30153845528,30153847024,1.496,24816
302,Good,30154097541,30154099048,1.507,24817
303,Good,30154349617,30154351086,1.469,24818
304,Good,30154601610,30154603080,1.470,24819
305,Good,30154853655,30154855110,1.455,24820
306,Good,30155105694,30155107120,1.426,24821
307,Good,30155357694,30155359123,1.429,24822
308,Good,30155609645,30155611145,1.500,24823
309,Good,30155861668,30155863160,1.492,24824
310,Good,30156113692,30156115180,1.488,24825
311,Good,30156365710,30156367183,1.473,24826
312,Good,30156617701,30156619198,1.497,24827
313,Good,30156869719,30156871216,1.497,24828
314,Good,30157121729,30157123243,1.514,24829
315,Good,30157373757,30157375240,1.483,24830
316,Good,30157625750,30157627277,1.527,24831
317,Good,30157877793,30157879273,1.480,24832
318,Good,30158129787,30158131296,1.509,24833
319,Good,30158381866,30158383314,1.448,24834
320,Good,30158633884,30158635317,1.433,24835
321,Good,30158885830,30158887340,1.510,24836
322,Good,30159137852,30159139354,1.502,24837
323,Good,30159389866,30159391365,1.499,24838
324,Good,30159641882,30159643378,1.496,24839
325,Good,30159893887,30159895402,1.515,24840
326,Good,30160145914,30160147426,1.512,24841
327,Good,30160397968,30160399440,1.472,24842
328,Good,30160649985,30160651455,1.470,24843
329,Good,30160901997,30160903467,1.470,24844
330,Good,30161154003,30161155483,1.480,24845
331,Good,30161406025,30161407491,1.466,24846
332,Good,30161658073,30161659514,1.441,24847
333,Good,30161910061,30161911528,1.467,24848
334,Good,30162162071,30162163553,1.482,24849
335,Good,30162414092,30162415562,1.470,24850
336,Good,30162666100,30162667568,1.468,24851
337,Good,30162918111,30162919595,1.484,24852
338,Good,30163170180,30163171611,1.431,24853
339,Good,30163422157,30163423615,1.458,24854
340,Good,30163674160,30163675634,1.474,24855
341,Good,30163926178,30163927664,1.486,24856
342,Good,30164178207,30164179680,1.473,24857
343,Good,30164430197,30164431706,1.509,24858
344,Good,30164682241,30164683725,1.484,24859
345,Good,30164934247,30164935753,1.506,24860
346,Good,30165186269,30165187750,1.481,24861
347,Good,30165438272,30165439763,1.491,24862
348,Good,30165690281,30165691776,1.495,24863
349,Good,30165942290,30165943796,1.506,24864
350,Good,30166194310,30166195802,1.492,24865
351,Good,30166446319,30166447824,1.505,24866
352,Good,30166698341,30166699839,1.498,24867
353,Good,30166950352,30166951859,1.507,24868
354,Good,30167202374,30167203874,1.500,24869
355,Good,30167454390,30167455889,1.499,24870
356,Good,30167706406,30167707909,1.503,24871
357,Good,30167958421,30167959905,1.484,24872
358,Good,30168210420,30168211924,1.504,24873
359,Good,30168462440,30168463955,1.515,24874
360,Good,30168714526,30168715966,1.440,24875
361,Good,30168966484,30168967982,1.498,24876
362,Good,30169218498,30169220005,1.507,24877
363,Good,30169470528,30169472015,1.487,24878
364,Good,30169722582,30169724029,1.447,24879
365,Good,30169974548,30169976048,1.500,24880
366,Good,30170226809,30170228061,1.252,24881
367,Good,30170478634,30170480091,1.457,24882
368,Good,30170730646,30170732109,1.463,24883
369,Good,30170982691,30170984113,1.422,24884
370,Good,30171234675,30171236127,1.452,24885
371,Good,30171486645,30171488133,1.488,24886
372,Good,30171738654,30171740170,1.516,24887
373,Good,30171990742,30171992182,1.440,24888
374,Good,30172242734,30172244209,1.475,24889
375,Good,30172494814,30172496222,1.408,24890
376,Good,30172746777,30172748228,1.451,24891
377,Good,30172998817,30173000252,1.435,24892
