counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,29825938601,29825940431,1.830,39.150000
1,Good,29826190981,29826192487,1.506,40.100000
2,Good,29826442968,29826444546,1.578,41.050000
3,Good,29826695086,29826696561,1.475,42.000000
4,Good,29826947113,29826948593,1.480,42.950000
5,Good,29827199193,29827200629,1.436,43.900000
6,Good,29827451221,29827452607,1.386,44.850000
7,Good,29827703184,29827704623,1.439,45.800000
8,Good,29827955207,29827956648,1.441,46.750000
9,Good,29828207229,29828208646,1.417,47.700000
10,Good,29828459249,29828460674,1.425,48.650000
11,Good,29828711259,29828712700,1.441,49.600000
12,Good,29828963247,29828964729,1.482,50.550000
13,Good,29829215321,29829216721,1.400,51.500000
14,Good,29829467311,29829468726,1.415,52.450000
15,Good,29829719311,29829720740,1.429,53.400000
16,Good,29829971324,29829972773,1.449,54.350000
17,Good,29830223358,29830224767,1.409,55.300000
18,Good,29830475340,29830476801,1.461,56.250000
19,Good,29830727389,29830728789,1.400,57.200000
20,Good,29830979369,29830980835,1.466,58.150000
21,Good,29831231416,29831232832,1.416,59.100000
22,Good,29831483419,29831484868,1.449,60.050000
23,Good,29831735410,29831736868,1.458,61.000000
24,Good,29831987405,29831988899,1.494,61.950000
25,Good,29832239491,29832240898,1.407,62.900000
26,Good,29832491432,29832492921,1.489,63.850000
27,Good,29832743505,29832744936,1.431,64.800000
28,Good,29832995525,29832996969,1.444,65.750000
29,Good,29833247564,29833248960,1.396,66.700000
30,Good,29833499488,29833500990,1.502,67.650000
31,Good,29833751509,29833752998,1.489,68.600000
32,Good,29834003579,29834005035,1.456,69.550000
33,Good,29834255629,29834257024,1.395,70.500000
34,Good,29834507561,29834509049,1.488,71.450000
35,Good,29834759630,29834761042,1.412,72.400000
36,Good,29835011577,29835013119,1.542,73.350000
37,Good,29835263720,29835265087,1.367,74.300000
38,Good,29835515620,29835517103,1.483,75.250000
39,Good,29835767639,29835769109,1.470,76.200000
40,Good,29836019657,29836021141,1.484,77.150000
41,Good,29836271759,29836273157,1.398,78.100000
42,Good,29836523704,29836525159,1.455,79.050000
43,Good,29836775752,29836777165,1.413,80.000000
44,Good,29837027752,29837029194,1.442,80.950000
45,Good,29837279799,29837281202,1.403,81.900000
46,Good,29837531745,29837533230,1.485,82.850000
47,Good,29837783826,29837785242,1.416,83.800000
48,Good,29838035837,29838037255,1.418,84.750000
49,Good,29838287841,29838289269,1.428,85.700000
50,Good,29838539813,29838541287,1.474,86.650000
51,Good,29838791826,29838793307,1.481,87.600000
52,Good,29839043893,29839045342,1.449,88.550000
53,Good,29839295934,29839297332,1.398,89.500000
54,Good,29839547903,29839549365,1.462,90.450000
55,Good,29839799955,29839801360,1.405,91.400000
56,Good,29840051892,29840053384,1.492,92.350000
57,Good,29840303969,29840305404,1.435,93.300000
58,Good,29840555985,29840557410,1.425,94.250000
59,Good,29840808010,29840809429,1.419,95.200000
60,Good,29841059979,29841061482,1.503,96.150000
