value_last_recv,timestamp_chg
17653,35316885000
17654,35317136000
17655,35317387000
17656,35317637000
17657,35317889000
17658,35318139000
17659,35318390000
17660,35318642000
17661,35318892000
17662,35319143000
17663,35319394000
17664,35319645000
17665,35319896000
17666,35320147000
17667,35320398000
17668,35320649000
17669,35320900000
17670,35321150000
17671,35321402000
17672,35321652000
17673,35321903000
17674,35322154000
17675,35322405000
17676,35322656000
17677,35322907000
17678,35323158000
17679,35323409000
17680,35323660000
17681,35323910000
17682,35324162000
17683,35324413000
17684,35324663000
17685,35324914000
17686,35325166000
17687,35325416000
17688,35325667000
17689,35325918000
17690,35326169000
17691,35326420000
17692,35326671000
17693,35326922000
17694,35327173000
17695,35327423000
17696,35327674000
17697,35327926000
17698,35328176000
17699,35328427000
17700,35328679000
17701,35328929000
17702,35329180000
17703,35329431000
17704,35329683000
17705,35329935000
17706,35330185000
17707,35330436000
17708,35330687000
17709,35330938000
17710,35331189000
17711,35331440000
17712,35331691000
17713,35331942000
17714,35332193000
17715,35332443000
17716,35332695000
17717,35332946000
17718,35333196000
17719,35333447000
17720,35333699000
17721,35333949000
17722,35334200000
17723,35334451000
17724,35334702000
17725,35334953000
17726,35335204000
17727,35335455000
17728,35335706000
17729,35335957000
17730,35336207000
17731,35336459000
17732,35336710000
17733,35336960000
17734,35337211000
17735,35337463000
17736,35337713000
17737,35337964000
17738,35338215000
17739,35338466000
17740,35338717000
17741,35338968000
17742,35339219000
17743,35339470000
17744,35339720000
17745,35339972000
17746,35340223000
17747,35340473000
17748,35340724000
17749,35340976000
17750,35341226000
17751,35341477000
17752,35341728000
17753,35341979000
17754,35342230000
17755,35342481000
17756,35342732000
17757,35342983000
17758,35343234000
17759,35343484000
17760,35343736000
17761,35343987000
17762,35344237000
17763,35344488000
17764,35344739000
17765,35344990000
17766,35345241000
17767,35345492000
17768,35345743000
17769,35345994000
17770,35346244000
17771,35346496000
17772,35346747000
17773,35346997000
17774,35347248000
17775,35347500000
17776,35347750000
17777,35348001000
17778,35348252000
17779,35348503000
17780,35348754000
17781,35349005000
17782,35349256000
17783,35349507000
17784,35349758000
17785,35350009000
17786,35350260000
17787,35350511000
17788,35350761000
17789,35351013000
17790,35351264000
17791,35351514000
17792,35351765000
17793,35352016000
17794,35352267000
17795,35352518000
17796,35352769000
17797,35353020000
17798,35353271000
17799,35353521000
17800,35353773000
17801,35354024000
17802,35354274000
17803,35354525000
17804,35354776000
17805,35355027000
17806,35355278000
17807,35355529000
17808,35355780000
17809,35356031000
17810,35356281000
17811,35356533000
17812,35356783000
17813,35357034000
17814,35357285000
17815,35357536000
17816,35357787000
17817,35358038000
17818,35358289000
17819,35358540000
17820,35358790000
17821,35359042000
17822,35359293000
17823,35359543000
17824,35359794000
17825,35360046000
17826,35360296000
17827,35360547000
17828,35360798000
17829,35361049000
17830,35361300000
17831,35361550000
17832,35361802000
17833,35362053000
17834,35362303000
17835,35362554000
17836,35362806000
17837,35363057000
17838,35363307000
17839,35363558000
17840,35363809000
17841,35364060000
17842,35364311000
17843,35364562000
17844,35364813000
17845,35365064000
17846,35365314000
17847,35365566000
17848,35365817000
17849,35366067000
17850,35366318000
17851,35366569000
17852,35366820000
17853,35367071000
17854,35367322000
17855,35367573000
17856,35367824000
17857,35368074000
17858,35368326000
17859,35368577000
17860,35368827000
17861,35369079000
17862,35369330000
17863,35369580000
17864,35369831000
17865,35370082000
17866,35370333000
17867,35370584000
17868,35370835000
17869,35371086000
17870,35371336000
17871,35371587000
17872,35371839000
17873,35372089000
17874,35372340000
17875,35372591000
17876,35372842000
17877,35373093000
17878,35373344000
17879,35373595000
17880,35373846000
17881,35374096000
17882,35374347000
17883,35374599000
17884,35374849000
17885,35375100000
17886,35375351000
17887,35375602000
17888,35375853000
17889,35376104000
17890,35376355000
17891,35376606000
17892,35376856000
17893,35377107000
17894,35377359000
17895,35377609000
17896,35377860000
17897,35378111000
17898,35378362000
17899,35378613000
17900,35378864000
17901,35379115000
17902,35379366000
17903,35379617000
17904,35379868000
17905,35380119000
17906,35380370000
17907,35380620000
17908,35380872000
17909,35381122000
17910,35381373000
17911,35381624000
17912,35381875000
17913,35382126000
17914,35382377000
17915,35382628000
17916,35382879000
17917,35383130000
17918,35383380000
17919,35383632000
17920,35383882000
17921,35384133000
17922,35384384000
17923,35384635000
17924,35384886000
17925,35385137000
17926,35385388000
17927,35385639000
17928,35385890000
17929,35386140000
17930,35386392000
17931,35386642000
17932,35386893000
17933,35387144000
17934,35387395000
17935,35387646000
17936,35387897000
17937,35388148000
17938,35388399000
17939,35388649000
17940,35388900000
17941,35389152000
17942,35389402000
17943,35389653000
17944,35389904000
17945,35390155000
17946,35390406000
17947,35390657000
17948,35390908000
17949,35391158000
17950,35391409000
17951,35391661000
17952,35391911000
17953,35392162000
17954,35392413000
17955,35392664000
17956,35392915000
17957,35393165000
17958,35393417000
17959,35393668000
17960,35393918000
17961,35394169000
17962,35394420000
17963,35394671000
17964,35394922000
17965,35395173000
17966,35395424000
17967,35395674000
17968,35395925000
17969,35396177000
17970,35396427000
17971,35396678000
17972,35396929000
17973,35397180000
17974,35397430000
17975,35397681000
17976,35397933000
17977,35398183000
17978,35398434000
17979,35398685000
17980,35398937000
17981,35399187000
17982,35399438000
17983,35399690000
17984,35399940000
17985,35400191000
17986,35400442000
17987,35400693000
17988,35400944000
17989,35401194000
17990,35401446000
17991,35401697000
17992,35401947000
17993,35402198000
17994,35402450000
