counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,34564359484,34564359755,0.271,13
1,Good,34564610278,34564610592,0.314,14
2,Good,34564861103,34564861427,0.324,15
3,Good,34565112113,34565112429,0.316,16
4,Good,34565362925,34565363199,0.274,17
5,Good,34565613688,34565613975,0.287,18
6,Good,34565864461,34565864751,0.290,19
7,Good,34566115244,34566115543,0.299,20
8,Good,34566366059,34566366356,0.297,21
9,Good,34566616844,34566617123,0.279,22
10,Good,34566867608,34566867923,0.315,23
11,Good,34567118416,34567118701,0.285,24
12,Good,34567369215,34567369488,0.273,25
13,Good,34567620009,34567620285,0.276,26
14,Good,34567870785,34567871090,0.305,27
15,Good,34568121584,34568121873,0.289,28
16,Good,34568372358,34568372631,0.273,29
17,Good,34568623143,34568623413,0.270,30
18,Good,34568873899,34568874177,0.278,31
19,Good,34569124663,34569124949,0.286,32
20,Good,34569375468,34569375741,0.273,33
21,Good,34569626262,34569626530,0.268,34
22,Good,34569877019,34569877358,0.339,35
23,Good,34570127882,34570128180,0.298,36
24,Good,34570378717,34570379080,0.363,37
25,Good,34570629592,34570629879,0.287,38
26,Good,34570880383,34570880691,0.308,39
27,Good,34571131185,34571131472,0.287,40
28,Good,34571382015,34571382282,0.267,41
29,Good,34571632767,34571633041,0.274,42
30,Good,34571883532,34571883863,0.331,43
31,Good,34572134357,34572134676,0.319,44
32,Good,34572385167,34572385445,0.278,45
33,Good,34572635957,34572636232,0.275,46
34,Good,34572886717,34572886996,0.279,47
35,Good,34573137486,34573137766,0.280,48
36,Good,34573388251,34573388522,0.271,49
37,Good,34573639007,34573639286,0.279,50
38,Good,34573889780,34573890076,0.296,51
39,Good,34574140568,34574140866,0.298,52
40,Good,34574391381,34574391646,0.265,53
41,Good,34574642132,34574642398,0.266,54
42,Good,34574892885,34574893162,0.277,55
43,Good,34575143654,34575143940,0.286,56
44,Good,34575394427,34575394702,0.275,57
45,Good,34575645187,34575645454,0.267,58
46,Good,34575895985,34575896272,0.287,59
47,Good,34576146766,34576147041,0.275,60
48,Good,34576397559,34576397829,0.270,61
49,Good,34576648311,34576648574,0.263,62
50,Good,34576899072,34576899379,0.307,63
51,Good,34577149872,34577150185,0.313,64
52,Good,34577400745,34577401035,0.290,65
53,Good,34577651591,34577651913,0.322,66
54,Good,34577902469,34577902771,0.302,67
55,Good,34578153309,34578153607,0.298,68
56,Good,34578404138,34578404421,0.283,69
57,Good,34578654974,34578655263,0.289,70
58,Good,34578905786,34578906081,0.295,71
59,Good,34579156616,34579156910,0.294,72
60,Good,34579407444,34579407725,0.281,73
61,Good,34579658288,34579658585,0.297,74
62,Good,34579909117,34579909445,0.328,75
63,Good,34580160003,34580160320,0.317,76
64,Good,34580410848,34580411134,0.286,77
65,Good,34580661654,34580661933,0.279,78
66,Good,34580912451,34580912754,0.303,79
67,Good,34581163260,34581163559,0.299,80
68,Good,34581414030,34581414325,0.295,81
69,Good,34581664850,34581665133,0.283,82
70,Good,34581915656,34581915973,0.317,83
71,Good,34582166478,34582166785,0.307,84
72,Good,34582417285,34582417579,0.294,85
73,Good,34582668109,34582668399,0.290,86
74,Good,34582918889,34582919195,0.306,87
75,Good,34583169697,34583169999,0.302,88
76,Good,34583420501,34583420782,0.281,89
77,Good,34583671290,34583671569,0.279,90
78,Good,34583922083,34583922391,0.308,91
79,Good,34584172899,34584173198,0.299,92
80,Good,34584423696,34584423977,0.281,93
81,Good,34584674473,34584674749,0.276,94
82,Good,34584925249,34584925549,0.300,95
83,Good,34585176091,34585176401,0.310,96
84,Good,34585426907,34585427187,0.280,97
85,Good,34585677688,34585677967,0.279,98
86,Good,34585928469,34585928762,0.293,99
87,Good,34586179265,34586179571,0.306,100
88,Good,34586430070,34586430367,0.297,101
89,Good,34586680866,34586681159,0.293,102
90,Good,34586931650,34586931954,0.304,103
91,Good,34587182471,34587182768,0.297,104
92,Good,34587433266,34587433552,0.286,105
93,Good,34587684083,34587684372,0.289,106
94,Good,34587934868,34587935196,0.328,107
95,Good,34588185698,34588186012,0.314,108
96,Good,34588436512,34588436810,0.298,109
97,Good,34588687308,34588687594,0.286,110
98,Good,34588938108,34588938410,0.302,111
99,Good,34589188916,34589189236,0.320,112
100,Good,34589439734,34589440022,0.288,113
101,Good,34589690518,34589690803,0.285,114
102,Good,34589941301,34589941615,0.314,115
103,Good,34590192131,34590192443,0.312,116
104,Good,34590442982,34590443269,0.287,117
105,Good,34590693785,34590694073,0.288,118
106,Good,34590944608,34590944912,0.304,119
107,Good,34591195445,34591195738,0.293,120
108,Good,34591446298,34591446587,0.289,121
109,Good,34591697100,34591697399,0.299,122
110,Good,34591947966,34591948279,0.313,123
111,Good,34592198817,34592199133,0.316,124
112,Good,34592449659,34592449950,0.291,125
113,Good,34592700472,34592700760,0.288,126
114,Good,34592951290,34592951603,0.313,127
115,Good,34593202133,34593202441,0.308,128
116,Good,34593452977,34593453266,0.289,129
117,Good,34593703794,34593704113,0.319,130
118,Good,34593954628,34593954921,0.293,131
119,Good,34594205418,34594205716,0.298,132
120,Good,34594456237,34594456518,0.281,133
121,Good,34594707040,34594707318,0.278,134
122,Good,34594957817,34594958118,0.301,135
123,Good,34595208614,34595208907,0.293,136
124,Good,34595459404,34595459704,0.300,137
125,Good,34595710290,34595710576,0.286,138
126,Good,34595961080,34595961371,0.291,139
127,Good,34596211913,34596212207,0.294,140
128,Good,34596462737,34596463022,0.285,141
129,Good,34596713559,34596713834,0.275,142
130,Good,34596964331,34596964627,0.296,143
131,Good,34597215123,34597215411,0.288,144
132,Good,34597465922,34597466185,0.263,145
133,Good,34597716671,34597716946,0.275,146
134,Good,34597967445,34597967751,0.306,147
135,Good,34598218294,34598218594,0.300,148
136,Good,34598469139,34598469422,0.283,149
137,Good,34598719946,34598720215,0.269,150
138,Good,34598970705,34598970992,0.287,151
139,Good,34599221487,34599221766,0.279,152
140,Good,34599472257,34599472518,0.261,153
141,Good,34599723041,34599723306,0.265,154
142,Good,34599973795,34599974080,0.285,155
143,Good,34600224571,34600224848,0.277,156
144,Good,34600475360,34600475649,0.289,157
145,Good,34600726140,34600726416,0.276,158
146,Good,34600976899,34600977185,0.286,159
147,Good,34601227676,34601227954,0.278,160
148,Good,34601478442,34601478714,0.272,161
149,Good,34601729227,34601729486,0.259,162
150,Good,34601980025,34601980307,0.282,163
151,Good,34602230791,34602231071,0.280,164
152,Good,34602481559,34602481831,0.272,165
153,Good,34602732315,34602732577,0.262,166
154,Good,34602983069,34602983382,0.313,167
155,Good,34603233930,34603234233,0.303,168
156,Good,34603484754,34603485043,0.289,169
157,Good,34603735598,34603735911,0.313,170
158,Good,34603986440,34603986751,0.311,171
159,Good,34604237221,34604237524,0.303,172
160,Good,34604488035,34604488323,0.288,173
161,Good,34604738853,34604739142,0.289,174
162,Good,34604989667,34604989964,0.297,175
163,Good,34605240457,34605240752,0.295,176
164,Good,34605491279,34605491561,0.282,177
165,Good,34605742044,34605742331,0.287,178
166,Good,34605992860,34605993159,0.299,179
167,Good,34606243642,34606243937,0.295,180
168,Good,34606494463,34606494752,0.289,181
169,Good,34606745281,34606745574,0.293,182
170,Good,34606996131,34606996439,0.308,183
171,Good,34607246983,34607247293,0.310,184
172,Good,34607497820,34607498113,0.293,185
173,Good,34607748650,34607748948,0.298,186
174,Good,34607999470,34607999795,0.325,187
175,Good,34608250347,34608250633,0.286,188
176,Good,34608501140,34608501435,0.295,189
177,Good,34608751973,34608752238,0.265,190
178,Good,34609002730,34609003038,0.308,191
179,Good,34609253526,34609253806,0.280,192
180,Good,34609504318,34609504600,0.282,193
181,Good,34609755082,34609755352,0.270,194
182,Good,34610005833,34610006119,0.286,195
183,Good,34610256603,34610256874,0.271,196
184,Good,34610507356,34610507636,0.280,197
185,Good,34610758117,34610758409,0.292,198
186,Good,34611008885,34611009173,0.288,199
187,Good,34611259655,34611259948,0.293,200
188,Good,34611510443,34611510744,0.301,201
189,Good,34611761233,34611761503,0.270,202
190,Good,34612012013,34612012321,0.308,203
191,Good,34612262807,34612263095,0.288,204
192,Good,34612513594,34612513873,0.279,205
193,Good,34612764366,34612764641,0.275,206
194,Good,34613015393,34613015690,0.297,207
195,Good,34613266226,34613266511,0.285,208
196,Good,34613516997,34613517275,0.278,209
197,Good,34613767764,34613768067,0.303,210
198,Good,34614018595,34614018898,0.303,211
199,Good,34614269393,34614269684,0.291,212
200,Good,34614520216,34614520516,0.300,213
201,Good,34614771008,34614771307,0.299,214
202,Good,34615021831,34615022118,0.287,215
203,Good,34615272612,34615272896,0.284,216
204,Good,34615523414,34615523683,0.269,217
205,Good,34615774200,34615774475,0.275,218
206,Good,34616024986,34616025283,0.297,219
207,Good,34616275781,34616276107,0.326,220
208,Good,34616526602,34616526873,0.271,221
209,Good,34616777367,34616777640,0.273,222
210,Good,34617028152,34617028462,0.310,223
211,Good,34617278985,34617279286,0.301,224
212,Good,34617529800,34617530080,0.280,225
213,Good,34617780611,34617780934,0.323,226
214,Good,34618031475,34618031784,0.309,227
215,Good,34618282345,34618282639,0.294,228
216,Good,34618533185,34618533468,0.283,229
217,Good,34618784035,34618784374,0.339,230
218,Good,34619034915,34619035225,0.310,231
219,Good,34619285766,34619286076,0.310,232
220,Good,34619536605,34619536884,0.279,233
221,Good,34619787406,34619787698,0.292,234
222,Good,34620038254,34620038571,0.317,235
223,Good,34620289088,34620289381,0.293,236
224,Good,34620539931,34620540224,0.293,237
225,Good,34620790742,34620791042,0.300,238
