counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,35316895046,35316895360,0.314,17653
1,Good,35317145811,35317146257,0.446,17654
2,Good,35317396772,35317397199,0.427,17655
3,Good,35317647698,35317648070,0.372,17656
4,Good,35317898577,35317898992,0.415,17657
5,Good,35318149491,35318149909,0.418,17658
6,Good,35318400405,35318400811,0.406,17659
7,Good,35318651313,35318651721,0.408,17660
8,Good,35318902298,35318902718,0.420,17661
9,Good,35319153223,35319153667,0.444,17662
10,Good,35319404153,35319404555,0.402,17663
11,Good,35319655038,35319655450,0.412,17664
12,Good,35319905948,35319906373,0.425,17665
13,Good,35320156902,35320157326,0.424,17666
14,Good,35320407810,35320408244,0.434,17667
15,Good,35320658722,35320659116,0.394,17668
16,Good,35320909598,35320910018,0.420,17669
17,Good,35321160537,35321160943,0.406,17670
18,Good,35321411442,35321411871,0.429,17671
19,Good,35321662396,35321662807,0.411,17672
20,Good,35321913316,35321913757,0.441,17673
21,Good,35322164245,35322164662,0.417,17674
22,Good,35322415172,35322415575,0.403,17675
23,Good,35322666104,35322666532,0.428,17676
24,Good,35322917023,35322917507,0.484,17677
25,Good,35323168037,35323168475,0.438,17678
26,Good,35323418964,35323419364,0.400,17679
27,Good,35323669875,35323670279,0.404,17680
28,Good,35323920762,35323921186,0.424,17681
29,Good,35324171702,35324172130,0.428,17682
30,Good,35324422614,35324423003,0.389,17683
31,Good,35324673484,35324673877,0.393,17684
32,Good,35324924365,35324924807,0.442,17685
33,Good,35325175298,35325175734,0.436,17686
34,Good,35325426255,35325426650,0.395,17687
35,Good,35325677170,35325677576,0.406,17688
36,Good,35325928133,35325928553,0.420,17689
37,Good,35326179041,35326179471,0.430,17690
38,Good,35326429991,35326430385,0.394,17691
39,Good,35326680873,35326681312,0.439,17692
40,Good,35326931811,35326932268,0.457,17693
41,Good,35327182759,35327183179,0.420,17694
42,Good,35327433666,35327434067,0.401,17695
43,Good,35327684552,35327684952,0.400,17696
44,Good,35327935457,35327935904,0.447,17697
45,Good,35328186409,35328186826,0.417,17698
46,Good,35328437319,35328437736,0.417,17699
47,Good,35328688227,35328688629,0.402,17700
48,Good,35328939130,35328939545,0.415,17701
49,Good,35329190052,35329190468,0.416,17702
50,Good,35329441440,35329441849,0.409,17703
51,Good,35329692841,35329693243,0.402,17704
52,Good,35329944211,35329944634,0.423,17705
53,Good,35330195139,35330195563,0.424,17706
54,Good,35330446066,35330446476,0.410,17707
55,Good,35330696975,35330697384,0.409,17708
56,Good,35330947939,35330948374,0.435,17709
57,Good,35331198877,35331199311,0.434,17710
58,Good,35331449812,35331450227,0.415,17711
59,Good,35331700733,35331701134,0.401,17712
60,Good,35331951687,35331952122,0.435,17713
61,Good,35332202669,35332203102,0.433,17714
62,Good,35332453610,35332454019,0.409,17715
63,Good,35332704527,35332704973,0.446,17716
64,Good,35332955504,35332955956,0.452,17717
65,Good,35333206454,35333206890,0.436,17718
66,Good,35333457390,35333457806,0.416,17719
67,Good,35333708294,35333708705,0.411,17720
68,Good,35333959234,35333959667,0.433,17721
69,Good,35334210161,35334210600,0.439,17722
70,Good,35334461102,35334461529,0.427,17723
71,Good,35334712143,35334712556,0.413,17724
72,Good,35334963048,35334963490,0.442,17725
73,Good,35335213985,35335214402,0.417,17726
74,Good,35335464893,35335465313,0.420,17727
75,Good,35335715805,35335716246,0.441,17728
76,Good,35335966738,35335967182,0.444,17729
77,Good,35336217687,35336218111,0.424,17730
78,Good,35336468611,35336469017,0.406,17731
79,Good,35336719515,35336719948,0.433,17732
80,Good,35336970492,35336970918,0.426,17733
81,Good,35337221423,35337221829,0.406,17734
82,Good,35337472330,35337472743,0.413,17735
83,Good,35337723241,35337723635,0.394,17736
84,Good,35337974128,35337974572,0.444,17737
85,Good,35338225071,35338225484,0.413,17738
86,Good,35338476014,35338476413,0.399,17739
87,Good,35338726907,35338727309,0.402,17740
88,Good,35338977857,35338978277,0.420,17741
89,Good,35339228772,35339229192,0.420,17742
90,Good,35339479720,35339480117,0.397,17743
91,Good,35339730609,35339731016,0.407,17744
92,Good,35339981541,35339981967,0.426,17745
93,Good,35340232472,35340232879,0.407,17746
94,Good,35340483378,35340483781,0.403,17747
95,Good,35340734310,35340734704,0.394,17748
96,Good,35340985198,35340985610,0.412,17749
97,Good,35341236126,35341236553,0.427,17750
98,Good,35341487057,35341487475,0.418,17751
99,Good,35341737977,35341738386,0.409,17752
100,Good,35341988886,35341989332,0.446,17753
101,Good,35342239874,35342240316,0.442,17754
102,Good,35342490855,35342491282,0.427,17755
103,Good,35342741813,35342742250,0.437,17756
104,Good,35342992748,35342993181,0.433,17757
105,Good,35343243699,35343244128,0.429,17758
106,Good,35343494628,35343495034,0.406,17759
107,Good,35343745531,35343745925,0.394,17760
108,Good,35343996422,35343996848,0.426,17761
109,Good,35344247346,35344247775,0.429,17762
110,Good,35344498307,35344498727,0.420,17763
111,Good,35344749226,35344749637,0.411,17764
112,Good,35345000138,35345000555,0.417,17765
113,Good,35345251083,35345251524,0.441,17766
114,Good,35345502023,35345502428,0.405,17767
115,Good,35345752934,35345753341,0.407,17768
116,Good,35346003887,35346004320,0.433,17769
117,Good,35346254831,35346255256,0.425,17770
118,Good,35346505764,35346506194,0.430,17771
119,Good,35346756695,35346757110,0.415,17772
120,Good,35347007616,35347008040,0.424,17773
121,Good,35347258600,35347259026,0.426,17774
122,Good,35347509564,35347509968,0.404,17775
123,Good,35347760460,35347760876,0.416,17776
124,Good,35348011385,35348011815,0.430,17777
125,Good,35348262362,35348262770,0.408,17778
126,Good,35348513275,35348513684,0.409,17779
127,Good,35348764179,35348764580,0.401,17780
128,Good,35349015081,35349015498,0.417,17781
129,Good,35349266006,35349266421,0.415,17782
130,Good,35349516914,35349517310,0.396,17783
131,Good,35349767803,35349768235,0.432,17784
132,Good,35350018733,35350019149,0.416,17785
133,Good,35350269707,35350270122,0.415,17786
134,Good,35350520620,35350521025,0.405,17787
135,Good,35350771520,35350771925,0.405,17788
136,Good,35351022417,35351022853,0.436,17789
137,Good,35351273358,35351273771,0.413,17790
138,Good,35351524269,35351524673,0.404,17791
139,Good,35351775205,35351775631,0.426,17792
140,Good,35352026137,35352026543,0.406,17793
141,Good,35352277044,35352277448,0.404,17794
142,Good,35352527969,35352528355,0.386,17795
143,Good,35352778855,35352779284,0.429,17796
144,Good,35353029806,35353030220,0.414,17797
145,Good,35353280725,35353281133,0.408,17798
146,Good,35353531629,35353532035,0.406,17799
147,Good,35353782529,35353782943,0.414,17800
148,Good,35354033443,35354033888,0.445,17801
149,Good,35354284373,35354284792,0.419,17802
150,Good,35354535276,35354535688,0.412,17803
151,Good,35354786205,35354786605,0.400,17804
152,Good,35355037089,35355037505,0.416,17805
153,Good,35355288017,35355288434,0.417,17806
