counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,34815188571,34815188818,0.247,39.150000
1,Good,34815439562,34815439922,0.360,40.100000
2,Good,34815690857,34815691169,0.312,41.050000
3,Good,34815942086,34815942409,0.323,42.000000
4,Good,34816193125,34816193442,0.317,42.950000
5,Good,34816444237,34816444526,0.289,43.900000
6,Good,34816695440,34816695730,0.290,44.850000
7,Good,34816946683,34816947114,0.431,45.800000
8,Good,34817197627,34817197943,0.316,46.750000
9,Good,34817448450,34817448742,0.292,47.700000
10,Good,34817699241,34817699511,0.270,48.650000
11,Good,34817950012,34817950351,0.339,49.600000
12,Good,34818200870,34818201182,0.312,50.550000
13,Good,34818451694,34818451982,0.288,51.500000
14,Good,34818702490,34818702771,0.281,52.450000
15,Good,34818953315,34818953634,0.319,53.400000
16,Good,34819204166,34819204465,0.299,54.350000
17,Good,34819454961,34819455249,0.288,55.300000
18,Good,34819705776,34819706054,0.278,56.250000
19,Good,34819956582,34819956873,0.291,57.200000
20,Good,34820207374,34820207664,0.290,58.150000
21,Good,34820458203,34820458477,0.274,59.100000
22,Good,34820709015,34820709288,0.273,60.050000
23,Good,34820959793,34820960150,0.357,61.000000
24,Good,34821210702,34821211001,0.299,61.950000
25,Good,34821461515,34821461801,0.286,62.900000
26,Good,34821712305,34821712576,0.271,63.850000
27,Good,34821963083,34821963378,0.295,64.800000
28,Good,34822213917,34822214227,0.310,65.750000
29,Good,34822464758,34822465036,0.278,66.700000
30,Good,34822715561,34822715827,0.266,67.650000
31,Good,34822966355,34822966642,0.287,68.600000
32,Good,34823217147,34823217435,0.288,69.550000
33,Good,34823467969,34823468275,0.306,70.500000
34,Good,34823718783,34823719058,0.275,71.450000
35,Good,34823969563,34823969847,0.284,72.400000
36,Good,34824220348,34824220641,0.293,73.350000
37,Good,34824471174,34824471443,0.269,74.300000
38,Good,34824721946,34824722213,0.267,75.250000
39,Good,34824972765,34824973043,0.278,76.200000
40,Good,34825223545,34825223823,0.278,77.150000
41,Good,34825474355,34825474627,0.272,78.100000
42,Good,34825725127,34825725389,0.262,79.050000
43,Good,34825975919,34825976193,0.274,80.000000
44,Good,34826226693,34826226984,0.291,80.950000
45,Good,34826477482,34826477747,0.265,81.900000
46,Good,34826728272,34826728537,0.265,82.850000
47,Good,34826979035,34826979319,0.284,83.800000
48,Good,34827229865,34827230177,0.312,84.750000
49,Good,34827481132,34827481406,0.274,85.700000
50,Good,34827732301,34827732580,0.279,86.650000
51,Good,34827983487,34827983786,0.299,87.600000
52,Good,34828234363,34828234661,0.298,88.550000
53,Good,34828485161,34828485437,0.276,89.500000
54,Good,34828735956,34828736242,0.286,90.450000
55,Good,34828986768,34828987073,0.305,91.400000
56,Good,34829237576,34829237880,0.304,92.350000
57,Good,34829488442,34829488721,0.279,93.300000
58,Good,34829739254,34829739531,0.277,94.250000
59,Good,34829990036,34829990342,0.306,95.200000
60,Good,34830240857,34830241161,0.304,96.150000
61,Good,34830491690,34830491972,0.282,97.100000
62,Good,34830742481,34830742753,0.272,98.050000
63,Good,34830993311,34830993609,0.298,99.000000
64,Good,34831244129,34831244428,0.299,99.950000
65,Good,34831494963,34831495235,0.272,100.900000
66,Good,34831745773,34831746049,0.276,101.850000
67,Good,34831996595,34831996887,0.292,102.800000
68,Good,34832247395,34832247698,0.303,103.750000
69,Good,34832498255,34832498543,0.288,104.700000
70,Good,34832749081,34832749362,0.281,105.650000
71,Good,34832999901,34833000195,0.294,106.600000
72,Good,34833250716,34833251000,0.284,107.550000
73,Good,34833501502,34833501778,0.276,108.500000
74,Good,34833752280,34833752562,0.282,109.450000
75,Good,34834003063,34834003353,0.290,110.400000
76,Good,34834253872,34834254169,0.297,111.350000
77,Good,34834504681,34834504954,0.273,112.300000
78,Good,34834755451,34834755718,0.267,113.250000
79,Good,34835006277,34835006574,0.297,114.200000
80,Good,34835257092,34835257396,0.304,115.150000
81,Good,34835507950,34835508222,0.272,116.100000
82,Good,34835758729,34835759006,0.277,117.050000
83,Good,34836009511,34836009795,0.284,118.000000
84,Good,34836260313,34836260614,0.301,118.950000
85,Good,34836511156,34836511440,0.284,119.900000
86,Good,34836761983,34836762259,0.276,120.850000
87,Good,34837012797,34837013085,0.288,121.800000
88,Good,34837263596,34837263917,0.321,122.750000
89,Good,34837514431,34837514716,0.285,123.700000
90,Good,34837765253,34837765535,0.282,124.650000
91,Good,34838016073,34838016372,0.299,125.600000
92,Good,34838266873,34838267172,0.299,126.550000
93,Good,34838517706,34838517994,0.288,127.500000
94,Good,34838768494,34838768816,0.322,128.450000
95,Good,34839019328,34839019630,0.302,129.400000
96,Good,34839270162,34839270443,0.281,130.350000
97,Good,34839520941,34839521223,0.282,131.300000
98,Good,34839771724,34839772010,0.286,132.250000
99,Good,34840022516,34840022829,0.313,133.200000
100,Good,34840273339,34840273637,0.298,134.150000
101,Good,34840524148,34840524431,0.283,135.100000
102,Good,34840774932,34840775223,0.291,136.050000
103,Good,34841025755,34841026047,0.292,137.000000
104,Good,34841276991,34841277288,0.297,137.950000
105,Good,34841527865,34841528142,0.277,138.900000
106,Good,34841778676,34841778958,0.282,139.850000
107,Good,34842029467,34842029750,0.283,140.800000
108,Good,34842280274,34842280562,0.288,141.750000
109,Good,34842531073,34842531355,0.282,142.700000
110,Good,34842781901,34842782184,0.283,143.650000
111,Good,34843032721,34843033010,0.289,144.600000
112,Good,34843283540,34843283819,0.279,145.550000
113,Good,34843534359,34843534636,0.277,146.500000
114,Good,34843785133,34843785410,0.277,147.450000
115,Good,34844035939,34844036231,0.292,148.400000
116,Good,34844286740,34844287029,0.289,149.350000
117,Good,34844537587,34844537865,0.278,150.300000
118,Good,34844788373,34844788692,0.319,151.250000
119,Good,34845039206,34845039524,0.318,152.200000
120,Good,34845290076,34845290356,0.280,153.150000
121,Good,34845540862,34845541140,0.278,154.100000
122,Good,34845791644,34845791932,0.288,155.050000
123,Good,34846042495,34846042797,0.302,156.000000
124,Good,34846293339,34846293614,0.275,156.950000
125,Good,34846544190,34846544465,0.275,157.900000
126,Good,34846795015,34846795339,0.324,158.850000
127,Good,34847045866,34847046170,0.304,159.800000
128,Good,34847296687,34847296974,0.287,160.750000
129,Good,34847547478,34847547763,0.285,161.700000
130,Good,34847798298,34847798591,0.293,162.650000
131,Good,34848049105,34848049407,0.302,163.600000
132,Good,34848299945,34848300237,0.292,164.550000
133,Good,34848550735,34848551014,0.279,165.500000
134,Good,34848801516,34848801802,0.286,166.450000
135,Good,34849052305,34849052604,0.299,167.400000
136,Good,34849303126,34849303413,0.287,168.350000
137,Good,34849553956,34849554230,0.274,169.300000
138,Good,34849804767,34849805071,0.304,170.250000
139,Good,34850055616,34850055908,0.292,171.200000
140,Good,34850306451,34850306798,0.347,172.150000
141,Good,34850557361,34850557660,0.299,173.100000
142,Good,34850808191,34850808495,0.304,174.050000
