value_last_recv,timestamp_chg
13,45176251310
14,45176502272
15,45176753180
16,45177004324
17,45177255350
18,45177506267
19,45177757304
20,45178008362
21,45178259267
22,45178510084
23,45178761179
24,45179012417
25,45179263410
26,45179514185
27,45179765205
28,45180016067
29,45180267086
30,45180518256
31,45180769299
32,45181020126
33,45181271241
34,45181522473
35,45181773382
36,45182024229
37,45182275448
38,45182526554
39,45182777705
40,45183028584
41,45183279529
42,45183530774
43,45183781803
44,45184032636
45,45184283780
46,45184534702
47,45184785784
48,45185037187
49,45185288364
50,45185539453
51,45185790476
52,45186041247
53,45186292036
54,45186543252
55,45186794168
56,45187045223
57,45187296798
58,45187547866
59,45187798742
60,45188049468
61,45188300655
62,45188551532
63,45188802691
64,45189053576
65,45189304869
66,45189555651
67,45189806950
68,45190057800
69,45190308899
70,45190559900
71,45190811028
72,45191062037
73,45191312972
74,45191563916
75,45191814880
76,45192065831
77,45192316778
78,45192567720
79,45192818664
80,45193069602
81,45193320549
82,45193571459
83,45193822364
84,45194073297
85,45194324240
86,45194575183
87,45194826108
88,45195077056
89,45195328434
90,45195578942
91,45195829872
92,45196080814
93,45196331849
94,45196582856
95,45196833797
96,45197084755
97,45197335695
98,45197586606
99,45197837550
100,45198088478
101,45198339391
102,45198590849
103,45198841287
104,45199092248
105,45199343227
106,45199594184
107,45199845545
108,45200096062
109,45200347130
110,45200598522
111,45200849857
112,45201101164
113,45201352467
114,45201603631
115,45201854846
116,45202106058
117,45202357260
118,45202608480
119,45202859681
120,45203110920
121,45203362122
122,45203613569
123,45203864708
124,45204116217
125,45204367556
126,45204618815
127,45204870226
128,45205121168
129,45205372404
130,45205623859
131,45205875154
132,45206126548
133,45206377942
134,45206628869
135,45206880123
136,45207131202
137,45207382199
138,45207633447
139,45207884569
140,45208135254
141,45208386288
142,45208637426
143,45208888286
144,45209139429
145,45209390497
146,45209641338
147,45209892481
148,45210143858
149,45210394724
150,45210645668
151,45210896501
152,45211147748
153,45211398667
154,45211649867
155,45211900708
156,45212151741
157,45212402854
158,45212653764
159,45212905206
160,45213156024
161,45213406906
162,45213657920
163,45213909137
164,45214160083
165,45214411061
166,45214661961
167,45214913108
168,45215163847
169,45215414825
170,45215665733
171,45215916671
172,45216167607
173,45216418537
174,45216669501
175,45216920461
176,45217171407
177,45217422342
178,45217673267
179,45217924192
180,45218175175
181,45218426110
182,45218677032
183,45218927935
184,45219178905
185,45219429844
186,45219680777
187,45219931718
188,45220182669
189,45220433613
190,45220684532
191,45220935497
192,45221186446
193,45221437378
194,45221688289
195,45221939271
196,45222190230
197,45222441168
198,45222692106
199,45222943087
200,45223194039
201,45223444975
202,45223695895
203,45223946886
204,45224197802
205,45224448727
206,45224699696
207,45224950822
208,45225201887
209,45225453231
210,45225703585
211,45225954685
212,45226205633
213,45226456570
214,45226707487
215,45226958440
216,45227209331
217,45227460264
218,45227711221
219,45227962153
220,45228213130
221,45228464127
222,45228715323
223,45228966756
224,45229217731
225,45229468526
226,45229719687
227,45229970695
228,45230221700
229,45230472660
230,45230723595
231,45230974467
232,45231225719
233,45231476896
234,45231727915
235,45231978878
236,45232230160
237,45232481304
238,45232732206
239,45232983383
240,45233234349
241,45233485574
242,45233736534
243,45233987751
244,45234238764
245,45234489783
246,45234740899
247,45234991863
248,45235243201
249,45235494980
250,45235746855
251,45235998566
252,45236249765
253,45236500725
254,45236751921
255,45237002827
256,45237254173
257,45237505077
258,45237756406
259,45238007367
260,45238258422
261,45238509863
262,45238760737
263,45239011951
264,45239263043
265,45239514293
266,45239765159
267,45240016288
268,45240267422
269,45240518616
270,45240769826
271,45241021096
272,45241272159
273,45241523248
274,45241774180
275,45242025328
276,45242276625
277,45242527559
278,45242778861
279,45243029738
280,45243280949
281,45243532228
282,45243783274
283,45244034354
284,45244285284
285,45244536445
286,45244787655
287,45245038810
288,45245289959
289,45245540920
290,45245791879
291,45246042886
292,45246293860
293,45246544822
294,45246795770
295,45247046924
296,45247297737
297,45247548678
298,45247799625
299,45248050585
300,45248301605
301,45248552560
302,45248803484
303,45249054453
304,45249305425
305,45249556390
306,45249807349
307,45250058325
308,45250309289
309,45250560247
310,45250811228
311,45251062188
312,45251313144
313,45251564106
314,45251815093
315,45252066056
316,45252317028
317,45252567988
318,45252818946
319,45253069896
320,45253320895
321,45253571844
322,45253822819
