value_last_recv,timestamp_chg
17653,45929447716
17654,45929698605
17655,45929949651
17656,45930200532
17657,45930451657
17658,45930702722
17659,45930953506
17660,45931204635
17661,45931455638
17662,45931706582
17663,45931957660
17664,45932208603
17665,45932459541
17666,45932710442
17667,45932961420
17668,45933212369
17669,45933463335
17670,45933714257
17671,45933965197
17672,45934216158
17673,45934467102
17674,45934718051
17675,45934969144
17676,45935219952
17677,45935470983
17678,45935721947
17679,45935972917
17680,45936223861
17681,45936474972
17682,45936725798
17683,45936976719
17684,45937227753
17685,45937478720
17686,45937729619
17687,45937981003
17688,45938231538
17689,45938482448
17690,45938733945
17691,45938984540
17692,45939235461
17693,45939486667
17694,45939737542
17695,45939989063
17696,45940239468
17697,45940490449
17698,45940741538
17699,45940992374
17700,45941243447
17701,45941494496
17702,45941745761
17703,45941996640
17704,45942248004
17705,45942498834
17706,45942750264
17707,45943001335
17708,45943252356
17709,45943503131
17710,45943754139
17711,45944005118
17712,45944256079
17713,45944507153
17714,45944758100
17715,45945009084
17716,45945260715
17717,45945512417
17718,45945764662
17719,45946016879
17720,45946267854
17721,45946519510
17722,45946771654
17723,45947023823
17724,45947276054
17725,45947528309
17726,45947780501
17727,45948032656
17728,45948284857
17729,45948536356
17730,45948786876
17731,45949039056
17732,45949291258
17733,45949543427
17734,45949795570
17735,45950047744
17736,45950299974
17737,45950551722
17738,45950803925
17739,45951056118
17740,45951307396
17741,45951558102
17742,45951809086
17743,45952060077
17744,45952311129
17745,45952562101
17746,45952813048
17747,45953064012
17748,45953315043
17749,45953566277
17750,45953816959
17751,45954067986
17752,45954319005
17753,45954569961
17754,45954820911
17755,45955071877
17756,45955322895
17757,45955573859
17758,45955824816
17759,45956076149
17760,45956326886
17761,45956578199
17762,45956828922
17763,45957079915
17764,45957330939
17765,45957581900
17766,45957832875
17767,45958083896
17768,45958334896
17769,45958585873
17770,45958836832
17771,45959087879
17772,45959338966
17773,45959589944
17774,45959840909
17775,45960091936
17776,45960342948
17777,45960594363
17778,45960845339
17779,45961096365
17780,45961347423
17781,45961598204
17782,45961849152
17783,45962100264
17784,45962351143
17785,45962602085
17786,45962853041
17787,45963104009
17788,45963354991
17789,45963605941
17790,45963856923
17791,45964108140
17792,45964358834
17793,45964609768
17794,45964860691
17795,45965111630
17796,45965362614
17797,45965613590
17798,45965864563
17799,45966115549
17800,45966366350
17801,45966617403
17802,45966868234
17803,45967119193
17804,45967370312
17805,45967621340
17806,45967872173
17807,45968123622
17808,45968374034
17809,45968625183
17810,45968875983
17811,45969127066
17812,45969378121
17813,45969629006
17814,45969879955
17815,45970131286
17816,45970382185
17817,45970633334
17818,45970884863
17819,45971135604
17820,45971386572
17821,45971637528
17822,45971888600
17823,45972139585
17824,45972390839
17825,45972641747
17826,45972892710
17827,45973143716
17828,45973394705
17829,45973645656
17830,45973896610
17831,45974148122
17832,45974398598
17833,45974649574
17834,45974900547
17835,45975151495
17836,45975403197
17837,45975653673
17838,45975905135
17839,45976155637
17840,45976406559
17841,45976657575
17842,45976908513
17843,45977159546
17844,45977410645
17845,45977661582
17846,45977912543
17847,45978163526
17848,45978414470
17849,45978665502
17850,45978916483
17851,45979167480
17852,45979418435
17853,45979669380
17854,45979920348
17855,45980171369
17856,45980422217
17857,45980672900
17858,45980924135
17859,45981175153
17860,45981426028
17861,45981677090
17862,45981927926
17863,45982179400
17864,45982430348
17865,45982681275
17866,45982932241
17867,45983183244
17868,45983434186
17869,45983685117
17870,45983936448
17871,45984187140
17872,45984438153
17873,45984689087
17874,45984940118
17875,45985191132
17876,45985442080
17877,45985693435
17878,45985944147
17879,45986195109
17880,45986446104
17881,45986697069
17882,45986948040
17883,45987199116
17884,45987450062
17885,45987700995
17886,45987951958
17887,45988203007
17888,45988453973
17889,45988704945
17890,45988955892
17891,45989206881
17892,45989457817
17893,45989708770
17894,45989959729
17895,45990210707
17896,45990461655
17897,45990712638
17898,45990963580
17899,45991214542
17900,45991465598
17901,45991716549
17902,45991967498
17903,45992218515
17904,45992469536
17905,45992720475
17906,45992971445
17907,45993222404
17908,45993473361
17909,45993724344
17910,45993975334
17911,45994226305
17912,45994477596
17913,45994728308
17914,45994979322
17915,45995230301
17916,45995481246
17917,45995732531
17918,45995983273
17919,45996234293
17920,45996485331
17921,45996736572
17922,45996987277
17923,45997238233
17924,45997489161
17925,45997740107
17926,45997991118
17927,45998242077
17928,45998493023
17929,45998743960
17930,45998994944
17931,45999245975
17932,45999497201
17933,45999748241
17934,45999999073
17935,46000250016
17936,46000500964
17937,46000751888
17938,46001002872
17939,46001253828
17940,46001504765
17941,46001755728
17942,46002006716
17943,46002257661
17944,46002508567
17945,46002759505
17946,46003010452
17947,46003261410
17948,46003512350
17949,46003763310
17950,46004014290
17951,46004265251
17952,46004516205
17953,46004767178
17954,46005018144
17955,46005269513
17956,46005520142
17957,46005771135
17958,46006022071
17959,46006273086
17960,46006524018
17961,46006774943
17962,46007025896
17963,46007277236
17964,46007527880
17965,46007778839
17966,46008029829
17967,46008280784
17968,46008531724
17969,46008782674
17970,46009033624
17971,46009284586
17972,46009535532
17973,46009786452
17974,46010037402
17975,46010288386
17976,46010539357
17977,46010790310
17978,46011041380
17979,46011292306
17980,46011543288
17981,46011794220
17982,46012045192
17983,46012296142
17984,46012547123
17985,46012798028
17986,46013049023
17987,46013299964
17988,46013550964
17989,46013801874
17990,46014052839
17991,46014303829
17992,46014554832
17993,46014805712
17994,46015056680
17995,46015307641
17996,46015558592
17997,46015809581
17998,46016060641
17999,46016311678
18000,46016562683
18001,46016813638
18002,46017064644
18003,46017315603
18004,46017566530
18005,46017817485
18006,46018068448
18007,46018319423
18008,46018570406
18009,46018821334
18010,46019072293
18011,46019323251
18012,46019574199
18013,46019825145
18014,46020076113
18015,46020327084
18016,46020578032
18017,46020828942
18018,46021080236
18019,46021331185
18020,46021582174
18021,46021833116
18022,46022084114
18023,46022335089
18024,46022586024
18025,46022837004
18026,46023087962
18027,46023338942
18028,46023589863
18029,46023840762
18030,46024091741
18031,46024343244
18032,46024594223
18033,46024845173
18034,46025096124
18035,46025347383
18036,46025598060
18037,46025849177
18038,46026099966
18039,46026351247
18040,46026602408
18041,46026853124
18042,46027104044
18043,46027355244
18044,46027606221
18045,46027857537
18046,46028108230
18047,46028359476
18048,46028610467
18049,46028861611
18050,46029112570
18051,46029363542
18052,46029614496
18053,46029865515
18054,46030116754
18055,46030367410
18056,46030618357
18057,46030869344
18058,46031120294
18059,46031371285
18060,46031622254
18061,46031873216
18062,46032124238
18063,46032375293
