counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,45176250688,45176251160,0.472,13
1,Good,45176501716,45176502212,0.496,14
2,Good,45176752845,45176753329,0.484,15
3,Good,45177003845,45177004327,0.482,16
4,Good,45177254890,45177255355,0.465,17
5,Good,45177505889,45177506326,0.437,18
6,Good,45177756851,45177757278,0.427,19
7,Good,45178007801,45178008271,0.470,20
8,Good,45178258839,45178259289,0.450,21
9,Good,45178509814,45178510251,0.437,22
10,Good,45178760797,45178761230,0.433,23
11,Good,45179011760,45179012225,0.465,24
12,Good,45179262785,45179263236,0.451,25
13,Good,45179513761,45179514195,0.434,26
14,Good,45179764719,45179765150,0.431,27
15,Good,45180015671,45180016132,0.461,28
16,Good,45180266684,45180267165,0.481,29
17,Good,45180517722,45180518223,0.501,30
18,Good,45180768750,45180769235,0.485,31
19,Good,45181019765,45181020320,0.555,32
20,Good,45181270896,45181271402,0.506,33
21,Good,45181521914,45181522394,0.480,34
22,Good,45181772903,45181773381,0.478,35
23,Good,45182023911,45182024418,0.507,36
24,Good,45182274951,45182275502,0.551,37
25,Good,45182526040,45182526530,0.490,38
26,Good,45182777096,45182777653,0.557,39
27,Good,45183028175,45183028679,0.504,40
28,Good,45183279198,45183279706,0.508,41
29,Good,45183530231,45183530739,0.508,42
30,Good,45183781268,45183781753,0.485,43
31,Good,45184032279,45184032785,0.506,44
32,Good,45184283313,45184283800,0.487,45
33,Good,45184534333,45184534857,0.524,46
34,Good,45184785377,45184785866,0.489,47
35,Good,45185036393,45185036938,0.545,48
36,Good,45185287531,45185288054,0.523,49
37,Good,45185538592,45185539126,0.534,50
38,Good,45185789655,45185790144,0.489,51
39,Good,45186040674,45186041174,0.500,52
40,Good,45186291700,45186292225,0.525,53
41,Good,45186542795,45186543281,0.486,54
42,Good,45186793810,45186794328,0.518,55
43,Good,45187044860,45187045382,0.522,56
44,Good,45187295929,45187296461,0.532,57
45,Good,45187547003,45187547532,0.529,58
46,Good,45187798066,45187798565,0.499,59
47,Good,45188049133,45188049656,0.523,60
48,Good,45188300178,45188300680,0.502,61
49,Good,45188551204,45188551696,0.492,62
50,Good,45188802208,45188802735,0.527,63
51,Good,45189053252,45189053753,0.501,64
52,Good,45189304268,45189304795,0.527,65
53,Good,45189555327,45189555831,0.504,66
54,Good,45189806354,45189806883,0.529,67
55,Good,45190057405,45190057909,0.504,68
56,Good,45190308430,45190308923,0.493,69
57,Good,45190559452,45190559930,0.478,70
58,Good,45190810450,45190811005,0.555,71
59,Good,45191061552,45191061998,0.446,72
60,Good,45191312502,45191312954,0.452,73
61,Good,45191563459,45191563893,0.434,74
62,Good,45191814399,45191814856,0.457,75
63,Good,45192065365,45192065811,0.446,76
64,Good,45192316332,45192316756,0.424,77
65,Good,45192567264,45192567677,0.413,78
66,Good,45192818180,45192818609,0.429,79
67,Good,45193069146,45193069580,0.434,80
68,Good,45193320084,45193320506,0.422,81
69,Good,45193571015,45193571422,0.407,82
70,Good,45193821926,45193822345,0.419,83
71,Good,45194072849,45194073275,0.426,84
72,Good,45194323784,45194324220,0.436,85
73,Good,45194574756,45194575166,0.410,86
74,Good,45194825666,45194826071,0.405,87
75,Good,45195076574,45195077035,0.461,88
76,Good,45195327543,45195327969,0.426,89
77,Good,45195578474,45195578919,0.445,90
78,Good,45195829421,45195829834,0.413,91
79,Good,45196080339,45196080795,0.456,92
80,Good,45196331314,45196331834,0.520,93
81,Good,45196582355,45196582838,0.483,94
82,Good,45196833343,45196833778,0.435,95
83,Good,45197084285,45197084733,0.448,96
84,Good,45197335240,45197335659,0.419,97
85,Good,45197586162,45197586571,0.409,98
86,Good,45197837108,45197837513,0.405,99
87,Good,45198088020,45198088441,0.421,100
88,Good,45198338943,45198339374,0.431,101
89,Good,45198589877,45198590354,0.477,102
90,Good,45198840851,45198841258,0.407,103
91,Good,45199091760,45199092227,0.467,104
92,Good,45199342763,45199343205,0.442,105
93,Good,45199593716,45199594166,0.450,106
94,Good,45199844678,45199845088,0.410,107
95,Good,45200095590,45200096039,0.449,108
96,Good,45200346612,45200347108,0.496,109
97,Good,45200598060,45200598501,0.441,110
98,Good,45200849396,45200849841,0.445,111
99,Good,45201100688,45201101148,0.460,112
100,Good,45201352010,45201352432,0.422,113
101,Good,45201603181,45201603610,0.429,114
102,Good,45201854362,45201854819,0.457,115
103,Good,45202105592,45202106039,0.447,116
104,Good,45202356793,45202357239,0.446,117
105,Good,45202608008,45202608462,0.454,118
106,Good,45202859225,45202859664,0.439,119
107,Good,45203110424,45203110887,0.463,120
108,Good,45203361660,45203362104,0.444,121
109,Good,45203613136,45203613582,0.446,122
110,Good,45203864379,45203864801,0.422,123
111,Good,45204115673,45204116133,0.460,124
112,Good,45204367248,45204367717,0.469,125
113,Good,45204618485,45204618921,0.436,126
114,Good,45204869687,45204870098,0.411,127
115,Good,45205120863,45205121305,0.442,128
116,Good,45205372089,45205372538,0.449,129
117,Good,45205623353,45205623798,0.445,130
118,Good,45205874762,45205875182,0.420,131
119,Good,45206125965,45206126475,0.510,132
120,Good,45206377426,45206377958,0.532,133
121,Good,45206628531,45206629053,0.522,134
122,Good,45206879569,45206880075,0.506,135
123,Good,45207130598,45207131140,0.542,136
124,Good,45207381670,45207382169,0.499,137
125,Good,45207632686,45207633193,0.507,138
126,Good,45207883733,45207884241,0.508,139
127,Good,45208134799,45208135370,0.571,140
128,Good,45208385888,45208386390,0.502,141
129,Good,45208636905,45208637394,0.489,142
130,Good,45208887912,45208888404,0.492,143
131,Good,45209138940,45209139436,0.496,144
132,Good,45209389959,45209390450,0.491,145
133,Good,45209641008,45209641492,0.484,146
134,Good,45209892006,45209892487,0.481,147
135,Good,45210143010,45210143518,0.508,148
136,Good,45210394045,45210394560,0.515,149
137,Good,45210645121,45210645615,0.494,150
138,Good,45210896140,45210896681,0.541,151
139,Good,45211147206,45211147717,0.511,152
140,Good,45211398240,45211398768,0.528,153
141,Good,45211649291,45211649784,0.493,154
142,Good,45211900307,45211900819,0.512,155
143,Good,45212151333,45212151842,0.509,156
144,Good,45212402365,45212402907,0.542,157
145,Good,45212653436,45212653922,0.486,158
146,Good,45212904443,45212904972,0.529,159
147,Good,45213155501,45213156007,0.506,160
