counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,45929447342,45929447720,0.378,17653
1,Good,45929698187,45929698685,0.498,17654
2,Good,45929949226,45929949684,0.458,17655
3,Good,45930200204,45930200681,0.477,17656
4,Good,45930451193,45930451712,0.519,17657
5,Good,45930702257,45930702697,0.440,17658
6,Good,45930953210,45930953655,0.445,17659
7,Good,45931204167,45931204610,0.443,17660
8,Good,45931455156,45931455608,0.452,17661
9,Good,45931706144,45931706559,0.415,17662
10,Good,45931957190,45931957619,0.429,17663
11,Good,45932208128,45932208578,0.450,17664
12,Good,45932459079,45932459492,0.413,17665
13,Good,45932709985,45932710401,0.416,17666
14,Good,45932960951,45932961394,0.443,17667
15,Good,45933211891,45933212345,0.454,17668
16,Good,45933462873,45933463307,0.434,17669
17,Good,45933713803,45933714233,0.430,17670
18,Good,45933964728,45933965175,0.447,17671
19,Good,45934215678,45934216131,0.453,17672
20,Good,45934466661,45934467080,0.419,17673
21,Good,45934717596,45934718011,0.415,17674
22,Good,45934968515,45934968972,0.457,17675
23,Good,45935219479,45935219927,0.448,17676
24,Good,45935470437,45935470959,0.522,17677
25,Good,45935721485,45935721919,0.434,17678
26,Good,45935972456,45935972892,0.436,17679
27,Good,45936223393,45936223836,0.443,17680
28,Good,45936474341,45936474878,0.537,17681
29,Good,45936725391,45936725847,0.456,17682
30,Good,45936976359,45936976794,0.435,17683
31,Good,45937227310,45937227744,0.434,17684
32,Good,45937478285,45937478710,0.425,17685
33,Good,45937729227,45937729637,0.410,17686
34,Good,45937980143,45937980577,0.434,17687
35,Good,45938231119,45938231571,0.452,17688
36,Good,45938482122,45938482545,0.423,17689
37,Good,45938733085,45938733518,0.433,17690
38,Good,45938984084,45938984529,0.445,17691
39,Good,45939235116,45939235619,0.503,17692
40,Good,45939486138,45939486568,0.430,17693
41,Good,45939737111,45939737534,0.423,17694
42,Good,45939988083,45939988526,0.443,17695
43,Good,45940239047,45940239487,0.440,17696
44,Good,45940490056,45940490474,0.418,17697
45,Good,45940741021,45940741482,0.461,17698
46,Good,45940992013,45940992555,0.542,17699
47,Good,45941243082,45941243605,0.523,17700
48,Good,45941494124,45941494694,0.570,17701
49,Good,45941745213,45941745714,0.501,17702
50,Good,45941996262,45941996788,0.526,17703
51,Good,45942247307,45942247822,0.515,17704
52,Good,45942498336,45942498881,0.545,17705
53,Good,45942749401,45942749914,0.513,17706
54,Good,45943000453,45943000979,0.526,17707
55,Good,45943251524,45943252030,0.506,17708
56,Good,45943502540,45943503104,0.564,17709
57,Good,45943753660,45943754115,0.455,17710
58,Good,45944004621,45944005095,0.474,17711
59,Good,45944255625,45944256058,0.433,17712
60,Good,45944506657,45944507126,0.469,17713
61,Good,45944757635,45944758076,0.441,17714
62,Good,45945008586,45945009047,0.461,17715
63,Good,45945260237,45945260696,0.459,17716
64,Good,45945511895,45945512398,0.503,17717
65,Good,45945764168,45945764642,0.474,17718
66,Good,45946016370,45946016853,0.483,17719
67,Good,45946267363,45946267834,0.471,17720
68,Good,45946519020,45946519494,0.474,17721
69,Good,45946771173,45946771616,0.443,17722
70,Good,45947023319,45947023799,0.480,17723
71,Good,45947275565,45947276035,0.470,17724
72,Good,45947527816,45947528290,0.474,17725
73,Good,45947780023,45947780469,0.446,17726
74,Good,45948032157,45948032620,0.463,17727
75,Good,45948284367,45948284835,0.468,17728
76,Good,45948535339,45948535848,0.509,17729
77,Good,45948786363,45948786854,0.491,17730
78,Good,45949038527,45949039032,0.505,17731
79,Good,45949290783,45949291241,0.458,17732
80,Good,45949542961,45949543405,0.444,17733
81,Good,45949795104,45949795553,0.449,17734
82,Good,45950047249,45950047722,0.473,17735
83,Good,45950299479,45950299956,0.477,17736
84,Good,45950551233,45950551689,0.456,17737
85,Good,45950803434,45950803902,0.468,17738
86,Good,45951055624,45951056096,0.472,17739
87,Good,45951306603,45951307086,0.483,17740
88,Good,45951557603,45951558086,0.483,17741
89,Good,45951808604,45951809068,0.464,17742
90,Good,45952059593,45952060056,0.463,17743
91,Good,45952310610,45952311112,0.502,17744
92,Good,45952561631,45952562079,0.448,17745
93,Good,45952812591,45952813030,0.439,17746
94,Good,45953063543,45953063997,0.454,17747
95,Good,45953314529,45953315010,0.481,17748
96,Good,45953565538,45953565973,0.435,17749
97,Good,45953816494,45953816942,0.448,17750
98,Good,45954067510,45954067971,0.461,17751
99,Good,45954318485,45954318992,0.507,17752
100,Good,45954569506,45954569934,0.428,17753
101,Good,45954820444,45954820873,0.429,17754
102,Good,45955071382,45955071864,0.482,17755
103,Good,45955322385,45955322874,0.489,17756
104,Good,45955573388,45955573834,0.446,17757
105,Good,45955824345,45955824799,0.454,17758
106,Good,45956075315,45956075833,0.518,17759
107,Good,45956326368,45956326870,0.502,17760
108,Good,45956577391,45956577886,0.495,17761
109,Good,45956828444,45956828901,0.457,17762
110,Good,45957079421,45957079899,0.478,17763
111,Good,45957330429,45957330918,0.489,17764
112,Good,45957581439,45957581876,0.437,17765
113,Good,45957832394,45957832836,0.442,17766
114,Good,45958083407,45958083860,0.453,17767
115,Good,45958334388,45958334882,0.494,17768
116,Good,45958585410,45958585833,0.423,17769
117,Good,45958836352,45958836810,0.458,17770
118,Good,45959087385,45959087864,0.479,17771
119,Good,45959338444,45959338939,0.495,17772
120,Good,45959589485,45959589922,0.437,17773
121,Good,45959840434,45959840890,0.456,17774
122,Good,45960091438,45960091913,0.475,17775
123,Good,45960342433,45960342930,0.497,17776
124,Good,45960593669,45960594122,0.453,17777
125,Good,45960844661,45960845103,0.442,17778
126,Good,45961095638,45961096123,0.485,17779
127,Good,45961346709,45961347178,0.469,17780
128,Good,45961597716,45961598186,0.470,17781
129,Good,45961848693,45961849126,0.433,17782
130,Good,45962099627,45962100080,0.453,17783
131,Good,45962350666,45962351123,0.457,17784
132,Good,45962601622,45962602054,0.432,17785
133,Good,45962852565,45962853017,0.452,17786
134,Good,45963103523,45963103970,0.447,17787
135,Good,45963354504,45963354960,0.456,17788
136,Good,45963605494,45963605916,0.422,17789
137,Good,45963856470,45963856899,0.429,17790
138,Good,45964107399,45964107826,0.427,17791
139,Good,45964358331,45964358810,0.479,17792
140,Good,45964609310,45964609729,0.419,17793
141,Good,45964860228,45964860660,0.432,17794
142,Good,45965111157,45965111603,0.446,17795
143,Good,45965362156,45965362591,0.435,17796
144,Good,45965613131,45965613561,0.430,17797
145,Good,45965864113,45965864536,0.423,17798
146,Good,45966115033,45966115523,0.490,17799
147,Good,45966366026,45966366475,0.449,17800
148,Good,45966617016,45966617450,0.434,17801
149,Good,45966867964,45966868386,0.422,17802
150,Good,45967118896,45967119341,0.445,17803
151,Good,45967369853,45967370273,0.420,17804
152,Good,45967620835,45967621257,0.422,17805
153,Good,45967871790,45967872204,0.414,17806
154,Good,45968122753,45968123198,0.445,17807
155,Good,45968373704,45968374138,0.434,17808
156,Good,45968624677,45968625089,0.412,17809
157,Good,45968875641,45968876074,0.433,17810
158,Good,45969126594,45969127129,0.535,17811
159,Good,45969377721,45969378184,0.463,17812
160,Good,45969628701,45969629125,0.424,17813
161,Good,45969879670,45969880152,0.482,17814
162,Good,45970130726,45970131294,0.568,17815
163,Good,45970381836,45970382372,0.536,17816
164,Good,45970632946,45970633450,0.504,17817
165,Good,45970883982,45970884504,0.522,17818
166,Good,45971135044,45971135565,0.521,17819
167,Good,45971386079,45971386579,0.500,17820
168,Good,45971637148,45971637660,0.512,17821
169,Good,45971888183,45971888697,0.514,17822
170,Good,45972139217,45972139733,0.516,17823
171,Good,45972390251,45972390764,0.513,17824
172,Good,45972641278,45972641705,0.427,17825
173,Good,45972892224,45972892687,0.463,17826
174,Good,45973143246,45973143692,0.446,17827
175,Good,45973394201,45973394675,0.474,17828
176,Good,45973645181,45973645634,0.453,17829
177,Good,45973896144,45973896581,0.437,17830
178,Good,45974147138,45974147630,0.492,17831
179,Good,45974398136,45974398571,0.435,17832
180,Good,45974649111,45974649547,0.436,17833
181,Good,45974900082,45974900522,0.440,17834
182,Good,45975151023,45975151471,0.448,17835
183,Good,45975402255,45975402702,0.447,17836
184,Good,45975653210,45975653651,0.441,17837
185,Good,45975904156,45975904652,0.496,17838
186,Good,45976155163,45976155590,0.427,17839
187,Good,45976406098,45976406521,0.423,17840
188,Good,45976657121,45976657546,0.425,17841
189,Good,45976908051,45976908487,0.436,17842
190,Good,45977159055,45977159633,0.578,17843
191,Good,45977410149,45977410598,0.449,17844
192,Good,45977661141,45977661561,0.420,17845
193,Good,45977912085,45977912527,0.442,17846
194,Good,45978163055,45978163503,0.448,17847
195,Good,45978414014,45978414449,0.435,17848
196,Good,45978665049,45978665472,0.423,17849
197,Good,45978915991,45978916472,0.481,17850
198,Good,45979166999,45979167463,0.464,17851
199,Good,45979417975,45979418407,0.432,17852
200,Good,45979668924,45979669353,0.429,17853
201,Good,45979919870,45979920323,0.453,17854
202,Good,45980170889,45980171346,0.457,17855
203,Good,45980421789,45980422158,0.369,17856
204,Good,45980672617,45980673071,0.454,17857
205,Good,45980923589,45980924045,0.456,17858
206,Good,45981174572,45981175080,0.508,17859
207,Good,45981425592,45981426043,0.451,17860
208,Good,45981676550,45981676984,0.434,17861
209,Good,45981927489,45981927952,0.463,17862
210,Good,45982178905,45982179380,0.475,17863
211,Good,45982429886,45982430323,0.437,17864
212,Good,45982680826,45982681252,0.426,17865
213,Good,45982931758,45982932218,0.460,17866
214,Good,45983182767,45983183220,0.453,17867
215,Good,45983433726,45983434164,0.438,17868
216,Good,45983684664,45983685089,0.425,17869
217,Good,45983935609,45983936136,0.527,17870
218,Good,45984186670,45984187116,0.446,17871
219,Good,45984437678,45984438130,0.452,17872
220,Good,45984688639,45984689063,0.424,17873
221,Good,45984939571,45984940098,0.527,17874
222,Good,45985190616,45985191107,0.491,17875
223,Good,45985441616,45985442054,0.438,17876
224,Good,45985692606,45985693116,0.510,17877
225,Good,45985943628,45985944081,0.453,17878
226,Good,45986194614,45986195090,0.476,17879
227,Good,45986445599,45986446081,0.482,17880
228,Good,45986696625,45986697049,0.424,17881
229,Good,45986947556,45986948022,0.466,17882
230,Good,45987198589,45987199092,0.503,17883
