counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,49488827133,49488827495,0.362,39.150000
1,Good,49489079753,49489080317,0.564,40.100000
2,Good,49489331581,49489332172,0.591,41.050000
3,Good,49489582809,49489583370,0.561,42.000000
4,Good,49489833935,49489834494,0.559,42.950000
5,Good,49490085112,49490085693,0.581,43.900000
6,Good,49490336250,49490336816,0.566,44.850000
7,Good,49490587376,49490587924,0.548,45.800000
8,Good,49490838482,49490839032,0.550,46.750000
9,Good,49491089619,49491090155,0.536,47.700000
10,Good,49491340687,49491341210,0.523,48.650000
11,Good,49491591744,49491592244,0.500,49.600000
12,Good,49491842820,49491843332,0.512,50.550000
13,Good,49492093869,49492094414,0.545,51.500000
14,Good,49492345015,49492345546,0.531,52.450000
15,Good,49492596074,49492596585,0.511,53.400000
16,Good,49492847167,49492847668,0.501,54.350000
17,Good,49493098198,49493098831,0.633,55.300000
18,Good,49493349365,49493349889,0.524,56.250000
19,Good,49493600612,49493601155,0.543,57.200000
20,Good,49493851689,49493852205,0.516,58.150000
21,Good,49494102767,49494103303,0.536,59.100000
22,Good,49494353873,49494354420,0.547,60.050000
23,Good,49494604955,49494605970,1.015,61.000000
24,Good,49494856524,49494857230,0.706,61.950000
25,Good,49495107802,49495108454,0.652,62.900000
26,Good,49495359027,49495359579,0.552,63.850000
27,Good,49495610131,49495610733,0.602,64.800000
28,Good,49495861323,49495861860,0.537,65.750000
29,Good,49496112440,49496112985,0.545,66.700000
30,Good,49496363536,49496364083,0.547,67.650000
31,Good,49496614725,49496615258,0.533,68.600000
32,Good,49496865774,49496866313,0.539,69.550000
33,Good,49497116899,49497117482,0.583,70.500000
34,Good,49497368042,49497368610,0.568,71.450000
35,Good,49497619176,49497619720,0.544,72.400000
36,Good,49497870276,49497870853,0.577,73.350000
37,Good,49498121409,49498122030,0.621,74.300000
38,Good,49498372575,49498373121,0.546,75.250000
39,Good,49498623736,49498624261,0.525,76.200000
40,Good,49498874847,49498875387,0.540,77.150000
41,Good,49499125964,49499126514,0.550,78.100000
42,Good,49499377212,49499377776,0.564,79.050000
43,Good,49499629067,49499629622,0.555,80.000000
44,Good,49499880843,49499881394,0.551,80.950000
45,Good,49500132661,49500133231,0.570,81.900000
46,Good,49500384938,49500385498,0.560,82.850000
47,Good,49500636762,49500637306,0.544,83.800000
48,Good,49500888622,49500889352,0.730,84.750000
49,Good,49501140680,49501141226,0.546,85.700000
50,Good,49501391776,49501392325,0.549,86.650000
51,Good,49501642912,49501643448,0.536,87.600000
52,Good,49501893994,49501894543,0.549,88.550000
