counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,50475488351,50475492879,4.528,dKQRVpbzYcAuKyeqT2XxjRsWkEudQc7Xbu5HQkUxdcK7rU5bFVq9mTzQRn9tSMarEjgDmwdPc3aoXx1
1,Good,50475743745,50475746793,3.048,Bb8uDSRVakbtq5WuUxPWAYNdQRzsnXUpBj8n7egmW3vcB7VgXG89jsmNdwagsCQwrF7txyQn9GfbAN2
2,Good,50475997601,50476000319,2.718,AnzUR4SsGUCkSgXjDScnKWzBM69tBYv84HQrV94aqkZHAQsjZB5Gnvy47T9E6Qm4oPTW6uoR5JawP63
3,Good,50476251145,50476253742,2.597,WPdYBbuzAvyQojr9NXVb8JZAv9unjcE5dfhEX5uwaUH9brF5Ew2pNxdnBqGRf4uGBnkShAnagSosdg4
4,Good,50476504641,50476507873,3.232,mcp6kTmEu6ktq4JMvwTbHMp7qV3vpZwjW4BenCDweB3gKmnJSLKUbRonQMwJ5U3vQLJuSYVqnEJLRT5
5,Good,50476758695,50476761335,2.640,HwPgxaEKgTPa6yVRa4ohSd9nxZB3U8WHcSsgUHEF9sJwtbZQ2TafJpowmtXYMyh7FoGxsFvhbTuzyE6
6,Good,50477012187,50477015241,3.054,ZPxov3mpsjqZhPufchvk7TLDVaZ2Q4gnsjmQAgMqDTzKtabo9xSdbsrTKQzUw36fLJQcBKYQmHtUKr7
7,Good,50477266096,50477268677,2.581,wopeQmXk29dF5jwzmWkwKSDjcAnoPzT8v3mYjhcS3vxtkMJBhWuAck6wumJLHTC8XQ3LNZRusdMR6N8
8,Good,50477519864,50477522564,2.700,BG2yeFW6nMEVeGAXNmUH2wWf8pvxmKtu8yAhJxL8Afaqb2y7aYUKdSgZjGBUfSCFxEwJ2Q5yfw62Ls9
9,Good,50477773616,50477776184,2.568,7yoj59ZRM5YsmuFpfrwVY497ChfKdgotWau9xDyX69Fu4f3Beg6pn3ZztCa2EXp5g4nteB79zDxpAS1
10,Good,50478027218,50478030095,2.877,6BDYsjmR2b5TGcFWAhfKjXSdL7mo6kBWjD9AvHKrhEXFbuRa9XvoEhsNu87URZhtCdFj2Yyke9MYtU2
11,Good,50478281168,50478283781,2.613,g3yqVvhUe4Y3ZPA5d8kbrKpgTXGKkh2Vg7yhPZkrzYHLgaxW6nzeyWMS8pXs6Byg3RLVQgAu2Vv6Tx3
12,Good,50478534777,50478537424,2.647,xk7noNRuzeHSXWT9FmqDWwFLgjEGZnj9a6GxLkFmetsUZu8s3ErJuPKgcqrtEeY6vWQL4Bka2CWGyY4
13,Good,50478788538,50478791138,2.600,uV3amdtMkGedB92AfwxM6ZoeNTqyXV7mth9JCw6MNnfHaegfWpF4VrXMSx5yQK4ubZ32cAswGSF2KU5
14,Good,50479042166,50479044882,2.716,qAwebfktAGvw4jM3TL4xjDVrcMZpFSYq7J9NkgaTMBAPKWoTN2wLM6YFECUVBdYa7ZNosncdWgCJcT6
