value_last_recv,timestamp_chg
13,47911950817
14,47912201968
15,47912453188
16,47912704381
17,47912955541
18,47913206676
19,47913457821
20,47913711012
21,47913962189
22,47914213361
23,47914464545
24,47914715688
25,47914966816
26,47915217960
27,47915469245
28,47915720392
29,47915971501
30,47916222641
31,47916473765
32,47916724869
33,47916976045
34,47917227165
35,47917478340
36,47917729453
37,47917980593
38,47918231712
39,47918482864
40,47918734056
41,47918985180
42,47919236377
43,47919487501
44,47919738685
45,47919989836
46,47920241057
47,47920492256
48,47920743392
49,47920994560
50,47921245736
51,47921496861
52,47921747965
53,47921999104
54,47922250292
55,47922501424
56,47922752565
57,47923003657
58,47923254764
59,47923505885
60,47923757068
61,47924008164
62,47924259301
63,47924510456
64,47924761632
65,47925012800
66,47925263893
67,47925515032
68,47925766180
69,47926017297
70,47926268416
71,47926519573
72,47926770728
73,47927021869
74,47927272957
75,47927524125
76,47927775284
77,47928026476
78,47928277641
79,47928528840
80,47928779977
81,47929031125
82,47929282289
83,47929533436
84,47929784641
85,47930035824
86,47930286952
87,47930538117
88,47930789277
89,47931040436
90,47931291549
91,47931542689
92,47931793745
93,47932044896
94,47932296085
95,47932547288
96,47932798465
97,47933049604
98,47933300785
99,47933551940
100,47933803084
101,47934054280
102,47934305445
103,47934556604
104,47934807724
105,47935058861
106,47935310000
107,47935561165
108,47935812289
109,47936063433
110,47936314601
111,47936565704
112,47936816856
113,47937067989
114,47937319153
115,47937570341
116,47937821428
117,47938072532
118,47938323669
119,47938574761
120,47938825845
121,47939076949
122,47939328096
123,47939579209
124,47939830360
125,47940081461
126,47940332576
127,47940583716
128,47940834809
129,47941085917
130,47941337057
131,47941588177
132,47941839309
133,47942090524
134,47942341716
135,47942592852
136,47942843945
137,47943095097
138,47943346297
139,47943597417
140,47943848504
141,47944099608
142,47944350756
143,47944601852
144,47944852973
145,47945104093
146,47945355244
147,47945606344
148,47945857457
149,47946108549
150,47946359680
151,47946610785
152,47946861909
153,47947113049
154,47947364245
155,47947615397
156,47947866525
157,47948117680
158,47948368788
159,47948619892
160,47948871045
161,47949122245
162,47949373380
163,47949624484
164,47949875621
165,47950126808
166,47950377929
167,47950629121
168,47950880281
169,47951131393
170,47951382545
171,47951633617
172,47951884712
173,47952135805
174,47952386984
175,47952638108
176,47952889220
177,47953140361
178,47953391521
179,47953642701
180,47953893772
181,47954144877
182,47954396036
183,47954647164
184,47954898280
185,47955149401
186,47955400504
187,47955651601
188,47955902732
189,47956153889
190,47956405041
191,47956656148
192,47956907228
193,47957158364
194,47957409473
195,47957660556
196,47957911641
197,47958162780
198,47958413893
