value_last_recv,timestamp_chg
24515,48414409953
24516,48414661056
24517,48414912228
24518,48415163417
24519,48415414597
24520,48415665713
24521,48415916833
24522,48416168033
24523,48416419209
24524,48416670332
24525,48416921501
24526,48417172613
24527,48417423777
24528,48417674901
24529,48417926029
24530,48418177232
24531,48418428373
24532,48418679481
24533,48418930581
24534,48419181900
24535,48419433296
24536,48419684416
24537,48419935532
24538,48420186625
24539,48420437797
24540,48420688901
24541,48420939984
24542,48421191064
24543,48421442233
24544,48421693380
24545,48421944484
24546,48422195604
24547,48422446708
24548,48422697868
24549,48422948997
24550,48423200113
24551,48423451309
24552,48423702440
24553,48423953533
24554,48424204657
24555,48424455796
24556,48424706896
24557,48424958000
24558,48425209100
24559,48425460228
24560,48425711333
24561,48425962425
24562,48426213596
24563,48426464764
24564,48426715904
24565,48426966988
24566,48427218096
24567,48427469220
24568,48427720319
24569,48427971388
24570,48428222493
24571,48428473648
24572,48428724736
24573,48428975865
24574,48429227024
24575,48429478241
24576,48429729437
24577,48429980573
24578,48430231749
24579,48430482948
24580,48430734176
24581,48430985272
24582,48431236456
24583,48431487612
24584,48431738792
24585,48431989912
24586,48432241120
24587,48432492344
24588,48432743481
24589,48432994589
24590,48433245793
24591,48433496917
24592,48433748112
24593,48433999280
24594,48434250441
24595,48434501580
24596,48434752696
24597,48435003797
24598,48435254993
24599,48435506209
24600,48435757345
24601,48436008413
24602,48436259553
24603,48436510693
24604,48436761788
24605,48437012857
24606,48437263991
24607,48437515100
24608,48437766281
24609,48438017393
24610,48438268501
24611,48438519632
24612,48438770701
24613,48439021816
24614,48439272960
24615,48439524081
24616,48439775164
24617,48440026249
24618,48440277352
24619,48440528500
24620,48440779601
24621,48441030705
24622,48441281925
24623,48441533577
24624,48441785105
24625,48442036781
24626,48442288520
24627,48442539657
24628,48442790772
24629,48443041945
24630,48443293120
24631,48443544232
24632,48443795321
24633,48444046433
24634,48444297604
24635,48444548752
24636,48444799893
24637,48445051052
24638,48445302196
24639,48445553361
24640,48445804485
24641,48446055580
24642,48446306773
24643,48446557937
24644,48446809069
24645,48447060260
24646,48447311421
24647,48447562604
24648,48447813713
24649,48448064801
24650,48448315916
24651,48448567024
24652,48448818137
24653,48449069349
24654,48449320557
24655,48449571688
24656,48449822752
24657,48450073892
24658,48450325049
24659,48450576189
24660,48450827309
24661,48451078400
24662,48451329756
24663,48451580893
24664,48451831997
24665,48452083161
24666,48452334301
24667,48452585397
24668,48452836481
24669,48453087548
24670,48453338716
24671,48453589877
24672,48453840949
24673,48454092077
24674,48454343201
24675,48454594301
24676,48454845388
24677,48455096480
24678,48455347580
24679,48455598673
24680,48455849788
24681,48456100913
24682,48456352109
24683,48456603252
24684,48456854352
24685,48457105437
24686,48457356632
24687,48457607776
24688,48457858873
24689,48458110008
24690,48458361197
24691,48458612356
24692,48458863448
24693,48459114577
24694,48459365808
24695,48459616912
24696,48459868096
24697,48460119252
24698,48460370725
24699,48460621913
24700,48460872996
24701,48461124132
24702,48461375264
24703,48461626388
24704,48461877496
24705,48462128620
24706,48462379797
24707,48462630928
24708,48462882420
24709,48463133597
24710,48463384824
24711,48463635976
24712,48463887132
24713,48464138328
24714,48464389505
24715,48464640660
24716,48464891821
24717,48465143044
24718,48465394288
24719,48465645409
24720,48465896561
24721,48466147772
24722,48466398916
24723,48466650089
24724,48466901240
24725,48467152385
24726,48467403488
24727,48467654628
24728,48467905725
24729,48468156825
24730,48468407992
24731,48468659128
24732,48468910241
24733,48469161361
24734,48469412505
24735,48469663621
24736,48469914752
24737,48470165961
24738,48470417164
24739,48470668344
24740,48470919456
24741,48471170588
24742,48471421768
24743,48471672909
24744,48471924116
24745,48472175304
24746,48472426513
24747,48472677648
24748,48472928812
24749,48473179932
24750,48473431133
24751,48473682292
24752,48473933437
24753,48474184620
24754,48474435796
24755,48474686965
24756,48474938153
24757,48475189305
24758,48475440469
24759,48475691621
24760,48475942736
24761,48476193844
24762,48476444961
24763,48476696093
24764,48476947197
24765,48477198356
24766,48477449485
24767,48477700601
24768,48477951660
24769,48478202793
24770,48478453892
24771,48478705024
24772,48478956077
24773,48479207189
24774,48479458321
24775,48479709457
24776,48479960613
24777,48480211765
24778,48480462889
24779,48480714028
24780,48480965112
24781,48481216220
24782,48481467349
24783,48481718477
24784,48481969576
24785,48482220744
24786,48482471896
24787,48482722973
24788,48482974064
24789,48483225249
24790,48483476360
24791,48483727452
24792,48483978524
24793,48484229597
24794,48484480760
24795,48484731849
24796,48484982916
24797,48485233996
24798,48485485101
24799,48485736293
24800,48485987380
24801,48486238548
24802,48486489669
24803,48486740868
24804,48486991948
24805,48487243080
24806,48487494204
24807,48487745337
24808,48487996413
24809,48488247541
24810,48488498652
24811,48488749788
24812,48489000924
24813,48489252097
24814,48489503224
24815,48489754352
24816,48490005421
24817,48490256584
24818,48490507792
24819,48490758989
24820,48491010113
24821,48491261284
24822,48491512409
24823,48491763525
24824,48492014677
24825,48492265800
24826,48492516908
24827,48492768004
24828,48493019096
24829,48493270213
24830,48493521357
24831,48493772436
24832,48494023513
24833,48494274677
24834,48494525804
24835,48494776893
24836,48495028037
24837,48495279252
24838,48495530397
24839,48495781489
24840,48496032565
24841,48496283669
24842,48496534804
24843,48496785921
24844,48497037044
24845,48497288153
24846,48497539268
24847,48497790416
24848,48498041516
24849,48498292673
24850,48498543817
24851,48498794960
24852,48499046048
24853,48499297220
24854,48499548317
24855,48499799404
24856,48500050496
24857,48500301584
24858,48500552741
24859,48500803797
24860,48501054905
24861,48501306085
24862,48501557193
24863,48501808369
24864,48502059461
24865,48502310617
24866,48502561752
24867,48502812880
24868,48503064049
24869,48503315201
24870,48503566308
24871,48503817385
24872,48504068480
24873,48504319608
24874,48504570721
24875,48504821785
24876,48505072940
24877,48505324069
24878,48505575241
24879,48505826349
24880,48506077637
24881,48506329265
24882,48506580381
24883,48506831473
24884,48507082624
24885,48507333789
24886,48507585001
24887,48507836140
24888,48508087265
24889,48508338500
24890,48508589597
24891,48508840700
24892,48509091792
24893,48509342944
24894,48509594068
24895,48509845153
24896,48510096276
24897,48510347453
24898,48510598604
24899,48510849689
24900,48511100681
24901,48511351840
24902,48511602985
24903,48511854125
24904,48512105180
24905,48512356289
24906,48512607408
24907,48512858517
24908,48513109605
24909,48513360737
24910,48513611901
24911,48513863004
24912,48514114113
24913,48514365324
24914,48514616424
24915,48514867496
24916,48515118621
24917,48515369761
24918,48515620865
24919,48515871989
24920,48516123136
24921,48516374296
24922,48516625480
24923,48516876545
24924,48517127660
24925,48517378768
24926,48517629868
24927,48517880984
24928,48518132085
24929,48518383208
24930,48518634364
24931,48518885444
24932,48519136649
24933,48519387789
24934,48519639008
24935,48519890141
24936,48520141284
24937,48520392461
24938,48520643609
24939,48520894724
24940,48521145829
24941,48521396957
24942,48521648120
24943,48521899225
24944,48522150348
24945,48522401465
24946,48522652585
24947,48522903681
24948,48523154808
24949,48523405976
24950,48523657168
24951,48523908281
24952,48524159388
24953,48524410549
24954,48524661688
24955,48524912764
24956,48525163884
