counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,47911696698,47911697281,0.583,13
1,Good,47911947773,47911948506,0.733,14
2,Good,47912199032,47912199704,0.672,15
3,Good,47912450238,47912450886,0.648,16
4,Good,47912701413,47912702034,0.621,17
5,Good,47912952548,47912953181,0.633,18
6,Good,47913203672,47913204316,0.644,19
7,Good,47913454804,47913457523,2.719,20
8,Good,47913708042,47913708661,0.619,21
9,Good,47913959203,47913959828,0.625,22
10,Good,47914210393,47914211029,0.636,23
11,Good,47914461539,47914462146,0.607,24
12,Good,47914712651,47914713263,0.612,25
13,Good,47914963763,47914964434,0.671,26
14,Good,47915215062,47915215699,0.637,27
15,Good,47915466238,47915466847,0.609,28
16,Good,47915717352,47915717949,0.597,29
17,Good,47915968450,47915969091,0.641,30
18,Good,47916219607,47916220219,0.612,31
19,Good,47916470718,47916471308,0.590,32
20,Good,47916721854,47916722479,0.625,33
21,Good,47916972982,47916973615,0.633,34
22,Good,47917224121,47917224762,0.641,35
23,Good,47917475258,47917475909,0.651,36
24,Good,47917726406,47917727002,0.596,37
25,Good,47917977508,47917978158,0.650,38
26,Good,47918228664,47918229285,0.621,39
27,Good,47918479785,47918480460,0.675,40
28,Good,47918730958,47918731586,0.628,41
29,Good,47918982142,47918982781,0.639,42
30,Good,47919233300,47919233908,0.608,43
31,Good,47919484444,47919485075,0.631,44
32,Good,47919735614,47919736211,0.597,45
33,Good,47919986797,47919987458,0.661,46
34,Good,47920238002,47920238642,0.640,47
35,Good,47920489176,47920489776,0.600,48
36,Good,47920740310,47920740936,0.626,49
37,Good,47920991474,47920992112,0.638,50
38,Good,47921242619,47921243235,0.616,51
39,Good,47921493739,47921494335,0.596,52
40,Good,47921744842,47921745455,0.613,53
41,Good,47921995999,47921996656,0.657,54
42,Good,47922247163,47922247777,0.614,55
43,Good,47922498313,47922498917,0.604,56
44,Good,47922749416,47922749995,0.579,57
45,Good,47923000490,47923001104,0.614,58
46,Good,47923251605,47923252230,0.625,59
47,Good,47923502775,47923503382,0.607,60
48,Good,47923753879,47923754488,0.609,61
49,Good,47924004983,47924005661,0.678,62
50,Good,47924256164,47924256776,0.612,63
