counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,48414148533,48414149161,0.628,24515
1,Good,48414399648,48414400284,0.636,24516
2,Good,48414650837,48414651466,0.629,24517
3,Good,48414902029,48414902682,0.653,24518
4,Good,48415153186,48415153827,0.641,24519
5,Good,48415404326,48415404925,0.599,24520
6,Good,48415655449,48415656042,0.593,24521
7,Good,48415906600,48415907277,0.677,24522
8,Good,48416157783,48416158425,0.642,24523
9,Good,48416408913,48416409542,0.629,24524
10,Good,48416660100,48416660712,0.612,24525
11,Good,48416911201,48416911862,0.661,24526
12,Good,48417162359,48417162972,0.613,24527
13,Good,48417413492,48417414083,0.591,24528
14,Good,48417664580,48417665223,0.643,24529
15,Good,48417915750,48417916430,0.680,24530
16,Good,48418166953,48418167572,0.619,24531
17,Good,48418418063,48418418660,0.597,24532
18,Good,48418669152,48418669746,0.594,24533
19,Good,48418920413,48418921082,0.669,24534
20,Good,48419171802,48419172486,0.684,24535
21,Good,48419422987,48419423583,0.596,24536
22,Good,48419674096,48419674689,0.593,24537
23,Good,48419925173,48419925793,0.620,24538
24,Good,48420176319,48420176949,0.630,24539
25,Good,48420427460,48420428047,0.587,24540
26,Good,48420678530,48420679116,0.586,24541
27,Good,48420929599,48420930205,0.606,24542
28,Good,48421180757,48421181394,0.637,24543
29,Good,48421431915,48421432512,0.597,24544
30,Good,48421683030,48421683614,0.584,24545
31,Good,48421934101,48421934731,0.630,24546
32,Good,48422185220,48422185843,0.623,24547
33,Good,48422436380,48422436984,0.604,24548
34,Good,48422687492,48422688102,0.610,24549
35,Good,48422938588,48422939251,0.663,24550
36,Good,48423189792,48423190441,0.649,24551
37,Good,48423440947,48423441532,0.585,24552
38,Good,48423692052,48423692645,0.593,24553
39,Good,48423943135,48423943763,0.628,24554
40,Good,48424194292,48424194906,0.614,24555
41,Good,48424445397,48424445982,0.585,24556
42,Good,48424696472,48424697075,0.603,24557
43,Good,48424947572,48424948197,0.625,24558
44,Good,48425198686,48425199308,0.622,24559
45,Good,48425449799,48425450417,0.618,24560
46,Good,48425700919,48425701502,0.583,24561
47,Good,48425952069,48425952682,0.613,24562
48,Good,48426203219,48426203882,0.663,24563
49,Good,48426454377,48426454957,0.580,24564
50,Good,48426705445,48426706034,0.589,24565
51,Good,48426956521,48426957160,0.639,24566
52,Good,48427207654,48427208278,0.624,24567
53,Good,48427458763,48427459367,0.604,24568
54,Good,48427709850,48427710430,0.580,24569
55,Good,48427960911,48427961546,0.635,24570
56,Good,48428212066,48428212688,0.622,24571
57,Good,48428463173,48428463769,0.596,24572
58,Good,48428714298,48428714901,0.603,24573
59,Good,48428965419,48428966092,0.673,24574
60,Good,48429216630,48429217288,0.658,24575
61,Good,48429467861,48429468465,0.604,24576
62,Good,48429718985,48429719583,0.598,24577
63,Good,48429970130,48429970790,0.660,24578
64,Good,48430221304,48430221994,0.690,24579
65,Good,48430472556,48430473184,0.628,24580
66,Good,48430723677,48430724275,0.598,24581
67,Good,48430974818,48430975465,0.647,24582
68,Good,48431225970,48431226626,0.656,24583
69,Good,48431477176,48431477788,0.612,24584
70,Good,48431728309,48431728912,0.603,24585
71,Good,48431979475,48431980133,0.658,24586
72,Good,48432230690,48432231347,0.657,24587
73,Good,48432481841,48432482457,0.616,24588
74,Good,48432732968,48432733569,0.601,24589
75,Good,48432984141,48432984766,0.625,24590
76,Good,48433235269,48433235925,0.656,24591
77,Good,48433486456,48433487076,0.620,24592
78,Good,48433737595,48433738224,0.629,24593
79,Good,48433988765,48433989396,0.631,24594
80,Good,48434239946,48434240546,0.600,24595
81,Good,48434491040,48434491642,0.602,24596
82,Good,48434742163,48434742745,0.582,24597
83,Good,48434993299,48434993946,0.647,24598
84,Good,48435244513,48435245160,0.647,24599
85,Good,48435495654,48435496277,0.623,24600
86,Good,48435746765,48435747346,0.581,24601
87,Good,48435997860,48435998487,0.627,24602
88,Good,48436249006,48436249627,0.621,24603
89,Good,48436500116,48436500706,0.590,24604
90,Good,48436751187,48436751774,0.587,24605
91,Good,48437002294,48437002899,0.605,24606
92,Good,48437253391,48437253997,0.606,24607
93,Good,48437504538,48437505192,0.654,24608
94,Good,48437755683,48437756298,0.615,24609
95,Good,48438006782,48438007409,0.627,24610
96,Good,48438257930,48438258533,0.603,24611
97,Good,48438509020,48438509600,0.580,24612
98,Good,48438760106,48438760699,0.593,24613
99,Good,48439011236,48439011878,0.642,24614
100,Good,48439262364,48439262965,0.601,24615
101,Good,48439513451,48439514040,0.589,24616
102,Good,48439764522,48439765120,0.598,24617
103,Good,48440015603,48440016228,0.625,24618
104,Good,48440266768,48440267374,0.606,24619
105,Good,48440517893,48440518467,0.574,24620
106,Good,48440768981,48440769556,0.575,24621
107,Good,48441020155,48441020802,0.647,24622
108,Good,48441271774,48441272427,0.653,24623
109,Good,48441523351,48441523957,0.606,24624
110,Good,48441775019,48441775637,0.618,24625
111,Good,48442026736,48442027361,0.625,24626
112,Good,48442277888,48442278514,0.626,24627
113,Good,48442529004,48442529588,0.584,24628
114,Good,48442780155,48442780790,0.635,24629
115,Good,48443031318,48443031942,0.624,24630
116,Good,48443282435,48443283049,0.614,24631
117,Good,48443533535,48443534137,0.602,24632
118,Good,48443784653,48443785251,0.598,24633
119,Good,48444035762,48444036448,0.686,24634
120,Good,48444286959,48444287578,0.619,24635
121,Good,48444538105,48444538682,0.577,24636
122,Good,48444789228,48444789867,0.639,24637
123,Good,48445040373,48445041007,0.634,24638
124,Good,48445291555,48445292166,0.611,24639
125,Good,48445542685,48445543258,0.573,24640
126,Good,48445793768,48445794376,0.608,24641
127,Good,48446044909,48446045575,0.666,24642
128,Good,48446296097,48446296720,0.623,24643
129,Good,48446547216,48446547825,0.609,24644
130,Good,48446798417,48446799037,0.620,24645
131,Good,48447049574,48447050191,0.617,24646
132,Good,48447300744,48447301357,0.613,24647
133,Good,48447551858,48447552462,0.604,24648
134,Good,48447802952,48447803563,0.611,24649
135,Good,48448054062,48448054680,0.618,24650
136,Good,48448305175,48448305775,0.600,24651
137,Good,48448556262,48448556892,0.630,24652
138,Good,48448807440,48448808120,0.680,24653
139,Good,48449058686,48449059316,0.630,24654
140,Good,48449309812,48449310414,0.602,24655
141,Good,48449560900,48449561479,0.579,24656
142,Good,48449812003,48449812616,0.613,24657
143,Good,48450063145,48450063779,0.634,24658
144,Good,48450314307,48450314907,0.600,24659
145,Good,48450565425,48450566027,0.602,24660
146,Good,48450816519,48450817262,0.743,24661
147,Good,48451067801,48451068467,0.666,24662
148,Good,48451318993,48451319614,0.621,24663
149,Good,48451570102,48451570688,0.586,24664
150,Good,48451821242,48451821885,0.643,24665
151,Good,48452072376,48452073005,0.629,24666
152,Good,48452323490,48452324090,0.600,24667
