counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,48162941156,48162941744,0.588,39.150000
1,Good,48163192212,48163193034,0.822,40.100000
2,Good,48163443564,48163444216,0.652,41.050000
3,Good,48163694722,48163695369,0.647,42.000000
4,Good,48163945873,48163946521,0.648,42.950000
5,Good,48164197026,48164197650,0.624,43.900000
6,Good,48164448152,48164448744,0.592,44.850000
7,Good,48164699234,48164699879,0.645,45.800000
8,Good,48164950376,48164951458,1.082,46.750000
9,Good,48165201958,48165203922,1.964,47.700000
10,Good,48165454420,48165455021,0.601,48.650000
11,Good,48165705548,48165706158,0.610,49.600000
12,Good,48165956653,48165957266,0.613,50.550000
13,Good,48166207774,48166208433,0.659,51.500000
14,Good,48166458966,48166459550,0.584,52.450000
15,Good,48166710048,48166710664,0.616,53.400000
16,Good,48166961163,48166961761,0.598,54.350000
17,Good,48167212262,48167212860,0.598,55.300000
18,Good,48167463359,48167463990,0.631,56.250000
19,Good,48167714491,48167715115,0.624,57.200000
20,Good,48167965620,48167966293,0.673,58.150000
21,Good,48168216816,48168217433,0.617,59.100000
22,Good,48168467970,48168468564,0.594,60.050000
23,Good,48168719067,48168719721,0.654,61.000000
24,Good,48168970278,48168970961,0.683,61.950000
25,Good,48169221491,48169222146,0.655,62.900000
26,Good,48169472664,48169473248,0.584,63.850000
27,Good,48169723779,48169724410,0.631,64.800000
28,Good,48169974937,48169975595,0.658,65.750000
29,Good,48170226132,48170226753,0.621,66.700000
30,Good,48170477262,48170477852,0.590,67.650000
31,Good,48170728359,48170728955,0.596,68.600000
32,Good,48170979446,48170980080,0.634,69.550000
33,Good,48171230593,48171231229,0.636,70.500000
34,Good,48171481735,48171482317,0.582,71.450000
35,Good,48171732811,48171733406,0.595,72.400000
36,Good,48171983942,48171984592,0.650,73.350000
37,Good,48172235103,48172235719,0.616,74.300000
38,Good,48172486263,48172486919,0.656,75.250000
39,Good,48172737429,48172738032,0.603,76.200000
40,Good,48172988531,48172989147,0.616,77.150000
41,Good,48173239653,48173240260,0.607,78.100000
42,Good,48173490757,48173491377,0.620,79.050000
43,Good,48173741906,48173742514,0.608,80.000000
44,Good,48173993013,48173993632,0.619,80.950000
45,Good,48174244131,48174244748,0.617,81.900000
46,Good,48174495246,48174495876,0.630,82.850000
47,Good,48174746370,48174746991,0.621,83.800000
48,Good,48174997484,48174998105,0.621,84.750000
49,Good,48175248604,48175249198,0.594,85.700000
50,Good,48175499695,48175500283,0.588,86.650000
