value_last_recv,timestamp_chg
13,34235826000
14,34236080000
15,34236334000
16,34236588000
17,34236842000
18,34237096000
19,34237349000
20,34237603000
21,34237856000
22,34238110000
23,34238364000
24,34238617000
25,34238871000
26,34239125000
27,34239379000
28,34239633000
29,34239887000
30,34240141000
31,34240395000
32,34240649000
33,34240903000
34,34241157000
35,34241412000
36,34241666000
37,34241920000
38,34242174000
39,34242428000
40,34242682000
41,34242937000
42,34243190000
43,34243445000
44,34243695000
45,34243950000
46,34244203000
47,34244457000
48,34244710000
49,34244964000
50,34245218000
51,34245472000
52,34245725000
53,34245979000
54,34246233000
55,34246486000
56,34246741000
57,34246994000
58,34247248000
59,34247502000
60,34247755000
61,34248009000
62,34248263000
63,34248517000
64,34248770000
65,34249024000
66,34249278000
67,34249532000
68,34249785000
69,34250039000
70,34250293000
71,34250547000
72,34250800000
73,34251055000
74,34251309000
75,34251563000
76,34251817000
77,34252071000
78,34252324000
79,34252579000
80,34252833000
81,34253086000
82,34253341000
83,34253595000
84,34253849000
85,34254103000
86,34254357000
87,34254611000
88,34254865000
89,34255119000
90,34255373000
91,34255627000
92,34255881000
93,34256135000
94,34256389000
95,34256643000
96,34256897000
97,34257151000
98,34257405000
99,34257659000
100,34257913000
101,34258167000
102,34258421000
103,34258675000
104,34258929000
105,34259186000
106,34259439000
107,34259693000
108,34259947000
109,34260200000
110,34260454000
111,34260707000
112,34260962000
113,34261216000
114,34261469000
115,34261723000
116,34261977000
117,34262230000
118,34262483000
119,34262737000
120,34262991000
121,34263245000
122,34263499000
123,34263753000
124,34264007000
125,34264262000
126,34264516000
127,34264770000
128,34265024000
129,34265277000
130,34265532000
131,34265786000
132,34266040000
133,34266294000
134,34266547000
135,34266802000
136,34267056000
137,34267309000
138,34267563000
139,34267817000
140,34268072000
141,34268326000
142,34268579000
143,34268833000
144,34269087000
145,34269342000
146,34269595000
147,34269849000
148,34270103000
149,34270357000
150,34270612000
151,34270866000
152,34271120000
153,34271374000
154,34271628000
155,34271882000
156,34272136000
157,34272389000
158,34272644000
159,34272898000
160,34273152000
161,34273406000
162,34273660000
163,34273914000
164,34274167000
165,34274422000
166,34274675000
167,34274929000
168,34275183000
169,34275437000
170,34275691000
171,34275945000
172,34276198000
173,34276453000
174,34276706000
175,34276960000
176,34277215000
177,34277468000
178,34277723000
179,34277976000
180,34278230000
181,34278485000
182,34278739000
183,34278993000
184,34279247000
185,34279501000
186,34279755000
187,34280009000
188,34280263000
189,34280517000
190,34280771000
191,34281026000
192,34281279000
193,34281533000
194,34281787000
195,34282041000
196,34282295000
197,34282549000
198,34282803000
199,34283057000
200,34283311000
201,34283565000
202,34283819000
203,34284073000
204,34284327000
205,34284580000
206,34284835000
207,34285089000
208,34285343000
209,34285597000
210,34285851000
211,34286105000
212,34286359000
213,34286613000
214,34286867000
215,34287122000
216,34287375000
217,34287629000
218,34287883000
219,34288137000
220,34288392000
221,34288645000
222,34288899000
223,34289153000
224,34289407000
225,34289660000
226,34289915000
227,34290169000
228,34290425000
229,34290678000
230,34290932000
231,34291185000
232,34291439000
233,34291692000
234,34291946000
235,34292200000
236,34292454000
237,34292708000
238,34292962000
239,34293216000
240,34293470000
241,34293724000
242,34293978000
243,34294232000
244,34294486000
245,34294740000
246,34294994000
247,34295249000
248,34295503000
249,34295757000
250,34296011000
251,34296266000
252,34296519000
253,34296774000
254,34297028000
255,34297283000
256,34297537000
257,34297790000
258,34298045000
259,34298299000
260,34298553000
261,34298807000
262,34299061000
263,34299315000
264,34299569000
265,34299823000
266,34300077000
267,34300331000
268,34300586000
269,34300839000
270,34301094000
271,34301348000
272,34301602000
273,34301856000
274,34302109000
275,34302364000
276,34302618000
277,34302871000
278,34303125000
279,34303379000
280,34303633000
281,34303887000
282,34304141000
283,34304395000
284,34304649000
285,34304903000
286,34305157000
287,34305411000
288,34305666000
289,34305920000
290,34306173000
291,34306428000
292,34306681000
293,34306935000
294,34307189000
295,34307442000
296,34307696000
297,34307950000
298,34308204000
299,34308458000
300,34308712000
301,34308966000
302,34309220000
303,34309474000
304,34309728000
305,34309982000
306,34310236000
307,34310490000
308,34310745000
309,34310999000
310,34311253000
311,34311508000
312,34311761000
313,34312016000
314,34312269000
315,34312523000
316,34312778000
317,34313032000
318,34313286000
319,34313540000
320,34313793000
321,34314048000
322,34314301000
323,34314556000
324,34314809000
325,34315063000
326,34315318000
327,34315571000
328,34315826000
329,34316079000
330,34316334000
331,34316588000
332,34316842000
333,34317096000
334,34317350000
335,34317604000
336,34317858000
337,34318112000
338,34318366000
339,34318620000
340,34318874000
341,34319128000
342,34319382000
343,34319636000
344,34319890000
345,34320144000
346,34320398000
347,34320652000
348,34320907000
349,34321161000
350,34321415000
351,34321669000
352,34321922000
353,34322176000
354,34322430000
355,34322683000
356,34322937000
357,34323191000
358,34323445000
359,34323699000
360,34323953000
361,34324207000
362,34324460000
363,34324715000
364,34324969000
365,34325223000
366,34325477000
367,34325730000
368,34325985000
369,34326239000
370,34326492000
371,34326747000
372,34327001000
373,34327255000
374,34327509000
375,34327763000
376,34328017000
377,34328271000
378,34328525000
379,34328779000
380,34329032000
381,34329287000
382,34329540000
383,34329795000
384,34330049000
385,34330302000
386,34330556000
387,34330810000
388,34331064000
389,34331318000
390,34331572000
391,34331826000
392,34332080000
393,34332334000
394,34332589000
395,34332842000
396,34333097000
397,34333350000
398,34333605000
399,34333859000
400,34334113000
401,34334367000
402,34334620000
403,34334875000
404,34335129000
405,34335383000
406,34335637000
407,34335890000
408,34336145000
409,34336399000
410,34336652000
411,34336907000
412,34337160000
413,34337414000
414,34337668000
415,34337922000
416,34338176000
417,34338430000
418,34338685000
419,34338939000
420,34339193000
421,34339447000
422,34339700000
423,34339955000
424,34340209000
425,34340462000
426,34340716000
427,34340970000
428,34341225000
429,34341478000
430,34341732000
431,34341986000
432,34342240000
433,34342494000
434,34342748000
435,34343002000
436,34343256000
437,34343510000
438,34343764000
439,34344018000
440,34344272000
441,34344526000
442,34344780000
443,34345034000
444,34345289000
445,34345543000
446,34345797000
447,34346051000
448,34346306000
449,34346560000
450,34346814000
451,34347068000
452,34347322000
453,34347576000
454,34347830000
455,34348084000
456,34348339000
457,34348592000
458,34348846000
459,34349100000
460,34349354000
461,34349608000
462,34349862000
463,34350116000
464,34350370000
465,34350624000
466,34350878000
467,34351132000
468,34351386000
469,34351640000
470,34351894000
471,34352148000
472,34352402000
473,34352656000
474,34363721000
475,34363974000
476,34364228000
477,34364482000
478,34364736000
479,34364990000
480,34365243000
481,34365497000
482,34365751000
483,34366005000
484,34366259000
485,34366512000
486,34366767000
487,34367020000
488,34367275000
489,34367529000
490,34367783000
491,34368037000
492,34368291000
493,34368546000
494,34368800000
495,34369054000
496,34369308000
497,34369562000
498,34369816000
499,34370070000
500,34370323000
501,34370578000
502,34370832000
503,34371086000
504,34371340000
505,34371594000
506,34371847000
507,34372101000
508,34372355000
509,34372609000
510,34372862000
511,34373117000
512,34373371000
513,34373626000
514,34373879000
515,34374133000
516,34374387000
517,34374641000
518,34374895000
519,34375148000
520,34375402000
521,34375656000
522,34375910000
523,34376165000
524,34376419000
525,34376672000
526,34376926000
527,34377180000
528,34377434000
529,34377688000
530,34377942000
531,34378196000
532,34378450000
533,34378704000
534,34378959000
535,34379212000
536,34379466000
537,34379720000
538,34379973000
539,34380227000
540,34380480000
541,34380734000
542,34380988000
543,34381242000
544,34381496000
545,34381750000
546,34382005000
547,34382259000
548,34382513000
549,34382767000
550,34383020000
551,34383275000
552,34383530000
553,34383783000
554,34384037000
555,34384290000
556,34384545000
557,34384799000
558,34385053000
559,34385307000
560,34385560000
561,34385814000
562,34386068000
563,34386322000
564,34386576000
565,34386830000
566,34387084000
567,34387338000
568,34387592000
569,34387846000
570,34388100000
571,34388355000
572,34388609000
573,34388863000
574,34389117000
575,34389370000
576,34389625000
577,34389880000
578,34390134000
579,34390388000
580,34390642000
581,34390896000
582,34391150000
583,34391404000
584,34391657000
585,34391911000
586,34392164000
587,34392418000
588,34392672000
589,34392926000
590,34393180000
591,34393434000
592,34393688000
593,34393942000
594,34394196000
595,34394450000
596,34394705000
597,34394959000
598,34395213000
599,34395467000
600,34395721000
601,34395976000
602,34396230000
603,34396485000
604,34396740000
605,34396994000
606,34397248000
607,34397502000
608,34397757000
609,34398012000
610,34398266000
611,34398521000
612,34398776000
613,34399030000
614,34399284000
615,34399540000
616,34399794000
617,34400049000
618,34400303000
619,34400558000
620,34400812000
621,34401067000
622,34401321000
623,34401576000
624,34401831000
625,34402086000
626,34402340000
627,34402594000
628,34402849000
629,34403104000
630,34403358000
631,34403612000
632,34403867000
633,34404122000
634,34404378000
635,34404632000
636,34404886000
637,34405140000
