value_last_recv,timestamp_chg
17653,36445232000
17654,36445487000
17655,36445743000
17656,36445998000
17657,36446253000
17658,36446507000
17659,36446763000
17660,36447017000
17661,36447272000
17662,36447527000
17663,36447782000
17664,36448037000
17665,36448292000
17666,36448547000
17667,36448802000
17668,36449057000
17669,36449312000
17670,36449567000
17671,36449822000
17672,36450077000
17673,36450332000
17674,36450586000
17675,36450841000
17676,36451096000
17677,36451351000
17678,36451605000
17679,36451859000
17680,36452114000
17681,36452368000
17682,36452623000
17683,36452877000
17684,36453132000
17685,36453386000
17686,36453641000
17687,36453895000
17688,36454150000
17689,36454405000
17690,36454659000
17691,36454914000
17692,36455169000
17693,36455423000
17694,36455677000
17695,36455932000
17696,36456186000
17697,36456441000
17698,36456695000
17699,36456951000
17700,36457205000
17701,36457459000
17702,36457714000
17703,36457968000
17704,36458223000
17705,36458477000
17706,36458732000
17707,36458986000
17708,36459241000
17709,36459495000
17710,36459750000
17711,36460005000
17712,36460259000
17713,36460513000
17714,36460768000
17715,36461023000
17716,36461277000
17717,36461532000
17718,36461786000
17719,36462041000
17720,36462295000
17721,36462550000
17722,36462805000
17723,36463059000
17724,36463315000
17725,36463569000
17726,36463823000
17727,36464078000
17728,36464333000
17729,36464587000
17730,36464842000
17731,36465096000
17732,36465351000
17733,36465605000
17734,36465861000
17735,36466115000
17736,36466369000
17737,36466624000
17738,36466878000
17739,36467133000
17740,36467388000
17741,36467642000
17742,36467897000
17743,36468152000
17744,36468406000
17745,36468661000
17746,36468915000
17747,36469171000
17748,36469425000
17749,36469679000
17750,36469934000
17751,36470188000
17752,36470443000
17753,36470697000
17754,36470952000
17755,36471206000
17756,36471461000
17757,36471716000
17758,36471971000
17759,36472225000
17760,36472480000
17761,36472734000
17762,36472988000
17763,36473243000
17764,36473497000
17765,36473751000
17766,36474006000
17767,36474261000
17768,36474515000
17769,36474771000
17770,36475025000
17771,36475279000
17772,36475534000
17773,36475791000
17774,36476046000
17775,36476301000
17776,36476556000
17777,36476812000
17778,36477066000
17779,36477321000
17780,36477576000
17781,36477832000
17782,36478086000
17783,36478341000
17784,36478596000
17785,36478851000
17786,36479106000
17787,36479361000
17788,36479615000
17789,36479871000
17790,36480125000
17791,36480381000
17792,36480635000
17793,36480891000
17794,36481145000
17795,36481399000
17796,36481654000
17797,36481908000
17798,36482163000
17799,36482417000
17800,36482672000
17801,36482926000
17802,36483181000
17803,36483435000
17804,36483690000
17805,36483945000
17806,36484199000
17807,36484454000
17808,36484709000
17809,36484963000
17810,36485217000
17811,36485473000
17812,36485727000
17813,36485982000
17814,36486237000
17815,36486492000
17816,36486747000
17817,36487002000
17818,36487257000
17819,36487512000
17820,36487767000
17821,36488022000
17822,36488277000
17823,36488532000
17824,36488787000
17825,36489042000
17826,36489297000
17827,36489552000
17828,36489807000
17829,36490062000
17830,36490317000
17831,36490572000
17832,36490827000
17833,36491082000
17834,36491337000
17835,36491592000
17836,36491847000
17837,36492102000
17838,36492357000
17839,36492612000
17840,36492866000
17841,36493121000
17842,36493376000
17843,36493631000
17844,36493885000
17845,36494140000
17846,36494394000
17847,36494649000
17848,36494904000
17849,36495159000
17850,36495413000
17851,36495668000
17852,36495923000
17853,36496178000
17854,36496433000
17855,36496688000
17856,36496943000
17857,36497197000
17858,36497453000
17859,36497707000
17860,36497963000
17861,36498217000
17862,36498472000
17863,36498727000
17864,36498982000
17865,36499237000
17866,36499492000
17867,36499746000
17868,36500001000
17869,36500256000
17870,36500511000
17871,36500765000
17872,36501021000
17873,36501275000
17874,36501531000
17875,36501786000
17876,36502041000
17877,36502296000
17878,36502551000
17879,36502806000
17880,36503062000
17881,36503316000
17882,36503572000
17883,36503827000
17884,36504082000
17885,36504337000
17886,36504591000
17887,36504845000
17888,36505101000
17889,36505355000
17890,36505610000
17891,36505865000
17892,36506121000
17893,36506375000
17894,36506631000
17895,36506886000
17896,36507141000
17897,36507396000
17898,36507651000
17899,36507906000
17900,36508161000
17901,36508416000
17902,36508671000
17903,36508926000
17904,36509181000
17905,36509436000
17906,36509692000
17907,36509946000
17908,36510201000
17909,36510456000
17910,36510711000
17911,36510965000
17912,36511221000
17913,36511475000
17914,36511731000
17915,36511986000
17916,36512241000
17917,36512495000
17918,36512751000
17919,36513006000
17920,36513261000
17921,36513515000
17922,36513770000
17923,36514025000
17924,36514281000
17925,36514538000
17926,36514793000
17927,36515048000
17928,36515302000
17929,36515557000
17930,36515811000
17931,36516066000
17932,36516322000
17933,36516577000
17934,36516832000
17935,36517087000
17936,36517343000
17937,36517598000
17938,36517854000
17939,36518109000
17940,36518364000
17941,36518619000
17942,36518874000
17943,36519128000
17944,36519383000
17945,36519637000
17946,36519892000
17947,36520147000
17948,36520402000
17949,36520657000
17950,36520913000
17951,36521168000
17952,36521423000
17953,36521678000
17954,36521933000
17955,36522188000
17956,36522443000
17957,36522697000
17958,36522952000
17959,36523207000
17960,36523463000
17961,36523717000
17962,36523973000
17963,36524227000
17964,36524483000
17965,36524737000
17966,36524992000
17967,36525248000
17968,36525502000
17969,36525757000
17970,36526011000
17971,36526265000
17972,36526521000
17973,36526775000
17974,36527029000
17975,36527284000
17976,36527538000
17977,36527793000
17978,36528047000
17979,36528303000
17980,36528557000
17981,36528812000
17982,36529067000
17983,36529321000
17984,36529576000
17985,36529831000
17986,36530086000
17987,36530341000
17988,36530595000
17989,36530851000
17990,36531106000
17991,36531361000
17992,36531616000
17993,36531871000
17994,36532126000
17995,36532381000
17996,36532636000
17997,36532891000
17998,36533146000
17999,36533401000
18000,36533656000
18001,36533911000
18002,36534166000
18003,36534421000
18004,36534676000
18005,36534931000
18006,36535186000
18007,36535441000
18008,36535696000
18009,36535951000
18010,36536206000
18011,36536461000
18012,36536715000
18013,36536970000
18014,36537224000
18015,36537479000
18016,36537734000
18017,36537989000
18018,36538243000
18019,36538498000
18020,36538754000
18021,36539009000
18022,36539264000
18023,36539519000
18024,36539773000
18025,36540028000
18026,36540283000
18027,36540537000
18028,36540791000
18029,36541046000
18030,36541301000
18031,36541555000
18032,36541809000
18033,36542064000
18034,36542318000
18035,36542574000
18036,36542828000
18037,36543082000
18038,36543337000
18039,36543592000
18040,36543847000
18041,36544101000
18042,36544355000
18043,36544611000
18044,36544865000
18045,36545120000
18046,36545375000
18047,36545629000
18048,36545884000
18049,36546138000
18050,36546393000
18051,36546648000
18052,36546903000
18053,36547157000
18054,36547412000
18055,36547666000
18056,36547921000
18057,36548175000
18058,36548430000
18059,36548684000
18060,36548939000
18061,36549193000
18062,36549448000
18063,36549703000
18064,36549957000
18065,36550212000
18066,36550466000
18067,36550721000
18068,36550976000
18069,36551231000
18070,36551485000
18071,36551739000
18072,36551995000
18073,36552249000
18074,36552503000
18075,36552758000
18076,36553013000
18077,36553267000
18078,36553522000
18079,36553776000
18080,36554031000
18081,36554286000
18082,36554541000
18083,36554795000
18084,36555049000
18085,36555304000
18086,36555558000
18087,36555813000
18088,36556067000
18089,36556322000
18090,36556576000
18091,36556831000
18092,36557086000
18093,36557342000
18094,36557602000
18095,36557856000
18096,36558111000
18097,36558365000
18098,36558620000
18099,36558875000
18100,36559129000
18101,36559384000
18102,36559638000
18103,36559893000
18104,36560147000
18105,36560402000
18106,36560657000
18107,36560912000
18108,36561166000
18109,36561421000
18110,36561675000
18111,36561931000
18112,36562185000
18113,36562439000
18114,36562694000
18115,36562948000
18116,36563203000
18117,36563457000
18118,36563712000
18119,36563967000
18120,36564221000
18121,36564475000
18122,36564731000
18123,36564985000
18124,36565239000
18125,36565494000
18126,36565748000
18127,36566003000
18128,36566258000
18129,36566513000
18130,36566769000
18131,36567024000
18132,36567279000
18133,36567535000
18134,36567789000
18135,36568048000
18136,36568303000
18137,36568557000
18138,36568812000
18139,36569066000
18140,36569321000
18141,36569575000
18142,36569830000
18143,36570085000
18144,36570339000
18145,36570594000
18146,36570848000
18147,36571103000
18148,36571357000
18149,36571612000
18150,36571867000
18151,36572122000
18152,36572377000
18153,36572632000
18154,36572886000
18155,36573141000
18156,36573396000
18157,36573651000
18158,36573906000
18159,36574161000
18160,36574416000
18161,36574671000
18162,36574927000
18163,36575182000
18164,36575437000
18165,36575692000
18166,36575947000
18167,36576202000
18168,36576456000
18169,36576711000
18170,36576966000
18171,36577221000
18172,36577476000
18173,36577731000
18174,36577986000
18175,36578241000
