value_last_recv,timestamp_chg
JGMVWaSqU3XSdMwksE8Mwj2bAZtX32r6xgC4Ra5TXtzPv3DE5H6dWgU3BhTbpWf7J4USKo4ZzANfpTA,36980002000
79dm4vD2bNhTKxAdJ6NoBWmCDqhUYWdZ7Rj4ZAgp5hmvrLnd4pUTcPS7rXTHyLW4NgZjMeG9FwQWe5y,36980477000
PdDn9LXRMwGyAfKHhq9d65PFkq3YsaTxE4yeoXw8h2SJszBvpG9HrtFvpf4rGjNSFGTDvKdFH6pNTb8,36980950000
BRUaGdpr2SA8nFf9vUF87ZLfbDwQmGeLH2MbAh4ak5fWdq7Xv6TBzkm5p4cadPTgvZoWB3xvhajotsQ,36981435000
WzE2ntMU8LewqvrAUbjGfrE94mdJqB3TfQzW67V2CJoFARsdXhuQTXwnyjCRJc5X4PaJ7fnuop6VxmM,36981907000
QT2mSxMbEaCj8UA9VE65yr9zJ3oas6nthgJU9McHTbR8JkMCBEam2vH5hBWeYzdak2pW6saqYgjKtCN,36982381000
rZ5HsStq9jrC3PYMXzh2FHvYx54toLXGzQuwMBCpSrn4UP9K4yTvWcywF52kvYB6nCVzbdqLAjoucRh,36982855000
xB7PvECVBNWeb2aYmJ4BHSNTgqpDZzv8DhHCnarMhjWAX4jHS53saKgewnqEY95KaXb3svKarcg6N5n,36983327000
6CfXM3JdAgzoPFkLjDEageKcCDGHz8ahm38AaBuFLsxQTvdfxsBMdtyFW2qvwf9SmKDqb8spwtUoQP6,36983803000
E9v8Rj92TJU8kd7gBoJanevpLz9SH2o6kUxTEnCoZhGQEmqAjusRHhNFvakrtbdYXQqocMyeY8ENh6v,36984276000
RtMrbJwtmCHAoQavYq52kyn4PBeCNwtL47Ff5heV47aKNM6Uc3Xwp5hNHRqXQYyuWcKQdGZeF5qcDwT,36984749000
XjFy9YDsfjUuSowaDuPTEa4AbURLJMNS3YFDpe7B5utHp8fn9e5Dp69saeMHgAvYM8rvsWCeHQUpSdh,36985222000
R7Yqhw569VvKxnyXu8kdwL5jREJas2RAzf3kuaA9rjpXZEbz8GnLEByeSrvRdJ7GSdJNKcxd69e3oD8,36985704000
VhP9RMQXBTCn7Vz4vDJUnRw8Ceqh7rnAVJ5GAeHzdNeofgrJNVB68MTKuoaTpCRxZs3Q6AcHCRTx9Hz,36986181000
k6q8Q5ucboUEAuxewREJAmRN4Aaw6rPxnsXS9KmLJZeQ2JtEvk7FQjTYtV5Upf7MebRXfmp39jGAsC2,36986655000
BrMhpadeVFGbdvomaqM5meX9qgLNvBpAgnxh4oJDbjqvkDLcsqBGErLqt6TGEwdNyAw3v9DzJ6rNEd9,36987128000
NS65KDWhETAudzycBGeZRwXxyGU7MPdKyqLvUNkAsTWwjYGFW2Y6dgfWvbtVwe9pAvzUKLfQDBAqZ9P,36987601000
T2yGsnQcqZNMXqQDCAmoajVRXs832NQSgMJCYnv5doMqQgSxekHoaQubgtkxMP7FHD4ARWyseErbakD,36988073000
tjnYwH3D6Zp5A2tFKEN4Udr3XTEz7UWkLHy9GBtpnCBGp5ezWUVZE6drZywM8FTxs4FDCdNqbpvNsYj,36988546000
8DR7KSoXb6mkNMg2UDxqbvM2NjfqwPbuqGfXLVmWbZX4oquDvE2PMzYtku7jMc24FaAcJqDFUwcT5z6,36989021000
5CRv6MjUWVRvwzCYdJEWNYL7XtsYNxJU4zs5RVxZbjuUd4onJpmqnFyhQzC6Hfcmb7Mpj3sbY9WmnPy,36989494000
4QMhgKG7ACYnNRqQfWPNwZyEUMeKWFrumJ5eRrbJHG8c7uDQNkzRpbvscz5CwK4VnADL8x5EqbWHhJP,36989967000
uaJAhx39CazuHs2JQbemyQY8ubEtrG8wuLTHDMcBf5pjKbMrm583kCZP7qHnXuDY76TbYWZsdCF3N5R,36990441000
2dYoA8tNkYMmHFTqukLaSN2JCbK9TYBAzkqSc5sm6WjvH2gtmzCqGWvFk8Z4MFcDTHYbxW5nEBK4aWb,36990913000
aeYNv436t5P2qj3LZ9HhWAtP92mSW4nuHBWK2d6ej7zuL6EQkAHBeauJP5Rk6XBjb2xPHonzZwYNqpM,36991398000
zaxKVUzomcDZCw6XnTgA5xowNer3SUodPJZ8xbrNXLpYWynw9qvGszeCJWHxuTZ6xnfYUmtJQZX34mh,36991872000
RoUj9quZAyFKT3Wo97ubshGYwgD2o8vEsuRSW5Bek8Aw7g6Kv43x5ubQS4NWJKHXNmkVBs7GkF6aQm4,36992345000
yMY7wHEpmMX5cH72PeQfk52obPMBWuo8agYc4JBy5qtvW5Zdp9qxW5mfSV42oQas6CjgYUWPqpNzFSf,36992817000
YtNvWEJsV5c6BzCftoTUHzoy6jPxZVSukFmzeRXDAUneLCta3o6sPMJGF3ehtFbaZMNgB6zwnhk6tLY,36993293000
5gkEsZTUmSeRynZ56EURM48JeUrMAXmtxAe5G6xQrBGjXEarLK2yon6MR8mYHpEyYZB7cm2zhHPQdxM,36993765000
AzQZ26DfW2QVANRnvaFo5YCScbdFTXuSERjP8w3C5qPcYjMgrwtMEaNHYchZCdk8B6qXwnMmAswyD2R,36994237000
SwAfCgktnTwquYR3f45TPmJcupM7YARS6uG4sqR8HQrukcFY2Mx5aD97GzsWYfFVGSmKBNM7oBC4kd2,36994709000
busTUbZyPQcWHYU3wahboK8VyJWCLkPAeC29hNMtHURp9joP4vQTDjU9nQcMENPKG8Vb4PMWrfzqyjr,36995183000
8bg7JXm5fNgEu2stPU4Rpca9q8gs7A3NCZRSynJKDBvQEAXuDLvECsYnPz9YB4rMexDmaCTtX7NZm8K,36995656000
RuPXe7MvkmKDHPNBxgPeCKyM6xFueZGQmEAHYSXFQKpysroUDF8rEZQG5BbrzaRLd5bCNFnfJHQ2dAN,36996128000
B9DLeAnNc6pWfqvD4sacCNbp948tBorXFZpWSDYwQqm4SrBVDGkPZx8vkeFpcbS89aRGqkoCnMWkgXR,36996762000
XfBc8jewz9Zk4Cd6PpkYbodh48kpZeBTCKgrbnQJygkaftNPuFftnEg4Dk5GacYRz26NvBUPnFzD7XP,36997293000
McKGbV3mQrYMxTkjWt4v9xHmrUqpVAnHJ5KeRq2ZPcXSzLDgNMbhXNTUznRhCmqKRaEFDCVuUzaRHbJ,36997770000
kc3RSAwjPELFbT4CPD594KSELyct67ezPgUjpvGMzwLdWgfznJymhs9MFKUyTHqPNh9UXc6rJGWkyc5,36998244000
s2zZJyG4B5Jhoj4nCFw5H2sXt9GPzbHw3WaGKHuRQGjXM4KYoAa56SGtE4qSGfvASL5Y7CoASUKyskz,36998716000
6aXyjecGg7UChZYzqJNUK9GYn3hCsqkthVXcCzqhAaRPrjLE7xJkRXsK2jgeNnaMA2DcNFX9uJgy6a8,36999190000
foSVxZq5c6B9hoE7KgoaWPDpL8jN52kcN7gtZ3AuVTGdwkUWjJQKYNpnbFqgDaHEsrgdaHuZk4hEdvn,36999662000
UbV9BR6hDcs6CbEeJgPueSpPnM2wg7MoQt5mFuXGskEQe9BGLrHpxyqVuosqR5vsXMVjfZvzYB5NsoK,37000134000
3jawMog5LYUb9J5g3QGVrnfPj2kftA9zYjs9SJQjmSCGxPcfA5E3vWQCLNVDBLKZwkjhLgF2vEUdGum,37000607000
rSmqGKETLAkaQFeqvG8mH9fwbpjRhwc2gsountdKTqrPev7BkTAgGnS2fMAt2ZcmP8BcGqzEN8RxUg8,37001081000
sAFm4ZgztK2Mcjo4fDYRZ9NET3BFpD5GYhdSgLchspg9UfaLDqnATyYGondxSWLnKk826sqUPuwbyCd,37001554000
6hxvDjzVC7rn4kQZKowPHcyJNwxhM49yENZXsY8PbDHRXFpwGvrZb9mzwCDsgqL2uQy9qZ3yf2DXx8Y,37002027000
L2XsBEhoaquKQY8FPn78A3dt4hoGkw9rUuVcZ8bS7pq6YHLXMuadySWocZaCoq7c5nmyoepDNwdZbtY,37002499000
ArZyCwFdGotnXqUuEYvN8KLTFaoH6qV932HV4o6y7eQXc4RbLsyM8VBgPe7VaKXoexm92ac7Qb4wyLK,37002972000
JmX7fZoeDMjc6DmNuMH7gpQZSrPpdmc9J54hKHyfgwm9qtdNmvsQbM7HgPrYzhkFdvHsokDSaYZ2ok8,37003445000
YgWBPbX69x8gRbDdhAmctGagTwx6FKJRexFJr7NnQzMVKrSzxa69m5w4qDJHL32WHLgpb25fUG2kMHE,37003918000
o4M8ab7h9c6dVEXLDvZNwJvp65t92W7XugRwXYrzn52ksWUfNsvQtMdZTegNhG8FkgGYqWsKPSL6hkN,37004393000
vkt9gcfL3JrnhfaKmPb6e9HB3E6Vu3jfM6ZKgtHCzpckNKR9rYfzFvm8oXkyGQhLZmjB9DeU3poZ5Vu,37004865000
PKe7DvNjqyhdgPyF8CWtzNpwxZNUm6XSode5MfK9eczDBdF7yjdUSQ8wVWMmGPkUrbGKNxuUtv5MNe9,37005338000
m3b2vzRhXAdtbqf3cJMWFxXbjc5BEhqabxsov5zw8XyHeKpDQVv8cy5FjxbXHeAaBVdraLQAYDuVQ7y,37005812000
y9GBTx2ZbTLtJRE8sKZUw8yCrSaEF84wqFcDkMWCdZEtA27g3pxeoUDdvKHAPFvQcX9epFxf7RThuSr,37006286000
KmXjy5eGJzyBpvsbF38oewrQCUkVwquvHToB97y5zQZWG938pjKX3opyUwj4uTcFD4VHqbDwPXVJDan,37006759000
7YPBVWYK2QwVypR2YjHrcLCjehKS5H3WfPsVqfSzTqFXcwfEL3Q5C8Tv327GbJCH4mY2W6LC2Wuz7Bn,37007233000
D35HPctBzwUe6KmWyDkPqu2B8T9yoYQXRKk2bEo53ymVjZC83m9SpMRzQJtLjbf7GoABdX86TxPqX47,37007706000
7JrwQKhRtyZdEtP8FcaeSkEv98GxXR8HZ2rU9qTYRVe4bm7Wp2GrdYjSH6bJqFkxYVGem8LxZQrDpMa,37008253000
GoAZgpsQKzB4mxY9qr7N9EmkRBNeJxoNzycnuU3LkmDeuMJNefh3jXxRoduBCWnDvVuPWyvmAGgfxER,37008727000
J9NoQuDmt2R8UpWEvjBenFxrwWJLowxGYEwRSvaehw5qWdYNSoK6ef4Y2k387CKjQ2Fv9Je7zLHVA3u,37009201000
UH679qFwAp96rzYemGXVthsPByjTahEFoGNcDm89KXfb8mBQKMujNa7zoZVYhb2kMRSHCuWhKMvCNhD,37009674000
RBbqeU7BqsWN5gRcAUZFe8GN6RU7o8bCzSHfAYJQVZ56L87Qz56sXFBuVvr7tbeZL2xUA46QnrTAEWu,37010147000
