counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,34235824198,34235827590,3.392,13
1,Good,34236078647,34236081757,3.110,14
2,Good,34236332525,34236335731,3.206,15
3,Good,34236586618,34236589713,3.095,16
4,Good,34236840234,34236844042,3.808,17
5,Good,34237094571,34237097795,3.224,18
6,Good,34237348326,34237351231,2.905,19
7,Good,34237601759,34237605272,3.513,20
8,Good,34237855766,34237858727,2.961,21
9,Good,34238109230,34238112249,3.019,22
10,Good,34238362766,34238365731,2.965,23
11,Good,34238616225,34238619159,2.934,24
12,Good,34238869686,34238873606,3.920,25
13,Good,34239124107,34239127409,3.302,26
14,Good,34239377936,34239381187,3.251,27
15,Good,34239631679,34239635375,3.696,28
16,Good,34239885863,34239889246,3.383,29
17,Good,34240139765,34240143745,3.980,30
18,Good,34240394239,34240397415,3.176,31
19,Good,34240647941,34240651098,3.157,32
20,Good,34240901667,34240905368,3.701,33
21,Good,34241155915,34241159242,3.327,34
22,Good,34241409775,34241413878,4.103,35
23,Good,34241664409,34241667799,3.390,36
24,Good,34241918311,34241921873,3.562,37
25,Good,34242172405,34242176162,3.757,38
26,Good,34242426715,34242430148,3.433,39
27,Good,34242680643,34242684771,4.128,40
28,Good,34242935282,34242938711,3.429,41
29,Good,34243189220,34243192956,3.736,42
30,Good,34243443458,34243447155,3.697,43
31,Good,34243697692,34243700596,2.904,44
32,Good,34243951105,34243955369,4.264,45
33,Good,34244205885,34244208818,2.933,46
34,Good,34244459321,34244462246,2.925,47
35,Good,34244712744,34244715754,3.010,48
36,Good,34244966262,34244969235,2.973,49
37,Good,34245219773,34245223648,3.875,50
38,Good,34245474200,34245477237,3.037,51
39,Good,34245727765,34245730675,2.910,52
40,Good,34245981196,34245984768,3.572,53
41,Good,34246235310,34246238364,3.054,54
42,Good,34246488885,34246492380,3.495,55
43,Good,34246742947,34246745959,3.012,56
44,Good,34246996490,34246999565,3.075,57
45,Good,34247250112,34247253658,3.546,58
46,Good,34247504167,34247507284,3.117,59
47,Good,34247757835,34247760839,3.004,60
48,Good,34248011367,34248015139,3.772,61
49,Good,34248265685,34248268760,3.075,62
50,Good,34248519263,34248522340,3.077,63
51,Good,34248772833,34248775921,3.088,64
52,Good,34249026425,34249029478,3.053,65
53,Good,34249280086,34249283725,3.639,66
54,Good,34249534221,34249537200,2.979,67
55,Good,34249787714,34249790703,2.989,68
56,Good,34250041206,34250044946,3.740,69
57,Good,34250295456,34250298518,3.062,70
58,Good,34250549313,34250552200,2.887,71
59,Good,34250802916,34250805993,3.077,72
60,Good,34251056689,34251060099,3.410,73
61,Good,34251310817,34251314506,3.689,74
62,Good,34251565321,34251568234,2.913,75
63,Good,34251819086,34251822213,3.127,76
64,Good,34252073146,34252076154,3.008,77
65,Good,34252326720,34252329704,2.984,78
66,Good,34252580236,34252584217,3.981,79
67,Good,34252834758,34252838141,3.383,80
68,Good,34253088656,34253092146,3.490,81
69,Good,34253342666,34253346662,3.996,82
70,Good,34253597197,34253600672,3.475,83
71,Good,34253851183,34253855093,3.910,84
72,Good,34254105664,34254109143,3.479,85
73,Good,34254359673,34254363378,3.705,86
74,Good,34254613927,34254617269,3.342,87
75,Good,34254867800,34254871071,3.271,88
76,Good,34255121640,34255125399,3.759,89
77,Good,34255375968,34255379113,3.145,90
78,Good,34255629652,34255633316,3.664,91
79,Good,34255883810,34255887096,3.286,92
80,Good,34256137645,34256140991,3.346,93
81,Good,34256391570,34256395336,3.766,94
82,Good,34256645844,34256649029,3.185,95
83,Good,34256899523,34256902705,3.182,96
84,Good,34257153216,34257156458,3.242,97
85,Good,34257406978,34257410318,3.340,98
86,Good,34257660876,34257664727,3.851,99
87,Good,34257915286,34257918669,3.383,100
88,Good,34258169194,34258172449,3.255,101
89,Good,34258422997,34258426655,3.658,102
90,Good,34258677210,34258680407,3.197,103
91,Good,34258930935,34258935011,4.076,104
92,Good,34259185574,34259188716,3.142,105
93,Good,34259439226,34259442213,2.987,106
94,Good,34259692707,34259695983,3.276,107
95,Good,34259946471,34259949589,3.118,108
96,Good,34260200097,34260203328,3.231,109
97,Good,34260453838,34260456757,2.919,110
98,Good,34260707246,34260710326,3.080,111
99,Good,34260960816,34260964944,4.128,112
100,Good,34261215469,34261218438,2.969,113
101,Good,34261468925,34261471874,2.949,114
102,Good,34261722359,34261725750,3.391,115
103,Good,34261976239,34261979380,3.141,116
104,Good,34262229878,34262232866,2.988,117
105,Good,34262483351,34262486372,3.021,118
106,Good,34262736858,34262739762,2.904,119
107,Good,34262990250,34262994186,3.936,120
108,Good,34263244678,34263248064,3.386,121
109,Good,34263498562,34263502008,3.446,122
110,Good,34263752495,34263756414,3.919,123
111,Good,34264006902,34264010433,3.531,124
112,Good,34264260927,34264265011,4.084,125
113,Good,34264515495,34264518981,3.486,126
114,Good,34264769493,34264772892,3.399,127
115,Good,34265023380,34265026882,3.502,128
116,Good,34265277376,34265280549,3.173,129
117,Good,34265531045,34265535064,4.019,130
118,Good,34265785601,34265789083,3.482,131
119,Good,34266039573,34266042733,3.160,132
120,Good,34266293246,34266296938,3.692,133
121,Good,34266547484,34266550608,3.124,134
122,Good,34266801154,34266805016,3.862,135
123,Good,34267055542,34267058763,3.221,136
124,Good,34267309287,34267312477,3.190,137
125,Good,34267563005,34267566518,3.513,138
126,Good,34267817040,34267820217,3.177,139
127,Good,34268070732,34268074721,3.989,140
128,Good,34268325240,34268328656,3.416,141
129,Good,34268579229,34268582525,3.296,142
