counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,36445257473,36445265408,7.935,17653
1,Good,36445516447,36445520129,3.682,17654
2,Good,36445771101,36445775640,4.539,17655
3,Good,36446026826,36446030858,4.032,17656
4,Good,36446281387,36446285704,4.317,17657
5,Good,36446536208,36446540469,4.261,17658
6,Good,36446790979,36446795392,4.413,17659
7,Good,36447045907,36447050172,4.265,17660
8,Good,36447300676,36447305070,4.394,17661
9,Good,36447555574,36447559859,4.285,17662
10,Good,36447810356,36447815078,4.722,17663
11,Good,36448065575,36448069808,4.233,17664
12,Good,36448320308,36448325090,4.782,17665
13,Good,36448575595,36448579860,4.265,17666
14,Good,36448830360,36448834986,4.626,17667
15,Good,36449085490,36449089878,4.388,17668
16,Good,36449340424,36449345222,4.798,17669
17,Good,36449595729,36449599851,4.122,17670
18,Good,36449850353,36449855103,4.750,17671
19,Good,36450105608,36450109541,3.933,17672
20,Good,36450360047,36450365196,5.149,17673
21,Good,36450615694,36450619471,3.777,17674
22,Good,36450870018,36450874688,4.670,17675
23,Good,36451125202,36451128834,3.632,17676
24,Good,36451379335,36451383649,4.314,17677
25,Good,36451634178,36451637912,3.734,17678
26,Good,36451888450,36451892761,4.311,17679
27,Good,36452143261,36452147166,3.905,17680
28,Good,36452397682,36452401586,3.904,17681
29,Good,36452652113,36452655998,3.885,17682
30,Good,36452906541,36452910249,3.708,17683
31,Good,36453160749,36453165119,4.370,17684
32,Good,36453415623,36453419508,3.885,17685
33,Good,36453670040,36453674330,4.290,17686
34,Good,36453924834,36453928659,3.825,17687
35,Good,36454179163,36454183545,4.382,17688
36,Good,36454434101,36454438073,3.972,17689
37,Good,36454688573,36454692913,4.340,17690
38,Good,36454943413,36454947220,3.807,17691
39,Good,36455197775,36455201670,3.895,17692
40,Good,36455452167,36455455901,3.734,17693
41,Good,36455706398,36455710108,3.710,17694
42,Good,36455960610,36455965182,4.572,17695
43,Good,36456215676,36456219322,3.646,17696
44,Good,36456469824,36456474175,4.351,17697
45,Good,36456724676,36456728779,4.103,17698
46,Good,36456979281,36456983808,4.527,17699
47,Good,36457234311,36457238093,3.782,17700
48,Good,36457488599,36457493037,4.438,17701
49,Good,36457743536,36457747272,3.736,17702
50,Good,36457997769,36458001705,3.936,17703
51,Good,36458252207,36458256030,3.823,17704
52,Good,36458506537,36458510235,3.698,17705
53,Good,36458760737,36458765077,4.340,17706
54,Good,36459015580,36459019281,3.701,17707
55,Good,36459269787,36459274259,4.472,17708
56,Good,36459524769,36459528494,3.725,17709
57,Good,36459779003,36459783360,4.357,17710
58,Good,36460033857,36460037822,3.965,17711
59,Good,36460288363,36460292364,4.001,17712
60,Good,36460542865,36460546866,4.001,17713
61,Good,36460797367,36460801307,3.940,17714
62,Good,36461051813,36461056770,4.957,17715
63,Good,36461307276,36461310971,3.695,17716
64,Good,36461561483,36461565523,4.040,17717
