counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,33097454925,33097458033,3.108,39.150000
1,Good,33097708580,33097711649,3.069,40.100000
2,Good,33097962175,33097965530,3.355,41.050000
3,Good,33098216082,33098219278,3.196,42.000000
4,Good,33098469803,33098473713,3.910,42.950000
5,Good,33098724301,33098727585,3.284,43.900000
6,Good,33098978161,33098981336,3.175,44.850000
7,Good,33099231884,33099235228,3.344,45.800000
8,Good,33099485771,33099488908,3.137,46.750000
9,Good,33099739446,33099743306,3.860,47.700000
10,Good,33099993843,33099997242,3.399,48.650000
11,Good,33100247787,33100250917,3.130,49.600000
12,Good,33100501463,33100505284,3.821,50.550000
13,Good,33100755824,33100758952,3.128,51.500000
14,Good,33101009495,33101013052,3.557,52.450000
15,Good,33101263595,33101266865,3.270,53.400000
16,Good,33101517406,33101520291,2.885,54.350000
17,Good,33101770835,33101774925,4.090,55.300000
18,Good,33102025463,33102028664,3.201,56.250000
19,Good,33102279206,33102283036,3.830,57.200000
20,Good,33102533582,33102536855,3.273,58.150000
21,Good,33102787394,33102790717,3.323,59.100000
22,Good,33103041257,33103045000,3.743,60.050000
23,Good,33103295548,33103298867,3.319,61.000000
24,Good,33103549420,33103553424,4.004,61.950000
25,Good,33103803968,33103807167,3.199,62.900000
26,Good,33104057711,33104060961,3.250,63.850000
27,Good,33104311504,33104315145,3.641,64.800000
28,Good,33104565696,33104568984,3.288,65.750000
29,Good,33104819518,33104823591,4.073,66.700000
30,Good,33105074152,33105077521,3.369,67.650000
31,Good,33105328113,33105331530,3.417,68.600000
32,Good,33105582095,33105585797,3.702,69.550000
33,Good,33105836388,33105839839,3.451,70.500000
34,Good,33106090370,33106094424,4.054,71.450000
35,Good,33106344954,33106348260,3.306,72.400000
36,Good,33106598790,33106602024,3.234,73.350000
37,Good,33106852551,33106855843,3.292,74.300000
38,Good,33107106373,33107109595,3.222,75.250000
39,Good,33107360133,33107363939,3.806,76.200000
40,Good,33107614466,33107617624,3.158,77.150000
41,Good,33107868160,33107871569,3.409,78.100000
42,Good,33108122146,33108125529,3.383,79.050000
43,Good,33108376077,33108379420,3.343,80.000000
44,Good,33108629980,33108633889,3.909,80.950000
45,Good,33108884476,33108887918,3.442,81.900000
46,Good,33109138463,33109141728,3.265,82.850000
47,Good,33109392296,33109395558,3.262,83.800000
48,Good,33109646129,33109649298,3.169,84.750000
49,Good,33109899824,33109903680,3.856,85.700000
50,Good,33110154193,33110157279,3.086,86.650000
51,Good,33110407805,33110410916,3.111,87.600000
52,Good,33110661442,33110665171,3.729,88.550000
53,Good,33110915697,33110919081,3.384,89.500000
54,Good,33111169616,33111173588,3.972,90.450000
55,Good,33111424175,33111427347,3.172,91.400000
56,Good,33111677881,33111681102,3.221,92.350000
57,Good,33111931633,33111935615,3.982,93.300000
58,Good,33112186204,33112189556,3.352,94.250000
59,Good,33112440090,33112443814,3.724,95.200000
60,Good,33112694415,33112697733,3.318,96.150000
61,Good,33112948353,33112951719,3.366,97.100000
62,Good,33113202298,33113206852,4.554,98.050000
63,Good,33113457413,33113460814,3.401,99.000000
64,Good,33113711396,33113715369,3.973,99.950000
65,Good,33113965992,33113969350,3.358,100.900000
66,Good,33114219970,33114224079,4.109,101.850000
67,Good,33114474631,33114477855,3.224,102.800000
68,Good,33114728430,33114731730,3.300,103.750000
69,Good,33114982320,33114985866,3.546,104.700000
70,Good,33115236456,33115239850,3.394,105.650000
71,Good,33115490385,33115494706,4.321,106.600000
72,Good,33115745234,33115748595,3.361,107.550000
73,Good,33115999121,33116002898,3.777,108.500000
74,Good,33116253426,33116256759,3.333,109.450000
75,Good,33116507313,33116510278,2.965,110.400000
76,Good,33116760874,33116764569,3.695,111.350000
77,Good,33117015149,33117018395,3.246,112.300000
78,Good,33117268932,33117271979,3.047,113.250000
79,Good,33117522581,33117525825,3.244,114.200000
80,Good,33117776447,33117779825,3.378,115.150000
81,Good,33118030435,33118034582,4.147,116.100000
82,Good,33118285174,33118288663,3.489,117.050000
83,Good,33118539255,33118542983,3.728,118.000000
84,Good,33118793517,33118797051,3.534,118.950000
85,Good,33119047579,33119051024,3.445,119.900000
86,Good,33119301546,33119305515,3.969,120.850000
87,Good,33119556043,33119559496,3.453,121.800000
88,Good,33119810082,33119814318,4.236,122.750000
89,Good,33120064843,33120068298,3.455,123.700000
90,Good,33120318808,33120322040,3.232,124.650000
91,Good,33120572589,33120576024,3.435,125.600000
92,Good,33120826546,33120829495,2.949,126.550000
93,Good,33121080035,33121083632,3.597,127.500000
94,Good,33121334201,33121337485,3.284,128.450000
95,Good,33121588024,33121591264,3.240,129.400000
96,Good,33121841791,33121845624,3.833,130.350000
97,Good,33122096157,33122099259,3.102,131.300000
98,Good,33122349779,33122353886,4.107,132.250000
99,Good,33122604443,33122607680,3.237,133.200000
100,Good,33122858206,33122861318,3.112,134.150000
101,Good,33123111849,33123115673,3.824,135.100000
102,Good,33123366196,33123369285,3.089,136.050000
103,Good,33123619821,33123623750,3.929,137.000000
104,Good,33123874329,33123877598,3.269,137.950000
105,Good,33124128137,33124131342,3.205,138.900000
106,Good,33124381877,33124385651,3.774,139.850000
107,Good,33124636196,33124639232,3.036,140.800000
108,Good,33124889765,33124893755,3.990,141.750000
109,Good,33125144317,33125147596,3.279,142.700000
110,Good,33125398155,33125401390,3.235,143.650000
111,Good,33125651915,33125655696,3.781,144.600000
112,Good,33125906221,33125909442,3.221,145.550000
113,Good,33126159967,33126163832,3.865,146.500000
114,Good,33126414357,33126417552,3.195,147.450000
115,Good,33126668077,33126671271,3.194,148.400000
116,Good,33126921803,33126926020,4.217,149.350000
117,Good,33127176557,33127179764,3.207,150.300000
118,Good,33127430295,33127434210,3.915,151.250000
119,Good,33127684734,33127688089,3.355,152.200000
120,Good,33127938617,33127941873,3.256,153.150000
121,Good,33128192435,33128196183,3.748,154.100000
122,Good,33128446706,33128450178,3.472,155.050000
123,Good,33128700704,33128704831,4.127,156.000000
124,Good,33128955360,33128958690,3.330,156.950000
125,Good,33129209233,33129212570,3.337,157.900000
126,Good,33129463094,33129466237,3.143,158.850000
127,Good,33129716760,33129719939,3.179,159.800000
128,Good,33129970473,33129974312,3.839,160.750000
129,Good,33130224898,33130228244,3.346,161.700000
130,Good,33130478769,33130482116,3.347,162.650000
131,Good,33130732654,33130736197,3.543,163.600000
132,Good,33130986738,33130990190,3.452,164.550000
133,Good,33131240726,33131244623,3.897,165.500000
134,Good,33131495202,33131498368,3.166,166.450000
135,Good,33131748948,33131752183,3.235,167.400000
136,Good,33132002724,33132006244,3.520,168.350000
137,Good,33132256790,33132260038,3.248,169.300000
138,Good,33132510582,33132514400,3.818,170.250000
139,Good,33132764940,33132767892,2.952,171.200000
140,Good,33133018437,33133021869,3.432,172.150000
141,Good,33133272455,33133276351,3.896,173.100000
142,Good,33133526896,33133530370,3.474,174.050000
143,Good,33133780914,33133785006,4.092,175.000000
144,Good,33134035552,33134038882,3.330,175.950000
145,Good,33134289471,33134292799,3.328,176.900000
146,Good,33134543340,33134546437,3.097,177.850000
147,Good,33134796977,33134800289,3.312,178.800000
148,Good,33135050860,33135054862,4.002,179.750000
149,Good,33135305407,33135308409,3.002,180.700000
150,Good,33135558957,33135562282,3.325,181.650000
151,Good,33135813139,33135816531,3.392,182.600000
152,Good,33136067075,33136070427,3.352,183.550000
153,Good,33136321004,33136324922,3.918,184.500000
154,Good,33136575467,33136578529,3.062,185.450000
155,Good,33136829077,33136832304,3.227,186.400000
156,Good,33137082851,33137086388,3.537,187.350000
157,Good,33137336968,33137340213,3.245,188.300000
158,Good,33137590750,33137594580,3.830,189.250000
159,Good,33137845123,33137848403,3.280,190.200000
160,Good,33138098990,33138102180,3.190,191.150000
161,Good,33138352779,33138356470,3.691,192.100000
162,Good,33138607024,33138610211,3.187,193.050000
163,Good,33138860755,33138864643,3.888,194.000000
164,Good,33139115189,33139118552,3.363,194.950000
165,Good,33139369151,33139372222,3.071,195.900000
166,Good,33139623040,33139626449,3.409,196.850000
167,Good,33139876996,33139880221,3.225,197.800000
168,Good,33140130761,33140134637,3.876,198.750000
169,Good,33140385184,33140388452,3.268,199.700000
170,Good,33140639002,33140642157,3.155,200.650000
171,Good,33140892712,33140896676,3.964,201.600000
172,Good,33141147222,33141150529,3.307,202.550000
173,Good,33141401068,33141405270,4.202,203.500000
174,Good,33141655814,33141659112,3.298,204.450000
175,Good,33141909707,33141913136,3.429,205.400000
176,Good,33142163739,33142167116,3.377,206.350000
177,Good,33142418376,33142421965,3.589,207.300000
178,Good,33142673212,33142676684,3.472,208.250000
179,Good,33142927953,33142931305,3.352,209.200000
180,Good,33143183011,33143186659,3.648,210.150000
181,Good,33143437910,33143441314,3.404,211.100000
182,Good,33143693123,33143696575,3.452,212.050000
183,Good,33143947738,33143950771,3.033,213.000000
184,Good,33144201974,33144205847,3.873,213.950000
185,Good,33144457162,33144460419,3.257,214.900000
186,Good,33144712255,33144716029,3.774,215.850000
187,Good,33144966594,33144969636,3.042,216.800000
188,Good,33145220201,33145224351,4.150,217.750000
189,Good,33145474906,33145478241,3.335,218.700000
190,Good,33145728787,33145732186,3.399,219.650000
191,Good,33145982718,33145986466,3.748,220.600000
192,Good,33146237014,33146240235,3.221,221.550000
193,Good,33146490824,33146494676,3.852,222.500000
194,Good,33146745226,33146748459,3.233,223.450000
