counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,36979819077,36980054122,235.045,JGMVWaSqU3XSdMwksE8Mwj2bAZtX32r6xgC4Ra5TXtzPv3DE5H6dWgU3BhTbpWf7J4USKo4ZzANfpTA
1,Good,36980304725,36980528737,224.012,79dm4vD2bNhTKxAdJ6NoBWmCDqhUYWdZ7Rj4ZAgp5hmvrLnd4pUTcPS7rXTHyLW4NgZjMeG9FwQWe5y
2,Good,36980779321,36981003080,223.759,PdDn9LXRMwGyAfKHhq9d65PFkq3YsaTxE4yeoXw8h2SJszBvpG9HrtFvpf4rGjNSFGTDvKdFH6pNTb8
3,Good,36981253660,36981486501,232.841,BRUaGdpr2SA8nFf9vUF87ZLfbDwQmGeLH2MbAh4ak5fWdq7Xv6TBzkm5p4cadPTgvZoWB3xvhajotsQ
4,Good,36981737078,36981959740,222.662,WzE2ntMU8LewqvrAUbjGfrE94mdJqB3TfQzW67V2CJoFARsdXhuQTXwnyjCRJc5X4PaJ7fnuop6VxmM
5,Good,36982210312,36982433337,223.025,QT2mSxMbEaCj8UA9VE65yr9zJ3oas6nthgJU9McHTbR8JkMCBEam2vH5hBWeYzdak2pW6saqYgjKtCN
6,Good,36982683913,36982906548,222.635,rZ5HsStq9jrC3PYMXzh2FHvYx54toLXGzQuwMBCpSrn4UP9K4yTvWcywF52kvYB6nCVzbdqLAjoucRh
7,Good,36983157126,36983380607,223.481,xB7PvECVBNWeb2aYmJ4BHSNTgqpDZzv8DhHCnarMhjWAX4jHS53saKgewnqEY95KaXb3svKarcg6N5n
8,Good,36983631194,36983854604,223.410,6CfXM3JdAgzoPFkLjDEageKcCDGHz8ahm38AaBuFLsxQTvdfxsBMdtyFW2qvwf9SmKDqb8spwtUoQP6
9,Good,36984105174,36984327613,222.439,E9v8Rj92TJU8kd7gBoJanevpLz9SH2o6kUxTEnCoZhGQEmqAjusRHhNFvakrtbdYXQqocMyeY8ENh6v
10,Good,36984578235,36984801193,222.958,RtMrbJwtmCHAoQavYq52kyn4PBeCNwtL47Ff5heV47aKNM6Uc3Xwp5hNHRqXQYyuWcKQdGZeF5qcDwT
11,Good,36985051772,36985273630,221.858,XjFy9YDsfjUuSowaDuPTEa4AbURLJMNS3YFDpe7B5utHp8fn9e5Dp69saeMHgAvYM8rvsWCeHQUpSdh
12,Good,36985524202,36985760096,235.894,R7Yqhw569VvKxnyXu8kdwL5jREJas2RAzf3kuaA9rjpXZEbz8GnLEByeSrvRdJ7GSdJNKcxd69e3oD8
13,Good,36986010670,36986233002,222.332,VhP9RMQXBTCn7Vz4vDJUnRw8Ceqh7rnAVJ5GAeHzdNeofgrJNVB68MTKuoaTpCRxZs3Q6AcHCRTx9Hz
14,Good,36986483576,36986706473,222.897,k6q8Q5ucboUEAuxewREJAmRN4Aaw6rPxnsXS9KmLJZeQ2JtEvk7FQjTYtV5Upf7MebRXfmp39jGAsC2
15,Good,36986957045,36987180328,223.283,BrMhpadeVFGbdvomaqM5meX9qgLNvBpAgnxh4oJDbjqvkDLcsqBGErLqt6TGEwdNyAw3v9DzJ6rNEd9
16,Good,36987430895,36987653281,222.386,NS65KDWhETAudzycBGeZRwXxyGU7MPdKyqLvUNkAsTWwjYGFW2Y6dgfWvbtVwe9pAvzUKLfQDBAqZ9P
17,Good,36987903853,36988125765,221.912,T2yGsnQcqZNMXqQDCAmoajVRXs832NQSgMJCYnv5doMqQgSxekHoaQubgtkxMP7FHD4ARWyseErbakD
18,Good,36988376389,36988597939,221.550,tjnYwH3D6Zp5A2tFKEN4Udr3XTEz7UWkLHy9GBtpnCBGp5ezWUVZE6drZywM8FTxs4FDCdNqbpvNsYj
19,Good,36988848609,36989072447,223.838,8DR7KSoXb6mkNMg2UDxqbvM2NjfqwPbuqGfXLVmWbZX4oquDvE2PMzYtku7jMc24FaAcJqDFUwcT5z6
20,Good,36989323021,36989545621,222.600,5CRv6MjUWVRvwzCYdJEWNYL7XtsYNxJU4zs5RVxZbjuUd4onJpmqnFyhQzC6Hfcmb7Mpj3sbY9WmnPy
21,Good,36989796202,36990018635,222.433,4QMhgKG7ACYnNRqQfWPNwZyEUMeKWFrumJ5eRrbJHG8c7uDQNkzRpbvscz5CwK4VnADL8x5EqbWHhJP
22,Good,36990269399,36990492985,223.586,uaJAhx39CazuHs2JQbemyQY8ubEtrG8wuLTHDMcBf5pjKbMrm583kCZP7qHnXuDY76TbYWZsdCF3N5R
23,Good,36990743565,36990965403,221.838,2dYoA8tNkYMmHFTqukLaSN2JCbK9TYBAzkqSc5sm6WjvH2gtmzCqGWvFk8Z4MFcDTHYbxW5nEBK4aWb
24,Good,36991215980,36991450670,234.690,aeYNv436t5P2qj3LZ9HhWAtP92mSW4nuHBWK2d6ej7zuL6EQkAHBeauJP5Rk6XBjb2xPHonzZwYNqpM
25,Good,36991701250,36991923881,222.631,zaxKVUzomcDZCw6XnTgA5xowNer3SUodPJZ8xbrNXLpYWynw9qvGszeCJWHxuTZ6xnfYUmtJQZX34mh
