value_last_recv,timestamp_chg
20653,31556903062
20654,31557155704
20655,31557407679
20656,31557659653
20657,31557911628
20658,31558163603
20659,31558415578
20660,31558667553
20661,31558919527
20662,31559171502
20663,31559423477
20664,31559675452
20665,31559927427
20666,31560179401
20667,31560431376
20668,31560683351
20669,31560935326
20670,31561187967
20671,31561439942
20672,31561691917
20673,31561943892
20674,31562196533
20675,31562448508
20676,31562701816
20677,31562954457
20678,31563207765
20679,31563461073
20680,31563713715
20681,31563967023
20682,31564219664
20683,31564472972
20684,31564726280
20685,31564978921
20686,31565232229
20687,31565484204
20688,31565736179
20689,31565988820
20690,31566240795
20691,31566492770
20692,31566744745
20693,31566997386
20694,31567249361
20695,31567501336
20696,31567753311
20697,31568005285
20698,31568257260
20699,31568509235
20700,31568761210
20701,31569013185
20702,31569265159
20703,31569517134
20704,31569769109
20705,31570021084
20706,31570273059
20707,31570525700
20708,31570777675
20709,31571029650
20710,31571281624
20711,31571533599
20712,31571785574
20713,31572037549
20714,31572289524
20715,31572541498
20716,31572793473
20717,31573045448
20718,31573297423
20719,31573549398
20720,31573801372
20721,31574053347
20722,31574305322
20723,31574557963
20724,31574809938
20725,31575061913
20726,31575313888
20727,31575565863
20728,31575818504
20729,31576071812
20730,31576324453
20731,31576577761
20732,31576831069
20733,31577083711
20734,31577337019
20735,31577589660
20736,31577842968
20737,31578095610
20738,31578348918
20739,31578600892
20740,31578852867
20741,31579104842
20742,31579356817
20743,31579608792
20744,31579860766
20745,31580112741
20746,31580364716
20747,31580616691
20748,31580869332
20749,31581121307
20750,31581373282
20751,31581625257
20752,31581877231
20753,31582129206
20754,31582381181
20755,31582633156
20756,31582885131
20757,31583137105
20758,31583389080
20759,31583641055
20760,31583893030
20761,31584145005
20762,31584397646
20763,31584649621
20764,31584901596
20765,31585153570
20766,31585405545
20767,31585657520
20768,31585909495
20769,31586161470
20770,31586413444
20771,31586665419
20772,31586917394
20773,31587169369
20774,31587421344
20775,31587673318
20776,31587925293
20777,31588177935
20778,31588430576
20779,31588683884
20780,31588936525
20781,31589189833
20782,31589442475
20783,31589695783
20784,31589948424
20785,31590201732
20786,31590454374
20787,31590707682
20788,31590960990
20789,31591212964
20790,31591465606
20791,31591717581
20792,31591969555
20793,31592221530
20794,31592474172
20795,31592726146
20796,31592978121
20797,31593230096
20798,31593482071
20799,31593734046
20800,31593986020
20801,31594237995
20802,31594489970
20803,31594741945
20804,31594993920
20805,31595245894
20806,31595497869
20807,31595749844
20808,31596001819
20809,31596253794
20810,31596506435
20811,31596758410
20812,31597010385
20813,31597262359
20814,31597514334
20815,31597766309
20816,31598018284
20817,31598270259
20818,31598522233
20819,31598774208
20820,31599026183
20821,31599278158
20822,31599530133
20823,31599782107
20824,31600034749
20825,31600286724
20826,31600538698
20827,31600790673
20828,31601042648
20829,31601295289
20830,31601548597
20831,31601801239
20832,31602054547
20833,31602307855
20834,31602560496
20835,31602813804
20836,31603066446
20837,31603319754
20838,31603572395
20839,31603825703
20840,31604077678
20841,31604330986
20842,31604582961
20843,31604834935
20844,31605086910
20845,31605338885
20846,31605590860
20847,31605842835
20848,31606094809
20849,31606346784
20850,31606598759
20851,31606850734
20852,31607102709
20853,31607354683
20854,31607606658
20855,31607859300
20856,31608111274
20857,31608363249
20858,31608615224
20859,31608867199
20860,31609119174
20861,31609371148
20862,31609623123
20863,31609875098
20864,31610127073
20865,31610379048
20866,31610631022
20867,31610882997
20868,31611134972
20869,31611386947
20870,31611639588
20871,31611891563
20872,31612143538
20873,31612395513
20874,31612647487
20875,31612899462
20876,31613151437
20877,31613403412
20878,31613655387
20879,31613907361
20880,31614160669
20881,31614413311
20882,31614666619
20883,31614919260
20884,31615172568
20885,31615425210
20886,31615678518
20887,31615931826
20888,31616184467
20889,31616437775
20890,31616690416
20891,31616943724
20892,31617196366
20893,31617448341
20894,31617700982
20895,31617952957
20896,31618204932
20897,31618456906
20898,31618708881
20899,31618960856
20900,31619212831
20901,31619464806
20902,31619716780
20903,31619968755
20904,31620220730
20905,31620472705
20906,31620724680
20907,31620976654
20908,31621228629
20909,31621480604
20910,31621733245
20911,31621985220
20912,31622237195
20913,31622489170
20914,31622741145
20915,31622993119
20916,31623245094
20917,31623497069
20918,31623749044
20919,31624001019
20920,31624252993
20921,31624504968
20922,31624756943
20923,31625008918
20924,31625261559
20925,31625512867
20926,31625764842
20927,31626017484
20928,31626269458
20929,31626521433
20930,31626773408
20931,31627025383
20932,31627277358
20933,31627530666
20934,31627783307
20935,31628036615
20936,31628289256
20937,31628542564
20938,31628795206
20939,31629048514
20940,31629301822
20941,31629554463
20942,31629807771
20943,31630059746
20944,31630312387
20945,31630565695
20946,31630817670
20947,31631069645
20948,31631321620
20949,31631573595
20950,31631825569
20951,31632077544
20952,31632329519
20953,31632581494
20954,31632833469
20955,31633085443
20956,31633338085
20957,31633590060
20958,31633842034
20959,31634094009
20960,31634345984
20961,31634597959
20962,31634849934
20963,31635101908
20964,31635353883
20965,31635605858
