counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,30801362822,30801364795,2,13
1,Good,30801615522,30801616903,1,14
2,Good,30801867474,30801868871,1,15
3,Good,30802119431,30802120878,1,16
4,Good,30802371455,30802372926,1,17
5,Good,30802623451,30802624935,1,18
6,Good,30802875470,30802876931,1,19
7,Good,30803127447,30803128959,2,20
8,Good,30803379438,30803380979,2,21
9,Good,30803631435,30803633082,2,22
10,Good,30803883434,30803885046,2,23
11,Good,30804135467,30804137066,2,24
12,Good,30804387463,30804389055,2,25
13,Good,30804639435,30804641091,2,26
14,Good,30804891431,30804893098,2,27
15,Good,30805143427,30805145103,2,28
16,Good,30805395471,30805397134,2,29
17,Good,30805647499,30805649175,2,30
18,Good,30805899427,30805901182,2,31
19,Good,30806151415,30806153182,2,32
20,Good,30806403450,30806405235,2,33
21,Good,30806655498,30806657234,2,34
22,Good,30806907435,30806909234,2,35
23,Good,30807159434,30807161290,2,36
24,Good,30807411430,30807413278,2,37
25,Good,30807663431,30807665310,2,38
26,Good,30807915463,30807917314,2,39
27,Good,30808167451,30808169367,2,40
28,Good,30808419415,30808421362,2,41
29,Good,30808671415,30808673419,2,42
30,Good,30808924447,30808926415,2,43
31,Good,30809177454,30809179422,2,44
32,Good,30809430422,30809432466,2,45
33,Good,30809683423,30809684463,1,46
34,Good,30809935471,30809937491,2,47
35,Good,30810188427,30810189510,1,48
36,Good,30810440435,30810441506,1,49
37,Good,30810692431,30810693570,1,50
38,Good,30810944418,30810945586,1,51
39,Good,30811196471,30811197582,1,52
40,Good,30811448455,30811449614,1,53
41,Good,30811700422,30811701619,1,54
42,Good,30811952423,30811953646,1,55
43,Good,30812204414,30812205666,1,56
44,Good,30812456467,30812457679,1,57
45,Good,30812708446,30812709695,1,58
46,Good,30812960418,30812961699,1,59
47,Good,30813212418,30813213714,1,60
48,Good,30813464430,30813465746,1,61
49,Good,30813716447,30813717806,1,62
50,Good,30813968430,30813969794,1,63
51,Good,30814220439,30814221838,1,64
52,Good,30814472427,30814473867,1,65
53,Good,30814724422,30814725874,1,66
54,Good,30814976455,30814977890,1,67
55,Good,30815228426,30815229894,1,68
56,Good,30815480423,30815481915,1,69
57,Good,30815732426,30815733947,2,70
58,Good,30815984423,30815985942,2,71
59,Good,30816236447,30816238026,2,72
60,Good,30816488426,30816490051,2,73
61,Good,30816740423,30816741999,2,74
62,Good,30816992427,30816994063,2,75
63,Good,30817244427,30817246038,2,76
64,Good,30817496454,30817498102,2,77
65,Good,30817748426,30817750078,2,78
66,Good,30818000443,30818002126,2,79
67,Good,30818252423,30818254114,2,80
68,Good,30818504419,30818506162,2,81
69,Good,30818756535,30818758207,2,82
70,Good,30819008435,30819010171,2,83
71,Good,30819260422,30819262206,2,84
72,Good,30819512434,30819514265,2,85
73,Good,30819764446,30819766230,2,86
74,Good,30820016446,30820018263,2,87
75,Good,30820268427,30820270267,2,88
76,Good,30820520431,30820522370,2,89
77,Good,30820772431,30820774326,2,90
78,Good,30821024431,30821026334,2,91
79,Good,30821276478,30821278342,2,92
80,Good,30821528418,30821530375,2,93
81,Good,30821780427,30821782402,2,94
82,Good,30822033418,30822035459,2,95
83,Good,30822286514,30822288499,2,96
84,Good,30822539430,30822540466,1,97
85,Good,30822791427,30822793466,2,98
86,Good,30823044435,30823045526,1,99
87,Good,30823296467,30823297498,1,100
88,Good,30823548427,30823549519,1,101
89,Good,30823800430,30823801547,1,102
90,Good,30824052418,30824053570,1,103
91,Good,30824304430,30824305662,1,104
92,Good,30824556459,30824557587,1,105
93,Good,30824808447,30824809619,1,106
94,Good,30825060419,30825061654,1,107
95,Good,30825312430,30825313646,1,108
96,Good,30825564422,30825565682,1,109
97,Good,30825816431,30825817691,1,110
98,Good,30826068430,30826069742,1,111
