counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,31556852003,31556854946,3,20653
1,Good,31557105519,31557107026,2,20654
2,Good,31557357467,31557359063,2,20655
3,Good,31557609423,31557611043,2,20656
4,Good,31557861438,31557863082,2,20657
5,Good,31558113438,31558115086,2,20658
6,Good,31558365439,31558367110,2,20659
7,Good,31558617454,31558619126,2,20660
8,Good,31558869434,31558871127,2,20661
9,Good,31559121427,31559123159,2,20662
10,Good,31559373434,31559375214,2,20663
11,Good,31559625439,31559627187,2,20664
12,Good,31559877443,31559879243,2,20665
13,Good,31560129430,31560131227,2,20666
14,Good,31560381419,31560383239,2,20667
15,Good,31560633414,31560635282,2,20668
16,Good,31560885459,31560887274,2,20669
17,Good,31561137442,31561139302,2,20670
18,Good,31561389426,31561391307,2,20671
19,Good,31561641427,31561643350,2,20672
20,Good,31561893422,31561895410,2,20673
21,Good,31562146463,31562148374,2,20674
22,Good,31562398431,31562400422,2,20675
23,Good,31562651407,31562653423,2,20676
24,Good,31562904414,31562906467,2,20677
25,Good,31563157439,31563159467,2,20678
26,Good,31563410415,31563412482,2,20679
27,Good,31563663430,31563665559,2,20680
28,Good,31563916434,31563918522,2,20681
29,Good,31564169422,31564171558,2,20682
30,Good,31564422423,31564424567,2,20683
31,Good,31564675439,31564677578,2,20684
32,Good,31564928426,31564930643,2,20685
33,Good,31565181418,31565182626,1,20686
34,Good,31565433435,31565434647,1,20687
35,Good,31565685443,31565687658,2,20688
36,Good,31565938419,31565939670,1,20689
37,Good,31566190431,31566191719,1,20690
38,Good,31566442430,31566443735,1,20691
39,Good,31566694426,31566695738,1,20692
40,Good,31566946486,31566947730,1,20693
41,Good,31567198422,31567199807,1,20694
42,Good,31567450418,31567451818,1,20695
43,Good,31567702426,31567703806,1,20696
44,Good,31567954419,31567955867,1,20697
45,Good,31568206435,31568207847,1,20698
46,Good,31568458467,31568459878,1,20699
47,Good,31568710431,31568711886,1,20700
48,Good,31568962422,31568963910,1,20701
49,Good,31569214431,31569215927,1,20702
50,Good,31569466435,31569467998,2,20703
51,Good,31569718427,31569719991,2,20704
52,Good,31569970426,31569971986,2,20705
53,Good,31570222411,31570224019,2,20706
54,Good,31570474423,31570476062,2,20707
55,Good,31570726447,31570728058,2,20708
56,Good,31570978422,31570980067,2,20709
57,Good,31571230415,31571232082,2,20710
58,Good,31571482418,31571484178,2,20711
59,Good,31571734419,31571736126,2,20712
60,Good,31571986435,31571988146,2,20713
61,Good,31572238442,31572240158,2,20714
62,Good,31572490415,31572492202,2,20715
63,Good,31572742410,31572744207,2,20716
64,Good,31572994427,31572996222,2,20717
65,Good,31573246450,31573248255,2,20718
66,Good,31573498423,31573500278,2,20719
67,Good,31573750414,31573752287,2,20720
68,Good,31574002418,31574004303,2,20721
69,Good,31574254423,31574256339,2,20722
70,Good,31574506454,31574508347,2,20723
71,Good,31574758455,31574760362,2,20724
72,Good,31575010415,31575012382,2,20725
73,Good,31575262415,31575264382,2,20726
74,Good,31575514426,31575516435,2,20727
75,Good,31575767435,31575769478,2,20728
76,Good,31576020442,31576022466,2,20729
77,Good,31576273427,31576275491,2,20730
78,Good,31576526431,31576528519,2,20731
79,Good,31576779430,31576781547,2,20732
80,Good,31577032423,31577034515,2,20733
81,Good,31577285474,31577287567,2,20734
82,Good,31577538434,31577540591,2,20735
83,Good,31577791423,31577793623,2,20736
84,Good,31578044431,31578046767,2,20737
85,Good,31578297447,31578298618,1,20738
86,Good,31578549419,31578550646,1,20739
87,Good,31578801431,31578802650,1,20740
88,Good,31579053430,31579054698,1,20741
89,Good,31579305475,31579306730,1,20742
90,Good,31579557455,31579558746,1,20743
91,Good,31579809430,31579810744,1,20744
92,Good,31580061419,31580062767,1,20745
93,Good,31580313422,31580314826,1,20746
94,Good,31580565443,31580566835,1,20747
95,Good,31580817450,31580818834,1,20748
96,Good,31581069438,31581070870,1,20749
97,Good,31581321435,31581322870,1,20750
98,Good,31581573414,31581574879,1,20751
99,Good,31581825463,31581826902,1,20752
100,Good,31582077446,31582078938,1,20753
101,Good,31582329426,31582330970,2,20754
102,Good,31582581438,31582582970,2,20755
103,Good,31582833422,31582835002,2,20756
104,Good,31583085430,31583087027,2,20757
105,Good,31583337455,31583339050,2,20758
106,Good,31583589430,31583591078,2,20759
107,Good,31583841426,31583843051,2,20760
108,Good,31584093431,31584095102,2,20761
109,Good,31584345463,31584347107,2,20762
110,Good,31584597450,31584599191,2,20763
111,Good,31584849427,31584851135,2,20764
112,Good,31585101431,31585103150,2,20765
