counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,31053188778,31053191162,2,989.150000
1,Good,31053441462,31053443234,2,990.100000
2,Good,31053693427,31053695250,2,991.050000
3,Good,31053945466,31053947251,2,992.000000
4,Good,31054197451,31054199275,2,992.950000
5,Good,31054449439,31054451278,2,993.900000
6,Good,31054701418,31054703302,2,994.850000
7,Good,31054953422,31054955330,2,995.800000
8,Good,31055205482,31055207338,2,996.750000
9,Good,31055457462,31055459390,2,997.700000
10,Good,31055710434,31055712383,2,998.650000
11,Good,31055962418,31055964463,2,999.600000
12,Good,31056215438,31056217418,2,1000.550000
13,Good,31056468451,31056469459,1,1001.500000
14,Good,31056720430,31056721471,1,1002.450000
15,Good,31056972414,31056973522,1,1003.400000
16,Good,31057224403,31057225550,1,1004.350000
17,Good,31057476427,31057477535,1,1005.300000
18,Good,31057728427,31057729551,1,1006.250000
19,Good,31057980423,31057981591,1,1007.200000
20,Good,31058232426,31058233586,1,1008.150000
21,Good,31058484439,31058485631,1,1009.100000
22,Good,31058736430,31058737614,1,1010.050000
23,Good,31058988410,31058989678,1,1011.000000
24,Good,31059240423,31059241663,1,1011.950000
25,Good,31059492431,31059493694,1,1012.900000
26,Good,31059744426,31059745683,1,1013.850000
27,Good,31059996442,31059997727,1,1014.800000
28,Good,31060248446,31060249750,1,1015.750000
29,Good,31060500423,31060501758,1,1016.700000
30,Good,31060752426,31060753778,1,1017.650000
31,Good,31061004419,31061005810,1,1018.600000
32,Good,31061256495,31061257818,1,1019.550000
33,Good,31061508431,31061509835,1,1020.500000
34,Good,31061760418,31061761851,1,1021.450000
35,Good,31062012427,31062013867,1,1022.400000
36,Good,31062264427,31062265906,1,1023.350000
37,Good,31062516435,31062517931,1,1024.300000
38,Good,31062768435,31062769938,2,1025.250000
39,Good,31063020426,31063021966,2,1026.200000
40,Good,31063272410,31063273982,2,1027.150000
41,Good,31063524423,31063526023,2,1028.100000
42,Good,31063776443,31063778026,2,1029.050000
43,Good,31064028430,31064030062,2,1030.000000
44,Good,31064280426,31064282051,2,1030.950000
45,Good,31064532423,31064534083,2,1031.900000
46,Good,31064784434,31064786127,2,1032.850000
47,Good,31065036446,31065038143,2,1033.800000
48,Good,31065288415,31065290134,2,1034.750000
49,Good,31065540418,31065542154,2,1035.700000
50,Good,31065792423,31065794194,2,1036.650000
51,Good,31066044435,31066046179,2,1037.600000
52,Good,31066296451,31066298211,2,1038.550000
53,Good,31066548427,31066550299,2,1039.500000
54,Good,31066800427,31066802230,2,1040.450000
55,Good,31067052414,31067054263,2,1041.400000
56,Good,31067304427,31067306283,2,1042.350000
57,Good,31067556463,31067558347,2,1043.300000
58,Good,31067808430,31067810354,2,1044.250000
59,Good,31068060439,31068062339,2,1045.200000
60,Good,31068312415,31068314378,2,1046.150000
61,Good,31068564422,31068566387,2,1047.100000
62,Good,31068816434,31068818398,2,1048.050000
63,Good,31069069427,31069071423,2,1049.000000
64,Good,31069322431,31069324450,2,1049.950000
65,Good,31069575470,31069576466,1,1050.900000
66,Good,31069827446,31069828495,1,1051.850000
67,Good,31070079418,31070080490,1,1052.800000
68,Good,31070331423,31070332514,1,1053.750000
69,Good,31070583423,31070584531,1,1054.700000
70,Good,31070835434,31070836563,1,1055.650000
71,Good,31071087434,31071088590,1,1056.600000
72,Good,31071339434,31071340606,1,1057.550000
73,Good,31071591418,31071592619,1,1058.500000
74,Good,31071843430,31071844634,1,1059.450000
75,Good,31072095443,31072096647,1,1060.400000
76,Good,31072347479,31072348687,1,1061.350000
77,Good,31072599430,31072600690,1,1062.300000
78,Good,31072851434,31072852715,1,1063.250000
79,Good,31073103427,31073104735,1,1064.200000
80,Good,31073355487,31073356750,1,1065.150000
81,Good,31073607439,31073608770,1,1066.100000
82,Good,31073859430,31073860799,1,1067.050000
83,Good,31074111415,31074112795,1,1068.000000
84,Good,31074363422,31074364823,1,1068.950000
85,Good,31074615435,31074616839,1,1069.900000
86,Good,31074867430,31074868863,1,1070.850000
87,Good,31075119426,31075120879,1,1071.800000
88,Good,31075371414,31075372942,2,1072.750000
89,Good,31075623414,31075624943,2,1073.700000
90,Good,31075875459,31075876978,2,1074.650000
91,Good,31076127438,31076128978,2,1075.600000
92,Good,31076379430,31076380994,2,1076.550000
93,Good,31076631418,31076633002,2,1077.500000
94,Good,31076883427,31076885027,2,1078.450000
95,Good,31077135439,31077137062,2,1079.400000
96,Good,31077387455,31077389071,2,1080.350000
97,Good,31077639422,31077641095,2,1081.300000
98,Good,31077891426,31077893094,2,1082.250000
99,Good,31078143427,31078145130,2,1083.200000
100,Good,31078395459,31078397154,2,1084.150000
