value_last_recv,timestamp_chg
20653,57320224000
20654,57320476000
20655,57320726000
20656,57320977000
20657,57321229000
20658,57321479000
20659,57321730000
20660,57321981000
20661,57322233000
20662,57322483000
20663,57322734000
20664,57322985000
20665,57323237000
20666,57323487000
20667,57323738000
20668,57323989000
20669,57324241000
20670,57324491000
20671,57324742000
20672,57324993000
20673,57325244000
20674,57325495000
20675,57325746000
20676,57325997000
20677,57326248000
20678,57326499000
20679,57326750000
20680,57327001000
20681,57327252000
20682,57327503000
20683,57327754000
20684,57328005000
20685,57328256000
20686,57328507000
20687,57328758000
20688,57329009000
20689,57329260000
20690,57329511000
20691,57329762000
20692,57330013000
20693,57330264000
20694,57330515000
20695,57330766000
20696,57331017000
20697,57331268000
20698,57331519000
20699,57331770000
20700,57332021000
20701,57332272000
20702,57332523000
20703,57332774000
20704,57333025000
20705,57333276000
20706,57333527000
20707,57333778000
20708,57334029000
20709,57334280000
20710,57334531000
20711,57334782000
20712,57335033000
20713,57335284000
20714,57335535000
20715,57335786000
20716,57336037000
20717,57336288000
20718,57336539000
20719,57336789000
20720,57337041000
20721,57337292000
20722,57337543000
20723,57337793000
20724,57338045000
20725,57338296000
20726,57338547000
20727,57338797000
20728,57339049000
20729,57339300000
20730,57339551000
20731,57339801000
20732,57340053000
20733,57340304000
20734,57340555000
20735,57340805000
20736,57341057000
20737,57341308000
20738,57341559000
20739,57341809000
20740,57342061000
20741,57342312000
20742,57342563000
20743,57342813000
20744,57343065000
20745,57343316000
20746,57343566000
20747,57343817000
20748,57344069000
20749,57344320000
20750,57344570000
20751,57344821000
20752,57345073000
20753,57345324000
20754,57345574000
20755,57345825000
20756,57346077000
20757,57346328000
20758,57346578000
20759,57346829000
20760,57347081000
20761,57347332000
20762,57347582000
20763,57347833000
20764,57348085000
20765,57348336000
20766,57348586000
20767,57348837000
20768,57349089000
20769,57349339000
20770,57349590000
20771,57349841000
20772,57350093000
20773,57350343000
20774,57350594000
20775,57350845000
20776,57351097000
20777,57351347000
20778,57351598000
20779,57351849000
20780,57352101000
20781,57352351000
20782,57352602000
20783,57352853000
20784,57353105000
20785,57353355000
20786,57353606000
20787,57353857000
20788,57354109000
20789,57354359000
20790,57354610000
20791,57354861000
20792,57355113000
20793,57355364000
20794,57355615000
20795,57355866000
20796,57356117000
20797,57356368000
20798,57356619000
20799,57356870000
20800,57357121000
20801,57357372000
20802,57357623000
20803,57357874000
20804,57358125000
20805,57358376000
20806,57358627000
20807,57358878000
20808,57359129000
20809,57359380000
20810,57359631000
20811,57359882000
20812,57360133000
20813,57360384000
20814,57360635000
20815,57360886000
20816,57361137000
20817,57361388000
20818,57361639000
20819,57361890000
20820,57362141000
20821,57362392000
20822,57362643000
20823,57362894000
20824,57363145000
20825,57363396000
20826,57363647000
20827,57363898000
20828,57364149000
20829,57364400000
