value_last_recv,timestamp_chg
13,58154949352
14,58155200465
15,58155451182
16,58155702347
17,58155953165
18,58156204326
19,58156455232
20,58156706338
21,58156957173
22,58157208287
23,58157459298
24,58157710307
25,58157961141
26,58158212206
27,58158463328
28,58158714151
29,58158965087
30,58159216228
31,58159467181
32,58159718321
33,58159969427
34,58160220286
35,58160471261
36,58160722237
37,58160973330
38,58161224188
39,58161475181
40,58161726164
41,58161977176
42,58162228120
43,58162479167
44,58162730184
45,58162981194
46,58163232134
47,58163483192
48,58163734141
49,58163985120
50,58164236122
51,58164487151
52,58164738089
53,58164989148
54,58165240125
55,58165491116
56,58165742089
57,58165993141
58,58166244161
59,58166495157
60,58166745998
61,58166997144
62,58167247982
63,58167499162
64,58167749991
65,58168001285
66,58168252049
67,58168503229
68,58168754061
69,58169005165
70,58169256057
71,58169507026
72,58169757938
73,58170009176
74,58170259967
75,58170511163
76,58170761991
77,58171013143
78,58171263979
79,58171515153
80,58171766083
81,58172016891
82,58172268020
83,58172519238
84,58172770074
85,58173020865
86,58173272204
87,58173523097
88,58173773853
89,58174025012
90,58174276108
91,58174527101
92,58174777849
93,58175029045
94,58175279884
95,58175530954
96,58175781954
97,58176032860
98,58176284032
99,58176535042
100,58176785921
101,58177036979
102,58177287888
103,58177539033
104,58177789914
105,58178040777
106,58178291832
107,58178543009
108,58178793769
109,58179044988
110,58179295830
111,58179547006
112,58179797856
113,58180048777
114,58180299965
115,58180550785
116,58180801946
117,58181052837
118,58181303761
119,58181554968
120,58181805879
121,58182056767
122,58182307980
123,58182558858
124,58182809809
125,58183060789
126,58183311967
127,58183562821
128,58183813776
129,58184064853
130,58184315735
131,58184566850
132,58184817971
133,58185068812
134,58185319984
135,58185570807
136,58185821911
137,58186072821
138,58186323832
139,58186574719
140,58186825874
141,58187076854
142,58187327816
143,58187578663
144,58187829781
145,58188080676
146,58188331797
147,58188582715
148,58188833859
149,58189084839
150,58189335905
151,58189586644
152,58189837780
153,58190088819
154,58190339913
155,58190590729
156,58190841736
157,58191092779
158,58191343717
159,58191594714
160,58191846027
161,58192096708
162,58192347699
163,58192598709
164,58192849753
165,58193100734
166,58193351883
167,58193602813
168,58193853776
169,58194104691
170,58194355673
171,58194606579
172,58194857627
173,58195108694
174,58195359608
175,58195610642
176,58195861593
177,58196112614
178,58196363601
179,58196614586
180,58196865737
181,58197116768
182,58197367663
183,58197618608
184,58197869643
185,58198120767
186,58198371762
187,58198622723
188,58198873484
189,58199124509
190,58199375658
191,58199626527
192,58199877741
193,58200128573
194,58200379602
195,58200630578
196,58200881511
197,58201132609
198,58201383473
199,58201634729
200,58201885650
201,58202136486
202,58202387676
203,58202638503
204,58202889506
205,58203140464
206,58203391594
207,58203642599
208,58203893436
209,58204144578
210,58204395669
211,58204646476
212,58204897578
213,58205148693
214,58205399487
215,58205650518
216,58205901630
217,58206152575
218,58206403595
219,58206654366
220,58206905499
221,58207156410
222,58207407531
223,58207658485
224,58207909593
225,58208160567
226,58208411473
227,58208662669
228,58208913593
229,58209164336
230,58209415407
231,58209666572
232,58209917503
233,58210168556
234,58210419511
235,58210670590
236,58210921437
237,58211172393
238,58211423554
239,58211674458
240,58211925424
241,58212176348
242,58212427529
243,58212678447
244,58212929391
245,58213180401
246,58213431478
247,58213682317
248,58213933304
249,58214184281
250,58214435448
251,58214686512
252,58214937508
253,58215188426
254,58215439532
255,58215690352
256,58215941365
257,58216192488
258,58216443408
259,58216694321
260,58216945274
261,58217196327
262,58217447406
263,58217698214
264,58217949331
265,58218200297
266,58218451448
267,58218702237
268,58218953427
269,58219204199
270,58219455402
271,58219706282
272,58219957220
273,58220208384
274,58220459378
275,58220710225
276,58220961265
277,58221212251
278,58221463415
279,58221714223
280,58221965206
281,58222216247
282,58222467388
283,58222718202
284,58222969368
285,58223220210
286,58223471174
287,58223722173
288,58223973278
289,58224224169
290,58224475334
291,58224726227
292,58224977219
293,58225228134
294,58225479298
295,58225730096
296,58225981214
297,58226232339
298,58226483112
299,58226734382
300,58226985164
301,58227236359
302,58227487084
303,58227738100
304,58227989269
305,58228240116
306,58228491171
307,58228742215
308,58228993193
309,58229244277
310,58229495084
311,58229746220
312,58229997267
313,58230248180
314,58230499157
315,58230750150
316,58231001052
317,58231252099
318,58231503090
319,58231754139
320,58232005168
321,58232256181
322,58232507151
323,58232758141
324,58233009202
325,58233260057
326,58233511127
327,58233762217
328,58234013092
329,58234264015
330,58234515120
331,58234765960
332,58235017113
333,58235268283
334,58235519086
335,58235770208
336,58236021039
337,58236272029
338,58236523040
339,58236774201
340,58237025168
341,58237276155
342,58237527050
343,58237778195
344,58238028967
345,58238280077
346,58238531077
347,58238782065
348,58239033095
349,58239283984
350,58239535100
351,58239786191
352,58240037040
353,58240288048
354,58240539181
355,58240790002
356,58241041171
357,58241292138
358,58241542944
359,58241794072
360,58242044985
361,58242296052
362,58242547024
363,58242797996
364,58243049131
365,58243300006
366,58243550946
367,58243801887
368,58244052873
369,58244304043
370,58244554937
371,58244806074
372,58245056900
373,58245307896
374,58245559106
375,58245809880
376,58246060856
377,58246311970
378,58246562862
379,58246813839
380,58247065084
381,58247315806
382,58247566976
383,58247818090
384,58248068982
385,58248319926
386,58248570952
387,58248821933
388,58249072917
389,58249323905
390,58249574887
391,58249825872
392,58250076913
393,58250327886
394,58250578866
395,58250829860
396,58251080884
397,58251331958
398,58251582857
399,58251833783
400,58252084935
401,58252335837
402,58252586741
403,58252837937
404,58253088721
405,58253339976
406,58253590882
407,58253841782
408,58254092736
409,58254343825
410,58254594818
411,58254845862
412,58255096839
413,58255347916
414,58255598795
415,58255849910
416,58256100848
417,58256351905
418,58256602787
419,58256853647
420,58257104861
421,58257355880
422,58257606668
423,58257857737
424,58258108876
425,58258359694
426,58258610809
427,58258861921
428,58259112884
429,58259363669
430,58259614793
431,58259865851
432,58260116776
433,58260367849
434,58260618800
435,58260869770
436,58261120700
437,58261371867
438,58261622800
439,58261873582
440,58262124850
441,58262375633
442,58262626642
443,58262877661
444,58263128625
445,58263379739
446,58263630813
447,58263881588
448,58264132782
449,58264383842
450,58264634590
451,58264885592
452,58265136548
453,58265387630
454,58265638671
455,58265889789
456,58266140753
457,58266391822
458,58266642572
459,58266893518
460,58267144758
461,58267395525
462,58267646543
463,58267897584
464,58268148611
465,58268399540
466,58268650754
467,58268901521
468,58269152540
469,58269403669
470,58269654493
471,58269905694
472,58270156687
473,58270407602
474,58270658565
475,58270909562
476,58271160684
477,58271411621
478,58271662592
479,58271913628
480,58272164516
481,58272415636
482,58272666429
483,58272917647
484,58273168471
485,58273419577
486,58273670445
487,58273921603
488,58274172582
489,58274423527
490,58274674429
491,58274925521
492,58275176473
493,58275427594
494,58275678429
495,58275929569
496,58276180478
497,58276431487
498,58276682475
499,58276933597
500,58277184468
501,58277435646
502,58277686638
503,58277937475
504,58278188530
505,58278439469
506,58278690451
507,58278941386
508,58279192352
509,58279443587
510,58279694495
511,58279945579
512,58280196534
513,58280447604
514,58280698375
515,58280949419
516,58281200344
517,58281451409
518,58281702514
519,58281953516
520,58282204492
521,58282455515
522,58282706530
523,58282957547
524,58283208339
525,58283459310
526,58283710516
527,58283961490
528,58284212286
529,58284463525
530,58284714507
531,58284965280
532,58285216252
533,58285467346
534,58285718280
535,58285969283
536,58286220480
537,58286471452
538,58286722223
539,58286973360
540,58287224397
541,58287475386
542,58287726283
543,58287977452
544,58288228318
545,58288479323
546,58288730375
547,58288981318
548,58289232335
549,58289483253
550,58289734292
551,58289985285
552,58290236180
553,58290487439
554,58290738295
555,58290989199
556,58291240193
557,58291491443
558,58291742235
559,58291993274
560,58292244222
561,58292495246
562,58292746161
563,58292997204
564,58293248203
565,58293499343
566,58293750154
567,58294001300
568,58294252131
569,58294503242
570,58294754374
571,58295005387
572,58295256107
573,58295507255
574,58295758145
575,58296009334
576,58296260244
577,58296511454
578,58296762351
579,58297013270
580,58297264164
581,58297515209
582,58297766211
583,58298017232
584,58298268508
585,58298519536
586,58298770199
587,58299021200
588,58299272195
589,58299523171
590,58299774163
591,58300025171
592,58300276158
593,58300527243
594,58300778151
595,58301029159
596,58301280150
597,58301531182
598,58301782149
599,58302033124
600,58302284170
601,58302535104
602,58302785997
603,58303037277
604,58303288243
605,58303539082
606,58303790136
607,58304041094
608,58304292095
609,58304543243
610,58304794096
611,58305045154
612,58305296116
613,58305547327
614,58305798257
615,58306049005
616,58306300213
617,58306551084
618,58306802174
619,58307053191
620,58307304113
621,58307555193
622,58307806028
623,58308057019
624,58308307969
625,58308559240
626,58308810065
627,58309061144
628,58309312063
629,58309562946
630,58309814149
631,58310065152
632,58310316065
633,58310567190
634,58310818002
635,58311068969
636,58311319965
637,58311571122
638,58311822091
639,58312072890
640,58312324022
641,58312574900
642,58312825948
643,58313077056
644,58313327885
