value_last_recv,timestamp_chg
26515,58656462718
26516,58656714284
26517,58656965271
26518,58657216242
26519,58657467293
26520,58657718281
26521,58657969118
26522,58658220119
26523,58658471185
26524,58658722061
26525,58658973239
26526,58659224240
26527,58659475080
26528,58659726149
26529,58659977274
26530,58660228017
26531,58660479036
26532,58660730211
26533,58660981189
26534,58661232129
26535,58661483095
26536,58661734077
26537,58661985230
26538,58662236063
26539,58662487048
26540,58662738062
26541,58662989010
26542,58663240168
26543,58663491081
26544,58663741998
26545,58663993086
26546,58664243969
26547,58664495030
26548,58664746091
26549,58664996925
26550,58665248036
26551,58665499004
26552,58665749988
26553,58666001047
26554,58666252137
26555,58666503036
26556,58666753937
26557,58667005005
26558,58667255971
26559,58667507122
26560,58667757932
26561,58668009155
26562,58668260040
26563,58668511005
26564,58668761950
26565,58669013008
26566,58669263891
26567,58669514870
26568,58669766062
26569,58670016970
26570,58670268104
26571,58670519098
26572,58670769937
26573,58671020848
26574,58671272095
26575,58671523081
26576,58671773910
26577,58672024854
26578,58672276094
26579,58672527007
26580,58672777928
26581,58673028865
26582,58673279980
26583,58673530860
26584,58673781995
26585,58674032878
26586,58674283949
26587,58674534873
26588,58674786077
26589,58675036836
26590,58675287919
26591,58675538792
26592,58675790011
26593,58676040939
26594,58676292026
26595,58676542938
26596,58676793785
26597,58677044942
26598,58677295886
26599,58677546795
26600,58677797782
26601,58678048832
26602,58678299814
26603,58678550935
26604,58678801784
26605,58679052912
26606,58679303898
26607,58679554809
26608,58679805792
26609,58680056834
26610,58680307813
26611,58680558807
26612,58680810161
26613,58681060835
26614,58681311894
26615,58681562860
26616,58681813814
26617,58682064848
26618,58682315832
26619,58682566788
26620,58682817812
26621,58683068820
26622,58683319791
26623,58683570782
26624,58683821783
26625,58684072798
26626,58684323761
26627,58684574785
26628,58684825718
26629,58685076716
26630,58685327741
26631,58685578640
26632,58685829842
26633,58686080691
26634,58686331667
26635,58686582768
26636,58686833734
26637,58687084711
26638,58687335776
26639,58687586724
26640,58687837731
26641,58688088834
26642,58688339701
26643,58688590731
26644,58688841741
26645,58689092806
26646,58689343593
26647,58689594862
26648,58689845695
26649,58690096669
26650,58690347668
26651,58690598733
26652,58690849795
26653,58691100687
26654,58691351650
26655,58691602782
26656,58691853632
26657,58692104753
26658,58692355624
26659,58692606772
26660,58692857727
26661,58693108674
26662,58693359571
26663,58693610598
26664,58693861686
26665,58694112541
26666,58694363544
26667,58694614630
26668,58694865752
26669,58695116683
26670,58695367717
26671,58695618562
26672,58695869604
26673,58696120520
26674,58696371601
26675,58696622789
26676,58696873561
26677,58697124625
26678,58697375670
26679,58697626602
26680,58697877579
26681,58698128585
26682,58698379548
26683,58698630564
26684,58698881601
26685,58699132604
26686,58699383707
26687,58699634558
26688,58699885574
26689,58700136600
26690,58700387423
26691,58700638604
26692,58700889632
26693,58701140418
26694,58701391540
26695,58701642478
26696,58701893579
26697,58702144533
26698,58702395413
26699,58702646625
26700,58702897624
26701,58703148630
26702,58703399441
26703,58703650369
26704,58703901748
26705,58704152416
26706,58704403545
26707,58704654533
26708,58704905829
26709,58705156477
26710,58705407376
26711,58705658588
26712,58705909557
26713,58706160528
26714,58706411617
26715,58706662382
26716,58706913596
26717,58707164562
26718,58707415427
26719,58707666532
26720,58707917414
26721,58708168402
26722,58708419524
26723,58708670562
26724,58708921424
26725,58709172327
26726,58709423516
26727,58709674367
26728,58709925642
26729,58710176318
26730,58710427456
26731,58710678287
26732,58710929501
26733,58711180408
26734,58711431308
26735,58711682422
26736,58711933420
26737,58712184449
26738,58712435371
26739,58712686263
26740,58712937466
26741,58713188477
26742,58713439308
26743,58713690501
26744,58713941405
26745,58714192408
26746,58714443317
26747,58714694269
26748,58714945507
26749,58715196387
26750,58715447307
26751,58715698294
26752,58715949385
26753,58716200396
26754,58716451242
26755,58716702277
26756,58716953518
26757,58717204313
26758,58717455396
26759,58717706280
26760,58717957359
26761,58718208393
26762,58718459239
