value_last_recv,timestamp_chg
6zR8cMA45KfexPuU9RnKSTvJ7wFxqZS87MGzWrLRYMoVNP5FwnVvh8MUPx4FcGNyRgdnja3A4hdmjzK,32476744227
kKC53hDnzm7sWjTSm38dEDex8cDFmKcGtBUyKQpe2aoxVvJ3DXnp8zXtFKveAwQzjSDHT9NmzAnr5Nh,32477228592
UTquNftcb2SaAKuvxFV9D7ZV8bHeBnjfuKXB6ZUmoArZnNwsXP9LW4qYQESU6zp2cZkXwJ6oaTZR6VP,32477708726
knSVtCdZc4yn5xkRHAUqKbkmPWMabEfkFPVwRJdZV3huSAw3naKqtjZPKFrYzSAKBgofZApFLxtqcEL,32478191335
VNZejguqhBevkYLjufgs8T7jAH4xsePNq5y7P9YCjTnEY8yt5YW4c5hkbgZwMRVLep5hSc945ArTNtJ,32478665872
S4Kn5X9h42RNxsH8Kc2SpoLdwZSENoBUz2K4LdUoFZEj3SrxCkmQ8H7qcpMQ48YhNw9fnjPG54ZWvNR,32479141022
CB2NPzRGaCmsJoTu7b3cJBRN9F4Z3YuSM4CywqWDKuwMtpKQ6Vod39kQnLMyhn2Z7uQ5JveY9QdKvcZ,32479616774
UvjHF4sycJvpkjunzxEmsUfoD89qdyLc8sZLVBE4YXpmhaLJEQKzwhQpvzcbRnzZGv3NpbDgx6J8buf,32480095232
S6ZmMC2YRNAUo423RYejsDJ436VwYKQT3fm9GWYhUu3Shz6gQwDh3RsTqDAG7raHS3u596P8KzVC9xg,32480570951
mw9xjraXQq3eadTnKhW2SD8NYedoLgKc9oYXBRAw9vTRyfvoqMrue5zWT4meU8dz5nwg3WDQM5Hp73g,32481056108
JTVrQzoaKP7tcWMQrbduyfR3tYujVrUtpsZf4mejgGJahLEGeRKoFTwDxeb3zxgm9Rurwsxy8LSZGaK,32481537564
RZWUwbp5BW6XVPL8Ha4rWyaAoWh2k93wTHC7yZpXeYUB6aVuEgjD4vBqTceVYb2Q5KmdB8TqYs5Fwae,32482022700
gFP2En7XpEy7JsFBoPbXyDT8uxPW98KCXunfWLSMryP5N8aubELABps53UyrBX5wjFhob7QpAyYuvXd,32482500725
tDu9sMeGgaNHc5uvzVd7Jjv9hRYVXTzAcCFQsUYFWBQg7nsJ6RKh9AJ5GuXHA3ofHAFzvPceakoJsyk,32482979589
DFd5chgR8CTfqDy9HQZykzKEhnAp4hnZ8qwJnNAhzXLWGuby92PUyfzg3WZ4mDFHBrcRMXzkNLbogJF,32483460099
spEYkV4UNTmbj3WvyfpbPaRZTXhWarFUnfgrZnRgdLP5MyCNgJRU5Eevx7LuMvBHWR98B4vPEcWjamo,32483937903
oXhqACYNfhFCNzuKoevXEogCQkSFxuj759n6cJPkwn6QBT8USwhgyeZYbGrwfES2vfsCnJczuYTVh9w,32484416731
SpoFrEGC3HU2WQ57amYM86B9uScYb9jJkePtEAYBx9JNmz5As4YCTsnG7TxnocpUSNoZrqgXw6HCyfJ,32484895118
YMdTBWAQkjSZKXEPwHtuXvgh4MBwtAkPDFoLkRbQSzWkxqHgLEAZ7tGjxNzRyZHBJ6c5fPsgLXUZQh6,32485373502
rE3AjXZ4hSVZq5xkTWaRDwK9AsobyT9ro6XV7NJQ3MHdXuKy5hRx4ykWqP6s9VrBfbnF9RALo72fV4R,32485851698
Lyj9wnQ3szVUork5RLNC6QPSXqBcFbDTqhygzaDdNnAUhpb6HRwKv5kSFmvRwBoE3CyHtxTnP8xAh4J,32486329002
JCVcSWTwFC2n8AeHS8Ff9KzWbRBq4Z9XSAncJUmjPC2zjNXLwvSkZUT8M9ABVn4pCcU8WBfS7TAvP3y,32486806342
uwTP4CVoLMvHetfoVRruwovSpwGNVcAHTxKE5VBF8gbs2XpJkgHA9ockWgf7apekbrca6qoyGThxZbD,32487283381
pKGNaVKgJBhHD4anVcHgw72HLeWAfVeY5qFavJmgaApZPcajxwY3MPEQyxgmqBhef6PLq96Pe2cuRVf,32487764944
MXGwcnrXkdhbAf5S4b9ydMBtozTu3a4g293Xk5n2ADZqX2DzpHYtoC9WXJmU6eKkBAogq9yHavVw65M,32488240309
hmykMBWyXS2ENYCufcNxjv3fP9esLkNJ6LXWq8MZLJBQXAH28ve5tBCspvzFMZErHCAqEhRwnatmJP2,32488717140
T4NPGjTfgLMX9kc63qDEWGPgcHaWvYTmbGEhAfco8WrAxM6LKQyzH3jGKpDYa8q5WzTpgkrH3yenRaj,32489192661
sPJAtkCvyxzMNkHUzyqKNh7FtaUrGZPmTNv2wntF3ExRruBpD5aoW6SVYGra8mR5h9B4gdxzMJSbtjq,32489666165
