counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,58154948637,58154949202,1,13
1,Good,58155199629,58155200293,1,14
2,Good,58155450589,58155451226,1,15
3,Good,58155701570,58155702201,1,16
4,Good,58155952586,58155953193,1,17
5,Good,58156203570,58156204254,1,18
6,Good,58156454558,58156455154,1,19
7,Good,58156705549,58156706146,1,20
8,Good,58156956546,58156957169,1,21
9,Good,58157207550,58157208198,1,22
10,Good,58157458570,58157459209,1,23
11,Good,58157709574,58157710197,1,24
12,Good,58157960554,58157961173,1,25
13,Good,58158211558,58158212221,1,26
14,Good,58158462617,58158463201,1,27
15,Good,58158713558,58158714150,1,28
16,Good,58158964554,58158965173,1,29
17,Good,58159215550,58159216166,1,30
18,Good,58159466589,58159467170,1,31
19,Good,58159717590,58159718173,1,32
20,Good,58159968625,58159969277,1,33
21,Good,58160219546,58160220178,1,34
22,Good,58160470589,58160471173,1,35
23,Good,58160721558,58160722209,1,36
24,Good,58160972602,58160973242,1,37
25,Good,58161223554,58161224181,1,38
26,Good,58161474542,58161475169,1,39
27,Good,58161725558,58161726173,1,40
28,Good,58161976558,58161977202,1,41
29,Good,58162227541,58162228150,1,42
30,Good,58162478586,58162479166,1,43
31,Good,58162729594,58162730202,1,44
32,Good,58162980554,58162981222,1,45
33,Good,58163231545,58163232178,1,46
34,Good,58163482594,58163483246,1,47
35,Good,58163733573,58163734181,1,48
36,Good,58163984545,58163985166,1,49
37,Good,58164235546,58164236158,1,50
38,Good,58164486554,58164487209,1,51
39,Good,58164737542,58164738113,1,52
40,Good,58164988582,58164989218,1,53
41,Good,58165239554,58165240206,1,54
42,Good,58165490545,58165491189,1,55
43,Good,58165741545,58165742150,1,56
44,Good,58165992597,58165993182,1,57
45,Good,58166243577,58166244257,1,58
46,Good,58166494542,58166495182,1,59
47,Good,58166745541,58166746118,1,60
48,Good,58166996553,58166997374,1,61
49,Good,58167247553,58167248178,1,62
50,Good,58167498582,58167499221,1,63
51,Good,58167749557,58167750134,1,64
52,Good,58168000558,58168001238,1,65
53,Good,58168251537,58168252149,1,66
54,Good,58168502601,58168503210,1,67
55,Good,58168753549,58168754138,1,68
56,Good,58169004558,58169005186,1,69
57,Good,58169255554,58169256177,1,70
58,Good,58169506549,58169507177,1,71
59,Good,58169757546,58169758158,1,72
60,Good,58170008578,58170009205,1,73
61,Good,58170259541,58170260142,1,74
62,Good,58170510545,58170511181,1,75
63,Good,58170761546,58170762177,1,76
64,Good,58171012645,58171013265,1,77
65,Good,58171263569,58171264185,1,78
66,Good,58171514557,58171515218,1,79
67,Good,58171765538,58171766126,1,80
68,Good,58172016538,58172017122,1,81
69,Good,58172267570,58172268190,1,82
70,Good,58172518630,58172519273,1,83
71,Good,58172769570,58172770193,1,84
72,Good,58173020541,58173021153,1,85
73,Good,58173271582,58173272285,1,86
74,Good,58173522614,58173523250,1,87
75,Good,58173773558,58173774138,1,88
76,Good,58174024529,58174025118,1,89
77,Good,58174275554,58174276173,1,90
78,Good,58174526558,58174527142,1,91
79,Good,58174777549,58174778157,1,92
80,Good,58175028578,58175029186,1,93
81,Good,58175279569,58175280150,1,94
82,Good,58175530550,58175531134,1,95
