counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,58656469162,58656469721,1,26515
1,Good,58656720586,58656721249,1,26516
2,Good,58656971582,58656972242,1,26517
3,Good,58657222581,58657223206,1,26518
4,Good,58657473558,58657474185,1,26519
5,Good,58657724557,58657725189,1,26520
6,Good,58657975538,58657976193,1,26521
7,Good,58658226558,58658227221,1,26522
8,Good,58658477549,58658478206,1,26523
9,Good,58658728574,58658729206,1,26524
10,Good,58658979545,58658980189,1,26525
11,Good,58659230545,58659231178,1,26526
12,Good,58659481574,58659482205,1,26527
13,Good,58659732586,58659733214,1,26528
14,Good,58659983570,58659984214,1,26529
15,Good,58660234550,58660235190,1,26530
16,Good,58660485558,58660486221,1,26531
17,Good,58660736549,58660737186,1,26532
18,Good,58660987545,58660988182,1,26533
19,Good,58661238589,58661239222,1,26534
20,Good,58661489541,58661490205,1,26535
21,Good,58661740541,58661741161,1,26536
22,Good,58661991550,58661992206,1,26537
23,Good,58662242585,58662243225,1,26538
24,Good,58662493541,58662494201,1,26539
25,Good,58662744541,58662745162,1,26540
26,Good,58662995553,58662996238,1,26541
27,Good,58663246537,58663247181,1,26542
28,Good,58663497542,58663498254,1,26543
29,Good,58663748574,58663749198,1,26544
30,Good,58663999557,58664000198,1,26545
31,Good,58664250541,58664251209,1,26546
32,Good,58664501530,58664502238,1,26547
33,Good,58664752601,58664753210,1,26548
34,Good,58665003546,58665004169,1,26549
35,Good,58665254553,58665255166,1,26550
36,Good,58665505553,58665506226,1,26551
37,Good,58665756549,58665757193,1,26552
38,Good,58666007541,58666008166,1,26553
39,Good,58666258574,58666259177,1,26554
40,Good,58666509545,58666510201,1,26555
41,Good,58666760553,58666761190,1,26556
42,Good,58667011553,58667012194,1,26557
43,Good,58667262609,58667263241,1,26558
44,Good,58667513558,58667514210,1,26559
45,Good,58667764570,58667765198,1,26560
46,Good,58668015554,58668016217,1,26561
47,Good,58668266574,58668267202,1,26562
48,Good,58668517573,58668518237,1,26563
49,Good,58668768606,58668769241,1,26564
50,Good,58669019546,58669020182,1,26565
51,Good,58669270557,58669271189,1,26566
52,Good,58669521537,58669522166,1,26567
53,Good,58669772598,58669773229,1,26568
54,Good,58670023553,58670024181,1,26569
55,Good,58670274550,58670275174,1,26570
56,Good,58670525572,58670526201,1,26571
57,Good,58670776542,58670777185,1,26572
58,Good,58671027546,58671028169,1,26573
59,Good,58671278577,58671279269,1,26574
60,Good,58671529581,58671530197,1,26575
61,Good,58671780557,58671781201,1,26576
62,Good,58672031558,58672032209,1,26577
63,Good,58672282601,58672283233,1,26578
64,Good,58672533549,58672534181,1,26579
65,Good,58672784549,58672785186,1,26580
66,Good,58673035558,58673036218,1,26581
67,Good,58673286538,58673287157,1,26582
68,Good,58673537549,58673538149,1,26583
69,Good,58673788553,58673789178,1,26584
70,Good,58674039550,58674040182,1,26585
71,Good,58674290554,58674291189,1,26586
72,Good,58674541546,58674542165,1,26587
73,Good,58674792593,58674793210,1,26588
74,Good,58675043541,58675044197,1,26589
