value_last_recv,timestamp_chg
13,29463481000
14,29463735000
15,29463989000
16,29464242000
17,29464497000
18,29464750000
19,29465005000
20,29465259000
21,29465512000
22,29465766000
23,29466020000
24,29466274000
25,29466528000
26,29466782000
27,29467036000
28,29467290000
29,29467543000
30,29467797000
31,29468051000
32,29468305000
33,29468558000
34,29468812000
35,29469066000
36,29469319000
37,29469572000
38,29469826000
39,29470079000
40,29470333000
41,29470587000
42,29470841000
43,29471096000
44,29471349000
45,29471603000
46,29471857000
47,29472111000
48,29472366000
49,29472620000
50,29472874000
51,29473128000
52,29473382000
53,29473637000
54,29473890000
55,29474145000
56,29474398000
57,29474652000
58,29474907000
59,29475160000
60,29475415000
61,29475669000
62,29475923000
63,29476177000
64,29476431000
65,29476686000
66,29476940000
67,29477193000
68,29477447000
69,29477701000
70,29477956000
71,29478209000
72,29478463000
73,29478717000
74,29478971000
75,29479226000
76,29479480000
77,29479734000
78,29479987000
79,29480241000
80,29480494000
81,29480747000
82,29481001000
83,29481254000
84,29481507000
85,29481761000
86,29482014000
87,29482267000
88,29482521000
89,29482774000
90,29483027000
91,29483281000
92,29483534000
93,29483787000
94,29484041000
95,29484294000
96,29484548000
97,29484802000
98,29485056000
99,29485310000
100,29485564000
101,29485818000
102,29486072000
103,29486325000
104,29486579000
105,29486833000
106,29487087000
107,29487340000
108,29487595000
109,29487849000
110,29488102000
111,29488356000
112,29488610000
113,29488864000
114,29489117000
115,29489371000
116,29489625000
117,29489879000
118,29490132000
119,29490387000
120,29490640000
121,29490896000
122,29491150000
123,29491403000
124,29491658000
125,29491911000
126,29492166000
127,29492420000
128,29492674000
129,29492928000
130,29493181000
131,29493436000
132,29493690000
133,29493945000
134,29494200000
135,29494454000
136,29494707000
137,29494961000
138,29495216000
139,29495470000
140,29495723000
141,29495977000
142,29496231000
143,29496486000
144,29496740000
145,29496994000
146,29497248000
147,29497502000
148,29497757000
149,29498010000
150,29498264000
151,29498517000
152,29498771000
153,29499024000
154,29499277000
155,29499531000
156,29499786000
157,29500039000
158,29500292000
159,29500546000
160,29500799000
161,29501052000
162,29501306000
163,29501559000
164,29501812000
165,29502066000
166,29502319000
167,29502573000
168,29502826000
169,29503080000
170,29503333000
171,29503587000
172,29503841000
173,29504094000
174,29504347000
175,29504601000
176,29504854000
177,29505107000
178,29505361000
179,29505614000
180,29505867000
181,29506121000
182,29506374000
183,29506628000
184,29506882000
185,29507136000
186,29507390000
187,29507644000
188,29507898000
189,29508152000
190,29508407000
191,29508661000
192,29508915000
193,29509168000
194,29509422000
195,29509677000
196,29509930000
197,29510185000
198,29510439000
199,29510693000
200,29510947000
201,29511200000
202,29511455000
203,29511708000
204,29511963000
205,29512218000
206,29512472000
207,29512726000
208,29512980000
209,29513236000
210,29513490000
211,29513744000
212,29513998000
213,29514251000
214,29514506000
215,29514760000
216,29515015000
217,29515270000
218,29515523000
219,29515777000
220,29516031000
221,29516286000
222,29516540000
223,29516794000
224,29517048000
225,29517301000
226,29517556000
227,29517809000
228,29518062000
229,29518317000
230,29518571000
231,29518824000
232,29519081000
233,29519336000
234,29519589000
235,29519842000
236,29520096000
237,29520349000
238,29520603000
239,29520856000
240,29521110000
241,29521363000
242,29521617000
243,29521871000
244,29522124000
245,29522377000
246,29522631000
247,29522884000
248,29523138000
249,29523391000
