value_last_recv,timestamp_chg
26515,29970826000
26516,29971080000
26517,29971334000
26518,29971588000
26519,29971842000
26520,29972096000
26521,29972351000
26522,29972606000
26523,29972859000
26524,29973113000
26525,29973367000
26526,29973621000
26527,29973876000
26528,29974130000
26529,29974384000
26530,29974638000
26531,29974892000
26532,29975146000
26533,29975401000
26534,29975656000
26535,29975910000
26536,29976164000
26537,29976418000
26538,29976672000
26539,29976927000
26540,29977181000
26541,29977436000
26542,29977690000
26543,29977944000
26544,29978198000
26545,29978452000
26546,29978706000
26547,29978960000
26548,29979213000
26549,29979467000
26550,29979722000
26551,29979976000
26552,29980230000
26553,29980483000
26554,29980737000
26555,29980991000
26556,29981246000
26557,29981500000
26558,29981755000
26559,29982008000
26560,29982262000
26561,29982517000
26562,29982771000
26563,29983025000
26564,29983278000
26565,29983532000
26566,29983787000
26567,29984040000
26568,29984295000
26569,29984549000
26570,29984804000
26571,29985057000
26572,29985311000
26573,29985566000
26574,29985819000
26575,29986073000
26576,29986327000
26577,29986581000
26578,29986836000
26579,29987090000
26580,29987343000
26581,29987598000
26582,29987851000
26583,29988106000
26584,29988360000
26585,29988614000
26586,29988869000
26587,29989123000
26588,29989378000
26589,29989631000
26590,29989886000
26591,29990140000
26592,29990394000
26593,29990648000
26594,29990902000
26595,29991156000
26596,29991410000
26597,29991664000
26598,29991918000
26599,29992172000
26600,29992426000
26601,29992680000
26602,29992934000
26603,29993188000
26604,29993442000
26605,29993696000
26606,29993950000
26607,29994204000
26608,29994458000
26609,29994712000
26610,29994966000
26611,29995221000
26612,29995476000
26613,29995730000
26614,29995986000
26615,29996240000
26616,29996494000
26617,29996748000
26618,29997002000
26619,29997257000
26620,29997511000
26621,29997765000
26622,29998018000
26623,29998272000
26624,29998527000
26625,29998780000
26626,29999035000
26627,29999288000
26628,29999542000
26629,29999797000
26630,30000050000
26631,30000306000
26632,30000559000
26633,30000813000
26634,30001067000
26635,30001322000
26636,30001576000
26637,30001830000
26638,30002084000
26639,30002337000
26640,30002591000
26641,30002846000
26642,30003100000
26643,30003354000
26644,30003608000
26645,30003862000
26646,30004117000
26647,30004370000
26648,30004625000
26649,30004879000
26650,30005133000
26651,30005388000
26652,30005641000
26653,30005896000
26654,30006150000
26655,30006403000
26656,30006658000
26657,30006911000
26658,30007166000
26659,30007420000
26660,30007674000
26661,30007928000
26662,30008181000
26663,30008436000
26664,30008690000
26665,30008945000
26666,30009200000
26667,30009453000
26668,30009708000
26669,30009961000
26670,30010216000
26671,30010470000
26672,30010725000
26673,30010979000
26674,30011233000
26675,30011487000
26676,30011741000
26677,30011996000
26678,30012250000
26679,30012504000
26680,30012758000
26681,30013012000
26682,30013267000
26683,30013520000
26684,30013774000
26685,30014028000
26686,30014282000
26687,30014536000
26688,30014790000
26689,30015044000
26690,30015298000
26691,30015552000
26692,30015806000
26693,30016061000
26694,30016316000
26695,30016570000
26696,30016824000
26697,30017078000
26698,30017332000
26699,30017586000
26700,30017840000
26701,30018094000
26702,30018348000
26703,30018602000
26704,30018856000
26705,30019110000
26706,30019364000
26707,30019618000
26708,30019872000
26709,30020126000
26710,30020380000
26711,30020634000
26712,30020888000
26713,30021142000
26714,30021396000
26715,30021650000
26716,30021904000
26717,30022158000
26718,30022411000
26719,30022666000
26720,30022920000
26721,30023173000
26722,30023427000
26723,30023682000
26724,30023937000
26725,30024190000
26726,30024445000
26727,30024699000
26728,30024952000
26729,30025207000
26730,30025460000
26731,30025715000
26732,30025968000
26733,30026222000
26734,30026477000
26735,30026730000
26736,30026985000
26737,30027240000
26738,30027494000
26739,30027748000
26740,30028001000
26741,30028256000
26742,30028511000
26743,30028765000
26744,30029020000
26745,30029273000
26746,30029528000
26747,30029781000
26748,30030036000
26749,30030290000
26750,30030545000
26751,30030799000
26752,30031053000
26753,30031308000
26754,30031561000
26755,30031816000
26756,30032070000
26757,30032324000
26758,30032578000
26759,30032832000
26760,30033087000
26761,30033341000
26762,30033596000
26763,30033850000
26764,30034104000
26765,30034358000
26766,30034612000
26767,30034866000
26768,30035120000
26769,30035374000
26770,30035628000
26771,30035882000
26772,30036137000
26773,30036391000
26774,30036646000
26775,30036900000
