counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,29463484446,29463487211,3,13
1,Good,29463737831,29463741551,4,14
2,Good,29463991843,29463994807,3,15
3,Good,29464245807,29464248787,3,16
4,Good,29464499778,29464503107,3,17
5,Good,29464753771,29464756835,3,18
6,Good,29465007823,29465011298,3,19
7,Good,29465261839,29465265134,3,20
8,Good,29465515770,29465518519,3,21
9,Good,29465768787,29465773143,4,22
10,Good,29466023779,29466026535,3,23
11,Good,29466276798,29466280127,3,24
12,Good,29466530775,29466533750,3,25
13,Good,29466784775,29466787987,3,26
14,Good,29467038787,29467042490,4,27
15,Good,29467292794,29467296410,4,28
16,Good,29467546790,29467549723,3,29
17,Good,29467799786,29467804130,4,30
18,Good,29468054779,29468057650,3,31
19,Good,29468307790,29468311322,4,32
20,Good,29468561850,29468564842,3,33
21,Good,29468815787,29468818650,3,34
22,Good,29469068766,29469072203,3,35
23,Good,29469322779,29469325683,3,36
24,Good,29469575778,29469578655,3,37
25,Good,29469828783,29469832195,3,38
26,Good,29470082791,29470086059,3,39
27,Good,29470336783,29470339835,3,40
28,Good,29470590771,29470593942,3,41
29,Good,29470844794,29470847966,3,42
30,Good,29471098783,29471102622,4,43
31,Good,29471352774,29471355922,3,44
32,Good,29471606783,29471609934,3,45
33,Good,29471860790,29471863994,3,46
34,Good,29472114779,29472117978,3,47
35,Good,29472368787,29472372779,4,48
36,Good,29472623790,29472626998,3,49
37,Good,29472877771,29472881090,3,50
38,Good,29473131826,29473135050,3,51
39,Good,29473385783,29473388875,3,52
40,Good,29473639778,29473643467,4,53
41,Good,29473893795,29473897127,3,54
42,Good,29474147783,29474151678,4,55
43,Good,29474401830,29474405206,3,56
44,Good,29474655787,29474659190,3,57
45,Good,29474909791,29474913315,4,58
46,Good,29475163783,29475166774,3,59
47,Good,29475417786,29475421814,4,60
48,Good,29475672774,29475676062,3,61
49,Good,29475926783,29475929811,3,62
50,Good,29476180798,29476183978,3,63
51,Good,29476434775,29476437822,3,64
52,Good,29476688779,29476692542,4,65
53,Good,29476942779,29476946170,3,66
54,Good,29477196811,29477199846,3,67
55,Good,29477450779,29477453847,3,68
56,Good,29477704794,29477707791,3,69
57,Good,29477958771,29477962466,4,70
58,Good,29478212778,29478215943,3,71
59,Good,29478466815,29478469754,3,72
60,Good,29478720782,29478723951,3,73
61,Good,29478974770,29478978123,3,74
62,Good,29479228782,29479232602,4,75
63,Good,29479482774,29479487171,4,76
64,Good,29479737791,29479740703,3,77
65,Good,29479990786,29479993926,3,78
66,Good,29480244783,29480247615,3,79
67,Good,29480497774,29480500654,3,80
68,Good,29480750786,29480754011,3,81
69,Good,29481004787,29481007638,3,82
70,Good,29481257791,29481260667,3,83
71,Good,29481510791,29481513958,3,84
