counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,29970850919,29970854922,4,26515
1,Good,29971105807,29971108942,3,26516
2,Good,29971359783,29971362870,3,26517
3,Good,29971613794,29971616959,3,26518
4,Good,29971867791,29971871234,3,26519
5,Good,29972121878,29972125766,4,26520
6,Good,29972376782,29972380127,3,26521
7,Good,29972630771,29972634694,4,26522
8,Good,29972884794,29972888187,3,26523
9,Good,29973138782,29973141958,3,26524
10,Good,29973392779,29973396694,4,26525
11,Good,29973646775,29973650183,3,26526
12,Good,29973900783,29973904747,4,26527
13,Good,29974155779,29974159110,3,26528
14,Good,29974409791,29974413095,3,26529
15,Good,29974663787,29974667147,3,26530
16,Good,29974917783,29974921399,4,26531
17,Good,29975171862,29975175906,4,26532
18,Good,29975426782,29975430171,3,26533
19,Good,29975680779,29975684770,4,26534
20,Good,29975935811,29975939171,3,26535
21,Good,29976189779,29976193066,3,26536
22,Good,29976443767,29976447266,3,26537
23,Good,29976697794,29976701270,3,26538
24,Good,29976951835,29976956043,4,26539
25,Good,29977206767,29977210119,3,26540
26,Good,29977460787,29977465127,4,26541
27,Good,29977715774,29977719258,3,26542
28,Good,29977969774,29977973262,3,26543
29,Good,29978223779,29978227399,4,26544
30,Good,29978477775,29978481202,3,26545
31,Good,29978731828,29978735531,4,26546
32,Good,29978985791,29978988938,3,26547
33,Good,29979239786,29979242878,3,26548
34,Good,29979493766,29979496963,3,26549
35,Good,29979747775,29979751046,3,26550
36,Good,29980001823,29980005563,4,26551
37,Good,29980255779,29980258970,3,26552
38,Good,29980509791,29980512867,3,26553
39,Good,29980763779,29980766995,3,26554
40,Good,29981017782,29981020894,3,26555
41,Good,29981271882,29981275863,4,26556
42,Good,29981526779,29981529826,3,26557
43,Good,29981780775,29981784554,4,26558
44,Good,29982034774,29982037878,3,26559
45,Good,29982288779,29982292278,3,26560
46,Good,29982542787,29982546367,4,26561
47,Good,29982796811,29982800303,3,26562
48,Good,29983050779,29983054150,3,26563
49,Good,29983304775,29983308543,4,26564
50,Good,29983558783,29983561842,3,26565
51,Good,29983812779,29983816738,4,26566
52,Good,29984066790,29984069847,3,26567
53,Good,29984320779,29984324851,4,26568
54,Good,29984575786,29984578838,3,26569
55,Good,29984829790,29984833422,4,26570
56,Good,29985083786,29985087015,3,26571
57,Good,29985337778,29985340899,3,26572
58,Good,29985591846,29985595558,4,26573
59,Good,29985845818,29985848890,3,26574
60,Good,29986099782,29986102759,3,26575
61,Good,29986353795,29986356859,3,26576
62,Good,29986607810,29986610942,3,26577
63,Good,29986861834,29986865566,4,26578
64,Good,29987115779,29987119394,4,26579
65,Good,29987369786,29987373239,3,26580
66,Good,29987623779,29987627503,4,26581
67,Good,29987877787,29987881278,3,26582
68,Good,29988131838,29988136035,4,26583
69,Good,29988386774,29988390187,3,26584
70,Good,29988640779,29988645022,4,26585
71,Good,29988895783,29988899466,4,26586
72,Good,29989149771,29989153046,3,26587
73,Good,29989403770,29989407455,4,26588
74,Good,29989657787,29989661246,3,26589
75,Good,29989911823,29989915851,4,26590
76,Good,29990166794,29990170498,4,26591
77,Good,29990420782,29990424467,4,26592
78,Good,29990674763,29990678198,3,26593
79,Good,29990928790,29990932143,3,26594
80,Good,29991182778,29991186611,4,26595
81,Good,29991436790,29991440382,4,26596
82,Good,29991690790,29991694347,4,26597
83,Good,29991944779,29991948183,3,26598
84,Good,29992198783,29992202146,3,26599
85,Good,29992452798,29992456670,4,26600
86,Good,29992706786,29992710331,4,26601
87,Good,29992960779,29992964403,4,26602
88,Good,29993214791,29993218287,3,26603
89,Good,29993468779,29993471998,3,26604
90,Good,29993722775,29993726702,4,26605
91,Good,29993976787,29993980275,3,26606
92,Good,29994230767,29994234627,4,26607
93,Good,29994484766,29994488290,4,26608
94,Good,29994738787,29994742299,4,26609
95,Good,29994992774,29994996858,4,26610
96,Good,29995247782,29995251319,4,26611
97,Good,29995501834,29995506067,4,26612
98,Good,29995756766,29995760766,4,26613
99,Good,29996011834,29996016006,4,26614
100,Good,29996266783,29996270398,4,26615
101,Good,29996520771,29996524710,4,26616
102,Good,29996774787,29996778463,4,26617
103,Good,29997028771,29997032479,4,26618
104,Good,29997282778,29997287003,4,26619
105,Good,29997537786,29997541030,3,26620
106,Good,29997791835,29997795446,4,26621
107,Good,29998045802,29998048954,3,26622
108,Good,29998299790,29998302931,3,26623
109,Good,29998553774,29998557439,4,26624
110,Good,29998807810,29998810943,3,26625
111,Good,29999061842,29999065523,4,26626
112,Good,29999315783,29999318978,3,26627
113,Good,29999569782,29999572995,3,26628
114,Good,29999823783,29999827406,4,26629
115,Good,30000077779,30000080971,3,26630
116,Good,30000331826,30000336514,5,26631
117,Good,30000586790,30000589907,3,26632
118,Good,30000840779,30000843890,3,26633
119,Good,30001094783,30001097947,3,26634
120,Good,30001348795,30001351942,3,26635
121,Good,30001602790,30001606414,4,26636
122,Good,30001856771,30001859979,3,26637
123,Good,30002110782,30002114211,3,26638
124,Good,30002364783,30002368022,3,26639
125,Good,30002618779,30002621954,3,26640
126,Good,30002872783,30002876730,4,26641
127,Good,30003126774,30003130463,4,26642
128,Good,30003380779,30003385043,4,26643
129,Good,30003635811,30003638879,3,26644
130,Good,30003889786,30003893558,4,26645
131,Good,30004143767,30004147350,4,26646
132,Good,30004397799,30004401106,3,26647
133,Good,30004651839,30004655187,3,26648
134,Good,30004905786,30004909950,4,26649
135,Good,30005160791,30005163802,3,26650
136,Good,30005414770,30005418546,4,26651
137,Good,30005668775,30005671802,3,26652
138,Good,30005922775,30005926634,4,26653
139,Good,30006176787,30006180503,4,26654
140,Good,30006430770,30006434190,3,26655
141,Good,30006684786,30006688222,3,26656
142,Good,30006938775,30006942070,3,26657
143,Good,30007192782,30007196619,4,26658
144,Good,30007446791,30007450562,4,26659
145,Good,30007700787,30007704434,4,26660
146,Good,30007954778,30007958483,4,26661
147,Good,30008208782,30008212287,4,26662
148,Good,30008462774,30008467039,4,26663
149,Good,30008717779,30008721402,4,26664
150,Good,30008971843,30008976315,4,26665
151,Good,30009226779,30009230331,4,26666
152,Good,30009480778,30009484267,3,26667
153,Good,30009734770,30009738570,4,26668
154,Good,30009988783,30009992018,3,26669
155,Good,30010242786,30010246763,4,26670
156,Good,30010497786,30010501142,3,26671
157,Good,30010751838,30010756063,4,26672
158,Good,30011006786,30011010270,3,26673
159,Good,30011260787,30011264002,3,26674
160,Good,30011514774,30011518414,4,26675
161,Good,30011768775,30011772262,3,26676
162,Good,30012022778,30012027046,4,26677
163,Good,30012277786,30012281154,3,26678
164,Good,30012531834,30012535530,4,26679
165,Good,30012785794,30012789502,4,26680
166,Good,30013039774,30013043171,3,26681
167,Good,30013293778,30013297679,4,26682
168,Good,30013547790,30013551290,4,26683
169,Good,30013801831,30013805462,4,26684
170,Good,30014055790,30014059334,4,26685
171,Good,30014309783,30014313135,3,26686
172,Good,30014563770,30014567647,4,26687
173,Good,30014817783,30014821215,3,26688
174,Good,30015071871,30015075526,4,26689
175,Good,30015325783,30015329438,4,26690
176,Good,30015579778,30015583239,3,26691
177,Good,30015833779,30015837414,4,26692
178,Good,30016087779,30016093391,6,26693
179,Good,30016343786,30016347442,4,26694
180,Good,30016597803,30016600995,3,26695
181,Good,30016851831,30016854962,3,26696
182,Good,30017105779,30017109506,4,26697
183,Good,30017359790,30017362954,3,26698
184,Good,30017613774,30017617474,4,26699
185,Good,30017867791,30017871102,3,26700
186,Good,30018121874,30018125027,3,26701
187,Good,30018375774,30018378958,3,26702
188,Good,30018629791,30018632830,3,26703
189,Good,30018883779,30018887479,4,26704
190,Good,30019137778,30019140946,3,26705
191,Good,30019391839,30019394955,3,26706
192,Good,30019645802,30019649019,3,26707
193,Good,30019899775,30019902871,3,26708
194,Good,30020153778,30020157490,4,26709
195,Good,30020407802,30020411119,3,26710
196,Good,30020661827,30020664911,3,26711
197,Good,30020915787,30020919078,3,26712
198,Good,30021169787,30021172842,3,26713
199,Good,30021423774,30021427511,4,26714
200,Good,30021677779,30021680871,3,26715
201,Good,30021931831,30021934950,3,26716
202,Good,30022185783,30022189298,4,26717
203,Good,30022439774,30022442859,3,26718
204,Good,30022693779,30022697406,4,26719
205,Good,30022947774,30022950883,3,26720
206,Good,30023201834,30023204910,3,26721
207,Good,30023455782,30023458947,3,26722
208,Good,30023709771,30023713018,3,26723
209,Good,30023963794,30023968543,5,26724
210,Good,30024218771,30024221814,3,26725
211,Good,30024472777,30024476547,4,26726
212,Good,30024726787,30024730207,3,26727
213,Good,30024980771,30024984086,3,26728
214,Good,30025234775,30025238626,4,26729
215,Good,30025488774,30025492150,3,26730
216,Good,30025742774,30025746731,4,26731
217,Good,30025996819,30026000223,3,26732
