counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,29717169559,29717173019,3,989.150000
1,Good,29717423811,29717426767,3,990.100000
2,Good,29717677798,29717680671,3,991.050000
3,Good,29717930775,29717934338,4,992.000000
4,Good,29718184774,29718187798,3,992.950000
5,Good,29718438786,29718442599,4,993.900000
6,Good,29718692779,29718695995,3,994.850000
7,Good,29718946778,29718949859,3,995.800000
8,Good,29719200782,29719204659,4,996.750000
9,Good,29719454787,29719457851,3,997.700000
10,Good,29719708787,29719712663,4,998.650000
11,Good,29719962790,29719965859,3,999.600000
12,Good,29720216818,29720219683,3,1000.550000
13,Good,29720469778,29720473231,3,1001.500000
14,Good,29720723770,29720726767,3,1002.450000
15,Good,29720977775,29720980511,3,1003.400000
16,Good,29721230770,29721234098,3,1004.350000
17,Good,29721484795,29721487666,3,1005.300000
18,Good,29721737786,29721740546,3,1006.250000
19,Good,29721990775,29721994443,4,1007.200000
20,Good,29722244791,29722247654,3,1008.150000
21,Good,29722497783,29722500823,3,1009.100000
22,Good,29722751843,29722754846,3,1010.050000
23,Good,29723005779,29723009550,4,1011.000000
24,Good,29723259774,29723263531,4,1011.950000
25,Good,29723513787,29723516963,3,1012.900000
26,Good,29723767783,29723770642,3,1013.850000
27,Good,29724020778,29724024495,4,1014.800000
28,Good,29724274790,29724277687,3,1015.750000
29,Good,29724527778,29724531707,4,1016.700000
30,Good,29724781819,29724784999,3,1017.650000
31,Good,29725035803,29725039843,4,1018.600000
32,Good,29725290790,29725294495,4,1019.550000
33,Good,29725544778,29725548158,3,1020.500000
34,Good,29725798779,29725801655,3,1021.450000
35,Good,29726051827,29726058951,7,1022.400000
36,Good,29726309779,29726313450,4,1023.350000
37,Good,29726563779,29726566702,3,1024.300000
38,Good,29726816783,29726819771,3,1025.250000
39,Good,29727070767,29727074634,4,1026.200000
40,Good,29727324774,29727327798,3,1027.150000
41,Good,29727578795,29727581783,3,1028.100000
42,Good,29727832779,29727835818,3,1029.050000
43,Good,29728086782,29728089782,3,1030.000000
44,Good,29728340770,29728344302,4,1030.950000
45,Good,29728594774,29728597830,3,1031.900000
46,Good,29728848795,29728851883,3,1032.850000
