value_last_recv,timestamp_chg
20653,33875192163
20654,33875498799
20655,33875804102
20656,33876110071
20657,33876414707
20658,33876721343
20659,33877026646
20660,33877331282
20661,33877636585
20662,33877941221
20663,33878246524
20664,33878551160
20665,33878856463
20666,33879162433
20667,33879467735
20668,33879772372
20669,33880077674
20670,33880382311
20671,33880687613
20672,33880992916
20673,33881297552
20674,33881602855
20675,33881908158
20676,33882212794
20677,33882518097
20678,33882822733
20679,33883128036
20680,33883434005
20681,33883739975
20682,33884045278
20683,33884351247
20684,33884655883
20685,33884961853
20686,33885267155
20687,33885571792
20688,33885878428
20689,33886184397
20690,33886490366
20691,33886795669
20692,33887102305
20693,33887408275
20694,33887714244
20695,33888020880
20696,33888325516
20697,33888631486
20698,33888936122
20699,33889241425
20700,33889546061
20701,33889852697
20702,33890158666
20703,33890464636
20704,33890771272
20705,33891076574
20706,33891382544
20707,33891689180
20708,33891995149
20709,33892301119
20710,33892607088
20711,33892913057
20712,33893219027
20713,33893524996
20714,33893828966
20715,33894134935
20716,33894439571
20717,33894744874
20718,33895050844
20719,33895354813
20720,33895659449
20721,33895965419
20722,33896270722
20723,33896576691
20724,33896883327
20725,33897188630
20726,33897494599
20727,33897801235
20728,33898106538
20729,33898413174
20730,33898718477
20731,33899025113
20732,33899329749
20733,33899635718
20734,33899941021
20735,33900246991
20736,33900552293
20737,33900857596
20738,33901163566
20739,33901468868
20740,33901773505
20741,33902079474
20742,33902384110
20743,33902689413
20744,33902994049
20745,33903299352
20746,33903603988
20747,33903909291
20748,33904213927
20749,33904519230
20750,33904824533
20751,33905129836
20752,33905434472
20753,33905739775
20754,33906044411
20755,33906350380
20756,33906655683
20757,33906960986
20758,33907265622
20759,33907570925
20760,33907875561
20761,33908180864
20762,33908486167
20763,33908790803
20764,33909096106
20765,33909401408
20766,33909706045
20767,33910011347
20768,33910315984
20769,33910621286
20770,33910925923
20771,33911231225
20772,33911536528
20773,33911841164
20774,33912146467
20775,33912451103
20776,33912756406
20777,33913061709
20778,33913366345
20779,33913671648
20780,33913976284
20781,33914281587
20782,33914586890
20783,33914891526
20784,33915196829
20785,33915502132
20786,33915806768
20787,33916112071
20788,33916416707
20789,33916722010
20790,33917026646
20791,33917331949
20792,33917637918
20793,33917943887
20794,33918249190
20795,33918555160
20796,33918859796
20797,33919165765
20798,33919472401
20799,33919777704
20800,33920083673
20801,33920388310
20802,33920694279
20803,33921000248
20804,33921306218
20805,33921612187
20806,33921918157
20807,33922224793
20808,33922530095
20809,33922836731
20810,33923142701
20811,33923448670
20812,33923754640
20813,33924060609
20814,33924366578
20815,33924672548
20816,33924978517
20817,33925283153
20818,33925588456
20819,33925893092
20820,33926199062
20821,33926505031
20822,33926811001
20823,33927116970
20824,33927420940
20825,33927726242
20826,33928032212
20827,33928336848
20828,33928640818
20829,33928947454
20830,33929251423
20831,33929557393
20832,33929862695
20833,33930168665
20834,33930473301
20835,33930779270
20836,33931085240
20837,33931390543
20838,33931695845
20839,33932001148
20840,33932307784
20841,33932613087
20842,33932917723
20843,33933223026
20844,33933527662
20845,33933832965
20846,33934137601
20847,33934442904
20848,33934747540
20849,33935052843
20850,33935357479
20851,33935663449
20852,33935968085
20853,33936273388
20854,33936578024
20855,33936883327
20856,33937187963
20857,33937493266
20858,33937797902
20859,33938103205
20860,33938407841
20861,33938713144
20862,33939017780
20863,33939323749
20864,33939628385
20865,33939933688
20866,33940238324
20867,33940543627
20868,33940848263
20869,33941153566
20870,33941458869
20871,33941764838
20872,33942070141
20873,33942374777
20874,33942680080
20875,33942984716
20876,33943290686
20877,33943596655
20878,33943900625
20879,33944206594
20880,33944511897
20881,33944817200
20882,33945121836
20883,33945428472
20884,33945733108
20885,33946039078
20886,33946344380
20887,33946649017
20888,33946954319
20889,33947258956
20890,33947565592
20891,33947870228
20892,33948175531
20893,33948481500
20894,33948786803
20895,33949091439
20896,33949397408
20897,33949701378
20898,33950006014
20899,33950310650
20900,33950615953
20901,33950920589
20902,33951225892
20903,33951531862
20904,33951837831
20905,33952143800
20906,33952449770
20907,33952753739
20908,33953059709
20909,33953365012
20910,33953669648
20911,33953976284
20912,33954282253
20913,33954588223
20914,33954894192
20915,33955200161
20916,33955505464
20917,33955811434
20918,33956118070
20919,33956422039
20920,33956728009
20921,33957033311
20922,33957340614
20923,33957645250
20924,33957951886
20925,33958257856
20926,33958562492
20927,33958868461
20928,33959173764
20929,33959480400
20930,33959785703
20931,33960091672
20932,33960398308
20933,33960704278
20934,33961010247
20935,33961316216
20936,33961620853
20937,33961926155
20938,33962232125
20939,33962537428
20940,33962842730
20941,33963148700
20942,33963454003
20943,33963759305
20944,33964065275
20945,33964371244
20946,33964676547
20947,33964981183
20948,33965286486
20949,33965591122
20950,33965896425
20951,33966201728
20952,33966506364
20953,33966811667
20954,33967116970
20955,33967421606
20956,33967726909
20957,33968031545
20958,33968336848
20959,33968642817
20960,33968948120
20961,33969252756
20962,33969558059
20963,33969862695
20964,33970167998
20965,33970473301
20966,33970777937
20967,33971083240
20968,33971388542
20969,33971693179
20970,33971998481
20971,33972303118
20972,33972608420
20973,33972913057
20974,33973218359
20975,33973523662
20976,33973828298
20977,33974133601
20978,33974438904
20979,33974743540
20980,33975048843
20981,33975354812
20982,33975660115
20983,33975964751
20984,33976270054
20985,33976574690
20986,33976879993
20987,33977184629
20988,33977491265
20989,33977795902
20990,33978101871
20991,33978406507
20992,33978712477
20993,33979018446
20994,33979323082
20995,33979628385
20996,33979933021
20997,33980238991
20998,33980544293
20999,33980849596
21000,33981154232
21001,33981459535
21002,33981764171
21003,33982069474
21004,33982374110
21005,33982679413
21006,33982984716
21007,33983289352
21008,33983594655
21009,33983899958
21010,33984205261
21011,33984511230
21012,33984815200
21013,33985119836
21014,33985425805
21015,33985731775
21016,33986037077
21017,33986343047
21018,33986647683
21019,33986952986
21020,33987257622
21021,33987562925
21022,33987868228
21023,33988173530
21024,33988477500
21025,33988783469
21026,33989088106
21027,33989394075
21028,33989699378
21029,33990005347
21030,33990311983
21031,33990617286
21032,33990923922
21033,33991229891
21034,33991535194
21035,33991841830
21036,33992147800
21037,33992453769
21038,33992758405
21039,33993064375
21040,33993369677
21041,33993675647
21042,33993982283
21043,33994287586
21044,33994592888
21045,33994898858
21046,33995204827
21047,33995510130
21048,33995816099
21049,33996121402
21050,33996426038
21051,33996731341
21052,33997035977
21053,33997341280
21054,33997646583
21055,33997951219
21056,33998256522
21057,33998561158
21058,33998866461
21059,33999171097
21060,33999476400
21061,33999781703
21062,34000087006
21063,34000393642
21064,34000698944
21065,34001005580
21066,34001310883
21067,34001615519
21068,34001920822
21069,34002225458
21070,34002530761
21071,34002835397
21072,34003140700
21073,34003446003
21074,34003750639
21075,34004056609
21076,34004361911
21077,34004667214
21078,34004971850
21079,34005277153
21080,34005582456
21081,34005887092
21082,34006192395
21083,34006497031
21084,34006802334
21085,34007107637
21086,34007412273
21087,34007717576
21088,34008022212
21089,34008327515
21090,34008632151
21091,34008938120
21092,34009244090
21093,34009548059
21094,34009854695
21095,34010159332
21096,34010465968
21097,34010770604
21098,34011076573
21099,34011381876
21100,34011686512
21101,34011991815
21102,34012296451
21103,34012601754
21104,34012907057
21105,34013213026
21106,34013518996
21107,34013824965
21108,34014130268
21109,34014436237
21110,34014740873
21111,34015046843
21112,34015353479
21113,34015659448
21114,34015965418
21115,34016271387
21116,34016577356
21117,34016883326
21118,34017189295
21119,34017495931
21120,34017801901
21121,34018107203
21122,34018411173
21123,34018716476
21124,34019021112
21125,34019326415
21126,34019631718
21127,34019937687
21128,34020241657
21129,34020547626
21130,34020851596
21131,34021156898
21132,34021462868
21133,34021768171
21134,34022071474
21135,34022376776
21136,34022682079
21137,34022988049
21138,34023293351
21139,34023599321
21140,34023905957
21141,34024211260
21142,34024517229
21143,34024821865
21144,34025128501
21145,34025433804
21146,34025739773
21147,34026044410
21148,34026350379
21149,34026656348
21150,34026961651
21151,34027266954
21152,34027572257
21153,34027878226
21154,34028183529
21155,34028488832
21156,34028794135
21157,34029098771
21158,34029404074
21159,34029708710
21160,34030014013
21161,34030318649
21162,34030623952
21163,34030928588
21164,34031233891
21165,34031539193
21166,34031843830
21167,34032149132
21168,34032454435
21169,34032759071
21170,34033064374
21171,34033370344
21172,34033675646
21173,34033980283
21174,34034285585
21175,34034590222
21176,34034895524
21177,34035200827
21178,34035505463
21179,34035811433
21180,34036116736
21181,34036421372
21182,34036727341
21183,34037032644
21184,34037337947
21185,34037642583
21186,34037947886
21187,34038253189
21188,34038558491
21189,34038863794
21190,34039169764
21191,34039475066
21192,34039779703
21193,34040085005
21194,34040390308
21195,34040694944
21196,34041000914
21197,34041306217
21198,34041611519
21199,34041916156
21200,34042221458
21201,34042526761
21202,34042831397
21203,34043136700
21204,34043441336
21205,34043746639
21206,34044052609
21207,34044358578
21208,34044664547
21209,34044970517
21210,34045274486
21211,34045580456
21212,34045886425
21213,34046192395
21214,34046499031
21215,34046805000
21216,34047110969
21217,34047416939
21218,34047722908
21219,34048029544
21220,34048334847
21221,34048640816
21222,34048946119
21223,34049252089
21224,34049558725
21225,34049864027
21226,34050169997
21227,34050476633
21228,34050782602
21229,34051088572
21230,34051394541
21231,34051701177
21232,34052006480
21233,34052312449
21234,34052619085
21235,34052923055
21236,34053229024
21237,34053534994
21238,34053841630
21239,34054146932
21240,34054451569
21241,34054755538
21242,34055061508
21243,34055365477
21244,34055671447
21245,34055976083
21246,34056282052
21247,34056586688
21248,34056893324
21249,34057197961
21250,34057503930
21251,34057809899
21252,34058115202
21253,34058421838
21254,34058727141
21255,34059031777
21256,34059337080
21257,34059642383
21258,34059947686
21259,34060252322
21260,34060557625
21261,34060862261
21262,34061167564
21263,34061472200
21264,34061777503
21265,34062083472
21266,34062388775
21267,34062694078
21268,34062998714
21269,34063304017
21270,34063608653
21271,34063913956
21272,34064219258
