value_last_recv,timestamp_chg
x8nDcGt25NoVSRM3Bmos3Fj6Nymu67PnzamgU45eWayDCvjVMFEu84LeRFHbsYDnWaZdSGxh8jMdYf1,34843590647
yKkuJgFcsWxQMbw8XLqmVFCERfvYrqGtTSHn4FQ8rHd2AVfvNFyKcEgp2AUEpred5JpVdFano7hNRL2,34843915948
mck4JxNj7CE63qcwVeaWG3mYfyG9bjyEcgxkUF6EXaAet8dv3t2dk8ven9FkebPzZJX9tKUaBdKG4v3,34844239249
nMhxE86FBrGyc29uoUxFwJkYacFxokzHbY6oJbMR7nbNkhmLVQbBfZMqvezSXd29WE6Um92yzeHLy44,34844561216
nTVYF68fbc37W9jHkPNcq2tQjZr5De6kWoDJb3aGZ2H4QyRWg6kavjExpNYk86W9UeHVwWR9kJqK3T5,34844885851
fUJk3cEoNMrxcJKgQduXYkxEev85HeVFC2YmNbC4dHjocea9J5XgKG8fDEFdJfrzmukhU2Csc5bNaC6,34845207152
g59j7g2uaEJTVgt7ZsBr4qaxDVyrLeSnCy7PgH3E4zTcLgrs7CdZUWzdKfmrJh5weQjZSy6wDX7neo7,34845528453
PcwNrGtWkRXqpLkMgtocSbfB7DKUb9RgBbvCrhjDw9R8NbCwrsHuKLoMzhUTj75qXtKHZdCF4ebPhx8,34845852421
AXnszfWxhMHPQcyEkjdS5WMqC2L7RuyTMU2WzR42nApXo8UMFAZCxpqJm5XZ7Re3vsG8je6wKNpBwT9,34846173722
amNL4JBqKsPWebqtJe3QMPedQnaAHxSm7wtEmsfaw2Rhsg63SaCNXrqZ4XtpC46thp7ogwHsvaoN591,34846495023
DPf2jsYBXLyWwu7UyrDkRVdSTb7Dce5zmwWEKzQ5RV8u6Aq4FR2Tv4BhQb75p4J7jPozwpA9fgXaQj2,34846818324
nkfy3V4jw7WpD29sFoaZDnv5eB3xLjUQRSZUDPstRAroTcpYjfS58Mg3C8yeBvkXYhfpz6rJD5GmCV3,34847140958
PpSZEtfRFZNreYUn4qGyC2a9QDd86WvKgf6EkGrxBQjas9okdrVNoLwzaCAQhVsnDK8bQBw9SAQYyW4,34847461593
oa63VJPKDqhc5zwpyqLVb5W62XdzKvmZL4DMGRmTA2sSU3bNkasnB9tD8oY9SEHRBvkgD3UjLEMgeC5,34847785561
hU3wJ4UHQopm2ZNkC2pmD3ourZg8vcmZ7LVGbYSZNru2mdnWAeaNBdvKWLDzbBP5tNKokPgArvGJ9y6,34848106195
v5f7TqnpSCePJzQTyWj4Hyz9davCMwVxEf6DPGg3kE9XKacRvY6GDq7yQzqPs3VuWvaVj6PuAGQUeu7,34848427496
XqJcQF92nuWFBYsGeVDJf9x57s9eKdaUbomQFpUVfsSdX4EzmYPEURKJoUX9tqJUCoWwbAzrmxqUfC8,34848749464
H4vPV9Kdcmve7VBJKQrDXEnpVbUxFt2z548Cc3UzPCVywgJLv6EsX2RWeJAS8YMd6GPMTwysUJCBRy9,34849072765
4KmUxwGfCqp7tTgR6z4qS729GVYPxQFqjGVEYrxjMenzEZv3GKZ52mMtUrasSPZjQJMa5zJFEaPJB51,34849394733
VqEpvrd4kurQES8FDj6MV7RtxvfeLpF6gV4dasfUFt3BwGVLhErRYZV768HEhBt8VZuJFedxmL9Xw82,34849716701
ZUnkxygH9efdtYPfsJCbrkBcjNvWBK7hru6aJxRuohAtZXoQPufrySJBkVv4mcWfLqdkSN3nZyW4hc3,34850038002
YjFwa2bvZUwCWHKLchs3C8A24R6PbHTWUfq7FUxB3FjDqMsF4TefHvgk2f7MdpCmcNXP52NFHvTMsf4,34850359970
N92wY5Zht7eS5pkBEsdroYnSBvPXgw9k8dwPNgxe7W6KbXLPACojkPdWSnUYrSqGvzKp3JaRW2KmzL5,34850682604
w76Y4hu2QKdJhozvDRZXyWuZJ7HeGBcKF5UXSNhA95dY3nrAYhju57L8tmnVHB8btTcyrZY52WaRUZ6,34851006572
sc4ZL7tTcXnvVBZ3Yf5s2VfCsygcRM2ZpGhRwSKWuBHe9YzaB8wuEo4BWu9pKvWqQcJFyPuVGT4MyJ7,34851329206
yL3m4Fc3g5ZWF28vyt6rVMtCZ5u3AyfmW83twK9fMRTU8AbwHXFM5d9JhcKrs3XxAQ3EBh7LH5Zsb48,34851651841
F2baZV9tLTRwUj5f8uhrFVfPtEzBQXmA7Yh54VzrhpXxVdLJuYvF4Kr9AURt3KUT8HYzpWQn8jVgsP9,34851973808
gGnNPJDz59UfZyvNdBfDETFCfc6kWaKuptnQ7EK4h5pBtMHwDrskcwgKrqHncdxjzqLfQY2mJeYZBw1,34852295110
NXcCDQyrvXcQEazb3f7Q2pyFb8YGJ5aVzPFfwZWxdAYz3Z7j4tygWsn7mSaknbBZzUe5FkaXoPhgaj2,34852616411
reS3XrjKH6N2gWacjnDoxPF9DMrCt9DbU5G76xV57pNfFEx8c5MDQ4Td3HX6KxFBfVmqPT3pj2c8G33,34852941045
uKhHQo5DnTcwjsCr9StWGPmTXpUZVW9Knukpz2agD6yF2u8EkMYDUe738jnS6cm7bCJSZTxDSvMwep4,34853262346
SY8NrQJ3z5v9WcJ5rxvK3j9BstkKE75nosPL3QYgc4STZtH37gePEosNZJSrv7zVRxaqLygXnYqrsT5,34853584981
bS6AWHzjDf7bGyr7a8J5qM7H9mp7BeGJyZ7cNaPWKNaQwrtuKEvF92XP4GdbU8SY298trqUCsuh2x76,34853906282
vt7EDUzFNMUQpvCc8XztRAbXaCRGyZ63srX4NEB53feWD6sF4ZGdteqmRh8FvX6EohtTyxYd6BXpVs7,34854228916
AxXP82Mmwb6Zt8qazDfJGSpEPhmNjg3vh9rGwWHe3wDMCrPdUME4frJsTfXLNWDg7YqstRJBk5wRLV8,34854552217
fWtQUx3CSgYcytTJesfPoAeuDCSk43g7zydFtEWXLUwRvgoF9fzLSujbXp2f64dpY9vKSnUZQsvAxm9,34854872852
3z5U8ea9d4ecQXWwG2h6q3fh58jnuV8qAjfKdgwpXnx6AUYNrtvA4Na693A5RNKdjXwQ7WAERTQrm51,34855196153
hV6Bj8vwHFNepwtGYoba7m8tXu6n4KsTDoahUMjfwoKs2URfM2DKdR7XLnxBJ38W4bBVLvD5nW7wBf2,34855517454
oFrTpHhWcKJhvdorqwxYS6VZq9P24AjKGWXCKpqu32AnmSa9pQMGJsuRmq4rcbk8YGfBCenDUwqx2P3,34855840088
