counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,33569860000,33569864000,4,26515
1,Good,33570165000,33570168000,3,26516
2,Good,33570469000,33570472000,3,26517
3,Good,33570773000,33570777000,4,26518
4,Good,33571079000,33571082000,3,26519
5,Good,33571383000,33571387000,4,26520
6,Good,33571689000,33571692000,3,26521
7,Good,33571993000,33571997000,4,26522
8,Good,33572298000,33572302000,4,26523
9,Good,33572603000,33572607000,4,26524
10,Good,33572909000,33572912000,3,26525
11,Good,33573214000,33573218000,4,26526
12,Good,33573520000,33573524000,4,26527
13,Good,33573825000,33573828000,3,26528
14,Good,33574129000,33574132000,3,26529
15,Good,33574433000,33574437000,4,26530
16,Good,33574738000,33574742000,4,26531
17,Good,33575043000,33575047000,4,26532
18,Good,33575348000,33575351000,3,26533
19,Good,33575653000,33575657000,4,26534
20,Good,33575959000,33575962000,3,26535
21,Good,33576264000,33576268000,4,26536
22,Good,33576570000,33576573000,3,26537
23,Good,33576875000,33576878000,3,26538
24,Good,33577179000,33577182000,3,26539
25,Good,33577483000,33577487000,4,26540
26,Good,33577789000,33577792000,3,26541
27,Good,33578093000,33578097000,4,26542
28,Good,33578398000,33578401000,3,26543
29,Good,33578703000,33578707000,4,26544
30,Good,33579008000,33579011000,3,26545
31,Good,33579313000,33579317000,4,26546
32,Good,33579618000,33579621000,3,26547
33,Good,33579923000,33579927000,4,26548
34,Good,33580229000,33580232000,3,26549
35,Good,33580534000,33580538000,4,26550
36,Good,33580839000,33580842000,3,26551
37,Good,33581144000,33581148000,4,26552
38,Good,33581450000,33581453000,3,26553
39,Good,33581755000,33581758000,3,26554
40,Good,33582060000,33582063000,3,26555
41,Good,33582365000,33582368000,3,26556
42,Good,33582670000,33582673000,3,26557
43,Good,33582975000,33582978000,3,26558
44,Good,33583280000,33583283000,3,26559
45,Good,33583585000,33583588000,3,26560
46,Good,33583890000,33583893000,3,26561
47,Good,33584195000,33584198000,3,26562
48,Good,33584500000,33584503000,3,26563
49,Good,33584805000,33584808000,3,26564
50,Good,33585110000,33585113000,3,26565
51,Good,33585415000,33585418000,3,26566
52,Good,33585720000,33585723000,3,26567
53,Good,33586025000,33586028000,3,26568
54,Good,33586330000,33586333000,3,26569
55,Good,33586635000,33586638000,3,26570
56,Good,33586940000,33586943000,3,26571
57,Good,33587245000,33587249000,4,26572
58,Good,33587551000,33587554000,3,26573
59,Good,33587856000,33587861000,5,26574
60,Good,33588162000,33588166000,4,26575
61,Good,33588468000,33588471000,3,26576
62,Good,33588773000,33588777000,4,26577
63,Good,33589079000,33589082000,3,26578
64,Good,33589384000,33589388000,4,26579
65,Good,33589689000,33589692000,3,26580
66,Good,33589994000,33589998000,4,26581
67,Good,33590299000,33590302000,3,26582
68,Good,33590604000,33590608000,4,26583
69,Good,33590909000,33590913000,4,26584
70,Good,33591214000,33591218000,4,26585
71,Good,33591519000,33591522000,3,26586
72,Good,33591824000,33591828000,4,26587
73,Good,33592129000,33592132000,3,26588
74,Good,33592434000,33592438000,4,26589
75,Good,33592739000,33592742000,3,26590
76,Good,33593044000,33593048000,4,26591
77,Good,33593349000,33593353000,4,26592
78,Good,33593654000,33593658000,4,26593
79,Good,33593959000,33593963000,4,26594
80,Good,33594264000,33594268000,4,26595
81,Good,33594569000,33594572000,3,26596
82,Good,33594874000,33594878000,4,26597
83,Good,33595179000,33595182000,3,26598
84,Good,33595484000,33595488000,4,26599
85,Good,33595789000,33595792000,3,26600
86,Good,33596093000,33596097000,4,26601
