counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,33264679000,33264683000,4,989.150000
1,Good,33264985000,33264988000,3,990.100000
2,Good,33265289000,33265292000,3,991.050000
3,Good,33265594000,33265598000,4,992.000000
4,Good,33265899000,33265902000,3,992.950000
5,Good,33266204000,33266208000,4,993.900000
6,Good,33266509000,33266512000,3,994.850000
7,Good,33266814000,33266818000,4,995.800000
8,Good,33267119000,33267122000,3,996.750000
9,Good,33267424000,33267428000,4,997.700000
10,Good,33267729000,33267732000,3,998.650000
11,Good,33268034000,33268038000,4,999.600000
12,Good,33268339000,33268342000,3,1000.550000
13,Good,33268644000,33268648000,4,1001.500000
14,Good,33268949000,33268952000,3,1002.450000
15,Good,33269254000,33269258000,4,1003.400000
16,Good,33269559000,33269562000,3,1004.350000
17,Good,33269864000,33269868000,4,1005.300000
18,Good,33270169000,33270172000,3,1006.250000
19,Good,33270474000,33270478000,4,1007.200000
20,Good,33270779000,33270782000,3,1008.150000
21,Good,33271084000,33271088000,4,1009.100000
22,Good,33271389000,33271392000,3,1010.050000
23,Good,33271694000,33271698000,4,1011.000000
24,Good,33271999000,33272002000,3,1011.950000
25,Good,33272304000,33272308000,4,1012.900000
26,Good,33272609000,33272612000,3,1013.850000
27,Good,33272914000,33272918000,4,1014.800000
28,Good,33273219000,33273222000,3,1015.750000
29,Good,33273524000,33273528000,4,1016.700000
30,Good,33273829000,33273832000,3,1017.650000
31,Good,33274134000,33274138000,4,1018.600000
32,Good,33274439000,33274442000,3,1019.550000
33,Good,33274744000,33274748000,4,1020.500000
34,Good,33275049000,33275052000,3,1021.450000
35,Good,33275354000,33275358000,4,1022.400000
36,Good,33275659000,33275662000,3,1023.350000
37,Good,33275964000,33275968000,4,1024.300000
38,Good,33276269000,33276272000,3,1025.250000
39,Good,33276574000,33276578000,4,1026.200000
40,Good,33276879000,33276883000,4,1027.150000
41,Good,33277184000,33277188000,4,1028.100000
42,Good,33277489000,33277493000,4,1029.050000
43,Good,33277794000,33277798000,4,1030.000000
44,Good,33278099000,33278101000,2,1030.950000
45,Good,33278403000,33278407000,4,1031.900000
46,Good,33278709000,33278712000,3,1032.850000
47,Good,33279014000,33279018000,4,1033.800000
48,Good,33279319000,33279321000,2,1034.750000
49,Good,33279623000,33279625000,2,1035.700000
50,Good,33279927000,33279930000,3,1036.650000
51,Good,33280232000,33280236000,4,1037.600000
52,Good,33280538000,33280541000,3,1038.550000
53,Good,33280843000,33280846000,3,1039.500000
54,Good,33281147000,33281150000,3,1040.450000
55,Good,33281452000,33281456000,4,1041.400000
56,Good,33281758000,33281762000,4,1042.350000
57,Good,33282063000,33282066000,3,1043.300000
58,Good,33282368000,33282372000,4,1044.250000
59,Good,33282674000,33282678000,4,1045.200000
60,Good,33282979000,33282981000,2,1046.150000
61,Good,33283283000,33283286000,3,1047.100000
62,Good,33283588000,33283592000,4,1048.050000
63,Good,33283893000,33283896000,3,1049.000000
64,Good,33284198000,33284202000,4,1049.950000
65,Good,33284503000,33284506000,3,1050.900000
66,Good,33284808000,33284812000,4,1051.850000
67,Good,33285113000,33285117000,4,1052.800000
68,Good,33285418000,33285422000,4,1053.750000
69,Good,33285723000,33285726000,3,1054.700000
70,Good,33286028000,33286032000,4,1055.650000
71,Good,33286333000,33286337000,4,1056.600000
72,Good,33286638000,33286641000,3,1057.550000
73,Good,33286943000,33286947000,4,1058.500000
74,Good,33287249000,33287252000,3,1059.450000
75,Good,33287553000,33287557000,4,1060.400000
76,Good,33287859000,33287862000,3,1061.350000
77,Good,33288163000,33288167000,4,1062.300000
78,Good,33288469000,33288472000,3,1063.250000
79,Good,33288773000,33288777000,4,1064.200000
80,Good,33289079000,33289082000,3,1065.150000
81,Good,33289383000,33289387000,4,1066.100000
82,Good,33289689000,33289692000,3,1067.050000
83,Good,33289993000,33289997000,4,1068.000000
84,Good,33290299000,33290302000,3,1068.950000
85,Good,33290603000,33290607000,4,1069.900000
86,Good,33290909000,33290912000,3,1070.850000
87,Good,33291214000,33291218000,4,1071.800000
88,Good,33291519000,33291522000,3,1072.750000
89,Good,33291824000,33291828000,4,1073.700000
90,Good,33292129000,33292132000,3,1074.650000
91,Good,33292433000,33292437000,4,1075.600000
92,Good,33292738000,33292741000,3,1076.550000
93,Good,33293043000,33293047000,4,1077.500000
94,Good,33293349000,33293352000,3,1078.450000
95,Good,33293654000,33293658000,4,1079.400000
96,Good,33293959000,33293962000,3,1080.350000
97,Good,33294264000,33294268000,4,1081.300000
98,Good,33294570000,33294573000,3,1082.250000
99,Good,33294875000,33294878000,3,1083.200000
100,Good,33295180000,33295183000,3,1084.150000
101,Good,33295485000,33295488000,3,1085.100000
102,Good,33295790000,33295793000,3,1086.050000
103,Good,33296095000,33296098000,3,1087.000000
104,Good,33296400000,33296403000,3,1087.950000
105,Good,33296705000,33296709000,4,1088.900000
106,Good,33297011000,33297014000,3,1089.850000
107,Good,33297316000,33297320000,4,1090.800000
108,Good,33297622000,33297625000,3,1091.750000
109,Good,33297927000,33297930000,3,1092.700000
110,Good,33298232000,33298235000,3,1093.650000
111,Good,33298537000,33298540000,3,1094.600000
112,Good,33298842000,33298845000,3,1095.550000
113,Good,33299147000,33299150000,3,1096.500000
114,Good,33299452000,33299455000,3,1097.450000
115,Good,33299757000,33299760000,3,1098.400000
116,Good,33300062000,33300065000,3,1099.350000
117,Good,33300367000,33300370000,3,1100.300000
118,Good,33300672000,33300675000,3,1101.250000
119,Good,33300977000,33300980000,3,1102.200000
120,Good,33301282000,33301285000,3,1103.150000
121,Good,33301587000,33301590000,3,1104.100000
122,Good,33301892000,33301896000,4,1105.050000
123,Good,33302198000,33302201000,3,1106.000000
124,Good,33302503000,33302507000,4,1106.950000
125,Good,33302809000,33302812000,3,1107.900000
126,Good,33303114000,33303118000,4,1108.850000
127,Good,33303419000,33303422000,3,1109.800000
128,Good,33303724000,33303728000,4,1110.750000
129,Good,33304029000,33304032000,3,1111.700000
130,Good,33304334000,33304338000,4,1112.650000
131,Good,33304639000,33304642000,3,1113.600000
132,Good,33304944000,33304948000,4,1114.550000
133,Good,33305249000,33305252000,3,1115.500000
134,Good,33305554000,33305558000,4,1116.450000
135,Good,33305859000,33305862000,3,1117.400000
136,Good,33306164000,33306168000,4,1118.350000
137,Good,33306469000,33306473000,4,1119.300000
138,Good,33306774000,33306778000,4,1120.250000
139,Good,33307079000,33307082000,3,1121.200000
140,Good,33307384000,33307388000,4,1122.150000
141,Good,33307689000,33307692000,3,1123.100000
142,Good,33307994000,33307998000,4,1124.050000
143,Good,33308299000,33308303000,4,1125.000000
144,Good,33308604000,33308608000,4,1125.950000
145,Good,33308909000,33308913000,4,1126.900000
146,Good,33309214000,33309218000,4,1127.850000
147,Good,33309520000,33309524000,4,1128.800000
148,Good,33309825000,33309829000,4,1129.750000
149,Good,33310131000,33310134000,3,1130.700000
150,Good,33310436000,33310439000,3,1131.650000
151,Good,33310741000,33310745000,4,1132.600000
152,Good,33311046000,33311050000,4,1133.550000
153,Good,33311351000,33311354000,3,1134.500000
154,Good,33311655000,33311658000,3,1135.450000
155,Good,33311960000,33311964000,4,1136.400000
156,Good,33312265000,33312268000,3,1137.350000
157,Good,33312570000,33312574000,4,1138.300000
158,Good,33312875000,33312878000,3,1139.250000
159,Good,33313180000,33313184000,4,1140.200000
160,Good,33313485000,33313488000,3,1141.150000
161,Good,33313789000,33313792000,3,1142.100000
162,Good,33314093000,33314097000,4,1143.050000
163,Good,33314398000,33314402000,4,1144.000000
164,Good,33314704000,33314708000,4,1144.950000
165,Good,33315009000,33315012000,3,1145.900000
166,Good,33315313000,33315317000,4,1146.850000
167,Good,33315619000,33315622000,3,1147.800000
168,Good,33315924000,33315928000,4,1148.750000
169,Good,33316229000,33316232000,3,1149.700000
170,Good,33316533000,33316536000,3,1150.650000
171,Good,33316838000,33316842000,4,1151.600000
172,Good,33317143000,33317147000,4,1152.550000
173,Good,33317448000,33317452000,4,1153.500000
174,Good,33317753000,33317758000,5,1154.450000
175,Good,33318060000,33318064000,4,1155.400000
176,Good,33318365000,33318368000,3,1156.350000
177,Good,33318669000,33318672000,3,1157.300000
178,Good,33318973000,33318977000,4,1158.250000
179,Good,33319279000,33319282000,3,1159.200000
180,Good,33319583000,33319587000,4,1160.150000
181,Good,33319888000,33319892000,4,1161.100000
182,Good,33320193000,33320197000,4,1162.050000
183,Good,33320498000,33320501000,3,1163.000000
184,Good,33320803000,33320807000,4,1163.950000
185,Good,33321109000,33321112000,3,1164.900000
186,Good,33321413000,33321417000,4,1165.850000
187,Good,33321719000,33321722000,3,1166.800000
188,Good,33322023000,33322027000,4,1167.750000
189,Good,33322328000,33322331000,3,1168.700000
190,Good,33322633000,33322637000,4,1169.650000
191,Good,33322938000,33322941000,3,1170.600000
192,Good,33323243000,33323247000,4,1171.550000
193,Good,33323548000,33323551000,3,1172.500000
194,Good,33323853000,33323857000,4,1173.450000
195,Good,33324159000,33324162000,3,1174.400000
196,Good,33324463000,33324467000,4,1175.350000
197,Good,33324769000,33324772000,3,1176.300000
198,Good,33325074000,33325078000,4,1177.250000
199,Good,33325379000,33325382000,3,1178.200000
200,Good,33325683000,33325687000,4,1179.150000
201,Good,33325989000,33325992000,3,1180.100000
202,Good,33326293000,33326297000,4,1181.050000
203,Good,33326598000,33326601000,3,1182.000000
204,Good,33326903000,33326907000,4,1182.950000
205,Good,33327209000,33327212000,3,1183.900000
206,Good,33327514000,33327518000,4,1184.850000
207,Good,33327819000,33327822000,3,1185.800000
208,Good,33328124000,33328128000,4,1186.750000
209,Good,33328429000,33328432000,3,1187.700000
210,Good,33328734000,33328738000,4,1188.650000
211,Good,33329039000,33329042000,3,1189.600000
212,Good,33329344000,33329348000,4,1190.550000
213,Good,33329649000,33329652000,3,1191.500000
214,Good,33329954000,33329958000,4,1192.450000
215,Good,33330259000,33330262000,3,1193.400000
216,Good,33330564000,33330568000,4,1194.350000
217,Good,33330869000,33330872000,3,1195.300000
218,Good,33331174000,33331178000,4,1196.250000
219,Good,33331479000,33331482000,3,1197.200000
220,Good,33331784000,33331788000,4,1198.150000
221,Good,33332089000,33332092000,3,1199.100000
222,Good,33332394000,33332398000,4,1200.050000
223,Good,33332699000,33332702000,3,1201.000000
224,Good,33333004000,33333009000,5,1201.950000
225,Good,33333311000,33333314000,3,1202.900000
226,Good,33333616000,33333620000,4,1203.850000
227,Good,33333922000,33333925000,3,1204.800000
228,Good,33334227000,33334230000,3,1205.750000
229,Good,33334532000,33334536000,4,1206.700000
230,Good,33334838000,33334841000,3,1207.650000
231,Good,33335143000,33335147000,4,1208.600000
232,Good,33335449000,33335452000,3,1209.550000
233,Good,33335754000,33335758000,4,1210.500000
234,Good,33336059000,33336062000,3,1211.450000
235,Good,33336364000,33336368000,4,1212.400000
236,Good,33336669000,33336672000,3,1213.350000
237,Good,33336974000,33336978000,4,1214.300000
238,Good,33337279000,33337282000,3,1215.250000
239,Good,33337584000,33337588000,4,1216.200000
240,Good,33337889000,33337892000,3,1217.150000
241,Good,33338194000,33338198000,4,1218.100000
242,Good,33338499000,33338502000,3,1219.050000
243,Good,33338804000,33338808000,4,1220.000000
244,Good,33339109000,33339112000,3,1220.950000
245,Good,33339414000,33339418000,4,1221.900000
246,Good,33339719000,33339722000,3,1222.850000
247,Good,33340024000,33340028000,4,1223.800000
248,Good,33340329000,33340333000,4,1224.750000
249,Good,33340634000,33340638000,4,1225.700000
250,Good,33340939000,33340942000,3,1226.650000
251,Good,33341244000,33341248000,4,1227.600000
252,Good,33341549000,33341552000,3,1228.550000
253,Good,33341853000,33341858000,5,1229.500000
254,Good,33342159000,33342163000,4,1230.450000
255,Good,33342464000,33342468000,4,1231.400000
256,Good,33342769000,33342771000,2,1232.350000
257,Good,33343073000,33343076000,3,1233.300000
258,Good,33343378000,33343381000,3,1234.250000
259,Good,33343683000,33343686000,3,1235.200000
260,Good,33343988000,33343992000,4,1236.150000
261,Good,33344293000,33344297000,4,1237.100000
262,Good,33344598000,33344602000,4,1238.050000
263,Good,33344903000,33344907000,4,1239.000000
264,Good,33345208000,33345212000,4,1239.950000
265,Good,33345513000,33345516000,3,1240.900000
266,Good,33345818000,33345822000,4,1241.850000
267,Good,33346123000,33346126000,3,1242.800000
268,Good,33346428000,33346432000,4,1243.750000
269,Good,33346733000,33346737000,4,1244.700000
270,Good,33347039000,33347042000,3,1245.650000
271,Good,33347343000,33347346000,3,1246.600000
272,Good,33347648000,33347652000,4,1247.550000
273,Good,33347953000,33347957000,4,1248.500000
274,Good,33348259000,33348262000,3,1249.450000
275,Good,33348563000,33348567000,4,1250.400000
276,Good,33348869000,33348872000,3,1251.350000
277,Good,33349173000,33349177000,4,1252.300000
278,Good,33349478000,33349482000,4,1253.250000
279,Good,33349783000,33349787000,4,1254.200000
280,Good,33350089000,33350092000,3,1255.150000
281,Good,33350393000,33350397000,4,1256.100000
282,Good,33350699000,33350702000,3,1257.050000
283,Good,33351004000,33351008000,4,1258.000000
284,Good,33351310000,33351313000,3,1258.950000
285,Good,33351615000,33351618000,3,1259.900000
286,Good,33351920000,33351924000,4,1260.850000
287,Good,33352225000,33352228000,3,1261.800000
288,Good,33352529000,33352532000,3,1262.750000
289,Good,33352833000,33352837000,4,1263.700000
290,Good,33353138000,33353141000,3,1264.650000
291,Good,33353443000,33353447000,4,1265.600000
292,Good,33353748000,33353751000,3,1266.550000
293,Good,33354053000,33354057000,4,1267.500000
294,Good,33354358000,33354361000,3,1268.450000
295,Good,33354663000,33354667000,4,1269.400000
296,Good,33354969000,33354972000,3,1270.350000
297,Good,33355273000,33355277000,4,1271.300000
298,Good,33355578000,33355581000,3,1272.250000
299,Good,33355883000,33355887000,4,1273.200000
300,Good,33356188000,33356191000,3,1274.150000
301,Good,33356493000,33356497000,4,1275.100000
302,Good,33356798000,33356801000,3,1276.050000
303,Good,33357103000,33357107000,4,1277.000000
304,Good,33357409000,33357412000,3,1277.950000
305,Good,33357713000,33357717000,4,1278.900000
306,Good,33358018000,33358021000,3,1279.850000
307,Good,33358323000,33358327000,4,1280.800000
308,Good,33358628000,33358631000,3,1281.750000
309,Good,33358933000,33358937000,4,1282.700000
310,Good,33359239000,33359242000,3,1283.650000
311,Good,33359543000,33359547000,4,1284.600000
312,Good,33359848000,33359851000,3,1285.550000
313,Good,33360153000,33360157000,4,1286.500000
314,Good,33360459000,33360462000,3,1287.450000
315,Good,33360764000,33360768000,4,1288.400000
316,Good,33361069000,33361072000,3,1289.350000
317,Good,33361374000,33361378000,4,1290.300000
318,Good,33361679000,33361682000,3,1291.250000
319,Good,33361984000,33361988000,4,1292.200000
320,Good,33362289000,33362292000,3,1293.150000
321,Good,33362594000,33362598000,4,1294.100000
322,Good,33362899000,33362902000,3,1295.050000
323,Good,33363204000,33363208000,4,1296.000000
324,Good,33363509000,33363512000,3,1296.950000
325,Good,33363814000,33363818000,4,1297.900000
326,Good,33364119000,33364122000,3,1298.850000
327,Good,33364424000,33364428000,4,1299.800000
328,Good,33364729000,33364732000,3,1300.750000
329,Good,33365034000,33365038000,4,1301.700000
330,Good,33365339000,33365342000,3,1302.650000
331,Good,33365644000,33365648000,4,1303.600000
332,Good,33365950000,33365953000,3,1304.550000
333,Good,33366255000,33366259000,4,1305.500000
334,Good,33366560000,33366564000,4,1306.450000
335,Good,33366865000,33366868000,3,1307.400000
336,Good,33367170000,33367173000,3,1308.350000
337,Good,33367475000,33367478000,3,1309.300000
338,Good,33367780000,33367783000,3,1310.250000
339,Good,33368085000,33368088000,3,1311.200000
340,Good,33368390000,33368393000,3,1312.150000
341,Good,33368695000,33368698000,3,1313.100000
342,Good,33369000000,33369003000,3,1314.050000
