value_last_recv,timestamp_chg
26515,59172064000
26516,59172370000
26517,59172674000
26518,59172978000
26519,59173282000
26520,59173586000
26521,59173891000
26522,59174195000
26523,59174500000
26524,59174803000
26525,59175107000
26526,59175413000
26527,59175717000
26528,59176022000
26529,59176326000
26530,59176630000
26531,59176934000
26532,59177239000
26533,59177543000
26534,59177847000
26535,59178153000
26536,59178457000
26537,59178762000
26538,59179066000
26539,59179370000
26540,59179674000
26541,59179978000
26542,59180282000
26543,59180586000
26544,59180891000
26545,59181195000
26546,59181500000
26547,59181803000
26548,59182109000
26549,59182414000
26550,59182718000
26551,59183022000
26552,59183326000
26553,59183630000
26554,59183934000
26555,59184238000
26556,59184542000
26557,59184846000
26558,59185151000
26559,59185455000
26560,59185760000
26561,59186065000
26562,59186369000
26563,59186674000
26564,59186978000
26565,59187282000
26566,59187586000
26567,59187891000
26568,59188195000
26569,59188500000
26570,59188803000
26571,59189107000
26572,59189413000
26573,59189717000
26574,59190022000
26575,59190326000
26576,59190630000
26577,59190934000
26578,59191238000
26579,59191542000
26580,59191847000
26581,59192153000
26582,59192457000
26583,59192762000
26584,59193066000
26585,59193370000
26586,59193674000
26587,59193978000
26588,59194282000
26589,59194586000
26590,59194891000
26591,59195195000
26592,59195500000
26593,59195803000
26594,59196107000
26595,59196411000
26596,59196715000
26597,59197020000
26598,59197323000
26599,59197628000
26600,59197933000
26601,59198237000
26602,59198542000
26603,59198846000
26604,59199150000
26605,59199454000
26606,59199758000
26607,59200063000
26608,59200366000
26609,59200672000
26610,59200976000
26611,59201280000
26612,59201584000
26613,59201888000
26614,59202193000
26615,59202497000
26616,59202802000
26617,59203106000
26618,59203410000
26619,59203715000
26620,59204019000
26621,59204324000
26622,59204628000
26623,59204933000
26624,59205237000
26625,59205542000
26626,59205846000
26627,59206150000
26628,59206454000
26629,59206758000
26630,59207063000
26631,59207367000
26632,59207672000
26633,59207976000
26634,59208280000
26635,59208584000
26636,59208888000
26637,59209193000
26638,59209497000
26639,59209802000
26640,59210106000
26641,59210410000
26642,59210714000
26643,59211018000
26644,59211323000
26645,59211627000
26646,59211932000
26647,59212236000
26648,59212540000
26649,59212844000
26650,59213148000
26651,59213453000
26652,59213757000
26653,59214062000
26654,59214366000
26655,59214670000
26656,59214975000
26657,59215279000
26658,59215584000
26659,59215888000
26660,59216193000
26661,59216497000
26662,59216802000
26663,59217106000
26664,59217410000
26665,59217714000
26666,59218018000
26667,59218323000
26668,59218627000
26669,59218932000
26670,59219236000
26671,59219540000
26672,59219845000
26673,59220150000
26674,59220454000
26675,59220758000
26676,59221063000
26677,59221367000
26678,59221672000
26679,59221976000
26680,59222280000
26681,59222584000
26682,59222888000
26683,59223193000
26684,59223497000
26685,59223802000
26686,59224106000
26687,59224410000
26688,59224714000
26689,59225018000
26690,59225323000
26691,59225627000
26692,59225932000
26693,59226236000
26694,59226540000
26695,59226845000
26696,59227150000
26697,59227454000
26698,59227758000
26699,59228063000
26700,59228367000
26701,59228672000
26702,59228976000
26703,59229280000
26704,59229584000
26705,59229888000
26706,59230193000
26707,59230497000
26708,59230802000
26709,59231106000
26710,59231410000
26711,59231715000
26712,59232020000
26713,59232324000
26714,59232628000
26715,59232933000
26716,59233237000
26717,59233542000
26718,59233846000
26719,59234150000
26720,59234455000
26721,59234760000
26722,59235064000
26723,59235368000
26724,59235674000
26725,59235977000
26726,59236282000
26727,59236586000
26728,59236890000
26729,59237194000
26730,59237498000
26731,59237803000
26732,59238107000
26733,59238412000
26734,59238716000
26735,59239021000
26736,59239324000
26737,59239628000
26738,59239934000
26739,59240238000
26740,59240542000
26741,59240846000
26742,59241150000
26743,59241455000
26744,59241760000
26745,59242064000
26746,59242368000
26747,59242674000
26748,59242978000
26749,59243282000
26750,59243586000
26751,59243891000
26752,59244195000
26753,59244500000
26754,59244804000
26755,59245108000
26756,59245414000
26757,59245718000
26758,59246023000
26759,59246327000
26760,59246632000
26761,59246936000
26762,59247241000
26763,59247544000
26764,59247848000
26765,59248154000
26766,59248458000
26767,59248762000
26768,59249066000
26769,59249370000
26770,59249674000
26771,59249978000
26772,59250283000
26773,59250587000
26774,59250892000
26775,59251196000
26776,59251501000
26777,59251806000
26778,59252110000
26779,59252414000
26780,59252718000
26781,59253022000
26782,59253326000
26783,59253630000
26784,59253934000
26785,59254238000
26786,59254543000
26787,59254847000
26788,59255152000
26789,59255456000
26790,59255761000
26791,59256064000
26792,59256368000
26793,59256674000
26794,59256978000
26795,59257282000
26796,59257586000
26797,59257890000
26798,59258194000
26799,59258498000
26800,59258803000
26801,59259107000
26802,59259412000
26803,59259716000
26804,59260021000
26805,59260326000
26806,59260630000
26807,59260934000
26808,59261238000
26809,59261543000
26810,59261847000
26811,59262152000
26812,59262456000
26813,59262761000
26814,59263064000
26815,59263368000
26816,59263674000
26817,59263978000
26818,59264282000
26819,59264586000
26820,59264890000
26821,59265195000
26822,59265500000
26823,59265804000
26824,59266108000
26825,59266414000
26826,59266718000
26827,59267024000
26828,59267328000
26829,59267634000
26830,59267938000
26831,59268242000
26832,59268546000
26833,59268850000
26834,59269154000
26835,59269458000
26836,59269764000
26837,59270067000
26838,59270373000
26839,59270677000
26840,59270981000
26841,59271285000
26842,59271589000
26843,59271893000
26844,59272197000
26845,59272501000
26846,59272805000
26847,59273109000
26848,59273414000
26849,59273718000
26850,59274024000
26851,59274328000
26852,59274633000
26853,59274937000
26854,59275241000
26855,59275545000
26856,59275849000
26857,59276154000
26858,59276458000
26859,59276762000
26860,59277066000
26861,59277372000
26862,59277677000
26863,59277981000
26864,59278285000
26865,59278589000
26866,59278894000
26867,59279198000
26868,59279502000
26869,59279807000
26870,59280112000
26871,59280416000
26872,59280720000
26873,59281025000
26874,59281329000
26875,59281634000
26876,59281938000
26877,59282242000
26878,59282546000
26879,59282851000
26880,59283154000
26881,59283458000
26882,59283764000
26883,59284068000
26884,59284373000
26885,59284677000
26886,59284982000
26887,59285286000
26888,59285591000
26889,59285894000
26890,59286198000
26891,59286504000
26892,59286808000
26893,59287113000
26894,59287417000
26895,59287721000
26896,59288025000
26897,59288329000
26898,59288634000
26899,59288938000
26900,59289244000
26901,59289548000
26902,59289853000
26903,59290157000
26904,59290461000
26905,59290765000
26906,59291069000
26907,59291374000
26908,59291678000
26909,59291982000
26910,59292286000
26911,59292591000
26912,59292894000
26913,59293198000
26914,59293504000
26915,59293808000
26916,59294113000
26917,59294417000
26918,59294721000
26919,59295025000
26920,59295329000
26921,59295634000
26922,59295938000
26923,59296242000
26924,59296546000
26925,59296851000
26926,59297156000
26927,59297461000
26928,59297765000
26929,59298069000
26930,59298374000
26931,59298678000
26932,59298982000
26933,59299286000
26934,59299591000
26935,59299894000
26936,59300198000
26937,59300504000
26938,59300809000
26939,59301114000
26940,59301418000
26941,59301722000
26942,59302026000
26943,59302331000
26944,59302634000
26945,59302938000
26946,59303244000
26947,59303548000
26948,59303853000
26949,59304157000
26950,59304461000
26951,59304765000
26952,59305069000
26953,59305373000
26954,59305678000
26955,59305983000
26956,59306287000
26957,59306591000
26958,59306896000
26959,59307201000
26960,59307505000
26961,59307809000
26962,59308113000
26963,59308417000
26964,59308722000
26965,59309025000
26966,59309329000
26967,59309634000
26968,59309938000
26969,59310243000
26970,59310548000
26971,59310853000
26972,59311157000
26973,59311462000
26974,59311765000
26975,59312069000
26976,59312374000
26977,59312678000
26978,59312983000
26979,59313287000
26980,59313591000
26981,59313896000
