value_last_recv,timestamp_chg
tkscLAZoeW4EhxoMHCVEzHKgmaynHxKpCoWmgkTjNAXxwuAUKwqSrQkaLztKwfrMPC4HRkjbCemHvt8,59781398000
qS8BcWUYE5arzHvSLju2ChMNQncpbBDUdgqt2rdDWK2m4sykJEx7QYFHvkQ9qvwSKmbrDXwqYUmWcs9,59781722000
ES7QWPH3dvhscFKLyatMHbBaKhAcntoC7LqtfZCBt86dpUjNHvQC9a6z5xMpHYzB4pf5dbSpXrcKef1,59782048000
y8vUzdkDePzxsNW4UGj9wptqdjpR7uUYCWqD9gSmApnojbAxHCk6vTBoW46wgdfYpzqgRHWSXw9GB42,59782373000
cyrsQUXVYmnWxbLFP5mUR25PoXU4mcwRUsvx6YeSL2t6hUwAv9eUM7wcx2FCawJzEdsZSTeFBE9Zds3,59782698000
4fydR7Hu9UGfZPuEV3zkXrcYSG8W9FCLfg7phHW7Z8LqvT5Dk2tSJLWA3owmVBcPsMHqUro7tRdsex4,59783023000
TXN3WkoqdWKxndaDFvWRJCoLaEeJHLsT7wKWVzfBnNVcJGARbr6FDQNL5eJgVKadpWTEsQVn6qLCU75,59783348000
2qdbX2s5HJ6B3F2LBobtqMBkbHjCkgopq9GwoY7hUNbgDeJX2Nxp6BZvYjUFAcPaMdCfoFRQKHw5ED6,59783673000
usUy9ohUYDzg9uNGzA2NHfZu4nodeRNQmJYaczLQBMYnJC4xNDv3eLSj8t6q5hwnRXmxqJnp7FUBHu7,59783998000
tpRMaXF7GzegUcYuWaFGz4HNgF8hyV6PRjL4ory3CFKm5Qu9JogaTSJhzHSpLhFybcvXS72CD5cT9L8,59784324000
qzR4tswhgM4kfaFqTeXQcbPFnXE9kJASZVgpsu8yt7JbYC8mucxAZXoEchmu4TGFgAkuYaesFnPVGW9,59784650000
qLR97tBDphWLHQJR7ZkKrYj5oThAzEWLvrCHx9fFzDTjUyd8Yqup8wqETZcDyd9AWFhGJxmogekD9s1,59784975000
3pZFG4WDxXebQWETMNQXxjDHAWPKcatg7xUjR9ouFAPGLVaSzubJDFkREuoLj6u5Thts6NmjyBADsL2,59785301000
qSY3rsTLP9heZSVRBmqj5gzfUvPQtkcYLQfazBYu8mDNJgq8aBmcHa2gL7D6dYFGNB2ukvpKhPbGWN3,59785627000
rvJawsGBo3pEVxcM8G5fywWpaTjMZxsdNPoTe4yGrjxVEBdAart5YdEVZgyPbzWku7TwZm9qphvn7e4,59785951000
