counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,58562690000,58562693000,3,13
1,Good,58562995000,58562998000,3,14
2,Good,58563300000,58563303000,3,15
3,Good,58563605000,58563609000,4,16
4,Good,58563910000,58563914000,4,17
5,Good,58564216000,58564219000,3,18
6,Good,58564520000,58564523000,3,19
7,Good,58564825000,58564827000,2,20
8,Good,58565128000,58565131000,3,21
9,Good,58565432000,58565436000,4,22
10,Good,58565738000,58565740000,2,23
11,Good,58566042000,58566045000,3,24
12,Good,58566346000,58566349000,3,25
13,Good,58566650000,58566653000,3,26
14,Good,58566955000,58566958000,3,27
15,Good,58567258000,58567261000,3,28
16,Good,58567562000,58567566000,4,29
17,Good,58567866000,58567869000,3,30
18,Good,58568170000,58568173000,3,31
19,Good,58568475000,58568478000,3,32
20,Good,58568780000,58568783000,3,33
21,Good,58569085000,58569087000,2,34
22,Good,58569388000,58569391000,3,35
23,Good,58569692000,58569696000,4,36
24,Good,58569998000,58570000000,2,37
25,Good,58570302000,58570305000,3,38
26,Good,58570606000,58570609000,3,39
27,Good,58570910000,58570913000,3,40
28,Good,58571215000,58571217000,2,41
29,Good,58571518000,58571521000,3,42
30,Good,58571822000,58571826000,4,43
31,Good,58572128000,58572130000,2,44
32,Good,58572432000,58572435000,3,45
33,Good,58572736000,58572739000,3,46
34,Good,58573040000,58573043000,3,47
35,Good,58573345000,58573348000,3,48
36,Good,58573650000,58573652000,2,49
37,Good,58573954000,58573957000,3,50
38,Good,58574258000,58574261000,3,51
39,Good,58574562000,58574566000,4,52
40,Good,58574868000,58574870000,2,53
41,Good,58575172000,58575175000,3,54
42,Good,58575476000,58575479000,3,55
43,Good,58575780000,58575783000,3,56
44,Good,58576085000,58576088000,3,57
45,Good,58576388000,58576391000,3,58
46,Good,58576692000,58576696000,4,59
47,Good,58576998000,58577000000,2,60
48,Good,58577302000,58577305000,3,61
49,Good,58577606000,58577609000,3,62
50,Good,58577910000,58577913000,3,63
51,Good,58578215000,58578218000,3,64
