counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,59171710000,59171713000,3,26515
1,Good,59172015000,59172017000,2,26516
2,Good,59172318000,59172321000,3,26517
3,Good,59172622000,59172626000,4,26518
4,Good,59172928000,59172930000,2,26519
5,Good,59173232000,59173235000,3,26520
6,Good,59173536000,59173539000,3,26521
7,Good,59173840000,59173843000,3,26522
8,Good,59174145000,59174147000,2,26523
9,Good,59174448000,59174451000,3,26524
10,Good,59174752000,59174756000,4,26525
11,Good,59175058000,59175060000,2,26526
12,Good,59175362000,59175365000,3,26527
13,Good,59175666000,59175669000,3,26528
14,Good,59175970000,59175973000,3,26529
15,Good,59176275000,59176278000,3,26530
16,Good,59176580000,59176582000,2,26531
17,Good,59176884000,59176887000,3,26532
18,Good,59177188000,59177191000,3,26533
19,Good,59177492000,59177496000,4,26534
20,Good,59177798000,59177800000,2,26535
21,Good,59178102000,59178105000,3,26536
22,Good,59178406000,59178409000,3,26537
23,Good,59178710000,59178713000,3,26538
24,Good,59179015000,59179017000,2,26539
25,Good,59179318000,59179321000,3,26540
26,Good,59179622000,59179626000,4,26541
27,Good,59179928000,59179930000,2,26542
28,Good,59180232000,59180235000,3,26543
29,Good,59180536000,59180539000,3,26544
30,Good,59180840000,59180843000,3,26545
31,Good,59181145000,59181147000,2,26546
32,Good,59181448000,59181452000,4,26547
33,Good,59181754000,59181757000,3,26548
34,Good,59182058000,59182061000,3,26549
35,Good,59182362000,59182366000,4,26550
36,Good,59182666000,59182669000,3,26551
37,Good,59182970000,59182973000,3,26552
38,Good,59183275000,59183278000,3,26553
39,Good,59183578000,59183581000,3,26554
40,Good,59183882000,59183886000,4,26555
41,Good,59184188000,59184190000,2,26556
42,Good,59184492000,59184495000,3,26557
43,Good,59184796000,59184799000,3,26558
44,Good,59185100000,59185103000,3,26559
45,Good,59185405000,59185408000,3,26560
46,Good,59185710000,59185712000,2,26561
47,Good,59186014000,59186017000,3,26562
48,Good,59186318000,59186321000,3,26563
49,Good,59186622000,59186626000,4,26564
50,Good,59186928000,59186930000,2,26565
51,Good,59187232000,59187235000,3,26566
52,Good,59187536000,59187539000,3,26567
53,Good,59187840000,59187843000,3,26568
54,Good,59188145000,59188148000,3,26569
55,Good,59188448000,59188451000,3,26570
56,Good,59188752000,59188756000,4,26571
57,Good,59189058000,59189060000,2,26572
58,Good,59189362000,59189365000,3,26573
59,Good,59189666000,59189669000,3,26574
60,Good,59189970000,59189973000,3,26575
61,Good,59190275000,59190278000,3,26576
62,Good,59190578000,59190581000,3,26577
63,Good,59190882000,59190886000,4,26578
64,Good,59191188000,59191190000,2,26579
65,Good,59191492000,59191496000,4,26580
66,Good,59191798000,59191800000,2,26581
67,Good,59192102000,59192105000,3,26582
68,Good,59192406000,59192409000,3,26583
69,Good,59192710000,59192713000,3,26584
70,Good,59193015000,59193017000,2,26585
71,Good,59193318000,59193321000,3,26586
72,Good,59193622000,59193626000,4,26587
73,Good,59193928000,59193930000,2,26588
74,Good,59194232000,59194235000,3,26589
75,Good,59194536000,59194539000,3,26590
76,Good,59194840000,59194843000,3,26591
77,Good,59195145000,59195147000,2,26592
78,Good,59195448000,59195451000,3,26593
79,Good,59195752000,59195756000,4,26594
80,Good,59196056000,59196059000,3,26595
81,Good,59196360000,59196363000,3,26596
82,Good,59196665000,59196668000,3,26597
83,Good,59196968000,59196971000,3,26598
84,Good,59197272000,59197276000,4,26599
85,Good,59197578000,59197580000,2,26600
86,Good,59197882000,59197885000,3,26601
87,Good,59198186000,59198189000,3,26602
88,Good,59198490000,59198493000,3,26603
89,Good,59198795000,59198797000,2,26604
90,Good,59199098000,59199101000,3,26605
91,Good,59199402000,59199406000,4,26606
92,Good,59199708000,59199710000,2,26607
93,Good,59200012000,59200015000,3,26608
94,Good,59200316000,59200319000,3,26609
95,Good,59200620000,59200623000,3,26610
96,Good,59200925000,59200928000,3,26611
97,Good,59201228000,59201231000,3,26612
98,Good,59201532000,59201536000,4,26613
99,Good,59201838000,59201840000,2,26614
100,Good,59202142000,59202145000,3,26615
101,Good,59202446000,59202449000,3,26616
102,Good,59202750000,59202753000,3,26617
103,Good,59203055000,59203058000,3,26618
104,Good,59203360000,59203362000,2,26619
105,Good,59203664000,59203667000,3,26620
106,Good,59203968000,59203971000,3,26621
107,Good,59204272000,59204276000,4,26622
108,Good,59204578000,59204580000,2,26623
109,Good,59204882000,59204885000,3,26624
110,Good,59205186000,59205189000,3,26625
111,Good,59205490000,59205493000,3,26626
112,Good,59205795000,59205797000,2,26627
113,Good,59206098000,59206101000,3,26628
114,Good,59206402000,59206406000,4,26629
115,Good,59206708000,59206710000,2,26630
116,Good,59207012000,59207015000,3,26631
117,Good,59207316000,59207319000,3,26632
118,Good,59207620000,59207623000,3,26633
119,Good,59207925000,59207927000,2,26634
120,Good,59208228000,59208231000,3,26635
121,Good,59208532000,59208536000,4,26636
122,Good,59208838000,59208840000,2,26637
123,Good,59209142000,59209145000,3,26638
124,Good,59209446000,59209449000,3,26639
125,Good,59209750000,59209753000,3,26640
126,Good,59210055000,59210058000,3,26641
127,Good,59210358000,59210361000,3,26642
128,Good,59210662000,59210666000,4,26643
129,Good,59210968000,59210970000,2,26644
130,Good,59211272000,59211275000,3,26645
131,Good,59211576000,59211579000,3,26646
132,Good,59211880000,59211883000,3,26647
133,Good,59212185000,59212187000,2,26648
134,Good,59212488000,59212491000,3,26649
135,Good,59212792000,59212796000,4,26650
136,Good,59213098000,59213100000,2,26651
137,Good,59213402000,59213405000,3,26652
138,Good,59213706000,59213709000,3,26653
139,Good,59214010000,59214013000,3,26654
140,Good,59214315000,59214318000,3,26655
141,Good,59214620000,59214622000,2,26656
142,Good,59214924000,59214927000,3,26657
143,Good,59215228000,59215231000,3,26658
144,Good,59215532000,59215536000,4,26659
145,Good,59215838000,59215840000,2,26660
146,Good,59216142000,59216145000,3,26661
147,Good,59216446000,59216449000,3,26662
148,Good,59216750000,59216753000,3,26663
149,Good,59217055000,59217058000,3,26664
150,Good,59217358000,59217361000,3,26665
