counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,58867179000,58867181000,2,989.150000
1,Good,58867482000,58867486000,4,990.100000
2,Good,58867788000,58867790000,2,991.050000
3,Good,58868092000,58868095000,3,992.000000
4,Good,58868396000,58868399000,3,992.950000
5,Good,58868700000,58868703000,3,993.900000
6,Good,58869005000,58869007000,2,994.850000
7,Good,58869308000,58869311000,3,995.800000
8,Good,58869612000,58869616000,4,996.750000
9,Good,58869918000,58869920000,2,997.700000
10,Good,58870222000,58870225000,3,998.650000
11,Good,58870526000,58870529000,3,999.600000
12,Good,58870830000,58870833000,3,1000.550000
13,Good,58871135000,58871138000,3,1001.500000
14,Good,58871440000,58871442000,2,1002.450000
15,Good,58871744000,58871747000,3,1003.400000
16,Good,58872048000,58872051000,3,1004.350000
17,Good,58872352000,58872356000,4,1005.300000
18,Good,58872658000,58872660000,2,1006.250000
19,Good,58872962000,58872965000,3,1007.200000
20,Good,58873266000,58873269000,3,1008.150000
21,Good,58873570000,58873573000,3,1009.100000
22,Good,58873875000,58873878000,3,1010.050000
23,Good,58874180000,58874182000,2,1011.000000
24,Good,58874484000,58874487000,3,1011.950000
25,Good,58874788000,58874791000,3,1012.900000
26,Good,58875092000,58875096000,4,1013.850000
27,Good,58875398000,58875400000,2,1014.800000
28,Good,58875702000,58875706000,4,1015.750000
29,Good,58876008000,58876010000,2,1016.700000
30,Good,58876312000,58876315000,3,1017.650000
31,Good,58876616000,58876619000,3,1018.600000
32,Good,58876920000,58876923000,3,1019.550000
33,Good,58877225000,58877228000,3,1020.500000
34,Good,58877528000,58877531000,3,1021.450000
35,Good,58877832000,58877836000,4,1022.400000
36,Good,58878138000,58878140000,2,1023.350000
37,Good,58878442000,58878445000,3,1024.300000
38,Good,58878746000,58878749000,3,1025.250000
39,Good,58879050000,58879053000,3,1026.200000
40,Good,58879355000,58879357000,2,1027.150000
41,Good,58879658000,58879662000,4,1028.100000
42,Good,58879964000,58879966000,2,1029.050000
43,Good,58880268000,58880271000,3,1030.000000
44,Good,58880572000,58880576000,4,1030.950000
45,Good,58880878000,58880880000,2,1031.900000
46,Good,58881182000,58881185000,3,1032.850000
47,Good,58881486000,58881489000,3,1033.800000
48,Good,58881790000,58881793000,3,1034.750000
49,Good,58882095000,58882098000,3,1035.700000
50,Good,58882398000,58882401000,3,1036.650000
51,Good,58882702000,58882706000,4,1037.600000
52,Good,58883008000,58883010000,2,1038.550000
53,Good,58883312000,58883315000,3,1039.500000
54,Good,58883616000,58883619000,3,1040.450000
55,Good,58883920000,58883923000,3,1041.400000
56,Good,58884225000,58884228000,3,1042.350000
57,Good,58884528000,58884531000,3,1043.300000
58,Good,58884832000,58884836000,4,1044.250000
59,Good,58885138000,58885140000,2,1045.200000
60,Good,58885442000,58885445000,3,1046.150000
61,Good,58885746000,58885749000,3,1047.100000
62,Good,58886050000,58886055000,5,1048.050000
63,Good,58886356000,58886359000,3,1049.000000
64,Good,58886660000,58886663000,3,1049.950000
65,Good,58886965000,58886968000,3,1050.900000
66,Good,58887270000,58887272000,2,1051.850000
67,Good,58887574000,58887577000,3,1052.800000
68,Good,58887878000,58887881000,3,1053.750000
69,Good,58888182000,58888186000,4,1054.700000
70,Good,58888488000,58888490000,2,1055.650000
71,Good,58888792000,58888795000,3,1056.600000
72,Good,58889096000,58889099000,3,1057.550000
73,Good,58889400000,58889403000,3,1058.500000
74,Good,58889706000,58889708000,2,1059.450000
75,Good,58890010000,58890012000,2,1060.400000
76,Good,58890314000,58890317000,3,1061.350000
77,Good,58890618000,58890621000,3,1062.300000
78,Good,58890922000,58890926000,4,1063.250000
79,Good,58891228000,58891230000,2,1064.200000
80,Good,58891532000,58891535000,3,1065.150000
81,Good,58891836000,58891839000,3,1066.100000
82,Good,58892140000,58892143000,3,1067.050000
83,Good,58892445000,58892447000,2,1068.000000
84,Good,58892748000,58892751000,3,1068.950000
85,Good,58893052000,58893056000,4,1069.900000
86,Good,58893358000,58893360000,2,1070.850000
87,Good,58893662000,58893665000,3,1071.800000
88,Good,58893966000,58893969000,3,1072.750000
89,Good,58894270000,58894273000,3,1073.700000
90,Good,58894575000,58894577000,2,1074.650000
91,Good,58894878000,58894881000,3,1075.600000
92,Good,58895182000,58895186000,4,1076.550000
