value_last_recv,timestamp_chg
13,43366130835
14,43366435849
15,43366739650
16,43367043919
17,43367349390
18,43367653696
19,43367958373
20,43368263113
21,43368567081
22,43368871662
23,43369175977
24,43369481294
25,43369785820
26,43370091127
27,43370395046
28,43370699470
29,43371003807
30,43371308376
31,43371613292
32,43371917488
33,43372222025
34,43372526020
35,43372831336
36,43373136080
37,43373441205
38,43373745167
39,43374049860
40,43374353965
41,43374658603
42,43374963444
43,43375268714
44,43375573447
45,43375878811
46,43376183551
47,43376487477
48,43376792067
49,43377096188
50,43377401438
51,43377705370
52,43378010304
53,43378315402
54,43378619978
55,43378924218
56,43379228911
57,43379533693
58,43379837505
59,43380142301
60,43380446386
61,43380751649
62,43381056350
63,43381361630
64,43381665570
65,43381970181
66,43382274400
67,43382580207
68,43382884337
69,43383189018
70,43383493820
71,43383798965
72,43384102478
73,43384407568
74,43384711755
75,43385015856
76,43385320583
77,43385624578
78,43385929205
79,43386234053
80,43386539172
81,43386843931
82,43387147964
83,43387452645
84,43387756745
85,43388062062
86,43388365808
87,43388670754
88,43388974709
89,43389279267
90,43389583975
91,43389888158
92,43390192746
93,43390496767
94,43390802016
95,43391105970
96,43391410837
97,43391714822
98,43392019293
99,43392324267
100,43392628049
101,43392932846
102,43393236936
103,43393542090
104,43393846172
105,43394150987
106,43394454845
107,43394759577
108,43395064338
109,43395368373
110,43395673087
111,43395977104
112,43396282322
113,43396586244
114,43396890914
115,43397196207
116,43397500655
117,43397804951
118,43398109628
119,43398414522
120,43398719573
121,43399024491
122,43399328506
123,43399633072
124,43399937041
125,43400242405
126,43400546452
127,43400851310
128,43401155096
129,43401459761
130,43401764483
131,43402068641
132,43402373347
133,43402677152
134,43402982731
135,43403286494
136,43403590953
137,43403895323
138,43404199860
139,43404504791
140,43404808629
141,43405113252
142,43405418824
143,43405723665
144,43406028741
145,43406333406
146,43406637359
147,43406942777
148,43407246657
149,43407551603
150,43407856634
151,43408161422
152,43408465480
153,43408770040
154,43409074697
155,43409380002
156,43409684790
157,43409988694
158,43410293568
159,43410597511
160,43410902848
161,43411206704
162,43411511350
163,43411815625
164,43412120246
165,43412424879
166,43412728703
167,43413033972
168,43413338982
169,43413643694
170,43413947511
