value_last_recv,timestamp_chg
x8nDcGt25NoVSRM3Bmos3Fj6Nymu67PnzamgU45eWayDCvjVMFEu84LeRFHbsYDnWaZdSGxh8jMdYf1,46941462516
yKkuJgFcsWxQMbw8XLqmVFCERfvYrqGtTSHn4FQ8rHd2AVfvNFyKcEgp2AUEpred5JpVdFano7hNRL2,46941783071
mck4JxNj7CE63qcwVeaWG3mYfyG9bjyEcgxkUF6EXaAet8dv3t2dk8ven9FkebPzZJX9tKUaBdKG4v3,46942102682
nMhxE86FBrGyc29uoUxFwJkYacFxokzHbY6oJbMR7nbNkhmLVQbBfZMqvezSXd29WE6Um92yzeHLy44,46942423104
nTVYF68fbc37W9jHkPNcq2tQjZr5De6kWoDJb3aGZ2H4QyRWg6kavjExpNYk86W9UeHVwWR9kJqK3T5,46942742654
fUJk3cEoNMrxcJKgQduXYkxEev85HeVFC2YmNbC4dHjocea9J5XgKG8fDEFdJfrzmukhU2Csc5bNaC6,46943062186
g59j7g2uaEJTVgt7ZsBr4qaxDVyrLeSnCy7PgH3E4zTcLgrs7CdZUWzdKfmrJh5weQjZSy6wDX7neo7,46943382857
PcwNrGtWkRXqpLkMgtocSbfB7DKUb9RgBbvCrhjDw9R8NbCwrsHuKLoMzhUTj75qXtKHZdCF4ebPhx8,46943701810
AXnszfWxhMHPQcyEkjdS5WMqC2L7RuyTMU2WzR42nApXo8UMFAZCxpqJm5XZ7Re3vsG8je6wKNpBwT9,46944022361
amNL4JBqKsPWebqtJe3QMPedQnaAHxSm7wtEmsfaw2Rhsg63SaCNXrqZ4XtpC46thp7ogwHsvaoN591,46944342542
DPf2jsYBXLyWwu7UyrDkRVdSTb7Dce5zmwWEKzQ5RV8u6Aq4FR2Tv4BhQb75p4J7jPozwpA9fgXaQj2,46944663169
nkfy3V4jw7WpD29sFoaZDnv5eB3xLjUQRSZUDPstRAroTcpYjfS58Mg3C8yeBvkXYhfpz6rJD5GmCV3,46944983361
PpSZEtfRFZNreYUn4qGyC2a9QDd86WvKgf6EkGrxBQjas9okdrVNoLwzaCAQhVsnDK8bQBw9SAQYyW4,46945302936
oa63VJPKDqhc5zwpyqLVb5W62XdzKvmZL4DMGRmTA2sSU3bNkasnB9tD8oY9SEHRBvkgD3UjLEMgeC5,46945623342
hU3wJ4UHQopm2ZNkC2pmD3ourZg8vcmZ7LVGbYSZNru2mdnWAeaNBdvKWLDzbBP5tNKokPgArvGJ9y6,46945945386
v5f7TqnpSCePJzQTyWj4Hyz9davCMwVxEf6DPGg3kE9XKacRvY6GDq7yQzqPs3VuWvaVj6PuAGQUeu7,46946264611
XqJcQF92nuWFBYsGeVDJf9x57s9eKdaUbomQFpUVfsSdX4EzmYPEURKJoUX9tqJUCoWwbAzrmxqUfC8,46946584316
H4vPV9Kdcmve7VBJKQrDXEnpVbUxFt2z548Cc3UzPCVywgJLv6EsX2RWeJAS8YMd6GPMTwysUJCBRy9,46946903412
4KmUxwGfCqp7tTgR6z4qS729GVYPxQFqjGVEYrxjMenzEZv3GKZ52mMtUrasSPZjQJMa5zJFEaPJB51,46947222462
VqEpvrd4kurQES8FDj6MV7RtxvfeLpF6gV4dasfUFt3BwGVLhErRYZV768HEhBt8VZuJFedxmL9Xw82,46947542532
ZUnkxygH9efdtYPfsJCbrkBcjNvWBK7hru6aJxRuohAtZXoQPufrySJBkVv4mcWfLqdkSN3nZyW4hc3,46947862565
YjFwa2bvZUwCWHKLchs3C8A24R6PbHTWUfq7FUxB3FjDqMsF4TefHvgk2f7MdpCmcNXP52NFHvTMsf4,46948182878
N92wY5Zht7eS5pkBEsdroYnSBvPXgw9k8dwPNgxe7W6KbXLPACojkPdWSnUYrSqGvzKp3JaRW2KmzL5,46948503477
w76Y4hu2QKdJhozvDRZXyWuZJ7HeGBcKF5UXSNhA95dY3nrAYhju57L8tmnVHB8btTcyrZY52WaRUZ6,46948823111
sc4ZL7tTcXnvVBZ3Yf5s2VfCsygcRM2ZpGhRwSKWuBHe9YzaB8wuEo4BWu9pKvWqQcJFyPuVGT4MyJ7,46949143232
yL3m4Fc3g5ZWF28vyt6rVMtCZ5u3AyfmW83twK9fMRTU8AbwHXFM5d9JhcKrs3XxAQ3EBh7LH5Zsb48,46949465138
F2baZV9tLTRwUj5f8uhrFVfPtEzBQXmA7Yh54VzrhpXxVdLJuYvF4Kr9AURt3KUT8HYzpWQn8jVgsP9,46949784595
gGnNPJDz59UfZyvNdBfDETFCfc6kWaKuptnQ7EK4h5pBtMHwDrskcwgKrqHncdxjzqLfQY2mJeYZBw1,46950103692
NXcCDQyrvXcQEazb3f7Q2pyFb8YGJ5aVzPFfwZWxdAYz3Z7j4tygWsn7mSaknbBZzUe5FkaXoPhgaj2,46950423442
reS3XrjKH6N2gWacjnDoxPF9DMrCt9DbU5G76xV57pNfFEx8c5MDQ4Td3HX6KxFBfVmqPT3pj2c8G33,46950743432
uKhHQo5DnTcwjsCr9StWGPmTXpUZVW9Knukpz2agD6yF2u8EkMYDUe738jnS6cm7bCJSZTxDSvMwep4,46951066234
SY8NrQJ3z5v9WcJ5rxvK3j9BstkKE75nosPL3QYgc4STZtH37gePEosNZJSrv7zVRxaqLygXnYqrsT5,46951386905
bS6AWHzjDf7bGyr7a8J5qM7H9mp7BeGJyZ7cNaPWKNaQwrtuKEvF92XP4GdbU8SY298trqUCsuh2x76,46951705182
vt7EDUzFNMUQpvCc8XztRAbXaCRGyZ63srX4NEB53feWD6sF4ZGdteqmRh8FvX6EohtTyxYd6BXpVs7,46952024820
AxXP82Mmwb6Zt8qazDfJGSpEPhmNjg3vh9rGwWHe3wDMCrPdUME4frJsTfXLNWDg7YqstRJBk5wRLV8,46952344151
fWtQUx3CSgYcytTJesfPoAeuDCSk43g7zydFtEWXLUwRvgoF9fzLSujbXp2f64dpY9vKSnUZQsvAxm9,46952664350
3z5U8ea9d4ecQXWwG2h6q3fh58jnuV8qAjfKdgwpXnx6AUYNrtvA4Na693A5RNKdjXwQ7WAERTQrm51,46952985361
hV6Bj8vwHFNepwtGYoba7m8tXu6n4KsTDoahUMjfwoKs2URfM2DKdR7XLnxBJ38W4bBVLvD5nW7wBf2,46953304461
oFrTpHhWcKJhvdorqwxYS6VZq9P24AjKGWXCKpqu32AnmSa9pQMGJsuRmq4rcbk8YGfBCenDUwqx2P3,46953623831
j8ANoR4C92LYZoK3UXHN3JkeoZch9EyNrAaKbTn9GLUao5J4xdcGgrxYs9zZcAwV8rZns2DdNu8REA4,46953941850
UoLkWGJSMBbcNfGX9c7efKFmYT6zHo9VFxL9zgGZrQkRojD9xdF87ezWV4xcGrSM9mYXFcyMxUmRzC5,46954262985
VSUrNCVuEwb7cKAVXS8omrBRvJKNECvfyWj97RqnBpXQUKm64hDRtjTa4Kdq9upZrUnuXr8qV3exAm6,46954583370
LdrQBDHgGM6B5rzm8KePWTu37h6EK2gxR8JpEjmzQkuCpaKMn8qPV7QWFjm96UYNntq6uYgo8usNfX7,46954904995
2ANhGBmMYrcCPRoZnax9QYPaBRjYgJLVG6FymGcfD5dYrGEv7Qmk9HFuCw2h4z3JrUxVLetU6mjcSb8,46955225714
2PEeVGrAzEqodBnegYwRafnu2QoLcheZLBmxoWMGUVPyEzSTGBDdL6VmUnEbefpKPT9Br3CkJFLX5w9,46955544760
V3WJeANQpcBStmwpsygTRYHB4CyKNZpFnKfABCTP2uzgSeoQ83Ck7AdFLZevCLmo8nHsdw9RKQDdgo1,46955863404
K2vCBMfDznxNLqHhpX6uKYDUwtNBq3zNTk7ZmMzLC8jH26RnYrX9ZwSCKu7ASWkPusUNg3SxJFtAjd2,46956183424
