counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,43366129000,43366132000,3,13
1,Good,43366433000,43366436000,3,14
2,Good,43366737000,43366740000,3,15
3,Good,43367041000,43367044000,3,16
4,Good,43367347000,43367350000,3,17
5,Good,43367651000,43367654000,3,18
6,Good,43367955000,43367959000,4,19
7,Good,43368261000,43368263000,2,20
8,Good,43368565000,43368568000,3,21
9,Good,43368869000,43368872000,3,22
10,Good,43369173000,43369177000,4,23
11,Good,43369479000,43369481000,2,24
12,Good,43369783000,43369787000,4,25
13,Good,43370089000,43370091000,2,26
14,Good,43370393000,43370395000,2,27
15,Good,43370697000,43370700000,3,28
16,Good,43371001000,43371004000,3,29
17,Good,43371305000,43371309000,4,30
18,Good,43371611000,43371613000,2,31
19,Good,43371915000,43371918000,3,32
20,Good,43372219000,43372222000,3,33
21,Good,43372523000,43372527000,4,34
22,Good,43372829000,43372831000,2,35
23,Good,43373133000,43373137000,4,36
24,Good,43373439000,43373441000,2,37
25,Good,43373743000,43373745000,2,38
26,Good,43374047000,43374050000,3,39
27,Good,43374351000,43374354000,3,40
28,Good,43374655000,43374659000,4,41
29,Good,43374961000,43374963000,2,42
30,Good,43375265000,43375269000,4,43
31,Good,43375571000,43375574000,3,44
32,Good,43375875000,43375878000,3,45
33,Good,43376181000,43376183000,2,46
34,Good,43376485000,43376488000,3,47
35,Good,43376789000,43376792000,3,48
36,Good,43377093000,43377097000,4,49
37,Good,43377399000,43377401000,2,50
38,Good,43377703000,43377705000,2,51
39,Good,43378007000,43378010000,3,52
40,Good,43378313000,43378315000,2,53
41,Good,43378617000,43378620000,3,54
42,Good,43378921000,43378924000,3,55
43,Good,43379225000,43379229000,4,56
44,Good,43379530000,43379533000,3,57
45,Good,43379834000,43379838000,4,58
46,Good,43380139000,43380142000,3,59
47,Good,43380443000,43380447000,4,60
48,Good,43380748000,43380751000,3,61
49,Good,43381053000,43381056000,3,62
50,Good,43381358000,43381361000,3,63
51,Good,43381662000,43381665000,3,64
52,Good,43381967000,43381970000,3,65
53,Good,43382271000,43382275000,4,66
54,Good,43382577000,43382580000,3,67
55,Good,43382881000,43382884000,3,68
56,Good,43383185000,43383189000,4,69
57,Good,43383490000,43383493000,3,70
58,Good,43383795000,43383798000,3,71
59,Good,43384099000,43384102000,3,72
60,Good,43384403000,43384407000,4,73
61,Good,43384708000,43384711000,3,74
62,Good,43385012000,43385015000,3,75
63,Good,43385317000,43385320000,3,76
64,Good,43385621000,43385624000,3,77
65,Good,43385925000,43385928000,3,78
66,Good,43386230000,43386233000,3,79
67,Good,43386535000,43386538000,3,80
68,Good,43386840000,43386843000,3,81
69,Good,43387144000,43387148000,4,82
70,Good,43387449000,43387452000,3,83
71,Good,43387753000,43387757000,4,84
72,Good,43388058000,43388061000,3,85
73,Good,43388362000,43388366000,4,86
74,Good,43388667000,43388670000,3,87
75,Good,43388971000,43388974000,3,88
76,Good,43389275000,43389278000,3,89
77,Good,43389580000,43389583000,3,90
78,Good,43389884000,43389888000,4,91
79,Good,43390189000,43390192000,3,92
80,Good,43390493000,43390497000,4,93
81,Good,43390798000,43390801000,3,94
82,Good,43391102000,43391105000,3,95
