counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,43975653000,43975657000,4,26515
1,Good,43975958000,43975961000,3,26516
2,Good,43976262000,43976266000,4,26517
3,Good,43976568000,43976570000,2,26518
4,Good,43976872000,43976875000,3,26519
5,Good,43977176000,43977179000,3,26520
6,Good,43977480000,43977483000,3,26521
7,Good,43977784000,43977788000,4,26522
8,Good,43978090000,43978093000,3,26523
9,Good,43978394000,43978397000,3,26524
10,Good,43978700000,43978702000,2,26525
11,Good,43979004000,43979007000,3,26526
12,Good,43979308000,43979311000,3,26527
13,Good,43979612000,43979616000,4,26528
14,Good,43979918000,43979920000,2,26529
15,Good,43980222000,43980224000,2,26530
16,Good,43980526000,43980529000,3,26531
17,Good,43980830000,43980833000,3,26532
18,Good,43981134000,43981138000,4,26533
19,Good,43981440000,43981442000,2,26534
20,Good,43981744000,43981747000,3,26535
21,Good,43982049000,43982051000,2,26536
22,Good,43982354000,43982357000,3,26537
23,Good,43982658000,43982661000,3,26538
24,Good,43982962000,43982966000,4,26539
25,Good,43983268000,43983270000,2,26540
26,Good,43983572000,43983574000,2,26541
27,Good,43983876000,43983879000,3,26542
28,Good,43984180000,43984183000,3,26543
29,Good,43984484000,43984488000,4,26544
30,Good,43984790000,43984792000,2,26545
31,Good,43985094000,43985097000,3,26546
32,Good,43985398000,43985401000,3,26547
33,Good,43985702000,43985706000,4,26548
34,Good,43986008000,43986010000,2,26549
35,Good,43986312000,43986315000,3,26550
36,Good,43986618000,43986621000,3,26551
37,Good,43986922000,43986926000,4,26552
38,Good,43987228000,43987231000,3,26553
39,Good,43987532000,43987535000,3,26554
40,Good,43987836000,43987839000,3,26555
41,Good,43988141000,43988143000,2,26556
42,Good,43988445000,43988448000,3,26557
43,Good,43988750000,43988753000,3,26558
44,Good,43989054000,43989057000,3,26559
45,Good,43989359000,43989361000,2,26560
46,Good,43989663000,43989666000,3,26561
47,Good,43989968000,43989971000,3,26562
48,Good,43990272000,43990275000,3,26563
49,Good,43990577000,43990579000,2,26564
50,Good,43990881000,43990883000,2,26565
51,Good,43991185000,43991188000,3,26566
52,Good,43991490000,43991493000,3,26567
53,Good,43991795000,43991798000,3,26568
54,Good,43992100000,43992103000,3,26569
55,Good,43992404000,43992407000,3,26570
56,Good,43992709000,43992711000,2,26571
57,Good,43993013000,43993016000,3,26572
58,Good,43993318000,43993321000,3,26573
59,Good,43993623000,43993626000,3,26574
60,Good,43993928000,43993931000,3,26575
61,Good,43994232000,43994235000,3,26576
62,Good,43994536000,43994539000,3,26577
63,Good,43994841000,43994843000,2,26578
64,Good,43995145000,43995148000,3,26579
65,Good,43995450000,43995453000,3,26580
66,Good,43995754000,43995757000,3,26581
67,Good,43996059000,43996061000,2,26582
68,Good,43996363000,43996366000,3,26583
69,Good,43996668000,43996671000,3,26584
70,Good,43996972000,43996975000,3,26585
71,Good,43997277000,43997280000,3,26586
72,Good,43997582000,43997584000,2,26587
73,Good,43997886000,43997889000,3,26588
74,Good,43998191000,43998193000,2,26589
75,Good,43998495000,43998498000,3,26590
76,Good,43998800000,43998803000,3,26591
77,Good,43999104000,43999107000,3,26592
78,Good,43999409000,43999411000,2,26593
79,Good,43999713000,43999716000,3,26594
80,Good,44000018000,44000021000,3,26595
81,Good,44000322000,44000325000,3,26596
82,Good,44000626000,44000629000,3,26597
83,Good,44000931000,44000933000,2,26598
84,Good,44001236000,44001239000,3,26599
85,Good,44001541000,44001543000,2,26600
86,Good,44001845000,44001848000,3,26601
87,Good,44002150000,44002153000,3,26602
88,Good,44002454000,44002457000,3,26603
89,Good,44002760000,44002763000,3,26604
90,Good,44003064000,44003067000,3,26605
91,Good,44003369000,44003372000,3,26606
92,Good,44003673000,44003676000,3,26607
93,Good,44003978000,44003980000,2,26608
94,Good,44004282000,44004285000,3,26609
95,Good,44004586000,44004589000,3,26610
96,Good,44004891000,44004894000,3,26611
97,Good,44005195000,44005199000,4,26612
98,Good,44005500000,44005503000,3,26613
99,Good,44005804000,44005807000,3,26614
100,Good,44006109000,44006112000,3,26615
101,Good,44006414000,44006417000,3,26616
102,Good,44006719000,44006722000,3,26617
103,Good,44007023000,44007026000,3,26618
