counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,43670833000,43670837000,4,989.150000
1,Good,43671138000,43671141000,3,990.100000
2,Good,43671442000,43671446000,4,991.050000
3,Good,43671748000,43671750000,2,992.000000
4,Good,43672052000,43672054000,2,992.950000
5,Good,43672356000,43672359000,3,993.900000
6,Good,43672660000,43672663000,3,994.850000
7,Good,43672964000,43672968000,4,995.800000
8,Good,43673270000,43673273000,3,996.750000
9,Good,43673574000,43673578000,4,997.700000
10,Good,43673880000,43673882000,2,998.650000
11,Good,43674184000,43674187000,3,999.600000
12,Good,43674488000,43674491000,3,1000.550000
13,Good,43674792000,43674796000,4,1001.500000
14,Good,43675097000,43675101000,4,1002.450000
15,Good,43675403000,43675406000,3,1003.400000
16,Good,43675707000,43675711000,4,1004.350000
17,Good,43676012000,43676015000,3,1005.300000
18,Good,43676317000,43676319000,2,1006.250000
19,Good,43676621000,43676624000,3,1007.200000
20,Good,43676925000,43676929000,4,1008.150000
21,Good,43677230000,43677233000,3,1009.100000
22,Good,43677534000,43677538000,4,1010.050000
23,Good,43677839000,43677842000,3,1011.000000
24,Good,43678143000,43678147000,4,1011.950000
25,Good,43678448000,43678451000,3,1012.900000
26,Good,43678753000,43678757000,4,1013.850000
27,Good,43679058000,43679061000,3,1014.800000
28,Good,43679362000,43679365000,3,1015.750000
29,Good,43679667000,43679670000,3,1016.700000
30,Good,43679971000,43679974000,3,1017.650000
31,Good,43680275000,43680279000,4,1018.600000
32,Good,43680580000,43680583000,3,1019.550000
33,Good,43680884000,43680888000,4,1020.500000
34,Good,43681189000,43681192000,3,1021.450000
35,Good,43681493000,43681496000,3,1022.400000
36,Good,43681798000,43681802000,4,1023.350000
37,Good,43682104000,43682108000,4,1024.300000
38,Good,43682409000,43682412000,3,1025.250000
39,Good,43682713000,43682717000,4,1026.200000
40,Good,43683018000,43683021000,3,1027.150000
41,Good,43683322000,43683325000,3,1028.100000
42,Good,43683627000,43683629000,2,1029.050000
43,Good,43683931000,43683934000,3,1030.000000
44,Good,43684235000,43684238000,3,1030.950000
45,Good,43684540000,43684543000,3,1031.900000
46,Good,43684844000,43684848000,4,1032.850000
47,Good,43685150000,43685153000,3,1033.800000
48,Good,43685454000,43685458000,4,1034.750000
49,Good,43685759000,43685762000,3,1035.700000
50,Good,43686063000,43686067000,4,1036.650000
51,Good,43686368000,43686371000,3,1037.600000
52,Good,43686672000,43686675000,3,1038.550000
53,Good,43686977000,43686980000,3,1039.500000
54,Good,43687281000,43687284000,3,1040.450000
55,Good,43687585000,43687589000,4,1041.400000
56,Good,43687890000,43687893000,3,1042.350000
57,Good,43688194000,43688198000,4,1043.300000
58,Good,43688499000,43688502000,3,1044.250000
59,Good,43688803000,43688807000,4,1045.200000
60,Good,43689108000,43689111000,3,1046.150000
61,Good,43689412000,43689415000,3,1047.100000
62,Good,43689717000,43689720000,3,1048.050000
63,Good,43690022000,43690025000,3,1049.000000
64,Good,43690327000,43690329000,2,1049.950000
65,Good,43690631000,43690634000,3,1050.900000
66,Good,43690936000,43690939000,3,1051.850000
67,Good,43691240000,43691244000,4,1052.800000
68,Good,43691545000,43691549000,4,1053.750000
69,Good,43691850000,43691853000,3,1054.700000
70,Good,43692154000,43692158000,4,1055.650000
71,Good,43692459000,43692462000,3,1056.600000
72,Good,43692763000,43692766000,3,1057.550000
73,Good,43693068000,43693071000,3,1058.500000
74,Good,43693372000,43693375000,3,1059.450000
75,Good,43693678000,43693681000,3,1060.400000
76,Good,43693982000,43693985000,3,1061.350000
77,Good,43694288000,43694291000,3,1062.300000
78,Good,43694592000,43694595000,3,1063.250000
79,Good,43694896000,43694899000,3,1064.200000
80,Good,43695200000,43695203000,3,1065.150000
81,Good,43695504000,43695507000,3,1066.100000
82,Good,43695809000,43695812000,3,1067.050000
83,Good,43696113000,43696116000,3,1068.000000
84,Good,43696418000,43696421000,3,1068.950000
85,Good,43696723000,43696727000,4,1069.900000
86,Good,43697028000,43697031000,3,1070.850000
87,Good,43697332000,43697335000,3,1071.800000
88,Good,43697636000,43697639000,3,1072.750000
89,Good,43697942000,43697944000,2,1073.700000
90,Good,43698245000,43698249000,4,1074.650000
91,Good,43698550000,43698553000,3,1075.600000
92,Good,43698854000,43698858000,4,1076.550000
93,Good,43699159000,43699162000,3,1077.500000
94,Good,43699464000,43699468000,4,1078.450000
95,Good,43699769000,43699772000,3,1079.400000
96,Good,43700073000,43700076000,3,1080.350000
97,Good,43700378000,43700380000,2,1081.300000
98,Good,43700682000,43700685000,3,1082.250000
99,Good,43700986000,43700990000,4,1083.200000
100,Good,43701291000,43701294000,3,1084.150000
101,Good,43701595000,43701599000,4,1085.100000
102,Good,43701900000,43701903000,3,1086.050000
103,Good,43702205000,43702209000,4,1087.000000
104,Good,43702510000,43702513000,3,1087.950000
105,Good,43702814000,43702818000,4,1088.900000
106,Good,43703119000,43703122000,3,1089.850000
107,Good,43703424000,43703428000,4,1090.800000
108,Good,43703729000,43703732000,3,1091.750000
109,Good,43704033000,43704036000,3,1092.700000
110,Good,43704338000,43704341000,3,1093.650000
111,Good,43704642000,43704645000,3,1094.600000
112,Good,43704948000,43704951000,3,1095.550000
113,Good,43705252000,43705255000,3,1096.500000
114,Good,43705556000,43705559000,3,1097.450000
115,Good,43705861000,43705864000,3,1098.400000
116,Good,43706165000,43706169000,4,1099.350000
117,Good,43706471000,43706474000,3,1100.300000
118,Good,43706775000,43706778000,3,1101.250000
119,Good,43707080000,43707083000,3,1102.200000
120,Good,43707384000,43707387000,3,1103.150000
121,Good,43707689000,43707691000,2,1104.100000
122,Good,43707993000,43707996000,3,1105.050000
123,Good,43708297000,43708300000,3,1106.000000
124,Good,43708602000,43708605000,3,1106.950000
125,Good,43708907000,43708910000,3,1107.900000
126,Good,43709212000,43709215000,3,1108.850000
127,Good,43709516000,43709520000,4,1109.800000
128,Good,43709821000,43709824000,3,1110.750000
129,Good,43710125000,43710129000,4,1111.700000
130,Good,43710430000,43710433000,3,1112.650000
131,Good,43710734000,43710737000,3,1113.600000
132,Good,43711039000,43711042000,3,1114.550000
133,Good,43711343000,43711346000,3,1115.500000
134,Good,43711647000,43711650000,3,1116.450000
135,Good,43711952000,43711955000,3,1117.400000
136,Good,43712257000,43712261000,4,1118.350000
137,Good,43712562000,43712565000,3,1119.300000
138,Good,43712867000,43712870000,3,1120.250000
139,Good,43713171000,43713174000,3,1121.200000
