value_last_recv,timestamp_chg
26515,44468820558
26516,44469125502
26517,44469429506
26518,44469734099
26519,44470038358
26520,44470342378
26521,44470647578
26522,44470951563
26523,44471256390
26524,44471560435
26525,44471864950
26526,44472169607
26527,44472474202
26528,44472778499
26529,44473082514
26530,44473387698
26531,44473691699
26532,44473997754
26533,44474301699
26534,44474606559
26535,44474910563
26536,44475215194
26537,44475519774
26538,44475824359
26539,44476128623
26540,44476432655
26541,44476737855
26542,44477041822
26543,44477346658
26544,44477650702
26545,44477955239
26546,44478258803
26547,44478562758
26548,44478868139
26549,44479171926
26550,44479476918
26551,44479780782
26552,44480085355
26553,44480389982
26554,44480694579
26555,44480998902
26556,44481302866
26557,44481608090
26558,44481912906
26559,44482218323
26560,44482522951
26561,44482828138
26562,44483132110
26563,44483436958
26564,44483740982
26565,44484045530
26566,44484350194
26567,44484654754
26568,44484959063
26569,44485263042
26570,44485568263
26571,44485872238
26572,44486177095
26573,44486481147
26574,44486785622
26575,44487090295
26576,44487394883
26577,44487699179
26578,44488003163
26579,44488308363
26580,44488612367
26581,44488917235
26582,44489221227
26583,44489525723
26584,44489830403
26585,44490135047
26586,44490439283
26587,44490743306
26588,44491048682
26589,44491353355
26590,44491658699
26591,44491963367
26592,44492268555
26593,44492572550
26594,44492877474
26595,44493181387
26596,44493485939
26597,44493789543
26598,44494093443
26599,44494398659
26600,44494702610
26601,44495007503
26602,44495311486
26603,44495616030
26604,44495920695
26605,44496225311
26606,44496529558
26607,44496833542
26608,44497139663
26609,44497443607
26610,44497748810
26611,44498052774
26612,44498357626
26613,44498661662
26614,44498966203
26615,44499269674
26616,44499573674
26617,44499878914
26618,44500182871
26619,44500487738
26620,44500791746
26621,44501096287
26622,44501400943
26623,44501705522
26624,44502009795
26625,44502313822
26626,44502619063
26627,44502923006
26628,44503227855
26629,44503531879
26630,44503837074
26631,44504141903
26632,44504446422
26633,44504751134
26634,44505055699
26635,44505359951
26636,44505663978
26637,44505969227
26638,44506273158
26639,44506578006
26640,44506882030
26641,44507186542
26642,44507491222
26643,44507795795
26644,44508100106
26645,44508404110
26646,44508709479
26647,44509013275
26648,44509318131
26649,44509622174
26650,44509927374
26651,44510231359
26652,44510535919
26653,44510840242
26654,44511144238
26655,44511449430
26656,44511754254
26657,44512059459
26658,44512363446
26659,44512668278
26660,44512972303
26661,44513276839
26662,44513581499
26663,44513886159
26664,44514190370
26665,44514494367
26666,44514799770
26667,44515104387
26668,44515409618
26669,44515713563
26670,44516018463
26671,44516322450
26672,44516626987
26673,44516931647
26674,44517236271
26675,44517540530
26676,44517844510
26677,44518149742
26678,44518453727
26679,44518758574
26680,44519062571
26681,44519367123
26682,44519671771
26683,44519976358
26684,44520280651
26685,44520584687
26686,44520890682
26687,44521194659
26688,44521499911
26689,44521803878
26690,44522108722
26691,44522412718
26692,44522717275
26693,44523021931
26694,44523326535
26695,44523630790
26696,44523934787
26697,44524240022
26698,44524543990
26699,44524848894
26700,44525152871
26701,44525457486
26702,44525762090
26703,44526066635
26704,44526371046
26705,44526674962
26706,44526980178
26707,44527284951
26708,44527590198
26709,44527894147
26710,44528199027
26711,44528503030
26712,44528807519
26713,44529112179
26714,44529417567
26715,44529721094
26716,44530025079
26717,44530330310
26718,44530634274
26719,44530939130
26720,44531243138
26721,44531547715
26722,44531852338
26723,44532156942
26724,44532461207
26725,44532765234
26726,44533070630
26727,44533374402
26728,44533679274
26729,44533983291
26730,44534287774
26731,44534592431
26732,44534897067
26733,44535201350
26734,44535505355
26735,44535810527
26736,44536114503
26737,44536419426
26738,44536724551
26739,44537029407
26740,44537333415
26741,44537637923
26742,44537942611
26743,44538247178
26744,44538551470
26745,44538855491
26746,44539160683
26747,44539464659
26748,44539769531
26749,44540073534
26750,44540378099
26751,44540682739
26752,44540987363
26753,44541291683
26754,44541595626
26755,44541900822
26756,44542204790
26757,44542509643
26758,44542813658
26759,44543118207
26760,44543422862
26761,44543727442
26762,44544031739
26763,44544335738
26764,44544640930
26765,44544944907
26766,44545249763
26767,44545553782
26768,44545858315
26769,44546162958
26770,44546467695
26771,44546771879
26772,44547075874
26773,44547381073
26774,44547685043
26775,44547989930
26776,44548293899
26777,44548598415
26778,44548901934
26779,44549205958
26780,44549511183
26781,44549815166
26782,44550120002
26783,44550424039
26784,44550728730
26785,44551033243
26786,44551337771
26787,44551642099
26788,44551946083
26789,44552251306
26790,44552555279
26791,44552860146
26792,44553164139
26793,44553468698
26794,44553773311
26795,44554077935
26796,44554382362
26797,44554686223
26798,44554991426
26799,44555295387
26800,44555600254
26801,44555904274
26802,44556208814
26803,44556513459
26804,44556818822
26805,44557123475
26806,44557428090
26807,44557732575
26808,44558036366
26809,44558341563
26810,44558645511
