counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,43859789000,43859792000,3,13
1,Good,43860093000,43860096000,3,14
2,Good,43860397000,43860400000,3,15
3,Good,43860702000,43860705000,3,16
4,Good,43861006000,43861008000,2,17
5,Good,43861309000,43861313000,4,18
6,Good,43861615000,43861617000,2,19
7,Good,43861919000,43861922000,3,20
8,Good,43862223000,43862227000,4,21
9,Good,43862527000,43862530000,3,22
10,Good,43862832000,43862835000,3,23
11,Good,43863137000,43863139000,2,24
12,Good,43863441000,43863444000,3,25
13,Good,43863745000,43863748000,3,26
14,Good,43864049000,43864053000,4,27
15,Good,43864353000,43864356000,3,28
16,Good,43864657000,43864660000,3,29
17,Good,43864962000,43864965000,3,30
18,Good,43865267000,43865269000,2,31
19,Good,43865571000,43865574000,3,32
20,Good,43865875000,43865878000,3,33
21,Good,43866180000,43866183000,3,34
22,Good,43866485000,43866488000,3,35
23,Good,43866790000,43866793000,3,36
24,Good,43867093000,43867096000,3,37
25,Good,43867397000,43867400000,3,38
26,Good,43867702000,43867705000,3,39
27,Good,43868006000,43868008000,2,40
28,Good,43868309000,43868313000,4,41
29,Good,43868615000,43868617000,2,42
30,Good,43868919000,43868922000,3,43
31,Good,43869223000,43869226000,3,44
32,Good,43869527000,43869530000,3,45
33,Good,43869832000,43869835000,3,46
34,Good,43870137000,43870139000,2,47
35,Good,43870441000,43870444000,3,48
36,Good,43870746000,43870748000,2,49
37,Good,43871050000,43871053000,3,50
38,Good,43871355000,43871357000,2,51
39,Good,43871659000,43871662000,3,52
40,Good,43871964000,43871966000,2,53
41,Good,43872267000,43872270000,3,54
42,Good,43872572000,43872575000,3,55
43,Good,43872877000,43872879000,2,56
44,Good,43873181000,43873184000,3,57
45,Good,43873485000,43873488000,3,58
46,Good,43873790000,43873793000,3,59
47,Good,43874095000,43874097000,2,60
48,Good,43874399000,43874402000,3,61
49,Good,43874703000,43874706000,3,62
50,Good,43875007000,43875010000,3,63
51,Good,43875312000,43875315000,3,64
52,Good,43875617000,43875619000,2,65
53,Good,43875921000,43875924000,3,66
54,Good,43876225000,43876228000,3,67
55,Good,43876529000,43876533000,4,68
56,Good,43876835000,43876837000,2,69
57,Good,43877139000,43877142000,3,70
58,Good,43877443000,43877446000,3,71
59,Good,43877747000,43877750000,3,72
60,Good,43878052000,43878055000,3,73
61,Good,43878357000,43878359000,2,74
62,Good,43878661000,43878664000,3,75
63,Good,43878966000,43878968000,2,76
64,Good,43879269000,43879273000,4,77
65,Good,43879575000,43879577000,2,78
66,Good,43879879000,43879882000,3,79
67,Good,43880183000,43880186000,3,80
68,Good,43880487000,43880490000,3,81
69,Good,43880792000,43880795000,3,82
70,Good,43881097000,43881099000,2,83
71,Good,43881401000,43881404000,3,84
72,Good,43881705000,43881708000,3,85
73,Good,43882009000,43882013000,4,86
74,Good,43882315000,43882317000,2,87
75,Good,43882619000,43882622000,3,88
76,Good,43882923000,43882926000,3,89
77,Good,43883227000,43883230000,3,90
78,Good,43883532000,43883535000,3,91
79,Good,43883837000,43883839000,2,92
80,Good,43884141000,43884145000,4,93
81,Good,43884447000,43884449000,2,94
82,Good,43884751000,43884754000,3,95
83,Good,43885056000,43885058000,2,96
84,Good,43885359000,43885363000,4,97
85,Good,43885663000,43885666000,3,98
86,Good,43885967000,43885970000,3,99
87,Good,43886272000,43886275000,3,100
88,Good,43886575000,43886578000,3,101
89,Good,43886880000,43886883000,3,102
90,Good,43887183000,43887186000,3,103
91,Good,43887487000,43887490000,3,104
92,Good,43887792000,43887795000,3,105
93,Good,43888097000,43888099000,2,106
94,Good,43888401000,43888404000,3,107
95,Good,43888706000,43888708000,2,108
96,Good,43889010000,43889013000,3,109
97,Good,43889315000,43889318000,3,110
98,Good,43889619000,43889623000,4,111
99,Good,43889925000,43889927000,2,112
100,Good,43890229000,43890232000,3,113
101,Good,43890533000,43890536000,3,114
102,Good,43890837000,43890840000,3,115
103,Good,43891142000,43891145000,3,116
104,Good,43891447000,43891449000,2,117
105,Good,43891751000,43891754000,3,118
