counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,44468878000,44468881000,3,26515
1,Good,44469183000,44469185000,2,26516
2,Good,44469487000,44469489000,2,26517
3,Good,44469791000,44469794000,3,26518
4,Good,44470096000,44470098000,2,26519
5,Good,44470399000,44470403000,4,26520
6,Good,44470705000,44470707000,2,26521
7,Good,44471009000,44471012000,3,26522
8,Good,44471313000,44471316000,3,26523
9,Good,44471618000,44471620000,2,26524
10,Good,44471922000,44471925000,3,26525
11,Good,44472227000,44472229000,2,26526
12,Good,44472531000,44472534000,3,26527
13,Good,44472836000,44472838000,2,26528
14,Good,44473139000,44473143000,4,26529
15,Good,44473445000,44473447000,2,26530
16,Good,44473749000,44473753000,4,26531
17,Good,44474055000,44474057000,2,26532
18,Good,44474359000,44474362000,3,26533
19,Good,44474664000,44474666000,2,26534
20,Good,44474968000,44474970000,2,26535
21,Good,44475272000,44475275000,3,26536
22,Good,44475577000,44475579000,2,26537
23,Good,44475881000,44475884000,3,26538
24,Good,44476186000,44476188000,2,26539
25,Good,44476489000,44476493000,4,26540
26,Good,44476795000,44476797000,2,26541
27,Good,44477099000,44477102000,3,26542
28,Good,44477403000,44477407000,4,26543
29,Good,44477707000,44477710000,3,26544
30,Good,44478012000,44478015000,3,26545
31,Good,44478315000,44478318000,3,26546
32,Good,44478620000,44478623000,3,26547
33,Good,44478925000,44478927000,2,26548
34,Good,44479229000,44479232000,3,26549
35,Good,44479533000,44479536000,3,26550
36,Good,44479837000,44479840000,3,26551
37,Good,44480142000,44480145000,3,26552
38,Good,44480447000,44480449000,2,26553
39,Good,44480751000,44480754000,3,26554
40,Good,44481056000,44481058000,2,26555
41,Good,44481360000,44481363000,3,26556
42,Good,44481665000,44481668000,3,26557
43,Good,44481970000,44481973000,3,26558
44,Good,44482275000,44482278000,3,26559
45,Good,44482580000,44482583000,3,26560
46,Good,44482885000,44482887000,2,26561
47,Good,44483189000,44483192000,3,26562
48,Good,44483493000,44483496000,3,26563
49,Good,44483797000,44483800000,3,26564
50,Good,44484102000,44484105000,3,26565
51,Good,44484407000,44484409000,2,26566
52,Good,44484711000,44484714000,3,26567
53,Good,44485016000,44485018000,2,26568
54,Good,44485319000,44485323000,4,26569
55,Good,44485625000,44485627000,2,26570
56,Good,44485929000,44485932000,3,26571
57,Good,44486233000,44486236000,3,26572
58,Good,44486538000,44486540000,2,26573
59,Good,44486842000,44486845000,3,26574
60,Good,44487147000,44487149000,2,26575
61,Good,44487451000,44487454000,3,26576
62,Good,44487755000,44487758000,3,26577
63,Good,44488059000,44488063000,4,26578
64,Good,44488365000,44488367000,2,26579
65,Good,44488669000,44488672000,3,26580
66,Good,44488973000,44488976000,3,26581
67,Good,44489277000,44489280000,3,26582
68,Good,44489582000,44489585000,3,26583
69,Good,44489887000,44489889000,2,26584
70,Good,44490191000,44490194000,3,26585
71,Good,44490495000,44490498000,3,26586
72,Good,44490800000,44490803000,3,26587
73,Good,44491105000,44491108000,3,26588
74,Good,44491409000,44491413000,4,26589
75,Good,44491715000,44491719000,4,26590
76,Good,44492020000,44492023000,3,26591
77,Good,44492325000,44492327000,2,26592
78,Good,44492629000,44492632000,3,26593
79,Good,44492934000,44492936000,2,26594
80,Good,44493237000,44493240000,3,26595
81,Good,44493542000,44493545000,3,26596
82,Good,44493845000,44493848000,3,26597
83,Good,44494149000,44494153000,4,26598
84,Good,44494455000,44494457000,2,26599
85,Good,44494759000,44494762000,3,26600
86,Good,44495064000,44495066000,2,26601
87,Good,44495367000,44495371000,4,26602
88,Good,44495672000,44495675000,3,26603
89,Good,44495977000,44495979000,2,26604
90,Good,44496281000,44496284000,3,26605
91,Good,44496586000,44496588000,2,26606
92,Good,44496889000,44496894000,5,26607
93,Good,44497196000,44497198000,2,26608
94,Good,44497499000,44497503000,4,26609
95,Good,44497805000,44497807000,2,26610
96,Good,44498109000,44498112000,3,26611
97,Good,44498413000,44498416000,3,26612
98,Good,44498717000,44498720000,3,26613
99,Good,44499022000,44499025000,3,26614
100,Good,44499326000,44499328000,2,26615
101,Good,44499629000,44499633000,4,26616
102,Good,44499935000,44499937000,2,26617
103,Good,44500239000,44500242000,3,26618
104,Good,44500544000,44500546000,2,26619
105,Good,44500848000,44500850000,2,26620
106,Good,44501152000,44501155000,3,26621
107,Good,44501457000,44501459000,2,26622
108,Good,44501761000,44501764000,3,26623
109,Good,44502065000,44502068000,3,26624
110,Good,44502369000,44502373000,4,26625
111,Good,44502675000,44502677000,2,26626
112,Good,44502979000,44502982000,3,26627
113,Good,44503284000,44503286000,2,26628
114,Good,44503587000,44503590000,3,26629
115,Good,44503893000,44503896000,3,26630
116,Good,44504197000,44504200000,3,26631
117,Good,44504502000,44504505000,3,26632
118,Good,44504807000,44504809000,2,26633
119,Good,44505111000,44505114000,3,26634
120,Good,44505416000,44505418000,2,26635
121,Good,44505719000,44505723000,4,26636
122,Good,44506025000,44506027000,2,26637
123,Good,44506329000,44506332000,3,26638
124,Good,44506634000,44506636000,2,26639
125,Good,44506937000,44506940000,3,26640
126,Good,44507242000,44507245000,3,26641
127,Good,44507547000,44507549000,2,26642
128,Good,44507851000,44507854000,3,26643
129,Good,44508156000,44508158000,2,26644
130,Good,44508459000,44508463000,4,26645
131,Good,44508765000,44508767000,2,26646
132,Good,44509069000,44509072000,3,26647
133,Good,44509373000,44509376000,3,26648
134,Good,44509678000,44509681000,3,26649
135,Good,44509983000,44509985000,2,26650
136,Good,44510287000,44510289000,2,26651
137,Good,44510591000,44510594000,3,26652
138,Good,44510896000,44510898000,2,26653
139,Good,44511200000,44511203000,3,26654
140,Good,44511505000,44511508000,3,26655
141,Good,44511809000,44511813000,4,26656
142,Good,44512115000,44512117000,2,26657
143,Good,44512419000,44512422000,3,26658
144,Good,44512723000,44512726000,3,26659
145,Good,44513027000,44513030000,3,26660
146,Good,44513332000,44513335000,3,26661
147,Good,44513637000,44513639000,2,26662
148,Good,44513941000,44513944000,3,26663
149,Good,44514246000,44514248000,2,26664
150,Good,44514549000,44514553000,4,26665
151,Good,44514855000,44514858000,3,26666
152,Good,44515159000,44515163000,4,26667
153,Good,44515465000,44515467000,2,26668
154,Good,44515769000,44515772000,3,26669
155,Good,44516074000,44516076000,2,26670
156,Good,44516377000,44516380000,3,26671
157,Good,44516682000,44516685000,3,26672
158,Good,44516987000,44516989000,2,26673
159,Good,44517291000,44517294000,3,26674
160,Good,44517596000,44517598000,2,26675
161,Good,44517899000,44517903000,4,26676
162,Good,44518205000,44518207000,2,26677
163,Good,44518509000,44518512000,3,26678
164,Good,44518814000,44518817000,3,26679
165,Good,44519118000,44519120000,2,26680
166,Good,44519422000,44519425000,3,26681
167,Good,44519727000,44519729000,2,26682
168,Good,44520031000,44520034000,3,26683
169,Good,44520336000,44520338000,2,26684
170,Good,44520640000,44520644000,4,26685
171,Good,44520946000,44520948000,2,26686
172,Good,44521249000,44521253000,4,26687
173,Good,44521555000,44521557000,2,26688
174,Good,44521859000,44521862000,3,26689
175,Good,44522163000,44522166000,3,26690
176,Good,44522467000,44522470000,3,26691
177,Good,44522772000,44522775000,3,26692
178,Good,44523077000,44523079000,2,26693
179,Good,44523381000,44523384000,3,26694
180,Good,44523685000,44523688000,3,26695
181,Good,44523989000,44523993000,4,26696
182,Good,44524295000,44524297000,2,26697
183,Good,44524599000,44524602000,3,26698
184,Good,44524904000,44524906000,2,26699
185,Good,44525208000,44525210000,2,26700
186,Good,44525512000,44525515000,3,26701
187,Good,44525817000,44525819000,2,26702
188,Good,44526121000,44526124000,3,26703
189,Good,44526425000,44526428000,3,26704
190,Good,44526730000,44526733000,3,26705
191,Good,44527035000,44527038000,3,26706
192,Good,44527339000,44527343000,4,26707
193,Good,44527645000,44527647000,2,26708
194,Good,44527949000,44527952000,3,26709
195,Good,44528253000,44528256000,3,26710
196,Good,44528558000,44528560000,2,26711
197,Good,44528862000,44528865000,3,26712
198,Good,44529167000,44529170000,3,26713
199,Good,44529472000,44529475000,3,26714
200,Good,44529775000,44529778000,3,26715
201,Good,44530079000,44530083000,4,26716
202,Good,44530385000,44530387000,2,26717
203,Good,44530689000,44530692000,3,26718
204,Good,44530993000,44530996000,3,26719
205,Good,44531297000,44531300000,3,26720
206,Good,44531602000,44531605000,3,26721
207,Good,44531907000,44531909000,2,26722
208,Good,44532211000,44532214000,3,26723
209,Good,44532516000,44532518000,2,26724
210,Good,44532819000,44532823000,4,26725
211,Good,44533125000,44533127000,2,26726
212,Good,44533429000,44533432000,3,26727
213,Good,44533733000,44533736000,3,26728
214,Good,44534038000,44534040000,2,26729
215,Good,44534342000,44534345000,3,26730
216,Good,44534647000,44534649000,2,26731
217,Good,44534951000,44534954000,3,26732
218,Good,44535256000,44535258000,2,26733
219,Good,44535559000,44535563000,4,26734
220,Good,44535865000,44535867000,2,26735
221,Good,44536169000,44536172000,3,26736
222,Good,44536474000,44536477000,3,26737
223,Good,44536779000,44536782000,3,26738
224,Good,44537084000,44537086000,2,26739
