counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,44164368000,44164370000,2,989.150000
1,Good,44164672000,44164675000,3,990.100000
2,Good,44164976000,44164978000,2,991.050000
3,Good,44165279000,44165283000,4,992.000000
4,Good,44165584000,44165586000,2,992.950000
5,Good,44165887000,44165890000,3,993.900000
6,Good,44166192000,44166195000,3,994.850000
7,Good,44166497000,44166499000,2,995.800000
8,Good,44166801000,44166804000,3,996.750000
9,Good,44167106000,44167108000,2,997.700000
10,Good,44167409000,44167413000,4,998.650000
11,Good,44167713000,44167716000,3,999.600000
12,Good,44168017000,44168020000,3,1000.550000
13,Good,44168322000,44168325000,3,1001.500000
14,Good,44168627000,44168629000,2,1002.450000
15,Good,44168931000,44168934000,3,1003.400000
16,Good,44169235000,44169238000,3,1004.350000
17,Good,44169539000,44169543000,4,1005.300000
18,Good,44169845000,44169847000,2,1006.250000
19,Good,44170149000,44170152000,3,1007.200000
20,Good,44170453000,44170457000,4,1008.150000
21,Good,44170757000,44170761000,4,1009.100000
22,Good,44171062000,44171065000,3,1010.050000
23,Good,44171367000,44171369000,2,1011.000000
24,Good,44171671000,44171674000,3,1011.950000
25,Good,44171975000,44171978000,3,1012.900000
26,Good,44172280000,44172283000,3,1013.850000
27,Good,44172585000,44172587000,2,1014.800000
28,Good,44172889000,44172892000,3,1015.750000
29,Good,44173193000,44173196000,3,1016.700000
30,Good,44173497000,44173500000,3,1017.650000
31,Good,44173802000,44173805000,3,1018.600000
32,Good,44174106000,44174108000,2,1019.550000
33,Good,44174409000,44174413000,4,1020.500000
34,Good,44174715000,44174717000,2,1021.450000
35,Good,44175019000,44175022000,3,1022.400000
36,Good,44175323000,44175326000,3,1023.350000
37,Good,44175627000,44175630000,3,1024.300000
38,Good,44175932000,44175935000,3,1025.250000
39,Good,44176237000,44176239000,2,1026.200000
40,Good,44176541000,44176544000,3,1027.150000
41,Good,44176845000,44176848000,3,1028.100000
42,Good,44177149000,44177153000,4,1029.050000
43,Good,44177455000,44177457000,2,1030.000000
44,Good,44177759000,44177762000,3,1030.950000
45,Good,44178064000,44178066000,2,1031.900000
46,Good,44178367000,44178370000,3,1032.850000
47,Good,44178672000,44178675000,3,1033.800000
48,Good,44178975000,44178978000,3,1034.750000
49,Good,44179279000,44179283000,4,1035.700000
50,Good,44179585000,44179588000,3,1036.650000
51,Good,44179889000,44179893000,4,1037.600000
52,Good,44180195000,44180197000,2,1038.550000
53,Good,44180499000,44180502000,3,1039.500000
54,Good,44180803000,44180806000,3,1040.450000
55,Good,44181108000,44181110000,2,1041.400000
56,Good,44181412000,44181415000,3,1042.350000
57,Good,44181716000,44181718000,2,1043.300000
58,Good,44182019000,44182023000,4,1044.250000
59,Good,44182325000,44182328000,3,1045.200000
60,Good,44182629000,44182633000,4,1046.150000
61,Good,44182933000,44182936000,3,1047.100000
62,Good,44183237000,44183240000,3,1048.050000
63,Good,44183542000,44183545000,3,1049.000000
64,Good,44183846000,44183848000,2,1049.950000
65,Good,44184149000,44184153000,4,1050.900000
66,Good,44184455000,44184457000,2,1051.850000
67,Good,44184759000,44184762000,3,1052.800000
68,Good,44185064000,44185066000,2,1053.750000
69,Good,44185367000,44185370000,3,1054.700000
70,Good,44185672000,44185675000,3,1055.650000
71,Good,44185977000,44185979000,2,1056.600000
72,Good,44186281000,44186284000,3,1057.550000
73,Good,44186585000,44186588000,3,1058.500000
74,Good,44186889000,44186893000,4,1059.450000
75,Good,44187195000,44187197000,2,1060.400000
76,Good,44187499000,44187502000,3,1061.350000
77,Good,44187804000,44187806000,2,1062.300000
78,Good,44188107000,44188110000,3,1063.250000
79,Good,44188412000,44188415000,3,1064.200000
80,Good,44188715000,44188718000,3,1065.150000
81,Good,44189020000,44189023000,3,1066.100000
82,Good,44189325000,44189327000,2,1067.050000
83,Good,44189629000,44189632000,3,1068.000000
84,Good,44189933000,44189936000,3,1068.950000
85,Good,44190237000,44190240000,3,1069.900000
86,Good,44190542000,44190545000,3,1070.850000
87,Good,44190847000,44190849000,2,1071.800000
88,Good,44191151000,44191154000,3,1072.750000
89,Good,44191455000,44191458000,3,1073.700000
90,Good,44191759000,44191763000,4,1074.650000
