value_last_recv,timestamp_chg
20653,46627010000
20654,46627318000
20655,46627625000
20656,46627931000
20657,46628239000
20658,46628547000
20659,46628855000
20660,46629161000
20661,46629469000
20662,46629777000
20663,46630085000
20664,46630391000
20665,46630699000
20666,46631007000
20667,46631315000
20668,46631621000
20669,46631930000
20670,46632237000
20671,46632545000
20672,46632851000
20673,46633159000
20674,46633465000
20675,46633773000
20676,46634081000
20677,46634388000
20678,46634695000
20679,46635003000
20680,46635310000
20681,46635617000
20682,46635925000
20683,46636231000
20684,46636538000
20685,46636844000
20686,46637151000
20687,46637458000
20688,46637765000
20689,46638073000
20690,46638380000
20691,46638687000
20692,46638995000
20693,46639302000
20694,46639610000
20695,46639918000
20696,46640225000
20697,46640533000
20698,46640840000
20699,46641147000
20700,46641455000
20701,46641763000
20702,46642070000
20703,46642377000
20704,46642685000
20705,46642992000
20706,46643299000
20707,46643607000
20708,46643915000
20709,46644223000
20710,46644530000
20711,46644837000
20712,46645145000
20713,46645452000
20714,46645759000
20715,46646065000
20716,46646373000
20717,46646685000
20718,46646994000
20719,46647301000
20720,46647608000
20721,46647915000
20722,46648221000
20723,46648529000
20724,46648837000
20725,46649145000
20726,46649451000
20727,46649759000
20728,46650067000
20729,46650375000
20730,46650681000
20731,46650989000
20732,46651295000
20733,46651603000
20734,46651911000
20735,46652218000
20736,46652525000
20737,46652832000
20738,46653139000
20739,46653445000
20740,46653753000
20741,46654061000
20742,46654368000
20743,46654675000
20744,46654983000
20745,46655291000
20746,46655598000
20747,46655905000
20748,46656213000
20749,46656521000
20750,46656828000
20751,46657135000
20752,46657443000
20753,46657749000
20754,46658058000
20755,46658367000
20756,46658675000
20757,46658983000
20758,46659290000
20759,46659597000
20760,46659905000
20761,46660212000
20762,46660519000
20763,46660825000
20764,46661133000
20765,46661441000
20766,46661749000
20767,46662055000
20768,46662363000
20769,46662671000
20770,46662978000
20771,46663285000
20772,46663593000
20773,46663901000
20774,46664208000
20775,46664515000
20776,46664823000
20777,46665131000
20778,46665438000
20779,46665745000
20780,46666053000
20781,46666360000
20782,46666668000
20783,46666975000
20784,46667283000
20785,46667591000
20786,46667899000
20787,46668207000
20788,46668515000
20789,46668822000
20790,46669129000
20791,46669437000
20792,46669743000
20793,46670049000
20794,46670357000
20795,46670664000
20796,46670971000
20797,46671279000
20798,46671585000
20799,46671892000
20800,46672200000
20801,46672508000
20802,46672814000
20803,46673121000
20804,46673429000
20805,46673735000
20806,46674043000
20807,46674349000
20808,46674657000
20809,46674965000
20810,46675272000
20811,46675579000
20812,46675887000
20813,46676194000
20814,46676501000
20815,46676809000
20816,46677116000
20817,46677423000
20818,46677731000
20819,46678039000
20820,46678345000
20821,46678652000
20822,46678960000
20823,46679266000
20824,46679573000
20825,46679879000
20826,46680188000
20827,46680495000
20828,46680803000
20829,46681110000
20830,46681418000
20831,46681725000
20832,46682031000
20833,46682339000
20834,46682647000
20835,46682955000
20836,46683262000
20837,46683569000
20838,46683877000
20839,46684185000
20840,46684491000
20841,46684799000
20842,46685105000
20843,46685413000
20844,46685721000
20845,46686028000
20846,46686335000
20847,46686643000
20848,46686950000
20849,46687257000
20850,46687565000
20851,46687871000
20852,46688179000
20853,46688485000
20854,46688793000
20855,46689100000
20856,46689407000
20857,46689715000
20858,46690022000
20859,46690329000
20860,46690637000
20861,46690943000
20862,46691251000
20863,46691558000
20864,46691865000
20865,46692173000
20866,46692480000
20867,46692788000
20868,46693095000
20869,46693401000
20870,46693709000
20871,46694017000
20872,46694325000
20873,46694632000
20874,46694939000
20875,46695247000
20876,46695555000
20877,46695861000
20878,46696169000
20879,46696475000
20880,46696783000
20881,46697091000
20882,46697398000
20883,46697705000
20884,46698012000
20885,46698320000
20886,46698627000
20887,46698935000
20888,46699241000
20889,46699549000
20890,46699857000
20891,46700163000
20892,46700471000
20893,46700778000
20894,46701084000
20895,46701391000
20896,46701699000
20897,46702005000
20898,46702313000
20899,46702621000
20900,46702928000
20901,46703235000
20902,46703543000
20903,46703850000
20904,46704157000
20905,46704465000
20906,46704773000
20907,46705080000
20908,46705387000
20909,46705695000
20910,46706002000
20911,46706309000
20912,46706615000
20913,46706923000
20914,46707231000
20915,46707538000
20916,46707845000
20917,46708153000
20918,46708461000
20919,46708768000
20920,46709075000
20921,46709383000
20922,46709691000
20923,46709998000
20924,46710305000
20925,46710612000
20926,46710920000
20927,46711226000
20928,46711533000
20929,46711839000
20930,46712147000
20931,46712455000
20932,46712762000
20933,46713069000
20934,46713377000
20935,46713685000
20936,46713991000
20937,46714299000
20938,46714605000
20939,46714913000
20940,46715221000
20941,46715528000
20942,46715835000
20943,46716143000
20944,46716451000
20945,46716758000
20946,46717065000
20947,46717373000
20948,46717680000
20949,46717988000
20950,46718295000
20951,46718603000
20952,46718911000
20953,46719218000
20954,46719525000
20955,46719833000
20956,46720141000
20957,46720448000
20958,46720755000
20959,46721063000
20960,46721371000
20961,46721679000
20962,46721987000
20963,46722294000
20964,46722601000
20965,46722909000
20966,46723215000
20967,46723523000
20968,46723830000
20969,46724137000
20970,46724445000
20971,46724752000
20972,46725059000
20973,46725367000
20974,46725675000
20975,46725981000
20976,46726289000
20977,46726596000
20978,46726903000
20979,46727211000
20980,46727518000
20981,46727825000
20982,46728133000
20983,46728440000
20984,46728749000
20985,46729055000
20986,46729363000
20987,46729670000
20988,46729977000
20989,46730285000
20990,46730592000
20991,46730899000
20992,46731207000
20993,46731515000
20994,46731821000
20995,46732129000
20996,46732438000
20997,46732745000
20998,46733053000
20999,46733359000
21000,46733667000
21001,46733975000
21002,46734281000
21003,46734589000
21004,46734897000
21005,46735205000
21006,46735512000
21007,46735820000
21008,46736127000
21009,46736435000
21010,46736741000
21011,46737049000
21012,46737355000
21013,46737663000
21014,46737970000
21015,46738277000
21016,46738585000
21017,46738891000
21018,46739199000
21019,46739505000
21020,46739813000
21021,46740121000
21022,46740428000
21023,46740734000
21024,46741042000
21025,46741349000
21026,46741657000
21027,46741965000
21028,46742271000
21029,46742579000
21030,46742887000
21031,46743195000
21032,46743503000
21033,46743810000
21034,46744117000
21035,46744423000
21036,46744731000
21037,46745038000
21038,46745345000
21039,46745653000
21040,46745960000
21041,46746268000
21042,46746575000
21043,46746883000
21044,46747191000
21045,46747498000
21046,46747805000
21047,46748113000
21048,46748421000
21049,46748729000
21050,46749037000
21051,46749343000
21052,46749651000
21053,46749958000
21054,46750265000
21055,46750573000
21056,46750881000
21057,46751188000
21058,46751495000
21059,46751803000
21060,46752111000
21061,46752418000
21062,46752725000
21063,46753033000
21064,46753341000
21065,46753648000
21066,46753955000
21067,46754262000
21068,46754569000
