counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,45706826000,45706841000,15,13
1,Good,45707143000,45707148000,5,14
2,Good,45707449000,45707454000,5,15
3,Good,45707755000,45707761000,6,16
4,Good,45708063000,45708071000,8,17
5,Good,45708372000,45708379000,7,18
6,Good,45708680000,45708687000,7,19
7,Good,45708988000,45708993000,5,20
8,Good,45709294000,45709299000,5,21
9,Good,45709601000,45709606000,5,22
10,Good,45709907000,45709912000,5,23
11,Good,45710213000,45710218000,5,24
12,Good,45710519000,45710524000,5,25
13,Good,45710825000,45710830000,5,26
14,Good,45711131000,45711136000,5,27
15,Good,45711437000,45711442000,5,28
16,Good,45711743000,45711749000,6,29
17,Good,45712051000,45712056000,5,30
18,Good,45712357000,45712362000,5,31
19,Good,45712663000,45712669000,6,32
20,Good,45712970000,45712975000,5,33
21,Good,45713277000,45713281000,4,34
22,Good,45713583000,45713589000,6,35
23,Good,45713890000,45713895000,5,36
24,Good,45714197000,45714201000,4,37
25,Good,45714503000,45714508000,5,38
26,Good,45714810000,45714815000,5,39
27,Good,45715117000,45715122000,5,40
28,Good,45715423000,45715429000,6,41
29,Good,45715730000,45715735000,5,42
30,Good,45716036000,45716041000,5,43
31,Good,45716342000,45716348000,6,44
32,Good,45716649000,45716654000,5,45
33,Good,45716955000,45716960000,5,46
34,Good,45717261000,45717266000,5,47
35,Good,45717568000,45717572000,4,48
36,Good,45717873000,45717879000,6,49
37,Good,45718180000,45718185000,5,50
38,Good,45718487000,45718491000,4,51
39,Good,45718793000,45718798000,5,52
40,Good,45719100000,45719105000,5,53
41,Good,45719407000,45719412000,5,54
42,Good,45719713000,45719719000,6,55
43,Good,45720020000,45720025000,5,56
44,Good,45720327000,45720331000,4,57
45,Good,45720632000,45720638000,6,58
46,Good,45720939000,45720943000,4,59
47,Good,45721244000,45721250000,6,60
48,Good,45721551000,45721556000,5,61
49,Good,45721858000,45721862000,4,62
50,Good,45722163000,45722169000,6,63
51,Good,45722470000,45722475000,5,64
52,Good,45722777000,45722781000,4,65
53,Good,45723082000,45723088000,6,66
54,Good,45723389000,45723394000,5,67
55,Good,45723695000,45723700000,5,68
56,Good,45724001000,45724006000,5,69
57,Good,45724307000,45724312000,5,70
58,Good,45724613000,45724619000,6,71
59,Good,45724920000,45724925000,5,72
60,Good,45725227000,45725231000,4,73
61,Good,45725533000,45725539000,6,74
62,Good,45725840000,45725846000,6,75
63,Good,45726147000,45726152000,5,76
64,Good,45726453000,45726458000,5,77
65,Good,45726760000,45726765000,5,78
66,Good,45727067000,45727071000,4,79
67,Good,45727373000,45727379000,6,80
68,Good,45727680000,45727685000,5,81
69,Good,45727987000,45727991000,4,82
70,Good,45728293000,45728299000,6,83
71,Good,45728600000,45728605000,5,84
72,Good,45728907000,45728912000,5,85
73,Good,45729213000,45729219000,6,86
74,Good,45729520000,45729525000,5,87
75,Good,45729827000,45729831000,4,88
76,Good,45730133000,45730139000,6,89
77,Good,45730440000,45730445000,5,90
78,Good,45730747000,45730752000,5,91
79,Good,45731053000,45731059000,6,92
80,Good,45731360000,45731365000,5,93
81,Good,45731667000,45731671000,4,94
82,Good,45731972000,45731978000,6,95
83,Good,45732279000,45732284000,5,96
84,Good,45732585000,45732590000,5,97
85,Good,45732891000,45732895000,4,98
86,Good,45733197000,45733202000,5,99
87,Good,45733503000,45733509000,6,100
88,Good,45733810000,45733815000,5,101
89,Good,45734117000,45734122000,5,102
90,Good,45734423000,45734429000,6,103
91,Good,45734730000,45734735000,5,104
92,Good,45735037000,45735041000,4,105
93,Good,45735342000,45735348000,6,106
94,Good,45735649000,45735654000,5,107
95,Good,45735955000,45735960000,5,108
96,Good,45736261000,45736266000,5,109
97,Good,45736567000,45736572000,5,110
98,Good,45736873000,45736879000,6,111
99,Good,45737180000,45737185000,5,112
100,Good,45737487000,45737491000,4,113
101,Good,45737793000,45737798000,5,114
102,Good,45738099000,45738104000,5,115
103,Good,45738405000,45738410000,5,116
104,Good,45738711000,45738716000,5,117
105,Good,45739018000,45739022000,4,118
106,Good,45739323000,45739329000,6,119
107,Good,45739630000,45739635000,5,120
108,Good,45739937000,45739941000,4,121
109,Good,45740243000,45740249000,6,122
110,Good,45740550000,45740555000,5,123
111,Good,45740857000,45740861000,4,124
112,Good,45741162000,45741168000,6,125
113,Good,45741469000,45741474000,5,126
114,Good,45741775000,45741780000,5,127
115,Good,45742081000,45742086000,5,128
116,Good,45742387000,45742392000,5,129
117,Good,45742693000,45742699000,6,130
118,Good,45743000000,45743004000,4,131
119,Good,45743305000,45743310000,5,132
120,Good,45743611000,45743616000,5,133
121,Good,45743918000,45743922000,4,134
122,Good,45744223000,45744229000,6,135
123,Good,45744530000,45744535000,5,136
124,Good,45744837000,45744841000,4,137
125,Good,45745143000,45745149000,6,138
126,Good,45745450000,45745455000,5,139
127,Good,45745757000,45745762000,5,140
128,Good,45746063000,45746069000,6,141
129,Good,45746370000,45746375000,5,142
130,Good,45746677000,45746682000,5,143
131,Good,45746983000,45746988000,5,144
132,Good,45747289000,45747294000,5,145
133,Good,45747595000,45747600000,5,146
134,Good,45747901000,45747906000,5,147
135,Good,45748207000,45748212000,5,148
136,Good,45748513000,45748519000,6,149
137,Good,45748820000,45748825000,5,150
138,Good,45749127000,45749132000,5,151
139,Good,45749433000,45749439000,6,152
140,Good,45749740000,45749745000,5,153
141,Good,45750047000,45750051000,4,154
142,Good,45750352000,45750358000,6,155
143,Good,45750659000,45750664000,5,156
144,Good,45750965000,45750970000,5,157
145,Good,45751271000,45751276000,5,158
146,Good,45751577000,45751582000,5,159
147,Good,45751883000,45751889000,6,160
148,Good,45752190000,45752195000,5,161
149,Good,45752497000,45752502000,5,162
150,Good,45752803000,45752809000,6,163
151,Good,45753110000,45753115000,5,164
152,Good,45753417000,45753421000,4,165
153,Good,45753722000,45753727000,5,166
154,Good,45754029000,45754033000,4,167
155,Good,45754334000,45754339000,5,168
156,Good,45754641000,45754646000,5,169
157,Good,45754947000,45754952000,5,170
158,Good,45755253000,45755259000,6,171
159,Good,45755560000,45755565000,5,172
160,Good,45755867000,45755872000,5,173
161,Good,45756173000,45756179000,6,174
162,Good,45756480000,45756485000,5,175
163,Good,45756787000,45756791000,4,176
164,Good,45757093000,45757099000,6,177
165,Good,45757400000,45757405000,5,178
166,Good,45757707000,45757711000,4,179
167,Good,45758013000,45758019000,6,180
168,Good,45758320000,45758325000,5,181
169,Good,45758627000,45758631000,4,182
170,Good,45758933000,45758939000,6,183
171,Good,45759240000,45759245000,5,184
172,Good,45759547000,45759551000,4,185
173,Good,45759853000,45759859000,6,186
174,Good,45760160000,45760165000,5,187
175,Good,45760467000,45760472000,5,188
176,Good,45760773000,45760779000,6,189
177,Good,45761080000,45761085000,5,190
178,Good,45761387000,45761391000,4,191
179,Good,45761693000,45761699000,6,192
180,Good,45762001000,45762005000,4,193
181,Good,45762307000,45762311000,4,194
182,Good,45762613000,45762619000,6,195
183,Good,45762920000,45762925000,5,196
184,Good,45763227000,45763231000,4,197
185,Good,45763533000,45763539000,6,198
186,Good,45763840000,45763845000,5,199
187,Good,45764147000,45764151000,4,200
188,Good,45764452000,45764457000,5,201
189,Good,45764758000,45764763000,5,202
190,Good,45765064000,45765070000,6,203
191,Good,45765371000,45765376000,5,204
192,Good,45765677000,45765682000,5,205
193,Good,45765983000,45765989000,6,206
194,Good,45766290000,45766295000,5,207
195,Good,45766597000,45766602000,5,208
196,Good,45766903000,45766909000,6,209
197,Good,45767210000,45767215000,5,210
198,Good,45767517000,45767521000,4,211
199,Good,45767822000,45767828000,6,212
