counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,46320143000,46320162000,19,26515
1,Good,46320463000,46320469000,6,26516
2,Good,46320770000,46320775000,5,26517
3,Good,46321077000,46321082000,5,26518
4,Good,46321383000,46321389000,6,26519
5,Good,46321690000,46321695000,5,26520
6,Good,46321997000,46322002000,5,26521
7,Good,46322303000,46322309000,6,26522
8,Good,46322610000,46322615000,5,26523
9,Good,46322918000,46322922000,4,26524
10,Good,46323223000,46323229000,6,26525
11,Good,46323530000,46323535000,5,26526
12,Good,46323837000,46323842000,5,26527
13,Good,46324143000,46324149000,6,26528
14,Good,46324450000,46324455000,5,26529
15,Good,46324757000,46324762000,5,26530
16,Good,46325063000,46325069000,6,26531
17,Good,46325370000,46325375000,5,26532
18,Good,46325677000,46325682000,5,26533
19,Good,46325983000,46325988000,5,26534
20,Good,46326289000,46326294000,5,26535
21,Good,46326595000,46326600000,5,26536
22,Good,46326901000,46326906000,5,26537
23,Good,46327207000,46327212000,5,26538
24,Good,46327513000,46327519000,6,26539
25,Good,46327820000,46327825000,5,26540
26,Good,46328127000,46328132000,5,26541
27,Good,46328433000,46328439000,6,26542
28,Good,46328740000,46328745000,5,26543
29,Good,46329047000,46329052000,5,26544
30,Good,46329353000,46329359000,6,26545
31,Good,46329660000,46329665000,5,26546
32,Good,46329967000,46329972000,5,26547
33,Good,46330273000,46330279000,6,26548
34,Good,46330580000,46330585000,5,26549
35,Good,46330887000,46330892000,5,26550
36,Good,46331193000,46331199000,6,26551
37,Good,46331500000,46331505000,5,26552
38,Good,46331807000,46331812000,5,26553
39,Good,46332113000,46332119000,6,26554
40,Good,46332420000,46332425000,5,26555
41,Good,46332727000,46332731000,4,26556
42,Good,46333033000,46333039000,6,26557
43,Good,46333340000,46333345000,5,26558
44,Good,46333647000,46333652000,5,26559
45,Good,46333953000,46333959000,6,26560
46,Good,46334260000,46334265000,5,26561
47,Good,46334568000,46334572000,4,26562
48,Good,46334873000,46334879000,6,26563
49,Good,46335180000,46335185000,5,26564
50,Good,46335487000,46335492000,5,26565
51,Good,46335793000,46335799000,6,26566
52,Good,46336100000,46336105000,5,26567
53,Good,46336407000,46336411000,4,26568
54,Good,46336713000,46336719000,6,26569
55,Good,46337020000,46337025000,5,26570
56,Good,46337327000,46337331000,4,26571
57,Good,46337632000,46337638000,6,26572
58,Good,46337939000,46337944000,5,26573
59,Good,46338245000,46338251000,6,26574
60,Good,46338552000,46338558000,6,26575
61,Good,46338859000,46338864000,5,26576
62,Good,46339165000,46339171000,6,26577
63,Good,46339472000,46339478000,6,26578
64,Good,46339779000,46339784000,5,26579
65,Good,46340085000,46340090000,5,26580
66,Good,46340391000,46340397000,6,26581
67,Good,46340698000,46340703000,5,26582
68,Good,46341005000,46341011000,6,26583
69,Good,46341312000,46341318000,6,26584
70,Good,46341619000,46341624000,5,26585
71,Good,46341925000,46341931000,6,26586
72,Good,46342232000,46342238000,6,26587
73,Good,46342539000,46342544000,5,26588
74,Good,46342845000,46342850000,5,26589
75,Good,46343152000,46343158000,6,26590
76,Good,46343459000,46343464000,5,26591
77,Good,46343765000,46343771000,6,26592
78,Good,46344072000,46344078000,6,26593
79,Good,46344379000,46344384000,5,26594
80,Good,46344685000,46344691000,6,26595
81,Good,46344992000,46344998000,6,26596
82,Good,46345299000,46345304000,5,26597
83,Good,46345605000,46345611000,6,26598
84,Good,46345913000,46345918000,5,26599
85,Good,46346219000,46346224000,5,26600
86,Good,46346525000,46346531000,6,26601
87,Good,46346832000,46346838000,6,26602
88,Good,46347139000,46347144000,5,26603
89,Good,46347445000,46347450000,5,26604
90,Good,46347751000,46347756000,5,26605
91,Good,46348058000,46348062000,4,26606
92,Good,46348363000,46348369000,6,26607
93,Good,46348670000,46348675000,5,26608
94,Good,46348977000,46348982000,5,26609
95,Good,46349283000,46349289000,6,26610
96,Good,46349590000,46349595000,5,26611
97,Good,46349897000,46349901000,4,26612
98,Good,46350203000,46350209000,6,26613
99,Good,46350510000,46350515000,5,26614
100,Good,46350817000,46350821000,4,26615
101,Good,46351123000,46351129000,6,26616
102,Good,46351430000,46351435000,5,26617
103,Good,46351737000,46351742000,5,26618
104,Good,46352043000,46352049000,6,26619
105,Good,46352350000,46352355000,5,26620
106,Good,46352657000,46352662000,5,26621
107,Good,46352963000,46352969000,6,26622
108,Good,46353270000,46353275000,5,26623
109,Good,46353577000,46353582000,5,26624
110,Good,46353883000,46353889000,6,26625
111,Good,46354190000,46354195000,5,26626
112,Good,46354497000,46354502000,5,26627
113,Good,46354803000,46354809000,6,26628
114,Good,46355110000,46355115000,5,26629
115,Good,46355418000,46355422000,4,26630
116,Good,46355723000,46355729000,6,26631
117,Good,46356030000,46356035000,5,26632
118,Good,46356337000,46356341000,4,26633
119,Good,46356643000,46356649000,6,26634
120,Good,46356950000,46356955000,5,26635
121,Good,46357257000,46357261000,4,26636
122,Good,46357563000,46357569000,6,26637
123,Good,46357870000,46357875000,5,26638
124,Good,46358177000,46358182000,5,26639
125,Good,46358483000,46358488000,5,26640
126,Good,46358789000,46358794000,5,26641
127,Good,46359095000,46359101000,6,26642
128,Good,46359402000,46359408000,6,26643
129,Good,46359709000,46359714000,5,26644
130,Good,46360015000,46360021000,6,26645
131,Good,46360322000,46360328000,6,26646
132,Good,46360629000,46360634000,5,26647
133,Good,46360935000,46360941000,6,26648
134,Good,46361242000,46361248000,6,26649
135,Good,46361549000,46361554000,5,26650
136,Good,46361855000,46361861000,6,26651
137,Good,46362162000,46362168000,6,26652
138,Good,46362469000,46362474000,5,26653
139,Good,46362775000,46362781000,6,26654
140,Good,46363082000,46363088000,6,26655
141,Good,46363389000,46363394000,5,26656
142,Good,46363695000,46363701000,6,26657
143,Good,46364002000,46364008000,6,26658
144,Good,46364309000,46364314000,5,26659
145,Good,46364615000,46364621000,6,26660
146,Good,46364922000,46364928000,6,26661
147,Good,46365229000,46365234000,5,26662
148,Good,46365535000,46365541000,6,26663
149,Good,46365842000,46365848000,6,26664
150,Good,46366149000,46366154000,5,26665
151,Good,46366455000,46366461000,6,26666
152,Good,46366762000,46366768000,6,26667
153,Good,46367069000,46367074000,5,26668
154,Good,46367375000,46367381000,6,26669
155,Good,46367682000,46367688000,6,26670
156,Good,46367989000,46367994000,5,26671
157,Good,46368295000,46368305000,10,26672
158,Good,46368607000,46368611000,4,26673
159,Good,46368913000,46368918000,5,26674
160,Good,46369219000,46369223000,4,26675
161,Good,46369525000,46369530000,5,26676
162,Good,46369831000,46369836000,5,26677
163,Good,46370138000,46370143000,5,26678
164,Good,46370444000,46370450000,6,26679
165,Good,46370751000,46370756000,5,26680
166,Good,46371058000,46371063000,5,26681
167,Good,46371364000,46371370000,6,26682
168,Good,46371671000,46371676000,5,26683
169,Good,46371977000,46371982000,5,26684
170,Good,46372283000,46372289000,6,26685
171,Good,46372590000,46372595000,5,26686
172,Good,46372898000,46372902000,4,26687
173,Good,46373203000,46373209000,6,26688
174,Good,46373510000,46373515000,5,26689
175,Good,46373817000,46373822000,5,26690
176,Good,46374123000,46374129000,6,26691
177,Good,46374430000,46374435000,5,26692
178,Good,46374737000,46374742000,5,26693
179,Good,46375045000,46375050000,5,26694
180,Good,46375351000,46375356000,5,26695
181,Good,46375658000,46375662000,4,26696
182,Good,46375965000,46375970000,5,26697
183,Good,46376271000,46376276000,5,26698
184,Good,46376578000,46376582000,4,26699
185,Good,46376883000,46376889000,6,26700
186,Good,46377190000,46377195000,5,26701
187,Good,46377497000,46377502000,5,26702
188,Good,46377803000,46377809000,6,26703
189,Good,46378110000,46378115000,5,26704
190,Good,46378417000,46378422000,5,26705
191,Good,46378723000,46378729000,6,26706
192,Good,46379030000,46379036000,6,26707
193,Good,46379337000,46379342000,5,26708
194,Good,46379643000,46379649000,6,26709
195,Good,46379951000,46379956000,5,26710
196,Good,46380258000,46380262000,4,26711
197,Good,46380563000,46380568000,5,26712
198,Good,46380869000,46380874000,5,26713
199,Good,46381175000,46381180000,5,26714
200,Good,46381482000,46381488000,6,26715
201,Good,46381789000,46381794000,5,26716
202,Good,46382095000,46382101000,6,26717
203,Good,46382402000,46382408000,6,26718
204,Good,46382709000,46382714000,5,26719
205,Good,46383015000,46383021000,6,26720
206,Good,46383322000,46383328000,6,26721
207,Good,46383629000,46383634000,5,26722
208,Good,46383935000,46383941000,6,26723
209,Good,46384242000,46384248000,6,26724
210,Good,46384549000,46384554000,5,26725
211,Good,46384855000,46384861000,6,26726
212,Good,46385162000,46385168000,6,26727
213,Good,46385469000,46385474000,5,26728
214,Good,46385775000,46385780000,5,26729
215,Good,46386081000,46386086000,5,26730
216,Good,46386388000,46386393000,5,26731
217,Good,46386694000,46386700000,6,26732
218,Good,46387001000,46387006000,5,26733
219,Good,46387308000,46387313000,5,26734
220,Good,46387614000,46387620000,6,26735
221,Good,46387921000,46387927000,6,26736
222,Good,46388228000,46388233000,5,26737
223,Good,46388534000,46388540000,6,26738
224,Good,46388841000,46388846000,5,26739
225,Good,46389147000,46389152000,5,26740
226,Good,46389454000,46389460000,6,26741
227,Good,46389761000,46389772000,11,26742
228,Good,46390073000,46390078000,5,26743
229,Good,46390379000,46390384000,5,26744
230,Good,46390685000,46390690000,5,26745
231,Good,46390991000,46390996000,5,26746
232,Good,46391297000,46391302000,5,26747
233,Good,46391603000,46391609000,6,26748
234,Good,46391910000,46391915000,5,26749
235,Good,46392217000,46392222000,5,26750
236,Good,46392523000,46392529000,6,26751
237,Good,46392830000,46392835000,5,26752
238,Good,46393137000,46393142000,5,26753
239,Good,46393443000,46393449000,6,26754
240,Good,46393750000,46393755000,5,26755
241,Good,46394057000,46394062000,5,26756
242,Good,46394363000,46394369000,6,26757
243,Good,46394670000,46394675000,5,26758
244,Good,46394977000,46394982000,5,26759
245,Good,46395283000,46395289000,6,26760
246,Good,46395590000,46395595000,5,26761
247,Good,46395897000,46395901000,4,26762
248,Good,46396203000,46396209000,6,26763
249,Good,46396510000,46396515000,5,26764
250,Good,46396817000,46396822000,5,26765
251,Good,46397123000,46397129000,6,26766
252,Good,46397430000,46397435000,5,26767
253,Good,46397737000,46397742000,5,26768
254,Good,46398043000,46398049000,6,26769
255,Good,46398351000,46398357000,6,26770
256,Good,46398658000,46398663000,5,26771
257,Good,46398964000,46398970000,6,26772
258,Good,46399271000,46399277000,6,26773
259,Good,46399578000,46399583000,5,26774
260,Good,46399885000,46399890000,5,26775
261,Good,46400192000,46400198000,6,26776
262,Good,46400499000,46400505000,6,26777
263,Good,46400807000,46400811000,4,26778
264,Good,46401112000,46401119000,7,26779
265,Good,46401420000,46401425000,5,26780
266,Good,46401727000,46401732000,5,26781
267,Good,46402033000,46402039000,6,26782
268,Good,46402340000,46402345000,5,26783
269,Good,46402648000,46402652000,4,26784
270,Good,46402953000,46402959000,6,26785
271,Good,46403260000,46403265000,5,26786
272,Good,46403567000,46403571000,4,26787
273,Good,46403873000,46403879000,6,26788
274,Good,46404180000,46404185000,5,26789
275,Good,46404487000,46404492000,5,26790
276,Good,46404793000,46404799000,6,26791
277,Good,46405100000,46405105000,5,26792
278,Good,46405407000,46405412000,5,26793
279,Good,46405713000,46405719000,6,26794
280,Good,46406020000,46406025000,5,26795
281,Good,46406327000,46406331000,4,26796
282,Good,46406633000,46406639000,6,26797
283,Good,46406940000,46406945000,5,26798
284,Good,46407247000,46407252000,5,26799
285,Good,46407553000,46407559000,6,26800
286,Good,46407860000,46407865000,5,26801
287,Good,46408167000,46408172000,5,26802
288,Good,46408473000,46408479000,6,26803
289,Good,46408780000,46408785000,5,26804
290,Good,46409087000,46409092000,5,26805
291,Good,46409393000,46409399000,6,26806
292,Good,46409700000,46409705000,5,26807
293,Good,46410007000,46410012000,5,26808
294,Good,46410313000,46410319000,6,26809
295,Good,46410620000,46410625000,5,26810
296,Good,46410927000,46410932000,5,26811
297,Good,46411233000,46411240000,7,26812
298,Good,46411541000,46411546000,5,26813
299,Good,46411848000,46411853000,5,26814
300,Good,46412154000,46412160000,6,26815
301,Good,46412461000,46412467000,6,26816
302,Good,46412768000,46412773000,5,26817
303,Good,46413074000,46413080000,6,26818
304,Good,46413381000,46413386000,5,26819
305,Good,46413687000,46413692000,5,26820
306,Good,46413993000,46413999000,6,26821
307,Good,46414300000,46414305000,5,26822
308,Good,46414607000,46414612000,5,26823
309,Good,46414913000,46414919000,6,26824
310,Good,46415220000,46415225000,5,26825
311,Good,46415528000,46415532000,4,26826
312,Good,46415833000,46415839000,6,26827
313,Good,46416140000,46416145000,5,26828
314,Good,46416447000,46416451000,4,26829
315,Good,46416753000,46416759000,6,26830
316,Good,46417060000,46417065000,5,26831
317,Good,46417367000,46417371000,4,26832
318,Good,46417673000,46417679000,6,26833
319,Good,46417980000,46417985000,5,26834
320,Good,46418287000,46418291000,4,26835
321,Good,46418593000,46418599000,6,26836
322,Good,46418900000,46418905000,5,26837
323,Good,46419207000,46419212000,5,26838
324,Good,46419513000,46419519000,6,26839
325,Good,46419820000,46419825000,5,26840
326,Good,46420127000,46420132000,5,26841
327,Good,46420433000,46420439000,6,26842
328,Good,46420740000,46420745000,5,26843
329,Good,46421047000,46421051000,4,26844
330,Good,46421353000,46421359000,6,26845
331,Good,46421660000,46421665000,5,26846
332,Good,46421967000,46421973000,6,26847
333,Good,46422274000,46422280000,6,26848
334,Good,46422581000,46422587000,6,26849
335,Good,46422888000,46422893000,5,26850
336,Good,46423194000,46423200000,6,26851
337,Good,46423501000,46423507000,6,26852
338,Good,46423808000,46423813000,5,26853
339,Good,46424115000,46424121000,6,26854
340,Good,46424422000,46424428000,6,26855
341,Good,46424729000,46424734000,5,26856
342,Good,46425035000,46425041000,6,26857
343,Good,46425342000,46425348000,6,26858
344,Good,46425649000,46425654000,5,26859
345,Good,46425955000,46425960000,5,26860
346,Good,46426262000,46426268000,6,26861
347,Good,46426569000,46426574000,5,26862
348,Good,46426875000,46426880000,5,26863
349,Good,46427182000,46427188000,6,26864
350,Good,46427489000,46427494000,5,26865
351,Good,46427795000,46427801000,6,26866
352,Good,46428102000,46428108000,6,26867
353,Good,46428409000,46428414000,5,26868
354,Good,46428715000,46428720000,5,26869
355,Good,46429022000,46429028000,6,26870
356,Good,46429329000,46429334000,5,26871
357,Good,46429635000,46429641000,6,26872
358,Good,46429942000,46429948000,6,26873
359,Good,46430249000,46430254000,5,26874
360,Good,46430555000,46430561000,6,26875
361,Good,46430862000,46430868000,6,26876
362,Good,46431169000,46431174000,5,26877
363,Good,46431475000,46431481000,6,26878
364,Good,46431782000,46431788000,6,26879
365,Good,46432089000,46432094000,5,26880
366,Good,46432395000,46432401000,6,26881
367,Good,46432702000,46432709000,7,26882
368,Good,46433010000,46433015000,5,26883
369,Good,46433317000,46433321000,4,26884
370,Good,46433623000,46433629000,6,26885
371,Good,46433930000,46433935000,5,26886
372,Good,46434237000,46434241000,4,26887
373,Good,46434543000,46434549000,6,26888
374,Good,46434850000,46434855000,5,26889
375,Good,46435157000,46435162000,5,26890
376,Good,46435463000,46435469000,6,26891
377,Good,46435770000,46435775000,5,26892
378,Good,46436077000,46436082000,5,26893
379,Good,46436383000,46436389000,6,26894
380,Good,46436690000,46436695000,5,26895
381,Good,46436997000,46437002000,5,26896
382,Good,46437303000,46437309000,6,26897
383,Good,46437610000,46437615000,5,26898
384,Good,46437917000,46437922000,5,26899
385,Good,46438223000,46438229000,6,26900
386,Good,46438530000,46438535000,5,26901
387,Good,46438837000,46438842000,5,26902
388,Good,46439143000,46439149000,6,26903
389,Good,46439450000,46439455000,5,26904
390,Good,46439757000,46439762000,5,26905
391,Good,46440063000,46440069000,6,26906
392,Good,46440370000,46440375000,5,26907
393,Good,46440677000,46440682000,5,26908
394,Good,46440983000,46440989000,6,26909
395,Good,46441290000,46441295000,5,26910
396,Good,46441597000,46441602000,5,26911
397,Good,46441903000,46441909000,6,26912
398,Good,46442210000,46442215000,5,26913
399,Good,46442518000,46442522000,4,26914
400,Good,46442823000,46442829000,6,26915
401,Good,46443130000,46443135000,5,26916
402,Good,46443437000,46443442000,5,26917
403,Good,46443743000,46443749000,6,26918
404,Good,46444050000,46444055000,5,26919
405,Good,46444357000,46444361000,4,26920
406,Good,46444662000,46444668000,6,26921
407,Good,46444969000,46444974000,5,26922
408,Good,46445275000,46445281000,6,26923
409,Good,46445582000,46445588000,6,26924
410,Good,46445889000,46445894000,5,26925
411,Good,46446195000,46446201000,6,26926
412,Good,46446502000,46446508000,6,26927
413,Good,46446809000,46446814000,5,26928
414,Good,46447115000,46447121000,6,26929
415,Good,46447422000,46447428000,6,26930
416,Good,46447729000,46447734000,5,26931
417,Good,46448035000,46448040000,5,26932
418,Good,46448341000,46448347000,6,26933
419,Good,46448648000,46448653000,5,26934
420,Good,46448954000,46448960000,6,26935
421,Good,46449261000,46449266000,5,26936
422,Good,46449568000,46449573000,5,26937
423,Good,46449874000,46449880000,6,26938
424,Good,46450181000,46450186000,5,26939
425,Good,46450487000,46450493000,6,26940
426,Good,46450794000,46450800000,6,26941
427,Good,46451101000,46451106000,5,26942
428,Good,46451407000,46451412000,5,26943
429,Good,46451713000,46451719000,6,26944
