counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,46013432000,46013443000,11,989.150000
1,Good,46013744000,46013749000,5,990.100000
2,Good,46014051000,46014056000,5,991.050000
3,Good,46014357000,46014362000,5,992.000000
4,Good,46014663000,46014669000,6,992.950000
5,Good,46014970000,46014975000,5,993.900000
6,Good,46015277000,46015281000,4,994.850000
7,Good,46015582000,46015588000,6,995.800000
8,Good,46015889000,46015894000,5,996.750000
9,Good,46016195000,46016200000,5,997.700000
10,Good,46016502000,46016508000,6,998.650000
11,Good,46016809000,46016814000,5,999.600000
12,Good,46017115000,46017121000,6,1000.550000
13,Good,46017422000,46017428000,6,1001.500000
14,Good,46017729000,46017734000,5,1002.450000
15,Good,46018035000,46018040000,5,1003.400000
16,Good,46018341000,46018346000,5,1004.350000
17,Good,46018647000,46018652000,5,1005.300000
18,Good,46018953000,46018959000,6,1006.250000
19,Good,46019260000,46019265000,5,1007.200000
20,Good,46019567000,46019571000,4,1008.150000
21,Good,46019873000,46019878000,5,1009.100000
22,Good,46020179000,46020183000,4,1010.050000
23,Good,46020485000,46020490000,5,1011.000000
24,Good,46020791000,46020796000,5,1011.950000
25,Good,46021097000,46021102000,5,1012.900000
26,Good,46021403000,46021408000,5,1013.850000
27,Good,46021709000,46021713000,4,1014.800000
28,Good,46022015000,46022020000,5,1015.750000
29,Good,46022321000,46022326000,5,1016.700000
30,Good,46022627000,46022632000,5,1017.650000
31,Good,46022933000,46022939000,6,1018.600000
32,Good,46023240000,46023245000,5,1019.550000
33,Good,46023547000,46023551000,4,1020.500000
34,Good,46023852000,46023858000,6,1021.450000
35,Good,46024159000,46024164000,5,1022.400000
36,Good,46024465000,46024470000,5,1023.350000
37,Good,46024771000,46024776000,5,1024.300000
38,Good,46025077000,46025082000,5,1025.250000
39,Good,46025383000,46025389000,6,1026.200000
40,Good,46025690000,46025695000,5,1027.150000
41,Good,46025997000,46026001000,4,1028.100000
42,Good,46026302000,46026308000,6,1029.050000
43,Good,46026609000,46026614000,5,1030.000000
44,Good,46026915000,46026920000,5,1030.950000
45,Good,46027222000,46027228000,6,1031.900000
46,Good,46027529000,46027534000,5,1032.850000
47,Good,46027835000,46027840000,5,1033.800000
48,Good,46028141000,46028147000,6,1034.750000
49,Good,46028448000,46028453000,5,1035.700000
50,Good,46028754000,46028759000,5,1036.650000
51,Good,46029061000,46029066000,5,1037.600000
52,Good,46029367000,46029372000,5,1038.550000
53,Good,46029673000,46029679000,6,1039.500000
54,Good,46029980000,46029985000,5,1040.450000
55,Good,46030287000,46030291000,4,1041.400000
56,Good,46030592000,46030598000,6,1042.350000
57,Good,46030899000,46030904000,5,1043.300000
58,Good,46031205000,46031210000,5,1044.250000
59,Good,46031511000,46031516000,5,1045.200000
60,Good,46031817000,46031822000,5,1046.150000
61,Good,46032123000,46032128000,5,1047.100000
62,Good,46032430000,46032434000,4,1048.050000
63,Good,46032737000,46032741000,4,1049.000000
64,Good,46033043000,46033049000,6,1049.950000
65,Good,46033350000,46033355000,5,1050.900000
66,Good,46033657000,46033661000,4,1051.850000
67,Good,46033963000,46033968000,5,1052.800000
68,Good,46034270000,46034275000,5,1053.750000
69,Good,46034577000,46034581000,4,1054.700000
